@relation vehicle-weka.filters.unsupervised.attribute.RandomProjection-N6-R42-DSparse1

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute Class {opel,saab,bus,van}

@data
788.083117,218.238402,287.520434,-76.210236,-50.229473,-924.915131,saab
789.815168,296.180688,263.271723,-50.229473,-20.78461,-1025.374078,van
810.599778,303.108891,284.056332,-74.478185,32.908965,-1037.498434,van
781.154914,252.879418,261.539672,-19.052559,-17.320508,-1008.05357,bus
789.815168,230.362757,266.735824,-27.712813,-15.588457,-975.144605,bus
872.953607,254.611469,285.788383,-17.320508,-5.196152,-1117.172771,van
926.647182,334.285806,256.34352,-105.655099,10.392305,-1189.918905,bus
907.594623,327.357603,271.931977,-117.779455,17.320508,-1144.885584,saab
836.58054,214.7743,284.056332,-48.497423,-81.406388,-1030.570231,saab
907.594623,275.396078,308.305044,-119.511506,-31.176915,-1129.297127,saab
744.781847,219.970453,282.324282,17.320508,-27.712813,-950.895893,van
853.901048,330.821704,349.874263,-98.726896,74.478185,-1155.277889,opel
1094.65611,221.702503,185.329436,36.373067,57.157677,-1300.770156,van
762.102355,303.108891,292.716586,-27.712813,25.980762,-1030.570231,van
803.671575,258.07557,254.611469,-25.980762,-46.765372,-1006.321519,van
770.762609,242.487113,284.056332,-76.210236,-34.641016,-933.575385,saab
827.920286,240.755062,254.611469,-3.464102,-25.980762,-1056.550993,van
860.829251,183.597386,266.735824,8.660254,-83.138439,-1060.015094,saab
727.461339,284.056332,280.592231,-57.157677,22.51666,-945.699741,bus
907.594623,278.86018,342.94606,-67.549981,8.660254,-1198.579159,opel
720.533136,290.984536,282.324282,-60.621778,17.320508,-947.431792,bus
893.738217,296.180688,278.86018,-95.262794,-31.176915,-1122.368923,opel
942.235639,323.893501,316.965298,-53.693575,38.105118,-1264.39709,opel
862.561302,275.396078,278.86018,-24.248711,36.373067,-1101.584314,van
843.508743,237.290961,256.34352,-39.837169,-50.229473,-1051.35484,bus
872.953607,259.807621,268.467875,-51.961524,-43.30127,-1084.263806,saab
819.260032,206.114046,282.324282,-24.248711,-64.08588,-1014.981773,van
935.307436,320.429399,268.467875,-67.549981,-10.392305,-1208.971464,saab
926.647182,256.34352,259.807621,-50.229473,-15.588457,-1176.062498,bus
859.097201,204.381995,268.467875,-50.229473,-96.994845,-1037.498434,opel
935.307436,303.108891,301.376841,-72.746134,8.660254,-1221.095819,saab
822.724134,242.487113,254.611469,-27.712813,-27.712813,-1023.642027,van
935.307436,405.299889,284.056332,-129.903811,83.138439,-1264.39709,bus
829.652337,219.970453,278.86018,-57.157677,-69.282032,-1006.321519,opel
775.958762,251.147367,284.056332,-15.588457,-31.176915,-987.26896,van
793.27927,232.094808,301.376841,-55.425626,-41.569219,-1008.05357,saab
834.848489,301.376841,266.735824,-79.674337,-15.588457,-1051.35484,opel
703.212628,244.219164,239.023011,-22.51666,-22.51666,-893.738217,opel
980.340757,313.501196,273.664028,-62.353829,27.712813,-1248.808632,opel
895.470268,211.310199,265.003774,-19.052559,-50.229473,-1103.316364,saab
788.083117,251.147367,265.003774,-38.105118,-60.621778,-990.733062,saab
881.613861,358.534517,337.749907,-107.38715,48.497423,-1198.579159,opel
845.240794,323.893501,348.142212,-86.60254,45.033321,-1158.74199,opel
853.901048,200.917894,263.271723,-19.052559,-93.530744,-1042.694586,saab
926.647182,308.305044,280.592231,-62.353829,45.033321,-1189.918905,saab
751.71005,308.305044,251.147367,-62.353829,-6.928203,-987.26896,bus
751.71005,214.7743,296.180688,3.464102,-45.033321,-952.627944,van
914.522826,304.840942,273.664028,-45.033321,22.51666,-1195.115057,opel
824.456184,412.228092,318.697349,-150.68842,81.406388,-1144.885584,bus
862.561302,294.448637,275.396078,-83.138439,-27.712813,-1080.799704,van
886.810013,353.338365,304.840942,-152.420471,31.176915,-1157.009939,bus
815.79593,306.572993,313.501196,-60.621778,29.444864,-1075.603552,van
864.293353,245.951215,230.362757,-34.641016,-45.033321,-1082.531755,bus
867.757455,239.023011,289.252485,-84.87049,-36.373067,-1079.067653,opel
831.384388,280.592231,254.611469,-46.765372,-17.320508,-1051.35484,bus
843.508743,221.702503,254.611469,-34.641016,-67.549981,-1046.158688,bus
782.886965,277.128129,273.664028,-46.765372,-1.732051,-999.393316,van
949.163843,393.175533,308.305044,-154.152522,24.248711,-1252.272734,saab
713.604933,199.185843,270.199926,-17.320508,-48.497423,-879.88181,opel
838.312591,263.271723,237.290961,-27.712813,-58.889727,-1058.283043,bus
739.585695,214.7743,292.716586,-65.817931,-57.157677,-886.810013,saab
949.163843,346.410162,258.07557,-121.243557,6.928203,-1196.847108,saab
900.66642,252.879418,247.683265,-58.889727,-27.712813,-1127.565076,bus
888.542064,261.539672,258.07557,-69.282032,-48.497423,-1118.904822,bus
843.508743,310.037095,277.128129,-93.530744,-3.464102,-1070.407399,opel
935.307436,370.658873,299.64479,-138.564065,38.105118,-1222.82787,opel
852.168997,232.094808,247.683265,-50.229473,-71.014083,-1044.426637,opel
947.431792,311.769145,277.128129,-96.994845,6.928203,-1186.454803,opel
827.920286,254.611469,258.07557,-36.373067,-45.033321,-1040.962535,van
817.527981,292.716586,258.07557,-69.282032,-12.124356,-1027.106129,saab
888.542064,412.228092,282.324282,-128.17176,65.817931,-1210.703514,bus
855.633099,237.290961,266.735824,-62.353829,-41.569219,-1046.158688,saab
739.585695,287.520434,282.324282,-76.210236,6.928203,-961.288198,bus
994.197164,356.802466,290.984536,-110.851252,72.746134,-1283.449648,saab
777.690813,294.448637,275.396078,-72.746134,-5.196152,-1014.981773,bus
741.317746,318.697349,294.448637,-90.066642,15.588457,-985.53691,bus
763.834406,304.840942,284.056332,-96.994845,5.196152,-985.53691,bus
834.848489,289.252485,296.180688,-53.693575,20.78461,-1082.531755,van
848.704896,199.185843,259.807621,-24.248711,-76.210236,-1035.766383,saab
881.613861,329.089653,316.965298,-67.549981,62.353829,-1176.062498,opel
904.130522,360.266568,315.233247,-98.726896,69.282032,-1212.435565,opel
788.083117,247.683265,271.931977,-24.248711,-74.478185,-982.072808,van
801.939524,297.912739,277.128129,-45.033321,-15.588457,-1053.086891,van
846.972845,294.448637,270.199926,-57.157677,-24.248711,-1096.388161,opel
711.872882,285.788383,280.592231,-45.033321,12.124356,-943.96769,bus
784.619016,306.572993,261.539672,-74.478185,1.732051,-1014.981773,bus
841.776692,368.926822,308.305044,-74.478185,60.621778,-1165.670193,opel
911.058725,193.98969,268.467875,-6.928203,-64.08588,-1124.100974,opel
791.547219,200.917894,247.683265,19.052559,-53.693575,-989.001011,van
829.652337,259.807621,261.539672,-57.157677,-41.569219,-1046.158688,bus
829.652337,336.017857,306.572993,-112.583302,19.052559,-1117.172771,bus
777.690813,213.042249,237.290961,1.732051,-62.353829,-961.288198,opel
834.848489,242.487113,263.271723,-55.425626,-34.641016,-1044.426637,opel
800.207473,297.912739,258.07557,-67.549981,1.732051,-1025.374078,saab
933.575385,360.266568,285.788383,-67.549981,64.08588,-1259.200937,opel
767.298508,297.912739,254.611469,-53.693575,-20.78461,-997.661265,bus
788.083117,240.755062,278.86018,-48.497423,-67.549981,-949.163843,van
909.326674,346.410162,304.840942,-43.30127,64.08588,-1238.416327,opel
789.815168,284.056332,308.305044,-51.961524,15.588457,-1032.302281,van
892.006166,332.553755,256.34352,-71.014083,12.124356,-1172.598397,bus
758.638254,297.912739,284.056332,-72.746134,3.464102,-999.393316,bus
755.174152,270.199926,278.86018,-67.549981,-29.444864,-957.824097,saab
836.58054,218.238402,278.86018,19.052559,-34.641016,-1066.943297,van
937.039487,355.070416,273.664028,-86.60254,60.621778,-1226.291972,saab
808.867727,183.597386,242.487113,10.392305,-77.942286,-973.412554,van
963.020249,360.266568,306.572993,-136.832014,48.497423,-1247.076581,saab
769.030559,290.984536,258.07557,-74.478185,-6.928203,-983.804859,saab
691.088272,235.55891,259.807621,-48.497423,-36.373067,-850.436947,van
708.40878,214.7743,278.86018,-65.817931,-43.30127,-840.044642,saab
720.533136,297.912739,282.324282,-58.889727,22.51666,-956.092046,bus
888.542064,323.893501,315.233247,-81.406388,25.980762,-1186.454803,saab
814.06388,278.86018,266.735824,-67.549981,-36.373067,-1020.177926,van
758.638254,301.376841,325.625552,-38.105118,32.908965,-1035.766383,van
881.613861,226.898656,200.917894,-12.124356,-58.889727,-1089.459958,bus
723.997238,308.305044,282.324282,-76.210236,5.196152,-959.556147,bus
892.006166,348.142212,332.553755,-83.138439,64.08588,-1212.435565,opel
774.226711,332.553755,277.128129,-102.190998,10.392305,-1016.713824,bus
855.633099,204.381995,252.879418,-34.641016,-81.406388,-1039.230485,opel
840.044642,313.501196,284.056332,-105.655099,-25.980762,-1066.943297,opel
734.389542,285.788383,268.467875,-57.157677,17.320508,-950.895893,bus
964.7523,349.874263,294.448637,-90.066642,38.105118,-1273.057344,saab
732.657492,289.252485,316.965298,-17.320508,29.444864,-1006.321519,van
756.906203,245.951215,297.912739,-36.373067,-17.320508,-966.484351,van
876.417709,204.381995,228.630707,-22.51666,-71.014083,-1072.13945,bus
848.704896,233.826859,270.199926,-46.765372,-55.425626,-1065.211247,saab
931.843334,412.228092,296.180688,-162.812776,39.837169,-1231.488124,opel
737.853644,209.578148,273.664028,-39.837169,-84.87049,-890.274115,saab
760.370305,228.630707,287.520434,-19.052559,-12.124356,-945.699741,van
964.7523,407.03194,287.520434,-121.243557,64.08588,-1286.91375,opel
782.886965,285.788383,311.769145,-51.961524,15.588457,-1027.106129,van
852.168997,296.180688,254.611469,-81.406388,-46.765372,-1065.211247,bus
822.724134,287.520434,282.324282,-34.641016,13.856406,-1077.335602,van
928.379233,332.553755,320.429399,-135.099963,45.033321,-1186.454803,saab
829.652337,200.917894,252.879418,-22.51666,-65.817931,-1011.517672,saab
836.58054,278.86018,290.984536,-86.60254,-38.105118,-1046.158688,opel
916.254877,327.357603,258.07557,-84.87049,20.78461,-1174.330448,saab
917.986928,353.338365,299.64479,-50.229473,76.210236,-1250.540683,opel
706.676729,235.55891,268.467875,-45.033321,-34.641016,-886.810013,saab
876.417709,254.611469,261.539672,-65.817931,-48.497423,-1091.192009,saab
779.422863,254.611469,280.592231,-48.497423,-64.08588,-961.288198,van
803.671575,181.865335,275.396078,-0,-96.994845,-975.144605,van
935.307436,290.984536,285.788383,-50.229473,3.464102,-1196.847108,saab
741.317746,292.716586,296.180688,-71.014083,5.196152,-978.608706,bus
710.140831,287.520434,270.199926,-58.889727,12.124356,-930.111284,bus
898.934369,287.520434,280.592231,-58.889727,-13.856406,-1137.957381,saab
800.207473,232.094808,266.735824,-25.980762,-91.798693,-980.340757,van
711.872882,223.434554,268.467875,-12.124356,-48.497423,-893.738217,van
777.690813,310.037095,240.755062,-69.282032,5.196152,-1009.785621,bus
902.398471,342.94606,254.611469,-86.60254,-27.712813,-1167.402244,saab
845.240794,226.898656,322.16145,-1.732051,-34.641016,-1096.388161,van
852.168997,263.271723,277.128129,-32.908965,-48.497423,-1082.531755,van
855.633099,387.979381,337.749907,-128.17176,86.60254,-1189.918905,bus
855.633099,297.912739,226.898656,-65.817931,-39.837169,-1077.335602,bus
775.958762,306.572993,261.539672,-67.549981,-1.732051,-1006.321519,bus
741.317746,273.664028,265.003774,-50.229473,-29.444864,-943.96769,opel
978.608706,348.142212,325.625552,-129.903811,48.497423,-1273.057344,saab
866.025404,216.506351,216.506351,-13.856406,-74.478185,-1061.747145,bus
890.274115,247.683265,249.415316,3.464102,-25.980762,-1146.617635,opel
798.475422,265.003774,263.271723,-45.033321,-8.660254,-1023.642027,bus
748.245949,315.233247,285.788383,-95.262794,22.51666,-978.608706,bus
1004.589468,363.73067,313.501196,-154.152522,43.30127,-1279.985547,saab
755.174152,289.252485,327.357603,-53.693575,31.176915,-1006.321519,van
907.594623,315.233247,265.003774,-86.60254,-1.732051,-1146.617635,saab
801.939524,242.487113,265.003774,-25.980762,-31.176915,-1018.445875,bus
788.083117,265.003774,277.128129,-19.052559,0,-1016.713824,van
942.235639,329.089653,242.487113,-95.262794,10.392305,-1193.383006,opel
753.442101,239.023011,254.611469,-77.942286,-10.392305,-909.326674,saab
763.834406,200.917894,284.056332,12.124356,-55.425626,-963.020249,van
975.144605,232.094808,240.755062,-0,55.425626,-1163.938143,van
817.527981,263.271723,252.879418,-55.425626,-19.052559,-1037.498434,bus
775.958762,195.721741,301.376841,-12.124356,-64.08588,-968.216401,van
852.168997,417.424245,308.305044,-168.008928,83.138439,-1158.74199,bus
826.188235,228.630707,223.434554,-1.732051,-71.014083,-1032.302281,bus
907.594623,374.122974,265.003774,-112.583302,22.51666,-1203.775311,bus
769.030559,233.826859,259.807621,-55.425626,-32.908965,-921.45103,saab
921.45103,270.199926,285.788383,-112.583302,-39.837169,-1127.565076,saab
845.240794,233.826859,265.003774,-29.444864,-36.373067,-1073.871501,bus
897.202318,360.266568,320.429399,-117.779455,53.693575,-1196.847108,saab
859.097201,289.252485,254.611469,-74.478185,-22.51666,-1063.479196,opel
876.417709,209.578148,233.826859,-3.464102,-65.817931,-1089.459958,bus
820.992083,192.25764,277.128129,-1.732051,-84.87049,-1004.589468,van
741.317746,310.037095,271.931977,-69.282032,1.732051,-976.876655,bus
803.671575,294.448637,252.879418,-55.425626,-19.052559,-1035.766383,bus
928.379233,329.089653,304.840942,-121.243557,10.392305,-1195.115057,saab
892.006166,308.305044,285.788383,-46.765372,24.248711,-1179.5266,opel
937.039487,320.429399,278.86018,-71.014083,15.588457,-1203.775311,opel
966.484351,273.664028,316.965298,-71.014083,8.660254,-1234.952226,opel
885.077963,363.73067,299.64479,-133.367912,10.392305,-1155.277889,saab
784.619016,308.305044,316.965298,-77.942286,6.928203,-1037.498434,van
800.207473,251.147367,268.467875,-50.229473,-29.444864,-1011.517672,bus
975.144605,375.855025,297.912739,-148.956369,29.444864,-1254.004785,opel
717.069034,287.520434,287.520434,-67.549981,-3.464102,-945.699741,bus
732.657492,258.07557,297.912739,-31.176915,-8.660254,-937.039487,van
769.030559,252.879418,292.716586,-25.980762,-43.30127,-976.876655,van
959.556147,256.34352,304.840942,-64.08588,-22.51666,-1205.507362,saab
703.212628,245.951215,259.807621,-45.033321,-36.373067,-869.489505,van
885.077963,351.606314,284.056332,-95.262794,53.693575,-1179.5266,bus
930.111284,332.553755,292.716586,-60.621778,45.033321,-1248.808632,saab
904.130522,441.672956,336.017857,-193.98969,109.119201,-1231.488124,bus
734.389542,282.324282,268.467875,-50.229473,13.856406,-952.627944,bus
926.647182,382.783228,258.07557,-129.903811,15.588457,-1191.650956,saab
871.221556,237.290961,275.396078,-62.353829,-60.621778,-1080.799704,saab
715.336984,308.305044,278.86018,-65.817931,12.124356,-950.895893,bus
959.556147,294.448637,292.716586,-79.674337,1.732051,-1205.507362,opel
798.475422,280.592231,290.984536,-72.746134,-19.052559,-1018.445875,opel
867.757455,232.094808,280.592231,-10.392305,-46.765372,-1099.852263,van
843.508743,225.166605,256.34352,-32.908965,-50.229473,-1044.426637,saab
874.685658,282.324282,263.271723,-62.353829,-31.176915,-1079.067653,van
905.862572,339.481958,289.252485,-93.530744,19.052559,-1179.5266,opel
964.7523,389.711432,329.089653,-145.492268,65.817931,-1279.985547,opel
722.265187,285.788383,273.664028,-60.621778,3.464102,-943.96769,bus
879.88181,384.515279,313.501196,-119.511506,69.282032,-1202.04326,bus
919.718979,349.874263,313.501196,-81.406388,60.621778,-1234.952226,saab
763.834406,287.520434,299.64479,-67.549981,19.052559,-987.26896,van
878.149759,370.658873,306.572993,-155.884573,34.641016,-1162.206092,bus
886.810013,278.86018,292.716586,-88.334591,-19.052559,-1094.65611,van
810.599778,251.147367,251.147367,-31.176915,-34.641016,-1027.106129,bus
810.599778,239.023011,252.879418,-29.444864,-45.033321,-1016.713824,bus
788.083117,270.199926,277.128129,-77.942286,-36.373067,-992.465113,opel
723.997238,237.290961,242.487113,-32.908965,-25.980762,-909.326674,saab
905.862572,334.285806,301.376841,-71.014083,62.353829,-1203.775311,opel
949.163843,351.606314,320.429399,-96.994845,79.674337,-1264.39709,opel
888.542064,426.084499,303.108891,-176.669182,65.817931,-1195.115057,bus
1011.517672,360.266568,308.305044,-157.616623,43.30127,-1273.057344,saab
864.293353,296.180688,278.86018,-81.406388,-48.497423,-1089.459958,opel
860.829251,270.199926,271.931977,-41.569219,-39.837169,-1079.067653,van
840.044642,251.147367,265.003774,-51.961524,-67.549981,-1021.909976,opel
931.843334,278.86018,301.376841,-74.478185,-13.856406,-1196.847108,opel
749.978,263.271723,235.55891,-57.157677,5.196152,-933.575385,saab
819.260032,329.089653,287.520434,-107.38715,1.732051,-1046.158688,van
774.226711,327.357603,252.879418,-81.406388,-0,-1014.981773,bus
904.130522,325.625552,261.539672,-76.210236,0,-1162.206092,saab
872.953607,273.664028,256.34352,-55.425626,-19.052559,-1105.048415,opel
862.561302,297.912739,240.755062,-71.014083,-24.248711,-1080.799704,bus
931.843334,351.606314,318.697349,-157.616623,27.712813,-1191.650956,saab
831.384388,287.520434,254.611469,-45.033321,-27.712813,-1068.675348,opel
930.111284,289.252485,268.467875,-32.908965,-19.052559,-1203.775311,opel
902.398471,349.874263,344.678111,-119.511506,57.157677,-1196.847108,saab
923.18308,320.429399,318.697349,-138.564065,-5.196152,-1174.330448,saab
850.436947,308.305044,270.199926,-58.889727,-12.124356,-1108.512517,saab
822.724134,304.840942,282.324282,-77.942286,13.856406,-1049.622789,van
819.260032,285.788383,282.324282,-84.87049,12.124356,-1034.034332,opel
940.503589,387.979381,278.86018,-129.903811,36.373067,-1221.095819,saab
801.939524,304.840942,280.592231,-46.765372,5.196152,-1058.283043,van
751.71005,235.55891,273.664028,-74.478185,-15.588457,-917.986928,saab
779.422863,301.376841,249.415316,-65.817931,-12.124356,-1004.589468,bus
820.992083,327.357603,290.984536,-110.851252,3.464102,-1060.015094,opel
841.776692,247.683265,226.898656,-22.51666,-41.569219,-1073.871501,bus
869.489505,313.501196,242.487113,-88.334591,-25.980762,-1106.780466,bus
843.508743,299.64479,278.86018,-65.817931,-29.444864,-1091.192009,van
907.594623,304.840942,263.271723,-83.138439,-20.78461,-1162.206092,bus
720.533136,232.094808,270.199926,-57.157677,-31.176915,-878.149759,van
866.025404,368.926822,299.64479,-128.17176,41.569219,-1172.598397,bus
930.111284,332.553755,313.501196,-114.315353,50.229473,-1202.04326,saab
746.513898,218.238402,270.199926,-20.78461,-64.08588,-931.843334,saab
703.212628,209.578148,259.807621,-1.732051,-50.229473,-876.417709,saab
914.522826,355.070416,316.965298,-91.798693,48.497423,-1234.952226,opel
710.140831,235.55891,254.611469,-17.320508,-29.444864,-909.326674,opel
937.039487,446.869108,277.128129,-193.98969,79.674337,-1248.808632,bus
