@relation pendigits-weka.filters.unsupervised.attribute.RandomProjection-N9-R42-DSparse1

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute K8 numeric
@attribute K9 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9}

@data
403.567838,24.248711,39.837169,150.68842,-453.797312,147.224319,-185.329436,150.68842,-245.951215,1
322.16145,239.023011,195.721741,164.544827,-311.769145,-221.702503,-109.119201,128.17176,-232.094808,4
334.285806,339.481958,403.567838,351.606314,-557.72036,50.229473,-88.334591,131.635861,0,5
374.122974,48.497423,-36.373067,162.812776,-510.954988,258.07557,-193.98969,173.205081,-244.219164,3
486.706277,237.290961,107.38715,98.726896,-436.476804,105.655099,-93.530744,173.205081,-180.133284,2
135.099963,135.099963,213.042249,268.467875,-415.692194,-112.583302,-38.105118,126.439709,17.320508,0
278.86018,148.956369,98.726896,131.635861,-358.534517,71.014083,-71.014083,155.884573,-133.367912,6
595.825478,174.937132,-93.530744,289.252485,-398.371686,237.290961,-200.917894,173.205081,-93.530744,8
472.84987,-8.660254,81.406388,206.114046,-486.706277,178.401233,-244.219164,173.205081,-346.410162,5
74.478185,65.817931,185.329436,263.271723,-306.572993,-100.458947,-110.851252,34.641016,-46.765372,0
355.070416,60.621778,71.014083,133.367912,-443.405007,83.138439,-157.616623,173.205081,-265.003774,3
471.11782,143.760217,3.464102,178.401233,-592.361376,287.520434,-162.812776,173.205081,-105.655099,7
521.347293,237.290961,64.08588,230.362757,-455.529362,239.023011,-116.047404,173.205081,-81.406388,8
469.385769,6.928203,83.138439,211.310199,-504.026785,213.042249,-244.219164,173.205081,-315.233247,5
285.788383,131.635861,119.511506,200.917894,-438.208854,154.152522,-100.458947,143.760217,-119.511506,6
467.653718,258.07557,81.406388,242.487113,-476.313972,192.25764,-69.282032,173.205081,-3.464102,8
230.362757,145.492268,407.03194,394.907584,-550.792157,-41.569219,-200.917894,96.994845,-207.846097,8
377.587076,31.176915,-25.980762,98.726896,-458.993464,213.042249,-143.760217,173.205081,-223.434554,9
96.994845,138.564065,232.094808,266.735824,-342.94606,-143.760217,-71.014083,72.746134,-36.373067,0
336.017857,237.290961,121.243557,107.38715,-304.840942,-161.080725,-86.60254,131.635861,-214.7743,4
448.601159,53.693575,95.262794,147.224319,-370.658873,-27.712813,-195.721741,124.707658,-313.501196,1
433.012702,36.373067,93.530744,265.003774,-339.481958,135.099963,-280.592231,173.205081,-391.443483,9
479.778074,280.592231,122.975607,185.329436,-530.007547,69.282032,-72.746134,173.205081,-69.282032,7
171.47303,218.238402,261.539672,284.056332,-445.137058,-100.458947,-39.837169,109.119201,0,0
271.931977,161.080725,100.458947,112.583302,-341.214009,17.320508,-65.817931,152.420471,-148.956369,6
389.711432,39.837169,-41.569219,148.956369,-472.84987,216.506351,-192.25764,173.205081,-277.128129,3
368.926822,19.052559,-71.014083,126.439709,-502.294734,239.023011,-161.080725,173.205081,-218.238402,3
465.921667,275.396078,133.367912,116.047404,-396.639635,84.87049,-95.262794,173.205081,-206.114046,2
356.802466,200.917894,142.028166,121.243557,-320.429399,-72.746134,-112.583302,147.224319,-244.219164,4
545.596004,225.166605,39.837169,166.276878,-436.476804,168.008928,-131.635861,173.205081,-200.917894,1
219.970453,168.008928,95.262794,41.569219,-310.037095,-55.425626,-20.78461,131.635861,-126.439709,6
294.448637,329.089653,382.783228,329.089653,-521.347293,17.320508,-76.210236,105.655099,13.856406,5
303.108891,294.448637,211.310199,245.951215,-576.772919,193.98969,0,98.726896,152.420471,5
426.084499,155.884573,121.243557,157.616623,-564.648563,79.674337,-122.975607,169.740979,-232.094808,7
129.903811,173.205081,213.042249,249.415316,-384.515279,-114.315353,-57.157677,116.047404,-22.51666,0
155.884573,116.047404,251.147367,282.324282,-348.142212,-112.583302,-58.889727,114.315353,-19.052559,0
410.496041,8.660254,32.908965,183.597386,-368.926822,126.439709,-235.55891,173.205081,-299.64479,9
270.199926,325.625552,372.390924,285.788383,-476.313972,-15.588457,-55.425626,93.530744,27.712813,5
228.630707,147.224319,138.564065,162.812776,-410.496041,-5.196152,-39.837169,142.028166,-65.817931,6
294.448637,240.755062,121.243557,110.851252,-287.520434,-192.25764,-64.08588,114.315353,-197.453792,4
313.501196,117.779455,93.530744,225.166605,-554.256258,71.014083,-91.798693,173.205081,-105.655099,7
524.811395,136.832014,121.243557,140.296115,-356.802466,-10.392305,-178.401233,136.832014,-322.16145,1
126.439709,192.25764,268.467875,280.592231,-389.711432,-161.080725,-50.229473,71.014083,-17.320508,0
458.993464,39.837169,76.210236,145.492268,-381.051178,57.157677,-185.329436,138.564065,-280.592231,1
450.33321,114.315353,353.338365,126.439709,-377.587076,-45.033321,-154.152522,86.60254,-327.357603,9
332.553755,168.008928,168.008928,147.224319,-393.175533,128.17176,-109.119201,135.099963,-207.846097,6
469.385769,166.276878,-19.052559,36.373067,-391.443483,237.290961,-81.406388,155.884573,-145.492268,2
105.655099,157.616623,214.7743,294.448637,-434.744753,-93.530744,-81.406388,90.066642,-17.320508,0
370.658873,57.157677,-48.497423,136.832014,-443.405007,152.420471,-188.793538,173.205081,-280.592231,3
129.903811,188.793538,188.793538,242.487113,-453.797312,-100.458947,-36.373067,114.315353,1.732051,0
226.898656,174.937132,431.280651,375.855025,-562.916512,45.033321,-161.080725,91.798693,-161.080725,8
72.746134,83.138439,216.506351,301.376841,-332.553755,-102.190998,-129.903811,25.980762,-71.014083,0
427.816549,64.08588,-3.464102,178.401233,-500.562683,211.310199,-213.042249,173.205081,-304.840942,3
171.47303,145.492268,258.07557,258.07557,-318.697349,-174.937132,-65.817931,103.923048,-64.08588,0
131.635861,204.381995,235.55891,249.415316,-386.24733,-173.205081,-67.549981,100.458947,-58.889727,0
313.501196,336.017857,381.051178,339.481958,-536.93575,71.014083,-86.60254,114.315353,10.392305,5
462.457566,230.362757,142.028166,164.544827,-356.802466,-128.17176,-148.956369,173.205081,-294.448637,4
271.931977,162.812776,76.210236,138.564065,-342.94606,20.78461,-74.478185,173.205081,-124.707658,6
88.334591,152.420471,211.310199,252.879418,-355.070416,-124.707658,-65.817931,58.889727,-24.248711,0
235.55891,135.099963,148.956369,152.420471,-391.443483,43.30127,-51.961524,145.492268,-102.190998,6
173.205081,166.276878,410.496041,310.037095,-555.988309,-62.353829,-96.994845,117.779455,-116.047404,8
391.443483,19.052559,55.425626,207.846097,-458.993464,192.25764,-249.415316,117.779455,-370.658873,9
239.023011,152.420471,48.497423,105.655099,-310.037095,-43.30127,-95.262794,136.832014,-174.937132,4
270.199926,346.410162,323.893501,273.664028,-524.811395,17.320508,-25.980762,96.994845,67.549981,5
465.921667,100.458947,169.740979,206.114046,-438.208854,209.578148,-185.329436,173.205081,-268.467875,6
505.758836,244.219164,90.066642,133.367912,-438.208854,192.25764,-116.047404,173.205081,-190.525589,2
349.874263,5.196152,-8.660254,166.276878,-438.208854,218.238402,-200.917894,98.726896,-247.683265,9
218.238402,159.348674,403.567838,296.180688,-542.131903,95.262794,-81.406388,143.760217,-84.87049,8
327.357603,284.056332,247.683265,247.683265,-568.112665,169.740979,0,103.923048,128.17176,5
133.367912,173.205081,193.98969,259.807621,-407.03194,-90.066642,-71.014083,116.047404,-31.176915,0
110.851252,84.87049,213.042249,308.305044,-368.926822,-100.458947,-122.975607,51.961524,-53.693575,0
126.439709,157.616623,239.023011,284.056332,-391.443483,-88.334591,-62.353829,98.726896,-19.052559,0
344.678111,271.931977,121.243557,83.138439,-316.965298,-140.296115,-67.549981,135.099963,-225.166605,4
389.711432,39.837169,77.942286,96.994845,-412.228092,65.817931,-140.296115,164.544827,-188.793538,7
372.390924,83.138439,-72.746134,171.47303,-502.294734,285.788383,-202.649944,173.205081,-256.34352,3
424.352448,3.464102,31.176915,183.597386,-420.888346,154.152522,-237.290961,164.544827,-304.840942,9
509.222937,233.826859,91.798693,110.851252,-417.424245,135.099963,-117.779455,173.205081,-204.381995,2
289.252485,336.017857,348.142212,304.840942,-519.615242,15.588457,-53.693575,109.119201,38.105118,5
310.037095,-22.51666,133.367912,161.080725,-401.835787,84.87049,-174.937132,81.406388,-297.912739,9
280.592231,268.467875,244.219164,247.683265,-471.11782,0,-46.765372,143.760217,-65.817931,0
348.142212,98.726896,116.047404,155.884573,-445.137058,214.7743,-114.315353,173.205081,-142.028166,6
393.175533,157.616623,235.55891,273.664028,-452.065261,100.458947,-100.458947,173.205081,-128.17176,0
353.338365,107.38715,166.276878,148.956369,-419.156295,91.798693,-122.975607,171.47303,-239.023011,6
275.396078,129.903811,110.851252,148.956369,-400.103737,133.367912,-91.798693,140.296115,-161.080725,6
403.567838,1.732051,112.583302,169.740979,-271.931977,-48.497423,-225.166605,96.994845,-332.553755,1
346.410162,173.205081,116.047404,168.008928,-329.089653,-51.961524,-143.760217,155.884573,-258.07557,4
247.683265,197.453792,275.396078,270.199926,-303.108891,-195.721741,-152.420471,112.583302,-249.415316,0
88.334591,145.492268,209.578148,258.07557,-348.142212,-110.851252,-93.530744,67.549981,-45.033321,0
268.467875,145.492268,150.68842,171.47303,-393.175533,55.425626,-83.138439,136.832014,-154.152522,6
523.079344,239.023011,116.047404,114.315353,-445.137058,169.740979,-133.367912,173.205081,-239.023011,2
441.672956,3.464102,13.856406,195.721741,-360.266568,152.420471,-242.487113,173.205081,-308.305044,9
304.840942,342.94606,306.572993,318.697349,-538.667801,86.60254,-77.942286,103.923048,48.497423,5
382.783228,3.464102,-86.60254,128.17176,-528.275496,256.34352,-145.492268,171.47303,-168.008928,3
408.763991,-22.51666,81.406388,157.616623,-282.324282,-32.908965,-206.114046,98.726896,-313.501196,1
336.017857,244.219164,102.190998,91.798693,-306.572993,-135.099963,-88.334591,133.367912,-239.023011,4
429.5486,232.094808,142.028166,55.425626,-353.338365,-6.928203,-27.712813,173.205081,-124.707658,2
417.424245,313.501196,190.525589,128.17176,-346.410162,-83.138439,-103.923048,142.028166,-266.735824,4
382.783228,-107.38715,46.765372,192.25764,-329.089653,138.564065,-237.290961,103.923048,-280.592231,1
519.615242,77.942286,96.994845,154.152522,-379.319127,10.392305,-199.185843,133.367912,-322.16145,1
502.294734,168.008928,-96.994845,102.190998,-413.960143,226.898656,-107.38715,143.760217,-131.635861,1
207.846097,159.348674,117.779455,162.812776,-398.371686,34.641016,-41.569219,145.492268,-62.353829,6
316.965298,-19.052559,17.320508,100.458947,-450.33321,329.089653,-138.564065,138.564065,-148.956369,1
467.653718,48.497423,325.625552,219.970453,-434.744753,-5.196152,-214.7743,122.975607,-342.94606,9
206.114046,152.420471,355.070416,365.46272,-585.433173,48.497423,-133.367912,102.190998,-86.60254,8
426.084499,249.415316,195.721741,119.511506,-341.214009,-29.444864,-114.315353,145.492268,-287.520434,4
526.543446,282.324282,131.635861,252.879418,-575.040868,98.726896,-116.047404,173.205081,-91.798693,7
398.371686,39.837169,-48.497423,140.296115,-490.170379,242.487113,-185.329436,173.205081,-268.467875,3
445.137058,102.190998,25.980762,180.133284,-505.758836,84.87049,-209.578148,168.008928,-320.429399,1
457.261413,-24.248711,244.219164,251.147367,-403.567838,51.961524,-256.34352,128.17176,-334.285806,9
290.984536,83.138439,102.190998,138.564065,-523.079344,86.60254,-53.693575,173.205081,-100.458947,7
386.24733,233.826859,161.080725,114.315353,-353.338365,-136.832014,-131.635861,131.635861,-294.448637,4
351.606314,20.78461,-72.746134,110.851252,-472.84987,233.826859,-143.760217,173.205081,-202.649944,3
247.683265,247.683265,218.238402,254.611469,-486.706277,-22.51666,-25.980762,143.760217,-5.196152,0
552.524208,214.7743,-13.856406,239.023011,-571.576766,296.180688,-202.649944,171.47303,-136.832014,7
486.706277,-5.196152,185.329436,244.219164,-493.63448,178.401233,-268.467875,173.205081,-351.606314,5
164.544827,173.205081,420.888346,263.271723,-580.237021,25.980762,-15.588457,152.420471,-15.588457,8
417.424245,50.229473,-48.497423,193.98969,-510.954988,271.931977,-213.042249,173.205081,-277.128129,3
299.64479,157.616623,83.138439,142.028166,-372.390924,71.014083,-79.674337,169.740979,-129.903811,6
290.984536,301.376841,337.749907,316.965298,-497.098582,69.282032,-76.210236,84.87049,19.052559,5
571.576766,169.740979,0,135.099963,-396.639635,252.879418,-187.061487,152.420471,-245.951215,1
268.467875,346.410162,356.802466,292.716586,-523.079344,29.444864,-25.980762,93.530744,69.282032,5
387.979381,-51.961524,51.961524,161.080725,-405.299889,109.119201,-204.381995,131.635861,-249.415316,1
549.060106,155.884573,138.564065,154.152522,-384.515279,-12.124356,-190.525589,152.420471,-363.73067,1
510.954988,117.779455,143.760217,112.583302,-365.46272,-50.229473,-155.884573,138.564065,-320.429399,1
393.175533,-1.732051,6.928203,140.296115,-448.601159,181.865335,-195.721741,142.028166,-297.912739,9
336.017857,245.951215,169.740979,140.296115,-318.697349,-155.884573,-84.87049,145.492268,-221.702503,4
292.716586,346.410162,311.769145,296.180688,-564.648563,105.655099,-27.712813,95.262794,83.138439,5
452.065261,43.30127,88.334591,128.17176,-403.567838,-1.732051,-173.205081,166.276878,-263.271723,7
408.763991,174.937132,148.956369,202.649944,-562.916512,0,-79.674337,173.205081,-168.008928,7
552.524208,273.664028,81.406388,265.003774,-561.184462,155.884573,-147.224319,173.205081,-121.243557,7
178.401233,228.630707,244.219164,270.199926,-443.405007,-79.674337,-39.837169,105.655099,-8.660254,0
386.24733,-8.660254,-15.588457,138.564065,-457.261413,200.917894,-183.597386,157.616623,-258.07557,3
306.572993,169.740979,183.597386,136.832014,-375.855025,58.889727,-90.066642,133.367912,-219.970453,6
325.625552,-45.033321,-1.732051,114.315353,-270.199926,107.38715,-166.276878,116.047404,-228.630707,9
287.520434,124.707658,135.099963,135.099963,-387.979381,159.348674,-102.190998,136.832014,-169.740979,6
403.567838,20.78461,147.224319,150.68842,-438.208854,71.014083,-195.721741,124.707658,-311.769145,9
90.066642,86.60254,239.023011,285.788383,-325.625552,-145.492268,-95.262794,53.693575,-48.497423,0
495.366531,162.812776,122.975607,185.329436,-322.16145,22.51666,-239.023011,173.205081,-372.390924,9
450.33321,311.769145,169.740979,193.98969,-498.830633,20.78461,-74.478185,173.205081,-110.851252,7
524.811395,90.066642,86.60254,185.329436,-415.692194,31.176915,-225.166605,138.564065,-370.658873,1
233.826859,284.056332,271.931977,239.023011,-450.33321,-112.583302,-25.980762,116.047404,-38.105118,0
393.175533,69.282032,-57.157677,152.420471,-413.960143,275.396078,-211.310199,173.205081,-282.324282,5
235.55891,259.807621,221.702503,242.487113,-441.672956,-45.033321,-41.569219,116.047404,-46.765372,0
389.711432,64.08588,-15.588457,152.420471,-387.979381,240.755062,-211.310199,169.740979,-284.056332,5
536.93575,112.583302,-96.994845,145.492268,-389.711432,323.893501,-188.793538,122.975607,-176.669182,1
372.390924,17.320508,-8.660254,131.635861,-360.266568,159.348674,-197.453792,173.205081,-296.180688,9
365.46272,206.114046,142.028166,148.956369,-315.233247,-34.641016,-128.17176,142.028166,-254.611469,4
315.233247,86.60254,122.975607,187.061487,-306.572993,-83.138439,-176.669182,133.367912,-252.879418,4
287.520434,128.17176,95.262794,110.851252,-370.658873,24.248711,-157.616623,128.17176,-232.094808,4
322.16145,311.769145,384.515279,370.658873,-491.902429,-22.51666,-133.367912,86.60254,-45.033321,5
580.237021,245.951215,10.392305,171.47303,-510.954988,263.271723,-206.114046,173.205081,-277.128129,2
365.46272,102.190998,128.17176,166.276878,-453.797312,228.630707,-142.028166,166.276878,-181.865335,6
233.826859,180.133284,242.487113,219.970453,-561.184462,38.105118,0,154.152522,6.928203,8
491.902429,152.420471,29.444864,65.817931,-368.926822,107.38715,-110.851252,154.152522,-204.381995,2
460.725515,57.157677,76.210236,133.367912,-389.711432,17.320508,-178.401233,136.832014,-277.128129,1
443.405007,20.78461,98.726896,145.492268,-299.64479,-51.961524,-193.98969,110.851252,-320.429399,1
407.03194,71.014083,-39.837169,178.401233,-481.510125,213.042249,-225.166605,173.205081,-315.233247,3
226.898656,147.224319,377.587076,374.122974,-580.237021,143.760217,-162.812776,114.315353,-131.635861,8
287.520434,65.817931,27.712813,152.420471,-367.194771,119.511506,-199.185843,126.439709,-252.879418,4
510.954988,251.147367,43.30127,173.205081,-557.72036,174.937132,-95.262794,173.205081,-90.066642,7
405.299889,74.478185,-13.856406,207.846097,-450.33321,313.501196,-232.094808,147.224319,-245.951215,1
346.410162,330.821704,400.103737,379.319127,-536.93575,51.961524,-133.367912,109.119201,-60.621778,5
452.065261,79.674337,67.549981,150.68842,-512.687039,138.564065,-187.061487,173.205081,-249.415316,7
330.821704,299.64479,346.410162,346.410162,-521.347293,58.889727,-100.458947,107.38715,6.928203,5
254.611469,207.846097,439.940905,304.840942,-540.399852,36.373067,-72.746134,173.205081,-77.942286,8
313.501196,311.769145,382.783228,334.285806,-476.313972,5.196152,-90.066642,103.923048,-5.196152,5
401.835787,252.879418,181.865335,143.760217,-299.64479,-138.564065,-114.315353,126.439709,-270.199926,4
268.467875,136.832014,69.282032,116.047404,-363.73067,65.817931,-69.282032,162.812776,-131.635861,6
533.471649,221.702503,20.78461,107.38715,-483.242175,166.276878,-145.492268,173.205081,-218.238402,2
413.960143,36.373067,-45.033321,162.812776,-484.974226,245.951215,-204.381995,173.205081,-289.252485,3
457.261413,297.912739,185.329436,154.152522,-349.874263,-20.78461,-122.975607,131.635861,-296.180688,4
410.496041,216.506351,155.884573,142.028166,-337.749907,-117.779455,-121.243557,155.884573,-239.023011,4
545.596004,225.166605,50.229473,299.64479,-467.653718,239.023011,-133.367912,173.205081,-43.30127,8
311.769145,128.17176,136.832014,225.166605,-460.725515,124.707658,-114.315353,152.420471,-148.956369,6
464.189616,256.34352,142.028166,133.367912,-393.175533,96.994845,-90.066642,173.205081,-187.061487,2
323.893501,332.553755,336.017857,304.840942,-530.007547,65.817931,-39.837169,124.707658,64.08588,5
303.108891,332.553755,403.567838,358.534517,-524.811395,20.78461,-93.530744,91.798693,-6.928203,5
263.271723,138.564065,96.994845,154.152522,-389.711432,131.635861,-90.066642,138.564065,-148.956369,6
462.457566,292.716586,155.884573,209.578148,-523.079344,24.248711,-69.282032,173.205081,-83.138439,7
448.601159,256.34352,140.296115,161.080725,-472.84987,29.444864,-43.30127,173.205081,-62.353829,7
400.103737,-31.176915,67.549981,140.296115,-311.769145,3.464102,-181.865335,116.047404,-263.271723,1
481.510125,181.865335,-6.928203,148.956369,-576.772919,245.951215,-136.832014,168.008928,-109.119201,7
282.324282,-12.124356,13.856406,93.530744,-303.108891,112.583302,-105.655099,105.655099,-188.793538,1
415.692194,62.353829,-90.066642,169.740979,-490.170379,237.290961,-200.917894,173.205081,-252.879418,3
280.592231,216.506351,424.352448,348.142212,-510.954988,-53.693575,-117.779455,114.315353,-117.779455,8
374.122974,-10.392305,65.817931,143.760217,-235.55891,38.105118,-197.453792,109.119201,-308.305044,9
71.014083,131.635861,213.042249,271.931977,-358.534517,-114.315353,-57.157677,71.014083,1.732051,0
410.496041,46.765372,-64.08588,190.525589,-512.687039,318.697349,-228.630707,173.205081,-277.128129,3
197.453792,244.219164,284.056332,282.324282,-434.744753,-117.779455,-50.229473,100.458947,-39.837169,0
488.438328,270.199926,143.760217,183.597386,-526.543446,53.693575,-77.942286,173.205081,-105.655099,7
580.237021,219.970453,15.588457,275.396078,-455.529362,268.467875,-178.401233,173.205081,-145.492268,8
436.476804,232.094808,161.080725,84.87049,-381.051178,43.30127,-51.961524,173.205081,-143.760217,2
413.960143,6.928203,76.210236,218.238402,-453.797312,211.310199,-251.147367,114.315353,-363.73067,9
265.003774,190.525589,211.310199,252.879418,-344.678111,-77.942286,-150.68842,155.884573,-261.539672,0
320.429399,20.78461,207.846097,330.821704,-237.290961,-57.157677,-221.702503,22.51666,-206.114046,9
599.289579,100.458947,311.769145,284.056332,-341.214009,-0,-277.128129,135.099963,-441.672956,9
336.017857,-38.105118,39.837169,88.334591,-266.735824,-20.78461,-135.099963,105.655099,-213.042249,1
360.266568,195.721741,102.190998,185.329436,-294.448637,-69.282032,-152.420471,121.243557,-261.539672,4
334.285806,126.439709,159.348674,239.023011,-472.84987,157.616623,-122.975607,164.544827,-133.367912,6
339.481958,55.425626,58.889727,119.511506,-460.725515,117.779455,-147.224319,173.205081,-249.415316,3
504.026785,192.25764,-3.464102,51.961524,-424.352448,135.099963,-96.994845,173.205081,-192.25764,2
303.108891,122.975607,90.066642,155.884573,-407.03194,207.846097,-117.779455,135.099963,-154.152522,6
166.276878,206.114046,213.042249,233.826859,-386.24733,-168.008928,-62.353829,129.903811,-41.569219,0
415.692194,72.746134,65.817931,168.008928,-533.471649,282.324282,-131.635861,155.884573,-117.779455,8
178.401233,185.329436,268.467875,290.984536,-422.620397,-55.425626,-88.334591,128.17176,-62.353829,0
292.716586,225.166605,266.735824,233.826859,-564.648563,116.047404,0,164.544827,32.908965,8
370.658873,-25.980762,25.980762,148.956369,-275.396078,51.961524,-206.114046,133.367912,-271.931977,9
375.855025,48.497423,-76.210236,161.080725,-478.046023,251.147367,-199.185843,173.205081,-249.415316,3
216.506351,129.903811,381.051178,391.443483,-509.222937,-51.961524,-192.25764,77.942286,-199.185843,8
370.658873,72.746134,86.60254,180.133284,-465.921667,284.056332,-147.224319,173.205081,-138.564065,6
233.826859,161.080725,22.51666,188.793538,-410.496041,119.511506,-96.994845,124.707658,-136.832014,6
533.471649,214.7743,36.373067,126.439709,-491.902429,242.487113,-143.760217,173.205081,-200.917894,2
95.262794,152.420471,219.970453,290.984536,-405.299889,-107.38715,-60.621778,86.60254,1.732051,0
606.217783,91.798693,327.357603,263.271723,-327.357603,25.980762,-266.735824,129.903811,-439.940905,9
507.490887,88.334591,93.530744,157.616623,-467.653718,51.961524,-200.917894,162.812776,-303.108891,7
154.152522,161.080725,228.630707,256.34352,-341.214009,-143.760217,-67.549981,110.851252,-45.033321,0
154.152522,143.760217,384.515279,297.912739,-530.007547,64.08588,-117.779455,105.655099,-117.779455,8
400.103737,266.735824,93.530744,207.846097,-512.687039,166.276878,0,173.205081,105.655099,8
