@relation vehicle-weka.filters.unsupervised.attribute.RandomProjection-N3-R42-DSparse1

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute Class {opel,saab,bus,van}

@data
876.417709,254.611469,261.539672,saab
779.422863,254.611469,280.592231,van
803.671575,181.865335,275.396078,van
935.307436,290.984536,285.788383,saab
741.317746,292.716586,296.180688,bus
710.140831,287.520434,270.199926,bus
898.934369,287.520434,280.592231,saab
800.207473,232.094808,266.735824,van
711.872882,223.434554,268.467875,van
777.690813,310.037095,240.755062,bus
902.398471,342.94606,254.611469,saab
845.240794,226.898656,322.16145,van
852.168997,263.271723,277.128129,van
855.633099,387.979381,337.749907,bus
855.633099,297.912739,226.898656,bus
775.958762,306.572993,261.539672,bus
741.317746,273.664028,265.003774,opel
978.608706,348.142212,325.625552,saab
866.025404,216.506351,216.506351,bus
890.274115,247.683265,249.415316,opel
798.475422,265.003774,263.271723,bus
748.245949,315.233247,285.788383,bus
1004.589468,363.73067,313.501196,saab
755.174152,289.252485,327.357603,van
907.594623,315.233247,265.003774,saab
801.939524,242.487113,265.003774,bus
788.083117,265.003774,277.128129,van
942.235639,329.089653,242.487113,opel
753.442101,239.023011,254.611469,saab
763.834406,200.917894,284.056332,van
975.144605,232.094808,240.755062,van
817.527981,263.271723,252.879418,bus
775.958762,195.721741,301.376841,van
852.168997,417.424245,308.305044,bus
826.188235,228.630707,223.434554,bus
907.594623,374.122974,265.003774,bus
769.030559,233.826859,259.807621,saab
921.45103,270.199926,285.788383,saab
845.240794,233.826859,265.003774,bus
897.202318,360.266568,320.429399,saab
859.097201,289.252485,254.611469,opel
876.417709,209.578148,233.826859,bus
820.992083,192.25764,277.128129,van
741.317746,310.037095,271.931977,bus
803.671575,294.448637,252.879418,bus
928.379233,329.089653,304.840942,saab
892.006166,308.305044,285.788383,opel
937.039487,320.429399,278.86018,opel
966.484351,273.664028,316.965298,opel
885.077963,363.73067,299.64479,saab
784.619016,308.305044,316.965298,van
800.207473,251.147367,268.467875,bus
975.144605,375.855025,297.912739,opel
717.069034,287.520434,287.520434,bus
732.657492,258.07557,297.912739,van
769.030559,252.879418,292.716586,van
959.556147,256.34352,304.840942,saab
703.212628,245.951215,259.807621,van
885.077963,351.606314,284.056332,bus
930.111284,332.553755,292.716586,saab
904.130522,441.672956,336.017857,bus
734.389542,282.324282,268.467875,bus
926.647182,382.783228,258.07557,saab
871.221556,237.290961,275.396078,saab
715.336984,308.305044,278.86018,bus
959.556147,294.448637,292.716586,opel
798.475422,280.592231,290.984536,opel
867.757455,232.094808,280.592231,van
843.508743,225.166605,256.34352,saab
874.685658,282.324282,263.271723,van
905.862572,339.481958,289.252485,opel
964.7523,389.711432,329.089653,opel
722.265187,285.788383,273.664028,bus
879.88181,384.515279,313.501196,bus
919.718979,349.874263,313.501196,saab
763.834406,287.520434,299.64479,van
878.149759,370.658873,306.572993,bus
886.810013,278.86018,292.716586,van
810.599778,251.147367,251.147367,bus
810.599778,239.023011,252.879418,bus
788.083117,270.199926,277.128129,opel
723.997238,237.290961,242.487113,saab
905.862572,334.285806,301.376841,opel
949.163843,351.606314,320.429399,opel
888.542064,426.084499,303.108891,bus
1011.517672,360.266568,308.305044,saab
864.293353,296.180688,278.86018,opel
860.829251,270.199926,271.931977,van
840.044642,251.147367,265.003774,opel
931.843334,278.86018,301.376841,opel
749.978,263.271723,235.55891,saab
819.260032,329.089653,287.520434,van
774.226711,327.357603,252.879418,bus
904.130522,325.625552,261.539672,saab
872.953607,273.664028,256.34352,opel
862.561302,297.912739,240.755062,bus
931.843334,351.606314,318.697349,saab
831.384388,287.520434,254.611469,opel
930.111284,289.252485,268.467875,opel
902.398471,349.874263,344.678111,saab
923.18308,320.429399,318.697349,saab
850.436947,308.305044,270.199926,saab
822.724134,304.840942,282.324282,van
819.260032,285.788383,282.324282,opel
940.503589,387.979381,278.86018,saab
801.939524,304.840942,280.592231,van
751.71005,235.55891,273.664028,saab
779.422863,301.376841,249.415316,bus
820.992083,327.357603,290.984536,opel
841.776692,247.683265,226.898656,bus
869.489505,313.501196,242.487113,bus
843.508743,299.64479,278.86018,van
907.594623,304.840942,263.271723,bus
720.533136,232.094808,270.199926,van
866.025404,368.926822,299.64479,bus
930.111284,332.553755,313.501196,saab
746.513898,218.238402,270.199926,saab
703.212628,209.578148,259.807621,saab
914.522826,355.070416,316.965298,opel
710.140831,235.55891,254.611469,opel
937.039487,446.869108,277.128129,bus
760.370305,316.965298,284.056332,bus
966.484351,341.214009,289.252485,opel
795.011321,287.520434,297.912739,opel
824.456184,334.285806,271.931977,van
893.738217,273.664028,261.539672,saab
803.671575,303.108891,280.592231,van
1144.885584,239.023011,152.420471,van
928.379233,336.017857,330.821704,opel
703.212628,282.324282,296.180688,bus
819.260032,181.865335,258.07557,van
871.221556,230.362757,296.180688,van
827.920286,318.697349,247.683265,bus
860.829251,372.390924,261.539672,saab
820.992083,221.702503,228.630707,opel
869.489505,443.405007,303.108891,bus
814.06388,258.07557,228.630707,bus
862.561302,213.042249,249.415316,bus
803.671575,258.07557,251.147367,van
983.804859,329.089653,304.840942,saab
829.652337,221.702503,261.539672,opel
859.097201,336.017857,304.840942,opel
866.025404,200.917894,270.199926,van
931.843334,263.271723,301.376841,opel
845.240794,249.415316,263.271723,bus
736.121593,219.970453,275.396078,opel
770.762609,247.683265,261.539672,saab
805.403626,292.716586,256.34352,bus
852.168997,223.434554,280.592231,saab
872.953607,285.788383,259.807621,saab
696.284425,226.898656,266.735824,opel
753.442101,292.716586,285.788383,bus
838.312591,213.042249,280.592231,opel
781.154914,280.592231,318.697349,van
895.470268,303.108891,341.214009,opel
826.188235,289.252485,268.467875,bus
867.757455,209.578148,235.55891,bus
819.260032,284.056332,256.34352,bus
815.79593,206.114046,268.467875,saab
717.069034,249.415316,273.664028,van
902.398471,315.233247,263.271723,opel
819.260032,190.525589,230.362757,saab
734.389542,310.037095,275.396078,bus
917.986928,249.415316,265.003774,opel
791.547219,209.578148,299.64479,opel
916.254877,351.606314,316.965298,opel
872.953607,240.755062,285.788383,opel
933.575385,303.108891,310.037095,saab
810.599778,226.898656,254.611469,van
923.18308,342.94606,296.180688,saab
943.96769,313.501196,242.487113,bus
796.743371,245.951215,296.180688,saab
755.174152,285.788383,289.252485,bus
867.757455,365.46272,318.697349,saab
800.207473,199.185843,265.003774,van
760.370305,256.34352,301.376841,van
760.370305,273.664028,249.415316,opel
895.470268,334.285806,270.199926,opel
935.307436,266.735824,320.429399,saab
897.202318,361.998619,289.252485,saab
770.762609,301.376841,285.788383,van
762.102355,193.98969,278.86018,van
923.18308,316.965298,282.324282,opel
966.484351,412.228092,289.252485,bus
777.690813,290.984536,287.520434,van
935.307436,336.017857,297.912739,saab
950.895893,368.926822,277.128129,opel
890.274115,360.266568,285.788383,bus
859.097201,256.34352,247.683265,van
869.489505,320.429399,244.219164,bus
845.240794,213.042249,244.219164,opel
860.829251,213.042249,282.324282,opel
827.920286,285.788383,251.147367,bus
937.039487,334.285806,266.735824,saab
751.71005,284.056332,280.592231,bus
744.781847,287.520434,303.108891,van
833.116438,296.180688,247.683265,van
957.824097,413.960143,277.128129,opel
902.398471,223.434554,258.07557,saab
822.724134,261.539672,268.467875,van
959.556147,332.553755,297.912739,opel
876.417709,301.376841,254.611469,opel
734.389542,275.396078,254.611469,opel
904.130522,332.553755,268.467875,bus
793.27927,287.520434,259.807621,bus
770.762609,277.128129,271.931977,bus
881.613861,367.194771,337.749907,opel
935.307436,330.821704,297.912739,saab
822.724134,245.951215,259.807621,van
786.351067,277.128129,273.664028,van
983.804859,370.658873,316.965298,opel
841.776692,349.874263,297.912739,bus
937.039487,348.142212,301.376841,opel
779.422863,251.147367,256.34352,opel
938.771538,370.658873,311.769145,saab
874.685658,330.821704,320.429399,opel
798.475422,285.788383,292.716586,van
928.379233,306.572993,249.415316,bus
713.604933,285.788383,271.931977,bus
897.202318,365.46272,282.324282,saab
904.130522,320.429399,310.037095,opel
871.221556,320.429399,278.86018,opel
796.743371,225.166605,254.611469,van
779.422863,303.108891,284.056332,van
788.083117,332.553755,261.539672,bus
956.092046,356.802466,297.912739,opel
869.489505,313.501196,268.467875,saab
805.403626,228.630707,280.592231,opel
917.986928,301.376841,313.501196,opel
917.986928,351.606314,339.481958,saab
878.149759,277.128129,282.324282,saab
736.121593,280.592231,275.396078,bus
860.829251,368.926822,325.625552,opel
846.972845,412.228092,297.912739,bus
848.704896,320.429399,242.487113,bus
942.235639,351.606314,322.16145,opel
775.958762,261.539672,282.324282,van
710.140831,230.362757,275.396078,van
836.58054,368.926822,358.534517,opel
900.66642,332.553755,315.233247,opel
871.221556,358.534517,311.769145,opel
751.71005,226.898656,289.252485,opel
769.030559,245.951215,277.128129,saab
909.326674,318.697349,259.807621,opel
943.96769,351.606314,290.984536,saab
926.647182,316.965298,337.749907,saab
827.920286,223.434554,280.592231,opel
846.972845,277.128129,306.572993,van
893.738217,368.926822,344.678111,opel
739.585695,285.788383,282.324282,bus
808.867727,230.362757,247.683265,opel
888.542064,327.357603,349.874263,opel
841.776692,200.917894,304.840942,saab
791.547219,209.578148,256.34352,van
711.872882,242.487113,275.396078,opel
900.66642,263.271723,270.199926,opel
987.26896,367.194771,316.965298,saab
770.762609,265.003774,271.931977,saab
836.58054,200.917894,254.611469,van
859.097201,254.611469,261.539672,saab
775.958762,226.898656,254.611469,van
819.260032,207.846097,297.912739,saab
949.163843,204.381995,216.506351,van
928.379233,322.16145,315.233247,opel
826.188235,294.448637,278.86018,saab
930.111284,287.520434,252.879418,saab
909.326674,303.108891,303.108891,opel
892.006166,308.305044,275.396078,bus
715.336984,284.056332,284.056332,bus
885.077963,329.089653,289.252485,saab
833.116438,401.835787,360.266568,bus
933.575385,271.931977,296.180688,saab
779.422863,249.415316,265.003774,van
722.265187,249.415316,290.984536,van
892.006166,249.415316,266.735824,van
923.18308,348.142212,322.16145,saab
810.599778,235.55891,280.592231,van
937.039487,284.056332,270.199926,opel
878.149759,408.763991,304.840942,bus
874.685658,304.840942,233.826859,bus
784.619016,185.329436,261.539672,van
879.88181,207.846097,261.539672,saab
859.097201,218.238402,249.415316,saab
827.920286,258.07557,244.219164,bus
784.619016,263.271723,308.305044,van
729.19339,244.219164,311.769145,van
814.06388,285.788383,266.735824,bus
860.829251,237.290961,219.970453,bus
876.417709,356.802466,285.788383,saab
739.585695,256.34352,258.07557,van
753.442101,233.826859,294.448637,opel
879.88181,252.879418,249.415316,saab
722.265187,308.305044,277.128129,bus
950.895893,301.376841,301.376841,saab
893.738217,346.410162,266.735824,opel
989.001011,384.515279,275.396078,bus
770.762609,254.611469,268.467875,saab
713.604933,290.984536,282.324282,bus
956.092046,356.802466,277.128129,saab
862.561302,358.534517,310.037095,opel
885.077963,247.683265,252.879418,opel
892.006166,320.429399,316.965298,saab
808.867727,277.128129,303.108891,opel
862.561302,193.98969,239.023011,bus
893.738217,304.840942,301.376841,saab
943.96769,396.639635,265.003774,saab
833.116438,254.611469,244.219164,saab
729.19339,296.180688,280.592231,bus
814.06388,180.133284,237.290961,van
950.895893,327.357603,339.481958,saab
827.920286,311.769145,271.931977,saab
867.757455,284.056332,265.003774,van
756.906203,282.324282,310.037095,van
954.359995,355.070416,301.376841,opel
940.503589,348.142212,310.037095,saab
930.111284,348.142212,289.252485,saab
905.862572,401.835787,289.252485,opel
866.025404,270.199926,280.592231,opel
774.226711,230.362757,258.07557,opel
720.533136,270.199926,277.128129,bus
782.886965,206.114046,237.290961,van
900.66642,351.606314,320.429399,saab
917.986928,365.46272,289.252485,saab
898.934369,344.678111,270.199926,bus
774.226711,202.649944,285.788383,van
867.757455,356.802466,363.73067,opel
784.619016,206.114046,271.931977,opel
803.671575,233.826859,242.487113,opel
969.948452,360.266568,299.64479,opel
725.729288,290.984536,292.716586,bus
751.71005,218.238402,277.128129,opel
760.370305,287.520434,265.003774,bus
826.188235,287.520434,280.592231,saab
720.533136,259.807621,277.128129,van
874.685658,353.338365,268.467875,opel
841.776692,258.07557,247.683265,opel
786.351067,266.735824,280.592231,van
817.527981,271.931977,256.34352,bus
810.599778,261.539672,265.003774,saab
914.522826,299.64479,254.611469,bus
857.36515,204.381995,254.611469,van
987.26896,337.749907,289.252485,opel
890.274115,230.362757,265.003774,saab
846.972845,247.683265,284.056332,opel
950.895893,329.089653,296.180688,saab
805.403626,197.453792,292.716586,van
786.351067,240.755062,275.396078,van
765.566457,197.453792,297.912739,opel
696.284425,285.788383,292.716586,bus
902.398471,360.266568,332.553755,opel
782.886965,303.108891,318.697349,van
682.428018,204.381995,251.147367,opel
869.489505,223.434554,226.898656,bus
680.695967,213.042249,296.180688,saab
834.848489,199.185843,277.128129,opel
829.652337,247.683265,289.252485,opel
699.748526,244.219164,278.86018,van
772.49466,218.238402,290.984536,van
833.116438,360.266568,308.305044,opel
973.412554,353.338365,275.396078,saab
789.815168,330.821704,275.396078,van
886.810013,263.271723,290.984536,saab
966.484351,325.625552,342.94606,saab
782.886965,228.630707,297.912739,saab
907.594623,332.553755,311.769145,saab
826.188235,285.788383,249.415316,bus
820.992083,285.788383,242.487113,bus
919.718979,330.821704,270.199926,bus
812.331829,268.467875,266.735824,van
769.030559,278.86018,258.07557,saab
883.345912,296.180688,299.64479,opel
772.49466,310.037095,252.879418,bus
935.307436,304.840942,290.984536,opel
717.069034,245.951215,251.147367,opel
755.174152,259.807621,284.056332,van
834.848489,280.592231,273.664028,saab
729.19339,296.180688,296.180688,bus
886.810013,310.037095,256.34352,bus
985.53691,344.678111,278.86018,opel
902.398471,407.03194,270.199926,opel
846.972845,287.520434,245.951215,bus
930.111284,277.128129,289.252485,saab
898.934369,271.931977,226.898656,bus
864.293353,299.64479,273.664028,van
817.527981,266.735824,249.415316,opel
872.953607,219.970453,233.826859,bus
767.298508,239.023011,289.252485,saab
876.417709,358.534517,313.501196,saab
826.188235,252.879418,263.271723,saab
937.039487,365.46272,301.376841,saab
751.71005,273.664028,290.984536,saab
874.685658,188.793538,273.664028,opel
912.790776,218.238402,239.023011,opel
921.45103,275.396078,297.912739,saab
687.624171,233.826859,245.951215,van
801.939524,259.807621,280.592231,bus
817.527981,280.592231,308.305044,van
843.508743,199.185843,282.324282,van
943.96769,355.070416,266.735824,saab
793.27927,176.669182,252.879418,van
928.379233,261.539672,261.539672,saab
782.886965,297.912739,251.147367,saab
841.776692,315.233247,275.396078,saab
836.58054,275.396078,266.735824,van
834.848489,303.108891,273.664028,van
921.45103,223.434554,258.07557,opel
959.556147,346.410162,294.448637,saab
890.274115,311.769145,292.716586,van
734.389542,310.037095,263.271723,bus
919.718979,391.443483,268.467875,opel
898.934369,223.434554,290.984536,opel
872.953607,336.017857,249.415316,bus
810.599778,200.917894,237.290961,opel
864.293353,235.55891,230.362757,saab
963.020249,339.481958,311.769145,opel
796.743371,287.520434,271.931977,bus
900.66642,315.233247,282.324282,bus
737.853644,310.037095,271.931977,bus
866.025404,252.879418,235.55891,bus
817.527981,278.86018,268.467875,van
900.66642,285.788383,254.611469,bus
753.442101,303.108891,297.912739,van
916.254877,455.529362,304.840942,bus
864.293353,226.898656,252.879418,bus
730.925441,265.003774,280.592231,bus
796.743371,237.290961,251.147367,opel
964.7523,439.940905,327.357603,bus
717.069034,214.7743,265.003774,saab
954.359995,316.965298,282.324282,saab
886.810013,214.7743,251.147367,saab
836.58054,316.965298,256.34352,bus
937.039487,330.821704,292.716586,saab
749.978,277.128129,320.429399,van
911.058725,247.683265,254.611469,saab
744.781847,266.735824,308.305044,van
812.331829,223.434554,230.362757,saab
864.293353,209.578148,218.238402,bus
786.351067,261.539672,249.415316,bus
843.508743,336.017857,261.539672,opel
900.66642,311.769145,323.893501,opel
917.986928,355.070416,284.056332,saab
881.613861,325.625552,265.003774,opel
879.88181,261.539672,275.396078,van
871.221556,355.070416,292.716586,opel
933.575385,363.73067,308.305044,saab
973.412554,202.649944,199.185843,van
782.886965,190.525589,282.324282,van
788.083117,304.840942,301.376841,van
907.594623,242.487113,282.324282,opel
909.326674,389.711432,297.912739,bus
921.45103,398.371686,287.520434,saab
914.522826,304.840942,258.07557,saab
952.627944,323.893501,315.233247,saab
872.953607,294.448637,233.826859,bus
968.216401,341.214009,311.769145,opel
878.149759,239.023011,251.147367,saab
897.202318,322.16145,245.951215,bus
883.345912,360.266568,339.481958,opel
917.986928,363.73067,294.448637,saab
826.188235,237.290961,278.86018,opel
980.340757,374.122974,303.108891,saab
859.097201,287.520434,282.324282,van
914.522826,263.271723,266.735824,opel
827.920286,263.271723,282.324282,van
789.815168,200.917894,278.86018,van
942.235639,290.984536,292.716586,saab
876.417709,275.396078,245.951215,bus
762.102355,200.917894,296.180688,opel
952.627944,323.893501,263.271723,opel
921.45103,334.285806,358.534517,opel
843.508743,420.888346,320.429399,bus
827.920286,290.984536,247.683265,van
853.901048,441.672956,332.553755,bus
689.356221,261.539672,284.056332,van
803.671575,239.023011,256.34352,opel
942.235639,320.429399,292.716586,saab
831.384388,348.142212,334.285806,bus
916.254877,358.534517,266.735824,bus
846.972845,258.07557,270.199926,van
924.915131,346.410162,284.056332,saab
834.848489,230.362757,265.003774,bus
801.939524,261.539672,259.807621,opel
914.522826,285.788383,256.34352,saab
888.542064,297.912739,271.931977,van
755.174152,297.912739,259.807621,bus
788.083117,268.467875,271.931977,van
732.657492,292.716586,299.64479,bus
853.901048,294.448637,256.34352,van
917.986928,384.515279,252.879418,saab
831.384388,265.003774,292.716586,saab
722.265187,211.310199,254.611469,van
897.202318,206.114046,230.362757,bus
824.456184,195.721741,273.664028,saab
801.939524,251.147367,280.592231,van
756.906203,247.683265,275.396078,van
904.130522,393.175533,265.003774,saab
793.27927,273.664028,296.180688,saab
748.245949,297.912739,290.984536,bus
784.619016,306.572993,316.965298,van
919.718979,258.07557,282.324282,opel
961.288198,297.912739,277.128129,saab
796.743371,268.467875,259.807621,van
937.039487,327.357603,284.056332,opel
888.542064,368.926822,334.285806,saab
727.461339,290.984536,290.984536,bus
881.613861,230.362757,259.807621,saab
827.920286,235.55891,249.415316,bus
909.326674,329.089653,252.879418,opel
840.044642,223.434554,284.056332,saab
722.265187,315.233247,299.64479,bus
943.96769,261.539672,266.735824,opel
904.130522,400.103737,270.199926,opel
770.762609,258.07557,270.199926,bus
800.207473,206.114046,259.807621,van
864.293353,226.898656,214.7743,bus
