@relation 'vehicle_autoencoded-weka.filters.unsupervised.attribute.MLPAutoencoder-N9-L0.01-O1.0E-6-P1-E1-weights-fileC:\\Program Files\\Weka-3-8-S1-seed1'

@attribute hidden_unit_0output numeric
@attribute hidden_unit_1output numeric
@attribute hidden_unit_2output numeric
@attribute hidden_unit_3output numeric
@attribute hidden_unit_4output numeric
@attribute hidden_unit_5output numeric
@attribute hidden_unit_6output numeric
@attribute hidden_unit_7output numeric
@attribute hidden_unit_8output numeric
@attribute Class {opel,saab,bus,van}

@data
0.241064,1,0,1,1,0.999998,1,0.000015,0,van
1,0.917402,0.410094,0.013129,0.124629,0.04334,0.667349,0.981852,0.002029,saab
0.499986,0.994318,0.406828,0.99899,0.957247,0.077452,0.579286,0.069084,0.999984,bus
0.999998,0.941966,0.008757,0.23033,0.406307,0.374121,0.609882,0.509713,0.17856,opel
0.000387,0.220365,0.997313,0.999995,0.998435,0.292692,0.000674,0.831441,1,van
0.998736,0.768186,0.981468,0.984861,0.970324,0.026543,0.811558,0.888388,0.96783,van
0.805254,0.113723,0.03787,0.999489,0.107256,0.139663,0.764437,0.865233,0.999944,saab
1,0.050838,0.073034,0.00295,0.043508,0.007903,0.992209,0.00132,0.000194,saab
0.994257,0.93892,0.903861,0.99765,0.968617,0.03993,0.813433,0.926891,0.968619,van
0.178588,0.455357,0.980235,0.999912,0.586174,0.045655,0.809318,0.977572,0.999996,van
0.524157,0.934445,0.986971,0.99969,0.995414,0.286025,0.000995,0.816403,0.999909,bus
0.989167,0.932732,0.955305,0.998294,0.966296,0.444259,0.876212,0.522425,0.982002,van
0.990865,0.346949,0.613134,0.998349,0.001498,0.128902,0.997474,0.972276,0.999525,saab
0.033221,0.75186,0.963902,0.99986,0.988273,0.029527,0.006294,0.986998,1,saab
0.369482,0.133618,0.188266,0.999756,0.230604,0.949618,0.438453,0.871717,0.99999,saab
1,0.998606,0.015267,0.019771,0.070041,0.182221,0.973434,0.559603,0.006434,opel
0.631154,0.057662,0.441373,0.999886,0.000413,0.131607,0.992449,0.305442,0.999969,bus
1,0.984608,0.259126,0.000004,0.31869,0.820563,0.000328,0.959181,0.000048,bus
0.014291,0.002225,0.708283,0.999998,0.007016,0.017737,0.994737,0.510629,0.999999,van
0.999781,0.229492,0.02996,0.878012,0.073673,0.161308,0.936691,0.86593,0.986089,saab
0.993006,0.751066,0.986014,0.992434,0.984537,0.101389,0.709932,0.907513,0.99607,van
1,0.936315,0.00714,0.052894,0.028462,0.025692,0.996663,0.886505,0.01334,opel
0.022725,0.172932,0.993606,0.999611,0.985392,0.048244,0.022236,0.835906,1,van
0.999997,0.341872,0.052577,0.517831,0.002293,0.038842,0.996691,0.653587,0.472387,opel
0.00558,0.19648,0.990428,0.999958,0.980782,0.852347,0.008012,0.169949,1,opel
0.284835,0.06036,0.99147,0.999798,0.99372,0.095358,0.007284,0.755016,0.999969,van
0.23211,0.97922,0.452984,0.99985,0.982882,0.083748,0.237664,0.556761,0.999978,bus
0.999125,0.956662,0.009267,0.984585,0.024817,0.106312,0.89016,0.839131,0.982328,bus
0.701621,0.045178,0.958835,0.998187,0.979053,0.032711,0.030647,0.024493,0.999978,opel
0.592514,0.93757,0.98984,0.999619,0.996679,0.683201,0.009581,0.799584,0.999898,bus
1,0.988968,0.043033,0.013007,0.234296,0.623885,0.931526,0.313765,0.000299,opel
0.468016,0.884337,0.64693,0.999943,0.357171,0.473124,0.990563,0.830238,0.999939,van
0.999936,0.98754,0.010039,0.922802,0.016752,0.213448,0.913642,0.165745,0.614463,bus
1,0.982792,0.786065,0.015749,0.530763,0.027458,0.469342,0.950146,0.004629,opel
1,0.962799,0.239697,0.000683,0.169196,0.969367,0.985233,0.092811,0.00031,opel
0.995577,0.07595,0.070954,0.987452,0.028052,0.92746,0.771847,0.956515,0.999434,opel
0.000394,0.929615,0.994989,0.999991,0.998992,0.547822,0.003055,0.984683,1,opel
0.951258,0.05177,0.947906,0.999511,0.796404,0.912053,0.840734,0.374273,0.998738,van
0.999999,0.850515,0.142456,0.098676,0.064727,0.047495,0.979799,0.574924,0.305574,opel
0.972977,0.480313,0.06147,0.997401,0.354667,0.259782,0.299722,0.985267,0.999593,saab
0.116792,0.979133,0.619701,0.999905,0.992895,0.060485,0.020318,0.853209,0.999986,saab
1,0.918836,0.047735,0.017991,0.026041,0.025401,0.257228,0.041984,0.067894,bus
0.875212,0.952255,0.994563,0.998915,0.998029,0.018033,0.001799,0.84441,0.999412,bus
0.780642,0.988654,0.605817,0.997594,0.784597,0.024175,0.632632,0.6798,0.999976,bus
1,0.984226,0.045767,0.043024,0.040237,0.195199,0.093057,0.481616,0.121244,bus
0.006868,0.021186,0.842869,0.999993,0.168886,0.007004,0.781034,0.991357,1,van
0.509177,0.121601,0.988012,0.99901,0.950568,0.983411,0.030871,0.898803,0.999997,opel
0.173137,0.818948,0.02004,0.999979,0.17668,0.467172,0.951124,0.400117,0.999968,bus
1,0.979691,0.321256,0,0.362604,0.049062,0.000296,0.719408,0.000005,bus
0.868647,0.198926,0.935486,0.999594,0.518947,0.63714,0.816469,0.944157,0.999859,van
0.00082,0.221532,0.987384,0.999985,0.904056,0.049166,0.125055,0.982366,1,van
0.955231,0.730224,0.006985,0.998835,0.008692,0.669307,0.97077,0.46605,0.999735,bus
0.000733,0.469743,0.980185,0.999989,0.999038,0.057267,0.003741,0.71927,1,opel
1,0.982996,0.024802,0.011533,0.094051,0.297329,0.98806,0.600959,0.000584,saab
0.983677,0.012699,0.44391,0.996481,0.251422,0.332967,0.181378,0.796615,0.999579,opel
1,0.549156,0.478425,0.034229,0.041042,0.078276,0.832516,0.220547,0.070169,saab
0.997143,0.903544,0.861715,0.990838,0.904281,0.557397,0.913189,0.740104,0.977197,van
0.373685,0.985678,0.760002,0.998825,0.914721,0.056306,0.422631,0.759186,0.999997,bus
1,0.734672,0.086525,0.027311,0.061262,0.986132,0.64812,0.545287,0.011795,opel
0.803762,0.102273,0.94909,0.994099,0.932404,0.309359,0.092173,0.016457,0.999988,saab
0.566113,0.854423,0.760875,0.999791,0.654638,0.177613,0.338901,0.769641,0.999957,bus
0.999998,0.409068,0.050667,0.285679,0.007581,0.999219,0.866413,0.737808,0.384036,opel
0.570368,0.971988,0.97928,0.999443,0.996377,0.203633,0.002443,0.883325,0.999903,bus
0.000961,1,0,1,1,0.999923,0.999998,0.000012,0,bus
0.874342,0.026604,0.385602,0.999672,0.057754,0.068226,0.994714,0.123994,0.999833,van
0.113921,0.067074,0.952143,0.999902,0.482657,0.03462,0.88615,0.028084,0.999997,van
0.00091,0.025295,0.981877,0.999992,0.778062,0.028321,0.433567,0.051201,1,van
0.999922,0.833551,0.022242,0.903262,0.012563,0.950907,0.046512,0.960391,0.803038,bus
1,0.6046,0.09136,0.005666,0.115162,0.138379,0.866775,0.137301,0.000898,saab
0.999993,0.109614,0.038347,0.758523,0.004393,0.99484,0.987923,0.988938,0.463742,opel
0.278042,0.452106,0.548424,0.999823,0.873406,0.674523,0.27833,0.990148,0.999994,opel
0.611899,0.946362,0.973951,0.999445,0.994642,0.358827,0.031485,0.591391,0.99994,bus
0.999714,0.858705,0.041285,0.952884,0.019278,0.125987,0.726231,0.423343,0.941759,bus
0.216878,0.568591,0.286208,0.999974,0.450913,0.120626,0.972663,0.953666,0.999975,van
0.989647,0.872115,0.829573,0.996866,0.835035,0.486793,0.917121,0.706333,0.993051,van
0.194203,0.102118,0.952748,0.99964,0.991297,0.868844,0.004496,0.076687,0.999998,opel
0.000201,0.008238,0.994596,0.99998,0.994333,0.020958,0.011325,0.004932,1,opel
0.987421,0.062796,0.987444,0.996653,0.951411,0.19024,0.471452,0.451651,0.997558,van
0.997623,0.259411,0.903211,0.994823,0.660169,0.34793,0.965467,0.086939,0.968274,van
0.999995,0.711103,0.004726,0.380542,0.118591,0.096951,0.586541,0.640929,0.453277,opel
1,0.305156,0.073019,0.007366,0.082978,0.977563,0.952727,0.050418,0.000103,saab
0.616465,0.828507,0.989097,0.999484,0.995335,0.325917,0.008453,0.50329,0.999888,bus
0.999484,0.843629,0.579664,0.981279,0.005985,0.152105,0.974822,0.495133,0.985132,bus
0.01768,0.029033,0.994453,0.999891,0.970926,0.149896,0.001261,0.108232,1,saab
0.995238,0.750036,0.983298,0.994755,0.977775,0.195851,0.624113,0.295263,0.980147,van
0.479179,0.014961,0.416002,0.999968,0.023763,0.01511,0.99634,0.368099,0.99997,van
0.003052,0.000342,0.99821,0.999961,0.576534,0.681435,0.118962,0.008946,1,saab
0.578027,0.948683,0.852015,0.99974,0.725427,0.050427,0.896304,0.827986,0.999965,van
0.992461,0.293798,0.975752,0.996196,0.971724,0.089144,0.70831,0.01258,0.98848,van
0.414675,0.876503,0.625274,0.999806,0.888886,0.085347,0.253738,0.904174,0.999968,bus
0.206424,0.594251,0.515209,1,0.998593,0.905335,0.953595,0.534641,0.506496,bus
0.989718,0.166836,0.53638,0.997286,0.253233,0.337039,0.993102,0.35075,0.996423,van
0.999995,0.825589,0.017518,0.332127,0.037512,0.302907,0.587294,0.258364,0.488062,bus
0.999998,0.102543,0.186965,0.295305,0.180717,0.281567,0.375177,0.151231,0.236599,saab
0.203615,0.027989,0.563891,0.999951,0.006015,0.990301,0.802297,0.993406,0.999999,saab
0.999948,0.005396,0.406163,0.87427,0.00289,0.998704,0.765457,0.924201,0.960502,saab
0.130916,0.112132,0.968697,0.999833,0.960947,0.003071,0.056347,0.975442,0.999997,van
1,0.245751,0.959902,0.007747,0.241688,0.80656,0.20245,0.565979,0.002361,opel
0.125195,1,0,1,1,0.999998,1,0.000016,0,van
0.986696,0.975472,0.97133,0.996006,0.973659,0.017449,0.787508,0.88374,0.997291,van
0.048128,0.342369,0.874524,0.999995,0.346811,0.026213,0.990119,0.34716,0.999991,van
0.00916,0.028037,0.992993,0.999798,0.953234,0.627902,0.019588,0.158281,1,saab
0.628111,0.528844,0.330217,0.999749,0.496311,0.104371,0.961869,0.825661,0.999955,van
0.584604,0.002411,0.296918,0.999938,0.00113,0.607821,0.990756,0.983007,0.999992,saab
0.373011,0.961343,0.984323,0.999879,0.998759,0.090414,0.00433,0.658132,0.999881,bus
1,0.060147,0.233972,0.053957,0.002875,0.996173,0.94634,0.997511,0.017562,opel
0.578986,0.977284,0.985245,0.99978,0.998074,0.111228,0.006469,0.906533,0.999862,bus
0.996575,0.042931,0.703333,0.99036,0.001885,0.511063,0.960919,0.169574,0.999258,opel
1,0.901397,0.037337,0.007682,0.04325,0.721533,0.991765,0.967187,0.001708,opel
0.998363,0.075047,0.816492,0.991924,0.8639,0.011344,0.962342,0.005855,0.931395,van
0.38936,0.181265,0.286005,0.999804,0.086033,0.73744,0.912382,0.791681,0.999993,bus
0.927687,0.004409,0.906584,0.999643,0.000907,0.06581,0.993875,0.054185,0.999948,saab
0.017367,0.06058,0.492861,0.999995,0.039571,0.987105,0.968132,0.921184,0.999998,van
0.999991,0.526947,0.045186,0.735326,0.005881,0.096148,0.998126,0.749818,0.487631,saab
0.998612,0.729553,0.005968,0.991037,0.006573,0.956094,0.759867,0.49624,0.981082,bus
0.159646,0.00124,0.403481,0.999983,0.000193,0.973391,0.967768,0.927634,0.999999,opel
1,0.420767,0.024317,0.036838,0.011887,0.911506,0.946314,0.970463,0.092688,saab
0.390265,0.185077,0.595191,0.999906,0.778341,0.156912,0.856155,0.441922,0.999964,van
1,0.998836,0.002576,0.000031,0.206133,0.049022,0.004012,0.574436,0.000013,bus
0.33315,0.001456,0.928804,0.999858,0.010469,0.832921,0.684562,0.796045,0.999999,opel
0.092247,0.367359,0.977822,0.999933,0.863221,0.015142,0.439462,0.843173,0.999996,van
0.56609,0.143791,0.888744,0.998464,0.211889,0.989669,0.206502,0.992329,0.999998,saab
0.963731,0.047894,0.976425,0.985558,0.123266,0.007611,0.803912,0.0316,0.999986,opel
0.001133,0.985604,0.824932,0.999994,0.998971,0.026464,0.0029,0.956956,1,opel
1,0.036614,0.084286,0.207608,0.007276,0.016865,0.997194,0.007815,0.011813,opel
0.95831,0.004362,0.104444,0.998904,0.005651,0.733509,0.981529,0.646007,0.999784,saab
0.046719,0.312348,0.927015,0.99985,0.270018,0.103718,0.634095,0.931878,1,saab
1,0.95614,0.596232,0.008774,0.163151,0.919332,0.712095,0.975402,0.008504,opel
1,0.787336,0.67354,0.01116,0.068464,0.97024,0.632202,0.990557,0.004037,opel
0.382619,0.001093,0.480544,0.999965,0.000337,0.567386,0.989029,0.974092,0.999998,saab
1,0.014762,0.194516,0.025682,0.140224,0.007637,0.890981,0.028673,0.001924,saab
0.339767,0.997818,0.799228,0.999515,0.989416,0.038764,0.083055,0.880516,0.999987,bus
0.047585,0.148046,0.956394,0.999938,0.953754,0.108589,0.084382,0.995414,0.999998,van
1,0.24025,0.040092,0.041291,0.074631,0.018641,0.963254,0.698359,0.018162,opel
1,0.982894,0.50099,0.000005,0.370744,0.023589,0.000128,0.980709,0.000409,bus
0.912783,0.122013,0.867981,0.999245,0.091067,0.415025,0.991207,0.081016,0.99978,van
1,0.745157,0.358963,0.012425,0.077801,0.941162,0.012516,0.665302,0.22685,bus
0.99692,0.749022,0.971867,0.992535,0.920701,0.46858,0.940874,0.391084,0.976361,van
0.516041,0.834352,0.016459,0.999909,0.079859,0.60328,0.821935,0.772843,0.999949,bus
0.994161,0.069188,0.264001,0.991078,0.037073,0.998845,0.122641,0.972378,0.999674,opel
0.63749,0.43274,0.807909,0.999457,0.380885,0.02389,0.944353,0.063843,0.999979,bus
0.220628,0.090956,0.107696,0.999976,0.007229,0.920001,0.950581,0.944471,0.99999,bus
0.390119,0.66433,0.976427,0.999645,0.95852,0.017683,0.101348,0.232339,0.999984,van
1,0.98045,0.058414,0.040048,0.02734,0.972193,0.978921,0.880099,0.002251,saab
0.000266,0.470982,0.980152,0.999993,0.997859,0.606858,0.007885,0.974002,1,opel
0.281726,0.352406,0.34526,0.999988,0.002951,0.016112,0.994998,0.567191,0.999979,bus
0.000183,0.03594,0.996743,0.999988,0.942793,0.92931,0.008679,0.62222,1,saab
0.999999,0.354614,0.017923,0.296624,0.063324,0.262698,0.907976,0.204819,0.103823,saab
0.991104,0.222454,0.011389,0.995964,0.003972,0.797662,0.503927,0.292966,0.997944,bus
0.963635,0.278102,0.086408,0.997908,0.00125,0.934261,0.930888,0.802065,0.999934,bus
0.995047,0.12006,0.887142,0.961831,0.211593,0.081756,0.648793,0.084486,0.999436,opel
1,0.939833,0.059166,0.0245,0.198705,0.939388,0.806389,0.53955,0.010347,opel
0.401992,0.102473,0.076744,0.99984,0.060972,0.877754,0.764945,0.967866,0.999994,opel
0.999979,0.012372,0.601971,0.803419,0.005588,0.147357,0.983004,0.002983,0.878773,opel
0.288502,0.694742,0.293001,0.999972,0.546621,0.66572,0.973196,0.93441,0.999944,van
0.933549,0.083634,0.937937,0.992953,0.610153,0.005784,0.530559,0.080137,0.99997,saab
1,0.99751,0.025169,0.000211,0.212872,0.007098,0.01891,0.80329,0.000132,bus
0.899001,0.012007,0.423425,0.996321,0.192129,0.810129,0.32412,0.703248,0.999984,saab
0.744973,0.875367,0.973375,0.99901,0.983975,0.310807,0.008685,0.806344,0.999919,bus
1,0.537665,0.048474,0.003385,0.190036,0.310938,0.952217,0.000994,0.000204,saab
0.685493,0.991325,0.776714,0.999624,0.946714,0.733516,0.091602,0.931833,0.999886,bus
0.900663,0.985429,0.990275,0.996979,0.986987,0.367796,0.028275,0.916404,0.999899,bus
0.664862,0.959566,0.970444,0.999274,0.987721,0.683041,0.024119,0.623011,0.999935,bus
0.991141,0.783814,0.835908,0.996018,0.958933,0.64349,0.931828,0.401034,0.985994,van
0.40611,0.003339,0.325154,0.999862,0.005325,0.800366,0.921099,0.9126,0.999998,saab
1,0.032308,0.778411,0.00111,0.091739,0.006696,0.682686,0.286928,0.000704,opel
1,0.857504,0.472143,0.010157,0.35096,0.295669,0.838259,0.20774,0.001423,opel
0.007037,0.034791,0.987065,0.999996,0.013051,0.014494,0.991932,0.63257,1,van
0.906079,0.945159,0.882892,0.999482,0.634719,0.094951,0.967477,0.942584,0.99969,van
0.987681,0.780736,0.459119,0.991856,0.102893,0.210439,0.959882,0.864877,0.999605,opel
0.395571,0.98582,0.968823,0.999746,0.997464,0.054544,0.006209,0.967598,0.999943,bus
0.731782,0.973384,0.862894,0.999294,0.974194,0.122124,0.327147,0.354329,0.99985,bus
1,0.982566,0.628344,0.00946,0.602683,0.011607,0.725367,0.954858,0.002659,opel
0.982185,0.00394,0.050825,0.999522,0.000642,0.905896,0.987631,0.953565,0.999382,opel
0.012382,0.382821,0.384266,0.999995,0.706957,0.134357,0.765239,0.956916,0.999999,van
0.430288,0.581794,0.356092,0.999889,0.111416,0.792124,0.808276,0.768197,0.999974,bus
1,0.82112,0.348647,0.014765,0.015151,0.530164,0.004547,0.990303,0.34961,bus
0.018658,0.197769,0.496982,0.999974,0.845204,0.017177,0.249135,0.983619,1,opel
0.906052,0.42016,0.143206,0.997524,0.661762,0.921216,0.097403,0.978203,0.999925,opel
0.853472,0.891519,0.887286,0.992134,0.960563,0.026044,0.060819,0.405671,0.999989,saab
1,0.992757,0.0192,0.008774,0.342632,0.06269,0.978783,0.435706,0.000333,opel
0.457439,0.975993,0.833416,0.999753,0.910271,0.028928,0.540454,0.903268,0.999978,bus
0.001857,0.002885,0.998862,0.999993,0.076719,0.023994,0.905833,0.035535,1,van
1,0.987639,0.076288,0.018307,0.445146,0.04535,0.981089,0.873621,0.000372,opel
0.989531,0.589195,0.971299,0.998453,0.94416,0.510959,0.621745,0.912874,0.992443,van
0.999952,0.931791,0.081926,0.907575,0.007496,0.015363,0.897469,0.21819,0.745164,bus
0.766037,0.988096,0.933205,0.998964,0.963836,0.552256,0.030154,0.945397,0.999948,bus
0.10598,0.532756,0.982585,0.999436,0.939172,0.283893,0.071959,0.887405,1,saab
0.557089,0.09764,0.654681,0.999899,0.069035,0.13687,0.989978,0.869798,0.99997,van
1,0.70562,0.060753,0.013286,0.273728,0.014073,0.948422,0.015973,0.001271,saab
0.005804,0.004734,0.505379,0.999999,0.113686,0.077696,0.934659,0.626032,0.999999,van
1,0.385279,0.209927,0.00554,0.063904,0.892652,0.949189,0.025492,0.00649,saab
0.313397,0.944069,0.828257,0.999048,0.969337,0.134606,0.016047,0.665562,0.999995,saab
0.000071,0.727958,0.98779,0.999999,0.996522,0.095343,0.000451,0.855791,1,van
0.000015,0.130566,0.996193,0.999999,0.994481,0.71338,0.000218,0.255462,1,saab
0.687156,0.984385,0.988863,0.999122,0.997077,0.038193,0.003864,0.904135,0.999945,bus
1,0.771922,0.266722,0.023566,0.093323,0.805797,0.844386,0.982213,0.054784,saab
0.126727,0.419009,0.823454,0.99999,0.236457,0.430109,0.970614,0.242816,0.999946,van
0.995789,0.953196,0.989989,0.993262,0.973956,0.296134,0.735887,0.975924,0.986366,van
0.419806,0.540484,0.00113,0.999934,0.013082,0.123088,0.864294,0.735092,0.99996,bus
0.712922,0.987474,0.976301,0.999078,0.994263,0.155237,0.023325,0.959743,0.999897,bus
1,0.797591,0.618823,0.001787,0.084135,0.371368,0.786875,0.783597,0.002447,opel
0.932148,0.983859,0.9759,0.996439,0.949984,0.24514,0.18968,0.517227,0.999905,bus
0.318714,0.005694,0.221468,0.999949,0.004011,0.8809,0.934008,0.916876,0.999997,opel
0.991699,0.087476,0.944498,0.985033,0.01284,0.235725,0.882602,0.231171,0.999843,opel
0.327078,0.950844,0.961622,0.999637,0.997827,0.040225,0.006917,0.423247,0.999965,bus
1,0.976183,0.015051,0.046915,0.112441,0.780572,0.989633,0.730638,0.000809,saab
0.982951,0.962602,0.994542,0.99486,0.978195,0.047298,0.43387,0.984201,0.999077,van
0.438214,0.209326,0.987134,0.999292,0.970989,0.182463,0.021919,0.960372,0.999991,van
0.155446,0.106639,0.007318,0.999994,0.002815,0.896663,0.916983,0.804844,0.999973,bus
0.954747,0.088044,0.187092,0.996432,0.023334,0.911945,0.575043,0.992851,0.999967,saab
1,0.97567,0.125458,0.012173,0.095821,0.564775,0.913744,0.455657,0.001036,opel
0.000089,0.102701,0.973429,0.999996,0.899799,0.716956,0.073065,0.964208,1,saab
0.080164,0.059804,0.984489,0.999919,0.993048,0.033918,0.014681,0.527208,0.999992,van
1,0.993273,0.031499,0.002006,0.185454,0.073892,0.983611,0.102996,0.000211,opel
0.96952,0.767733,0.981376,0.998325,0.967588,0.647901,0.680066,0.879608,0.998669,van
0.504839,0.15753,0.779089,0.999729,0.008274,0.087846,0.98516,0.077093,0.999994,bus
0.982634,0.939006,0.654086,0.999601,0.958187,0.295996,0.966007,0.826541,0.956812,van
1,0.003611,0.603206,0.008802,0.027186,0.82567,0.583936,0.072211,0.000696,saab
0.471853,0.00245,0.498855,0.999751,0.02477,0.324129,0.593542,0.879366,0.999998,saab
0.92432,0.006612,0.98525,0.997751,0.005352,0.307265,0.904113,0.15034,0.999986,opel
0.999998,0.638194,0.037044,0.388281,0.315885,0.064029,0.798911,0.371277,0.097119,saab
1,0.990548,0.097531,0.004143,0.518511,0.031335,0.981789,0.398934,0.000381,opel
0.001864,0.659243,0.981407,0.99996,0.990843,0.247642,0.001867,0.942308,1,saab
0.986575,0.248932,0.040843,0.997523,0.060083,0.947378,0.681968,0.982479,0.99906,saab
0.007286,0.026361,0.996076,0.999963,0.186508,0.034148,0.863392,0.427897,1,van
0.002398,0.002487,0.926579,0.999999,0.00845,0.57548,0.971191,0.966831,1,van
0.999996,0.012187,0.407029,0.566929,0.003441,0.051822,0.997696,0.141046,0.621751,saab
0.785105,0.959084,0.989356,0.998328,0.978909,0.505034,0.037953,0.943107,0.999968,bus
0.572643,0.93918,0.976018,0.999313,0.996341,0.022544,0.002075,0.888177,0.999956,bus
0.999066,0.019061,0.701056,0.985518,0.004642,0.069925,0.995306,0.081074,0.99285,saab
0.001867,0.017579,0.980288,0.999998,0.007821,0.061062,0.994782,0.6368,1,van
0.00077,0.692518,0.980004,0.999993,0.99509,0.063925,0.016307,0.99148,1,van
0.380137,0.996921,0.656655,0.999048,0.989802,0.045241,0.091457,0.257449,0.999989,bus
0.999381,0.939765,0.092844,0.948504,0.007888,0.049741,0.992046,0.8463,0.996794,saab
0.932371,0.060609,0.925512,0.999603,0.010205,0.926025,0.997659,0.985292,0.999891,van
0.856076,0.081377,0.821929,0.999818,0.008014,0.119608,0.998488,0.723111,0.99986,van
1,0.98779,0.211028,0.000008,0.39388,0.372853,0.001134,0.989882,0.000004,bus
0.31399,0.910732,0.189523,0.999893,0.066979,0.070885,0.988473,0.090757,0.999989,bus
0.800017,0.899942,0.969061,0.997206,0.915406,0.012356,0.292423,0.380877,0.999986,bus
0.067126,0.781305,0.97058,0.999543,0.991047,0.029969,0.092473,0.941119,1,opel
1,0.267149,0.124987,0.003284,0.024341,0.989881,0.97818,0.13383,0.000954,saab
0.126518,0.121245,0.012812,0.999986,0.007906,0.289823,0.985291,0.805402,0.999993,bus
0.999691,0.355503,0.012444,0.901484,0.034971,0.025135,0.943938,0.976691,0.991601,opel
0.549902,0.920897,0.693262,0.999662,0.916531,0.420322,0.23523,0.624573,0.999968,bus
0.917248,0.924501,0.991742,0.993048,0.992795,0.148262,0.010116,0.419197,0.999902,bus
1,0.032116,0.086854,0.004051,0.006861,0.955083,0.989385,0.015666,0.00012,saab
0.991914,0.610393,0.997197,0.995551,0.971335,0.355191,0.199207,0.875771,0.994843,van
0.99921,0.162677,0.737511,0.944797,0.035424,0.055491,0.982834,0.009461,0.998229,saab
0.179924,0.669143,0.699106,0.999885,0.600858,0.45342,0.719187,0.786503,0.999997,bus
0.94256,0.386794,0.933746,0.999497,0.954524,0.021969,0.816375,0.861268,0.998999,van
0.999993,0.902023,0.004794,0.58502,0.437384,0.252161,0.800197,0.31104,0.215491,opel
