@relation 'vehicle_autoencoded-weka.filters.unsupervised.attribute.MLPAutoencoder-N12-L0.01-O1.0E-6-P1-E1-weights-fileC:\\Program Files\\Weka-3-8-S1-seed1'

@attribute hidden_unit_0output numeric
@attribute hidden_unit_1output numeric
@attribute hidden_unit_2output numeric
@attribute hidden_unit_3output numeric
@attribute hidden_unit_4output numeric
@attribute hidden_unit_5output numeric
@attribute hidden_unit_6output numeric
@attribute hidden_unit_7output numeric
@attribute hidden_unit_8output numeric
@attribute hidden_unit_9output numeric
@attribute hidden_unit_10output numeric
@attribute hidden_unit_11output numeric
@attribute Class {opel,saab,bus,van}

@data
0.007134,0.098086,0.582492,0.042744,0.015018,0.176345,0.972997,0.015191,0.999999,0.999752,0.920487,0.010224,saab
0.000419,0.634243,0.072659,0.822656,0.973367,0.036029,0.011785,0.949874,0.999857,1,0.005731,0.117063,saab
0.000078,0.430755,0.750039,0.733642,0.586708,0.937724,0.076816,0.040326,0.999894,0.999853,0.820882,0.10754,saab
0.986219,0.939628,0.013907,0.000005,0.244295,0.157235,0.941257,0.048839,0.998973,0.008466,0.999997,0.121482,opel
0.000087,0.560946,0.983544,0.625489,0.011443,0.333877,0.980214,0.003127,0.999999,0.999836,0.86157,0.294738,bus
0.999993,0.877023,0.007208,0,0.075776,0.841968,0.003694,0.99592,0.999998,0.001968,1,0.70252,bus
0.000002,0.047869,0.992085,0.98529,0.071998,0.030898,0.940874,0.005665,0.999998,0.999998,0.140705,0.268757,van
0.051232,0.193778,0.485304,0.006867,0.203925,0.09621,0.354406,0.018092,0.999987,0.927528,0.999324,0.094801,saab
0.06871,0.260219,0.342688,0.006592,0.978466,0.138737,0.685967,0.948176,0.998091,0.999893,0.540245,0.180283,van
0.961967,0.717851,0.354844,0.000014,0.099906,0.020147,0.92963,0.021994,0.999893,0.011626,0.999997,0.021164,opel
0.000302,0.495738,0.685658,0.826816,0.986315,0.105739,0.056448,0.90281,0.999985,1,0.002811,0.595916,van
0.410603,0.273014,0.733854,0.000308,0.016322,0.045884,0.963783,0.009338,0.999998,0.371443,0.999936,0.13388,opel
0.000015,0.394962,0.295938,0.970747,0.988215,0.894893,0.047813,0.746759,0.999616,1,0.004274,0.96544,opel
0.000904,0.647016,0.958957,0.338207,0.984742,0.219628,0.023671,0.984143,0.99885,0.999998,0.029975,0.78158,van
0.000217,0.944379,0.054488,0.586528,0.988618,0.0824,0.310675,0.453598,0.961822,0.999952,0.446982,0.312512,bus
0.014032,0.88309,0.079915,0.01751,0.112502,0.08372,0.606029,0.014305,0.999852,0.913044,0.999366,0.047545,bus
0.000845,0.325816,0.727791,0.356879,0.97577,0.048609,0.111278,0.67525,0.99963,0.999988,0.21887,0.995926,opel
0.002727,0.782443,0.066448,0.161862,0.993311,0.763674,0.07189,0.986047,0.973864,0.999996,0.065061,0.582152,bus
0.986858,0.716777,0.029509,0.000003,0.346248,0.526038,0.894123,0.289207,0.996975,0.001065,0.999999,0.481219,opel
0.000236,0.496706,0.276243,0.383064,0.816863,0.495492,0.951503,0.043722,0.997959,0.999922,0.569696,0.030459,van
0.063222,0.978464,0.119174,0.001991,0.125688,0.249784,0.898001,0.010648,0.99868,0.294099,0.999912,0.388638,bus
0.998199,0.593843,0.034863,0.000002,0.325134,0.039994,0.690398,0.973332,0.999941,0.423374,0.999871,0.18291,opel
0.997366,0.256616,0.048248,0.000001,0.42734,0.958985,0.976571,0.198201,0.999773,0.000569,0.999999,0.796435,opel
0.003936,0.072429,0.481454,0.075245,0.108764,0.862404,0.098405,0.017394,0.999996,0.995308,0.994478,0.053726,opel
0.000033,0.807246,0.048841,0.979816,0.998186,0.633301,0.012821,0.984206,0.995104,1,0.000219,0.096242,opel
0.001259,0.030255,0.717948,0.109511,0.897399,0.896603,0.587207,0.327585,0.998685,0.999763,0.727578,0.719126,van
0.897268,0.560864,0.332795,0.000044,0.219675,0.056934,0.923585,0.062103,0.999982,0.387715,0.999904,0.244888,opel
0.003185,0.452834,0.227166,0.13451,0.428729,0.161191,0.032468,0.142486,0.999895,0.99906,0.975041,0.024784,saab
0.000392,0.978159,0.082361,0.597721,0.990344,0.073682,0.047504,0.833457,0.93592,0.999992,0.162144,0.211483,saab
0.926214,0.965796,0.2367,0.000036,0.072976,0.050767,0.644565,0.140343,0.99999,0.058129,0.999989,0.963508,bus
0.022502,0.960946,0.19597,0.036881,0.99068,0.055096,0.05205,0.99842,0.988693,0.999997,0.060695,0.693861,bus
0.00416,0.96259,0.086932,0.115876,0.93305,0.042113,0.739253,0.214087,0.99915,0.999958,0.536526,0.157886,bus
0.918466,0.973834,0.051634,0.000052,0.082208,0.275303,0.282119,0.321578,0.999979,0.154733,0.999975,0.630347,bus
0.000021,0.282682,0.979059,0.963034,0.3854,0.014608,0.283961,0.16968,0.999998,1,0.016083,0.012775,van
0.000792,0.048718,0.203716,0.466536,0.956054,0.980684,0.027013,0.846855,0.999953,0.999998,0.071893,0.529524,opel
0.000012,0.859597,0.319543,0.877815,0.70017,0.382289,0.704528,0.003393,0.994775,0.998846,0.946847,0.118694,bus
0.999999,0.966514,0.036125,0,0.073778,0.101755,0.009883,0.997338,0.999998,0.00059,1,0.959754,bus
0.001603,0.10211,0.62258,0.166986,0.720176,0.675575,0.526819,0.442593,0.999925,0.999969,0.472736,0.086679,van
0.000026,0.629886,0.841224,0.977814,0.953141,0.12284,0.117102,0.729716,0.99999,1,0.000688,0.050352,van
0.000219,0.713112,0.235987,0.350842,0.130123,0.57023,0.735801,0.000943,0.999932,0.981058,0.997606,0.115278,bus
0.000015,0.773865,0.319152,0.985336,0.998078,0.079915,0.013702,0.947514,0.995333,1,0.001092,0.716095,opel
0.992436,0.750428,0.111462,0.000002,0.236204,0.250917,0.94113,0.097473,0.999191,0.001596,0.999999,0.137994,saab
0.003796,0.066415,0.786775,0.110162,0.29699,0.262929,0.030066,0.160537,0.999978,0.999737,0.921274,0.570893,opel
0.976865,0.457645,0.535987,0.000013,0.10365,0.12782,0.834436,0.196153,0.99999,0.413788,0.999892,0.844273,saab
0.039899,0.638995,0.422993,0.004773,0.956899,0.642106,0.862535,0.610845,0.994179,0.996027,0.952279,0.148553,van
0.001625,0.950395,0.07577,0.286448,0.97113,0.089429,0.559278,0.336001,0.998869,0.999992,0.200764,0.147335,bus
0.958421,0.205182,0.079255,0.000015,0.141854,0.97385,0.306903,0.11632,0.999879,0.026115,0.999992,0.555468,opel
0.001279,0.400676,0.668036,0.245151,0.972512,0.421211,0.253385,0.315507,0.999862,0.999975,0.361067,0.994113,saab
0.000598,0.794235,0.208342,0.357199,0.810783,0.24054,0.415538,0.394056,0.999128,0.999975,0.397295,0.237643,bus
0.429283,0.091252,0.161133,0.000303,0.053991,0.998254,0.308724,0.012844,0.99998,0.162913,0.999972,0.223509,opel
0.003831,0.974326,0.137774,0.148072,0.991387,0.38897,0.038352,0.993514,0.988681,0.999995,0.082075,0.447362,bus
0,0.999491,0.000111,0.984377,1,0.938484,0.998459,0.024904,0,0,1,0.172629,bus
0.00018,0.093272,0.933609,0.393272,0.354272,0.075171,0.951047,0.00619,0.999965,0.999231,0.93379,0.650183,van
0.000072,0.518431,0.965295,0.741697,0.871695,0.09512,0.925623,0.073801,0.999868,0.999994,0.106338,0.946972,van
0.000004,0.629138,0.983607,0.989805,0.953282,0.096264,0.664894,0.17503,0.999948,1,0.003556,0.950558,van
0.069248,0.957925,0.40503,0.003269,0.034233,0.962932,0.032413,0.226778,0.999976,0.687847,0.999809,0.06339,bus
0.988705,0.51204,0.514627,0.000004,0.168499,0.150326,0.803491,0.299256,0.999938,0.003347,0.999998,0.873892,saab
0.181345,0.026114,0.618041,0.000794,0.023995,0.987965,0.438905,0.016945,0.999995,0.277461,0.999954,0.006761,opel
0.00027,0.306451,0.267635,0.632329,0.907265,0.574171,0.041627,0.395094,0.999691,0.999988,0.342586,0.018101,opel
0.002284,0.772699,0.046914,0.182807,0.992264,0.41923,0.154846,0.941182,0.978688,0.999993,0.10744,0.686984,bus
0.023092,0.935035,0.422698,0.008036,0.086169,0.187389,0.711871,0.053004,0.999957,0.827564,0.999496,0.358818,bus
0.000072,0.425076,0.523495,0.726009,0.763465,0.102811,0.711141,0.056121,0.999171,0.999937,0.62448,0.013042,van
0.016215,0.661025,0.482321,0.01178,0.935715,0.576401,0.850973,0.416155,0.993491,0.998553,0.9054,0.154159,van
0.000075,0.158846,0.138559,0.844435,0.989173,0.830049,0.015164,0.742159,0.999166,0.999996,0.106225,0.991323,opel
0.000003,0.571199,0.970629,0.996021,0.996813,0.057249,0.088897,0.544298,0.999646,1,0.000451,0.998978,opel
0.011243,0.084784,0.832342,0.02749,0.940757,0.264489,0.488035,0.891223,0.999661,0.999889,0.593168,0.836399,van
0.014196,0.190049,0.777853,0.009286,0.862067,0.426132,0.947241,0.233577,0.997592,0.994875,0.961099,0.85595,van
0.384378,0.692557,0.175562,0.000599,0.201113,0.053212,0.14369,0.035361,0.999887,0.187443,0.999976,0.328525,opel
0.97952,0.194054,0.688856,0.000003,0.208639,0.968752,0.825342,0.108686,0.999381,0.000239,1,0.923123,saab
0.00274,0.816811,0.204173,0.163453,0.990538,0.473621,0.082747,0.980736,0.981618,0.999995,0.073096,0.85433,bus
0.032843,0.633274,0.336717,0.006713,0.048752,0.285045,0.980034,0.059176,0.999992,0.992271,0.992109,0.27182,bus
0.000071,0.648664,0.901531,0.91887,0.964765,0.347938,0.018278,0.923077,0.999889,1,0.004348,0.992159,saab
0.036767,0.412888,0.380148,0.00698,0.975716,0.282503,0.817286,0.912819,0.985419,0.999453,0.748727,0.791722,van
0.000036,0.049136,0.929867,0.78314,0.158656,0.016246,0.9513,0.005785,0.999989,0.999912,0.761712,0.351889,van
0.000006,0.045725,0.994974,0.986057,0.875728,0.866461,0.297302,0.201407,0.999996,1,0.001922,0.998274,saab
0.001274,0.744912,0.155257,0.230366,0.898016,0.075245,0.876187,0.281543,0.998826,0.999983,0.289186,0.082308,van
0.009824,0.220149,0.555663,0.019742,0.976959,0.121269,0.884442,0.670905,0.984533,0.999219,0.808404,0.991074,van
0.000534,0.893003,0.318301,0.398923,0.928385,0.117443,0.228326,0.542309,0.998277,0.999974,0.397718,0.096387,bus
0.000021,0.100039,0.317368,0.466479,0.995763,0.65716,0.486355,0.534342,0.000004,0.99701,0.665074,0.183649,bus
0.002572,0.195668,0.891482,0.042659,0.67963,0.377188,0.949219,0.042592,0.999786,0.993896,0.979615,0.320207,van
0.385126,0.84261,0.212975,0.000475,0.12838,0.28746,0.417737,0.033593,0.999939,0.227391,0.999961,0.654094,bus
0.580957,0.156866,0.492393,0.000282,0.230828,0.228674,0.20594,0.177288,0.999959,0.481011,0.999882,0.948903,saab
0.000043,0.035542,0.718743,0.873409,0.050185,0.987938,0.145067,0.019509,0.999999,0.999994,0.394785,0.008973,saab
0.060523,0.006818,0.826264,0.004465,0.015006,0.997935,0.127549,0.035559,1,0.957776,0.998978,0.215866,saab
0.000833,0.78045,0.969923,0.482507,0.939361,0.009608,0.059987,0.944633,0.999942,1,0.022528,0.120144,van
0.99597,0.108832,0.552897,0.000002,0.160567,0.886043,0.472996,0.974536,0.999995,0.233696,0.999915,0.902531,opel
0,0.992627,0.001191,0.740532,1,0.998256,0.999931,0.000032,0,0,1,0.022415,van
0.046022,0.676655,0.098851,0.010451,0.969865,0.0291,0.881646,0.92959,0.995871,0.999904,0.541291,0.124603,van
0.000028,0.31339,0.746399,0.847898,0.756276,0.039322,0.973078,0.045256,0.997738,0.999995,0.098652,0.298258,van
0.00005,0.420277,0.919645,0.936591,0.981163,0.806205,0.065689,0.617701,0.999965,1,0.004447,0.96518,saab
0.000267,0.483209,0.57843,0.438254,0.812741,0.104409,0.760259,0.058424,0.999752,0.999815,0.816435,0.061217,van
0.000046,0.005411,0.926518,0.830939,0.009148,0.513751,0.565912,0.004312,1,0.999957,0.80995,0.01481,saab
0.001348,0.911455,0.054629,0.277897,0.995466,0.138706,0.062306,0.992411,0.885536,0.999997,0.044292,0.760405,bus
0.954181,0.019129,0.824904,0.000018,0.007445,0.994888,0.307765,0.273927,1,0.077961,0.999989,0.006277,opel
0.003698,0.879757,0.03029,0.152795,0.993193,0.158846,0.059902,0.993176,0.956204,0.999998,0.049954,0.405387,bus
0.004947,0.119821,0.873003,0.041277,0.024,0.666808,0.925554,0.010529,0.999999,0.998775,0.969839,0.780392,opel
0.992763,0.259604,0.198747,0.000003,0.098378,0.613341,0.855024,0.148768,0.999959,0.003546,0.999999,0.014662,opel
0.008808,0.265385,0.942502,0.011584,0.925936,0.017889,0.962983,0.244066,0.996171,0.980677,0.985422,0.98969,van
0.000086,0.332237,0.734609,0.711281,0.451873,0.735179,0.519008,0.014651,0.999969,0.999909,0.77012,0.095148,bus
0.000247,0.015201,0.937902,0.403915,0.011825,0.121284,0.987103,0.005433,1,0.999946,0.714711,0.925338,saab
0.000004,0.240549,0.954019,0.964561,0.376243,0.988859,0.624722,0.013126,0.999902,0.99998,0.361665,0.020065,van
0.312986,0.366882,0.732896,0.000429,0.04467,0.101237,0.966814,0.008501,0.999983,0.396685,0.999906,0.055983,saab
0.001573,0.788941,0.232241,0.05939,0.057943,0.937716,0.387148,0.005564,0.999913,0.655938,0.999802,0.215358,bus
0.000008,0.015968,0.979251,0.955944,0.00398,0.975825,0.489445,0.001775,1,0.999984,0.630036,0.057347,opel
0.898854,0.25807,0.597297,0.000045,0.045114,0.880013,0.401044,0.056167,0.999998,0.038743,0.999994,0.023126,saab
0.00012,0.250494,0.648503,0.627153,0.907954,0.139031,0.551908,0.095997,0.998726,0.999935,0.570024,0.447167,van
0.999925,0.998364,0.015942,0,0.107654,0.064601,0.031088,0.86704,0.999855,0.000045,1,0.733381,bus
0.000068,0.005436,0.879568,0.861181,0.057374,0.839559,0.245609,0.032317,1,0.999999,0.159805,0.509044,opel
0.000339,0.77347,0.907717,0.555199,0.92952,0.048179,0.555898,0.724778,0.999831,0.999999,0.02376,0.213735,van
0.000831,0.149331,0.569879,0.439069,0.499483,0.990977,0.049815,0.328116,0.999998,0.999995,0.273636,0.024597,saab
0.005782,0.173885,0.842552,0.092291,0.421463,0.021925,0.921205,0.102285,0.999999,0.999987,0.385073,0.9825,opel
0.000022,0.991632,0.076464,0.972945,0.997781,0.040941,0.013744,0.965275,0.939783,1,0.005869,0.103034,opel
0.590261,0.084722,0.915614,0.000081,0.033564,0.018267,0.987312,0.009204,0.999982,0.017108,0.999993,0.979691,opel
0.000256,0.035519,0.966328,0.357926,0.047944,0.671499,0.563191,0.003149,0.999997,0.997018,0.988036,0.217931,saab
0.000143,0.411976,0.592279,0.838782,0.679065,0.18426,0.467016,0.130637,0.999998,1,0.024898,0.084119,saab
0.996867,0.385109,0.080737,0.000002,0.215313,0.926288,0.576151,0.809887,0.999976,0.150137,0.999958,0.052865,opel
0.995934,0.266435,0.355782,0.000003,0.071428,0.976716,0.432971,0.911631,0.99999,0.11031,0.999967,0.031612,opel
0.000029,0.006145,0.971052,0.892305,0.003974,0.567614,0.635345,0.003195,1,0.99999,0.608857,0.025881,saab
0.958752,0.064772,0.929112,0.000013,0.121345,0.007416,0.729446,0.230232,0.999971,0.018101,0.999993,0.988955,saab
0.002159,0.985815,0.019617,0.2461,0.991922,0.060566,0.271867,0.814467,0.982346,0.999993,0.145807,0.109424,bus
0.000428,0.758764,0.973649,0.583193,0.953074,0.232542,0.033122,0.907647,0.999788,1,0.017952,0.015847,van
0.94624,0.235481,0.738824,0.000025,0.103952,0.015156,0.681487,0.122299,0.999985,0.038418,0.999992,0.300566,opel
0.999995,0.969945,0.026851,0,0.066583,0.058535,0.003665,0.998858,1,0.045181,0.999996,0.658,bus
0.000861,0.188983,0.89945,0.141925,0.558724,0.55826,0.977846,0.018425,0.999896,0.999711,0.785702,0.751811,van
0.968,0.597381,0.07487,0.000034,0.097413,0.948376,0.034525,0.66723,0.999997,0.507252,0.999908,0.825097,bus
0.039222,0.378663,0.579868,0.004716,0.962533,0.599616,0.94467,0.711323,0.994177,0.998349,0.882614,0.496634,van
0.000045,0.829443,0.169013,0.755537,0.406716,0.501469,0.378838,0.006861,0.999449,0.998585,0.973498,0.056158,bus
0.002909,0.028101,0.138434,0.116234,0.099728,0.997116,0.012075,0.076646,0.999997,0.998855,0.982508,0.121231,opel
0.000361,0.533171,0.617456,0.405371,0.799051,0.042887,0.951456,0.049401,0.999869,0.999948,0.534263,0.844134,bus
0.000016,0.273062,0.848464,0.893871,0.081981,0.912402,0.465319,0.00564,0.999985,0.999851,0.871606,0.01808,bus
0.000874,0.871979,0.581542,0.314555,0.97171,0.049887,0.45944,0.808884,0.999221,0.999996,0.069781,0.876666,van
0.985413,0.643211,0.105896,0.000004,0.127095,0.96488,0.868543,0.073315,0.999377,0.00848,0.999996,0.037731,saab
0.000009,0.596329,0.291732,0.991025,0.997453,0.638284,0.00797,0.908222,0.998741,1,0.00057,0.123788,opel
0.000031,0.518131,0.768309,0.820213,0.040333,0.030626,0.983449,0.005459,0.999984,0.999949,0.682542,0.1051,bus
0.000004,0.456794,0.905733,0.995453,0.97954,0.971992,0.028437,0.740714,0.999974,1,0.000319,0.785437,saab
0.569187,0.344668,0.455255,0.000193,0.170434,0.174802,0.52213,0.01892,0.99981,0.0767,0.999984,0.711347,saab
0.000551,0.843914,0.783612,0.185037,0.035483,0.818199,0.240363,0.005636,0.999983,0.94395,0.999028,0.521319,bus
0.000416,0.345494,0.486522,0.320843,0.022919,0.937264,0.652052,0.003239,0.999999,0.998275,0.987902,0.083476,bus
0.02152,0.467204,0.891761,0.018635,0.523592,0.18077,0.755445,0.163015,0.999988,0.999559,0.893703,0.938818,opel
0.96714,0.647746,0.116894,0.000011,0.409251,0.915102,0.537631,0.14817,0.99931,0.015984,0.999993,0.353496,opel
0.000098,0.189249,0.611234,0.739655,0.27155,0.79402,0.07893,0.008409,0.99996,0.999913,0.837319,0.022314,opel
0.060485,0.032075,0.868083,0.002125,0.044021,0.190586,0.975625,0.007509,0.999997,0.888674,0.999092,0.996307,opel
0.000096,0.352094,0.337434,0.619944,0.85642,0.557924,0.671132,0.038113,0.994411,0.999877,0.693922,0.015431,van
0.004836,0.338974,0.829161,0.106388,0.792012,0.012436,0.665047,0.237373,0.999985,0.99998,0.429607,0.960367,saab
0.999888,0.993037,0.026178,0,0.101956,0.011418,0.103267,0.907793,0.999911,0.002496,0.999999,0.507797,bus
0.00073,0.068412,0.812298,0.36486,0.443157,0.760477,0.049631,0.047073,0.999996,0.99988,0.865188,0.537547,saab
0.004602,0.859786,0.167019,0.126681,0.973655,0.45372,0.055695,0.967508,0.996858,0.999994,0.132066,0.582165,bus
0.977533,0.505573,0.521487,0.000003,0.412889,0.286522,0.952253,0.048846,0.998403,0.000212,1,0.997565,saab
0.001902,0.93121,0.02646,0.165466,0.965237,0.763206,0.172129,0.754659,0.985108,0.999961,0.414608,0.077886,bus
0.022877,0.857385,0.030239,0.03598,0.982613,0.528106,0.201443,0.978739,0.997669,0.999996,0.099708,0.277333,bus
0.002892,0.863566,0.059202,0.145004,0.98879,0.767271,0.136798,0.914387,0.987454,0.999991,0.137924,0.629614,bus
0.011265,0.476771,0.498071,0.013472,0.981617,0.662555,0.858926,0.471127,0.973181,0.995742,0.942626,0.383988,van
0.000046,0.016243,0.911006,0.858346,0.039393,0.74082,0.250772,0.005233,0.999999,0.999977,0.697807,0.100937,saab
0.999048,0.069137,0.91515,0.000001,0.049227,0.012587,0.70761,0.868382,0.999999,0.047759,0.999988,0.957641,opel
0.993184,0.516485,0.299313,0.000002,0.411457,0.354166,0.872403,0.645572,0.99968,0.023153,0.999986,0.828571,opel
0.000012,0.145822,0.970563,0.961849,0.152002,0.052735,0.986359,0.034465,0.999999,1,0.006,0.207365,van
0.004776,0.581689,0.19748,0.060662,0.854882,0.136335,0.930816,0.354103,0.999255,0.999939,0.531876,0.0236,van
0.011222,0.557607,0.393997,0.030464,0.412789,0.262267,0.849836,0.053641,0.999961,0.999297,0.941318,0.055559,opel
0.003317,0.970356,0.078704,0.193195,0.992534,0.104487,0.04807,0.993009,0.97907,0.999998,0.052689,0.137026,bus
0.0024,0.921843,0.11152,0.12465,0.985703,0.175216,0.593804,0.606884,0.971156,0.999945,0.397498,0.564224,bus
0.998985,0.712328,0.093058,0.000001,0.429043,0.017471,0.764159,0.950976,0.999872,0.224201,0.999931,0.10256,opel
0.000198,0.009765,0.898189,0.389546,0.005538,0.832942,0.459912,0.00234,1,0.994586,0.995398,0.031483,opel
0.00001,0.482471,0.548001,0.960326,0.867767,0.114604,0.258223,0.100855,0.999158,0.999996,0.14253,0.024485,van
0.000124,0.670437,0.534022,0.595992,0.487888,0.821668,0.551983,0.03498,0.999742,0.999886,0.743143,0.102042,bus
0.984934,0.91762,0.293928,0.00003,0.014509,0.740387,0.015863,0.914021,1,0.81216,0.999827,0.128589,bus
0.000048,0.536752,0.685674,0.929464,0.882454,0.017259,0.042253,0.270095,0.999899,0.999999,0.062513,0.03,opel
0.001561,0.475146,0.273095,0.214367,0.782204,0.867858,0.010789,0.184067,0.999831,0.999643,0.925723,0.044846,opel
