@relation 'vehicle_autoencoded-weka.filters.unsupervised.attribute.MLPAutoencoder-N3-L0.01-O1.0E-6-P1-E1-weights-fileC:\\Program Files\\Weka-3-8-S1-seed1'

@attribute hidden_unit_0output numeric
@attribute hidden_unit_1output numeric
@attribute hidden_unit_2output numeric
@attribute Class {opel,saab,bus,van}

@data
0.000002,0.999982,0.53457,bus
1,0.002152,0.400193,opel
0.000006,0.999982,0.509414,bus
0.53074,0.000305,0.973215,opel
1,0.002913,0.000052,opel
0.017643,0.031655,0.017301,van
0.000504,0.00917,0.998732,bus
0.002887,0.000023,0.998073,saab
0.00003,0.002025,0.999987,van
0.999301,0.000065,0.008933,saab
0.987378,0.001619,0.641818,bus
0.005756,0.000025,1,opel
1,0.002528,0.018722,saab
0.000026,0.145067,0.977803,van
1,0.986433,0,bus
0.000907,0.008314,0.999998,opel
0.000001,0.930976,0.991785,van
0.006994,0.746507,0.999957,saab
0.000646,0.050152,0.910221,opel
0,0.999987,0.986997,opel
0.999989,0.000014,0.000388,opel
0.287821,0.000078,0.999418,saab
0.000001,0.438581,0.999688,saab
1,0.510329,0.000203,opel
1,0.407966,0.00208,opel
0.003867,0.000024,0.999999,saab
0.999999,0.004955,0.000207,saab
0.000002,0.999231,0.165169,bus
0.000004,0.99585,0.999766,van
0.999998,0.004013,0.000422,opel
1,0.99997,0.000002,bus
0.001095,0.001312,0.913842,van
1,0.91802,0.011426,bus
0.014668,0.523688,0.041682,van
0.001113,0.012058,0.969601,bus
0.977256,0.201415,0.999706,opel
0.000018,0.030923,0.758381,bus
0.001471,0.000698,0.99992,bus
0.000003,0.991084,0.828611,van
1,0.005074,0.000058,saab
0,0.999928,0.999982,opel
0.00002,0.000106,0.989496,bus
0,0.998226,0.999999,saab
0.999979,0.002908,0.002231,saab
0.898975,0.0019,0.966194,bus
0.348642,0.000363,0.997098,bus
0.064784,0.119698,0.659116,opel
1,0.072204,0.000102,opel
0.003535,0.014815,0.999841,opel
0.993543,0.000072,0.122917,opel
0.000041,0.035093,0.979338,van
0.000297,0.422843,0.847978,saab
1,0.979846,0,bus
0.048905,0.120665,0.999624,saab
0.000125,0.999776,0.858922,bus
1,0.001914,0.000001,saab
0.000143,0.995954,0.615433,bus
0.000131,0.999844,0.385189,bus
0.00005,0.999491,0.70164,bus
0.009107,0.481015,0.063536,van
0.004428,0.00061,0.999993,saab
1,0.090111,0.000092,opel
0.999999,0.161881,0.000008,opel
0,0.001316,0.99994,van
0.000133,0.290626,0.359705,van
0.030775,0.022816,0.571093,opel
0.000004,0.999983,0.59588,bus
0.000022,0.979702,0.147778,bus
0.999997,0.858712,0.000003,opel
0.842482,0.000017,0.999879,opel
0,0.315058,0.999371,van
0.000439,0.040558,0.993543,bus
1,0.973304,0.047572,bus
0.000001,0.894166,0.999706,opel
0.06348,0.867061,0.995201,opel
0.000071,0.995132,0.476206,saab
1,0.02286,0,opel
0.000004,0.953038,0.533537,bus
0,0.017205,0.999991,van
0.999999,0.066081,0.000001,opel
0.007875,0.938477,0.526018,van
0.980098,0.003941,0.002298,bus
0.000135,0.999382,0.678822,bus
0.000003,0.995749,0.997842,saab
0.000155,0.002184,0.996007,van
0.999998,0.00859,0.000002,saab
0,0.003236,0.999984,van
1,0.002808,0.000111,saab
0.000013,0.998886,0.877899,saab
0,0.999993,0.999948,van
0,0.999983,0.999999,saab
0.000009,0.999989,0.39501,bus
1,0.120547,0.002474,saab
0.000005,0.011931,0.982,van
0.006864,0.987867,0.054908,van
0.002457,0.00077,0.988447,bus
0.000028,0.999916,0.418076,bus
1,0.17427,0.000041,opel
0.000109,0.994044,0.149969,bus
0.00336,0.000377,0.999993,opel
0.070399,0.00891,0.960158,opel
0.000002,0.999934,0.490027,bus
1,0.003325,0.000008,saab
0.000412,0.997896,0.134457,van
0.000054,0.999165,0.997475,van
0.002496,0.000151,0.999885,bus
0.380374,0.040814,0.999694,saab
1,0.038581,0.000005,opel
0,0.986787,0.999999,saab
0.000001,0.999164,0.997562,van
1,0.008941,0,opel
0.001175,0.957989,0.532508,van
0.000071,0.000415,0.988249,bus
0.001907,0.439129,0.028724,van
1,0.009767,0.007517,saab
0.002225,0.01237,0.999986,saab
0.005576,0.002641,0.99931,opel
0.999843,0.048819,0.000602,saab
0.999999,0.05555,0,opel
0,0.99996,0.999881,saab
0.745701,0.027978,0.993523,saab
0,0.114631,0.999948,van
0,0.001113,1,van
0.999547,0.000022,0.085722,saab
0.000079,0.999636,0.822995,bus
0.000012,0.999986,0.709314,bus
0.538905,0.000062,0.734081,saab
0,0.000402,0.999993,van
0,0.999891,0.999861,van
0.000002,0.997376,0.065875,bus
0.591194,0.000832,0.048376,saab
0.015939,0.000475,0.999214,van
0.000875,0.000116,0.988157,van
1,0.999705,0,bus
0.000008,0.001329,0.658144,bus
0.000013,0.975936,0.39867,bus
0,0.998963,0.984495,opel
1,0.000686,0.000249,saab
0.000185,0.000095,0.999473,bus
0.973168,0.00414,0.388867,opel
0.000046,0.950459,0.815527,bus
0.000135,0.999884,0.33473,bus
1,0.000044,0.000197,saab
0.005563,0.996799,0.475058,van
0.159156,0.000817,0.135344,saab
0.000011,0.39075,0.991421,bus
0.000176,0.810594,0.587138,van
0.999534,0.039313,0.00046,opel
0,0.99966,0.99898,saab
0.000005,0.542534,0.999958,van
0.000002,0.000059,0,van
0.000659,0.642716,0.961635,bus
0.000022,0.061002,0.999998,van
1,0.999563,0.000001,bus
0.000027,0.001632,0.99871,bus
0.998582,0.021263,0.00023,bus
0,0.996253,0.999753,saab
0.992451,0.000549,0.998463,saab
0.692113,0.004953,0.997629,bus
1,0.117237,0.000147,saab
0.001164,0.035109,0.907737,opel
0.001682,0.000108,0.999507,bus
0.000004,0.000118,0.999999,van
0.000021,0.999315,0.253788,bus
0.000037,0.326011,0.685004,bus
1,0.005608,0.032257,saab
0.999999,0.019978,0.000549,opel
0.999938,0.000221,0.003648,opel
1,0.00008,0.3534,opel
0.993525,0.029266,0.012542,saab
0.072581,0.903306,0.619668,van
0.000048,0.595683,0.994634,bus
0.999996,0.000827,0.000522,opel
0.000124,0.999913,0.92577,bus
0.000001,0.999694,0.993411,van
0.000001,0.672544,0.997978,van
0.999912,0.000012,0.965324,saab
0,0.999954,0.999661,van
1,0.944893,0.000032,bus
1,0.010932,0.000009,saab
1,0.999167,0,bus
0.000004,0.999947,0.385865,bus
0.995756,0.002946,0.000121,saab
0.873901,0.002744,0.999897,saab
0.000005,0.999973,0.361978,bus
0.999608,0.000003,0.355213,opel
0.002374,0.82858,0.990865,opel
0.002887,0.000226,0.995925,van
0.013533,0.076364,0.999465,saab
0.000146,0.000034,0.975647,van
0.999764,0.004251,0.003623,opel
1,0.006794,0.000004,opel
0.000014,0.999977,0.785287,bus
1,0.961388,0.000002,bus
1,0.014987,0.00001,saab
0.000976,0.982452,0.701803,van
0.999997,0.695301,0.005235,bus
0.042929,0.000247,0.980378,van
0.00006,0.358849,0.978054,bus
0.000054,0.152374,0.996898,bus
0.000024,0.96995,0.998399,opel
0,0.999933,0.99768,saab
1,0.053869,0.000025,opel
1,0.037994,0.000004,opel
1,0.994166,0.000001,bus
1,0.000029,0.000418,saab
0.003559,0.000166,0.996687,opel
0.000512,0.000134,0.970839,van
0.000004,0.000076,0.999958,opel
0.999964,0.002846,0.711722,opel
0.000001,0.999881,0.908086,saab
0.000923,0.101882,0.497634,van
0.000009,0.986976,0.072313,bus
0.888446,0.001205,0.010208,saab
0.873082,0.055621,0.532485,opel
0.000128,0.001752,0.593845,bus
1,0.007386,0.0207,saab
0.000699,0.186877,0.624284,opel
0.997358,0.000052,0.068742,opel
1,0.050504,0.000749,saab
1,0.001522,0.6878,saab
0.253953,0.043113,0.247826,saab
0.001372,0.589039,0.193714,van
0.001774,0.973463,0.747172,opel
0.999995,0.002906,0.000014,saab
0.001205,0.725199,0.066884,van
0,0.999677,0.999505,saab
0.000004,0.987032,0.372258,bus
0.089527,0.819286,0.387922,opel
0.259748,0.022715,0.945511,bus
0.018774,0.000695,0.604094,bus
0.043821,0.006734,0.669643,van
0.440221,0.000116,0.5427,bus
0,0.999966,0.999934,van
1,0.989325,0.000158,bus
1,0.015055,0.000925,saab
0,0.959341,0.999974,saab
0,0.999917,0.999868,saab
1,0.020765,0.000019,opel
0,0.999889,0.996998,opel
1,0.996882,0,bus
0.000118,0.998696,0.311636,bus
1,0.006949,0.000142,opel
0.000182,0.530745,0.994952,opel
0.003897,0.700134,0.001813,van
0.994972,0.008937,0.56138,saab
0.000651,0.6209,0.134996,van
0.000001,0.000001,0,van
1,0.055587,0.000005,opel
0.000065,0.999992,0.941512,bus
0,0.00038,0.963373,van
0.009753,0.00088,0.964835,van
0.000144,0.371094,0.123033,bus
0.571678,0.170861,0.002867,saab
0.001566,0.473885,0.98316,opel
1,0.999916,0,bus
0.000045,0.302135,0.937592,bus
0.050062,0.000363,0.999358,bus
0,0.008801,0.980982,van
1,0.000057,0.001566,saab
0.000897,0.168194,0.999927,opel
0.999999,0.788834,0.0003,opel
0.000035,0.000023,0.999422,van
0.999994,0.000791,0.079965,opel
0.000538,0.004079,0.99886,bus
0,0.999143,0.9999,opel
0.000043,0.958434,0.999513,saab
0.000023,0.247793,0.73695,bus
0.434393,0.054261,0.999573,saab
0.005771,0.001997,0.372044,saab
0,0.999992,0.999946,opel
0.000028,0.999775,0.684296,bus
0.000432,0.011708,1,opel
0.007195,0.97935,0.622502,van
1,0.026758,0.00305,opel
0.00004,0.018526,0.988614,bus
0.000913,0.000092,0.999955,bus
0.000077,0.882351,0.38377,bus
0.000025,0.001151,1,saab
0,0.999975,0.981531,van
0.999964,0.052522,0.001353,opel
0.000002,0.000152,0.999998,saab
0.00002,0.999884,0.364698,bus
0.979926,0.001972,0.980228,opel
0.000097,0.047919,1,opel
1,0.036849,0.000123,opel
0.644337,0.012025,0.999861,opel
1,0.002305,0.014861,saab
0.000001,0.011065,0.99974,van
1,0.006594,0.000056,saab
0.999886,0.047528,0.001686,bus
0.003029,0.987015,0.999859,saab
0.000102,0.999773,0.830008,bus
1,0.447751,0.001335,saab
0,0.010606,0.999996,van
0.000009,0.998945,0.993078,van
0.000005,0.99962,0.882175,opel
0.811438,0.010077,0.013239,opel
0.999999,0.000138,0.868553,saab
0.999926,0.005169,0.001482,saab
0.001514,0.979716,0.064851,van
0,0.260426,0.999999,van
0.998237,0.000659,0.00987,opel
1,0.950373,0,bus
0.000254,0.98062,0.054601,van
0.999921,0.00125,0.005389,saab
0.999987,0.033426,0,opel
0.999992,0.269006,0.000229,bus
0.00005,0.003809,0.982027,van
0.000817,0.004221,0.136712,bus
0.004474,0.00064,0.999796,opel
0.113599,0.000301,0.999965,opel
0.000167,0.006491,0.974165,bus
0.999977,0.000245,0.000457,saab
0.000011,0.999769,0.64314,bus
0.000052,0.999695,0.985063,van
0.000003,0.029187,0.621696,van
0.999999,0.018228,0,opel
0.832492,0.000023,0.986763,saab
0.000001,0.000152,0.99985,van
0.999999,0.000879,0.004598,opel
0.131111,0.011601,0.078199,opel
0.00001,0.999987,0.937578,opel
0.98836,0.001199,0.023114,bus
0.000014,0.992133,0.448026,bus
0.000004,0.996332,0.664668,bus
1,0.696985,0.000053,opel
1,0.012224,0.000159,saab
0,0.000032,0.99991,van
0.000007,0.555277,0.947125,van
1,0.000348,0.000015,opel
1,0.998513,0.000285,bus
1,0.024737,0.000001,opel
0.00003,0.997005,0.976728,opel
1,0.05347,0.000016,saab
1,0.157907,0.000009,opel
0.001271,0.642459,0.081226,van
0.987288,0.002279,0.185979,bus
0.000004,0.99999,0.598087,bus
0.999996,0.169821,0.000001,saab
1,0.053115,0.000064,opel
0.394686,0.022866,0.525407,opel
0.000006,0.448048,0.999511,van
0.00077,0.900777,0.014935,van
0.000044,0.994521,0.055318,bus
1,0.010406,0,opel
0.04668,0.018888,0.573292,saab
0.000633,0.988941,0.999189,opel
1,0.007203,0.01435,opel
1,0.022499,0.00014,saab
0.082837,0.000162,0.963823,saab
0.000018,0.999957,0.662139,bus
1,0.537657,0.000071,opel
1,0.99993,0,bus
0.00216,0.008713,0.463658,bus
1,0.001709,0.000169,opel
0.001394,0.798835,0.835395,van
0,0.999987,0.999917,van
1,0.628966,0.001053,opel
1,0.102865,0.000002,opel
1,0.49435,0.000023,opel
0.000001,0.997946,0.999977,opel
0.000202,0.995113,0.998872,saab
0.999306,0.019996,0.01245,opel
1,0.004431,0.000015,saab
1,0.001997,0.056931,saab
0.00915,0.078355,0.999995,opel
0.208314,0.032739,0.589199,van
1,0.458195,0.000047,opel
0.000017,0.999978,0.610428,bus
0.00337,0.134548,0.99953,opel
1,0.089465,0.000771,opel
0.247411,0.000423,0.999998,saab
0.000002,0.67718,0.999547,van
0,0.999993,0.999538,opel
0.001716,0.000004,0.999146,opel
1,0.000218,0.00004,saab
0.000224,0.998125,0.992011,saab
0.000003,0.000064,0.999944,van
0.771429,0.254025,0.986873,saab
0.000002,0.953782,0.994356,van
0.000476,0.009563,0.999999,saab
0,0.00002,0,van
1,0.001786,0.001502,opel
0.031713,0.32578,0.836385,saab
0.995325,0.012865,0.065565,saab
1,0.003057,0.062391,opel
0.415791,0.000071,0.691472,bus
0.000009,0.999985,0.636924,bus
0.920281,0.028419,0.202794,saab
1,0.999904,0.000005,bus
0.999999,0.000166,0.07123,saab
0,0.981554,0.995534,van
0,0.999974,0.9958,van
0.022002,0.000432,0.80312,van
1,0.012766,0.000008,saab
0,0.000281,0.999988,van
0.999944,0.007355,0.002768,opel
1,0.997662,0,bus
0.001052,0.000728,0.407932,bus
0,0.001329,0.999999,van
0.220384,0.000453,0.999716,saab
0.006995,0.016166,0.997382,saab
0.000007,0.182474,0.027232,bus
0.001863,0.938538,0.404379,van
0.00003,0.999978,0.998142,van
0.000023,0.006225,0.986967,bus
0.000169,0.002313,0.972477,bus
0.999999,0.129088,0.00008,saab
0,0.999186,0.999581,van
0.000011,0.999149,0.999144,opel
0.499686,0.124696,0.973525,saab
0.000009,0.999975,0.182951,bus
1,0.000245,0.33624,saab
0.625331,0.007906,0.013348,opel
1,0.454338,0,bus
0.000003,0.980082,0.999428,saab
0.000006,0.99999,0.397508,bus
0.999999,0.006458,0.000001,saab
1,0.588615,0.000007,opel
0.102284,0.322249,0.96025,opel
1,0.02798,0.000913,saab
0.003882,0.474121,0.999595,opel
0.007573,0.000157,0.999993,bus
0.993693,0.000045,0.787465,saab
0.999998,0.008448,0.000002,saab
0.005503,0.74783,0.944773,saab
0.000021,0.999986,0.55136,bus
0,0.003333,0.999969,van
1,0.003958,0.000922,saab
0.003227,0.043679,0.966081,saab
0.002803,0.00207,0.580186,van
0.002186,0.989539,0.068557,van
0.999999,0.007193,0.000023,opel
1,0.00365,0.000104,saab
1,0.009659,0.000004,saab
0.999981,0.037481,0.000024,opel
0.180682,0.000101,0.983409,opel
0,0.930169,0.999639,opel
0.000007,0.999979,0.672914,bus
0,0.469619,0.999367,van
1,0.073222,0.000172,saab
0.999997,0.058521,0.000002,saab
0.99991,0.068151,0.000595,bus
0,0.029521,1,van
1,0.566156,0.000186,opel
0.000005,0.975317,0.999927,opel
0.000031,0.530831,0.999254,opel
1,0.012487,0,opel
0.000018,0.999953,0.567466,bus
0,0.99002,0.999994,opel
0.000012,0.996227,0.537166,bus
0.000191,0.02183,0.988485,saab
0,0.999988,0.980399,van
0.754293,0.179947,0.003898,opel
0.38603,0.5126,0.954514,opel
0,0.127097,0.99912,van
0.967978,0.341617,0.83703,bus
0.000001,0.001935,0.999935,saab
0.162706,0.000063,0.384714,bus
0.000009,0.000029,0.999801,van
1,0.003672,0.000032,opel
0.252547,0.001797,0.999983,saab
0.835746,0.063876,0.998377,opel
1,0.0042,0.000026,saab
0.000009,0.003183,0.999996,van
0,0.00397,0.999993,van
0.000004,0.544903,0.999997,opel
0.00003,0.999996,0.9475,bus
1,0.159564,0.000083,opel
0.010727,0.974044,0.019936,van
0,0.999994,0.999986,opel
0.003863,0.000948,0.999138,bus
0,0.999992,1,saab
0.000118,0.000115,1,opel
0.000255,0.000809,0.999942,opel
0,0.999982,0.999873,van
0.000004,0.968341,0.998596,van
0.999992,0.932029,0.000009,opel
1,0.003293,0,saab
0.000211,0.827224,0.022946,van
0.999175,0.016455,0.998937,saab
1,0.001661,0.001323,saab
0.000264,0.880433,0.999999,saab
1,0.060395,0.000289,saab
0.000004,0.244905,0.876056,bus
0.00001,0.211492,0.67287,bus
0.981925,0.000827,0.003058,bus
0.000001,0.002839,0.998464,van
0,0.945427,0.997479,saab
0.999998,0.016743,0.013475,opel
0.000006,0.999231,0.087071,bus
0.999996,0.000441,0.014582,opel
0,0.999964,0.995657,opel
0.000001,0.997105,0.983886,van
0.000171,0.000099,0.999744,saab
0.000066,0.999969,0.565441,bus
0.608838,0.000634,0.015395,bus
1,0.001077,0.000002,opel
0.997784,0.024685,0.000056,opel
0.000118,0.590061,0.259713,bus
0.999878,0.004914,0.496966,saab
0.344175,0.001235,0.661085,bus
0.008306,0.01354,0.591857,van
0.000058,0.739203,0.770584,opel
0.00551,0.00017,0.999634,bus
0.00032,0.997843,0.999803,saab
1,0.238076,0.000102,saab
0.0007,0.549265,0.999408,saab
0.999998,0.044219,0.000041,saab
0.00003,0.999151,0.997413,saab
0.259876,0.00001,0.999997,opel
0.615164,0.000079,0.942063,opel
0.98423,0.000005,0.930421,saab
0,0.999996,0.999881,van
0.000428,0.806757,0.980162,bus
0.012885,0.903463,0.231278,van
0.000079,0.000085,0.999991,van
0.997545,0.000664,0.000973,saab
0,0.000158,0.999999,van
0.999881,0.000291,0.220408,saab
0.000007,0.998969,0.752391,saab
0.058949,0.573481,0.134133,saab
0.000006,0.000066,0.99669,van
0.002736,0.384752,0.007369,van
0.994674,0.000174,0.897125,opel
1,0.000526,0.000199,saab
0.083669,0.003326,0.17207,van
0.000005,0.999925,0.177456,bus
0.996277,0.009559,0.000104,opel
0.993538,0.000126,0.998958,opel
0.997405,0.338689,0.003933,bus
0.00001,0.002251,0.999945,opel
0.000418,0.032979,0.994928,saab
1,0.006742,0,opel
0.000096,0.985311,0.580298,bus
0.999882,0.014091,0.006921,bus
0.000018,0.999938,0.23483,bus
0.000475,0.031152,0.920135,bus
0.001921,0.496525,0.026783,van
0.088515,0.000111,0.699553,bus
0.001153,0.978496,0.083502,van
1,0.997348,0,bus
0.23152,0.000771,0.999758,bus
0.000008,0.999977,0.822424,bus
0,0.026261,0.999696,opel
1,0.99426,0,bus
0,0.999896,0.999973,saab
0.999874,0.000072,0.003091,saab
0.094615,0.000013,0.99864,saab
0.000058,0.39678,0.354044,bus
0.999996,0.000176,0.008232,saab
0.005231,0.992247,0.317081,van
0.958779,0.000157,0.850145,saab
0.000022,0.999849,0.994466,van
0.000078,0.638791,0.993975,saab
0.000135,0.000594,0.998304,bus
0.000005,0.939552,0.779532,bus
0.111401,0.696842,0.046532,opel
1,0.067498,0.001279,opel
0.999999,0.026267,0.001074,saab
0.489973,0.003716,0.071393,opel
0.000094,0.000011,0.998902,van
0.99999,0.578187,0.000044,opel
1,0.017283,0.000013,saab
0,0.000001,0,van
0,0.007083,1,van
0.01206,0.970561,0.028553,van
0.9913,0.002583,0.988158,opel
1,0.895766,0.000008,bus
0.999987,0.060361,0.000013,saab
0.999892,0.002666,0.023281,saab
1,0.001571,0.000265,saab
0.000264,0.00004,0.721108,bus
1,0.010443,0.000127,opel
0.518014,0.000371,0.980154,saab
0.055176,0.000594,0.185524,bus
1,0.444134,0.00102,opel
0.999999,0.025793,0.000015,saab
0.208335,0.197183,0.999367,opel
1,0.000595,0.000018,saab
0.00536,0.113002,0.103791,van
0.999712,0.000647,0.27988,opel
0.00521,0.033878,0.418623,van
0.000003,0.629533,0.999953,van
0.999998,0.000365,0.182047,saab
0.002243,0.000024,0.942693,bus
0.000002,0.964624,0.999999,opel
0.999988,0.005964,0.00075,opel
1,0.057529,0.000167,opel
1,0.999592,0.000024,bus
0.000003,0.029204,0.384054,van
1,0.999755,0,bus
0,0.999996,0.978054,van
0.0005,0.944299,0.999487,opel
0.999998,0.007164,0.000899,saab
1,0.992841,0.001941,bus
0.999999,0.576796,0.000092,bus
0.002948,0.002403,0.856333,van
1,0.006187,0.000079,saab
0.000242,0.012548,0.999812,bus
0.000007,0.185504,0.997292,opel
0.999552,0.011544,0.006008,saab
0.021426,0.000948,0.591511,van
0.000013,0.999597,0.163673,bus
0.000002,0.197983,0.990515,van
0.000028,0.999962,0.837693,bus
0.000712,0.00084,0.665817,van
0.962267,0.018038,0.000107,saab
0.95628,0.075136,0.998688,saab
0,0.999875,0.999919,van
0.040424,0.00008,0.999739,bus
0.00083,0.00129,0.999994,saab
0.000002,0.019375,0.999203,van
0,0.82957,0.999952,van
0.998173,0.04951,0.000019,saab
0.002754,0.948892,0.996068,saab
0.000027,0.999863,0.326511,bus
0.006521,0.983138,0.005749,van
0.999813,0.000223,0.797833,opel
0.999987,0.000006,0.003117,saab
0.000001,0.797067,0.800574,van
0.999999,0.01184,0.000063,opel
1,0.395109,0.000415,saab
0.000051,0.999899,0.770447,bus
0.425479,0.004459,0.997058,saab
0.000064,0.010122,0.999001,bus
0.998268,0.225504,0.002955,opel
0.002129,0.011218,0.999996,saab
0.000058,0.999935,0.76967,bus
0.999831,0.000294,0.019527,opel
0.993553,0.077595,0.000033,opel
0.000045,0.991505,0.930889,bus
0.000002,0.1211,0.999717,van
0.033511,0.003421,0.989557,bus
0.999578,0.040082,0.055445,saab
1,0.999821,0.000112,bus
1,0.004286,0.001459,saab
0.000013,0.999877,0.999673,van
0.999985,0.008632,0.013071,saab
0,0.000048,0.999344,van
0.990983,0.054278,0.111604,opel
1,0.045528,0.000064,saab
0,0.994973,0.999997,van
0.000014,0.99998,0.732028,bus
1,0.007805,0.000002,saab
0.000001,0.888246,0.999971,van
1,0.020454,0.000014,saab
0.023142,0.784124,0.989313,saab
0.000004,0.999992,0.432273,bus
0.000001,0.021407,0.911455,van
0.999999,0.440856,0.014598,opel
0.999833,0.040508,0.683653,bus
0.000097,0.221279,0.977992,bus
0,0.999996,0.982285,van
0,0.028858,0.99999,opel
0.999999,0.000032,0.000077,saab
1,0.402255,0.000005,opel
0.000563,0.003083,0.997529,bus
0.000285,0.341859,0.987629,van
0,0.995479,0.999541,opel
0.056796,0.003197,0.825679,opel
0.931793,0.000397,0.159717,bus
0.999965,0.000184,0.001435,opel
0.000003,0.997791,0.2791,bus
0.000598,0.617649,0.591152,saab
0.999998,0.35748,0.000099,saab
0.000026,0.976652,0.529859,bus
0,0.999964,0.996729,saab
1,0.42163,0.000025,opel
0.000001,0.967268,0.999398,opel
0.01,0.000268,0.995332,bus
0.000566,0.993637,0.015993,van
0.000057,0.999958,0.824416,bus
