@relation 'vehicle_autoencoded-weka.filters.unsupervised.attribute.MLPAutoencoder-N18-L0.01-O1.0E-6-P1-E1-weights-fileC:\\Program Files\\Weka-3-8-S1-seed1'

@attribute hidden_unit_0output numeric
@attribute hidden_unit_1output numeric
@attribute hidden_unit_2output numeric
@attribute hidden_unit_3output numeric
@attribute hidden_unit_4output numeric
@attribute hidden_unit_5output numeric
@attribute hidden_unit_6output numeric
@attribute hidden_unit_7output numeric
@attribute hidden_unit_8output numeric
@attribute hidden_unit_9output numeric
@attribute hidden_unit_10output numeric
@attribute hidden_unit_11output numeric
@attribute hidden_unit_12output numeric
@attribute hidden_unit_13output numeric
@attribute hidden_unit_14output numeric
@attribute hidden_unit_15output numeric
@attribute hidden_unit_16output numeric
@attribute hidden_unit_17output numeric
@attribute Class {opel,saab,bus,van}

@data
0.000011,0.967975,0.234877,0.515896,0.997055,0.079058,0.000114,0.392691,0.130061,0.859528,0.596743,1,0.984696,0.000008,0.832442,0.087186,0.391388,0.856978,bus
0.000002,0.010778,0.296566,0.965366,0.991571,1,0.116869,0.014412,0.000378,0.000001,0.999997,0,1,0.99577,0.663099,0.954684,0.518998,0,van
0.383826,0.05839,0.086613,0.234991,0.00083,0.196862,0.039158,0.562758,0.209994,0.001004,0.573158,1,0.999996,0.629891,0.534962,0.337305,0.000004,0.955285,saab
0.00001,0.088171,0.457307,0.933463,0.996595,0.207473,0.020617,0.065669,0.07177,0.756322,0.179988,1,0.991532,0.00002,0.772707,0.116129,0.378457,0.06918,bus
0.292981,0.032259,0.257593,0.80612,0.002499,0.349729,0.054472,0.106455,0.137698,0.034674,0.645987,1,0.999848,0.039533,0.812752,0.430109,0.000009,0.138328,opel
0,0.976108,0.765405,0.349019,0.999962,0.717025,0.000093,0.35046,0.719729,0.99984,0.696531,1,0.055361,0,0.138636,0.015655,0.983914,0.83972,van
0.000125,0.179857,0.545608,0.070334,0.917645,0.136585,0.014936,0.628861,0.205927,0.192243,0.630087,1,0.999351,0.000441,0.799698,0.078992,0.031872,0.843961,van
0.002356,0.00202,0.091195,0.658578,0.690879,0.314332,0.371804,0.299151,0.100761,0.99567,0.827218,1,0.653753,0.000001,0.354599,0.555818,0.004868,0.39843,saab
0.862276,0.000193,0.942369,0.015292,0.00006,0.208712,0.92266,0.456181,0.056731,0.001097,0.031093,1,0.999994,0.742765,0.03412,0.350684,0,0.057954,saab
0.000075,0.174447,0.309311,0.189539,0.955162,0.27385,0.01334,0.3882,0.108079,0.20366,0.745577,1,0.999335,0.000404,0.789836,0.127414,0.055902,0.835338,van
0.000006,0.021127,0.121226,0.13393,0.99889,0.150015,0.07999,0.410617,0.513012,0.985235,0.719106,1,0.882332,0.000001,0.647519,0.287307,0.670675,0.915314,van
0.000014,0.990963,0.55689,0.64414,0.997022,0.547562,0.000032,0.355181,0.595134,0.954127,0.517233,1,0.942477,0.000002,0.488025,0.074668,0.396524,0.721383,bus
0.00004,0.080448,0.599933,0.407025,0.974241,0.543792,0.031063,0.575698,0.487217,0.221735,0.594014,1,0.999204,0.000277,0.844673,0.077514,0.094437,0.450736,van
0.000937,0.000067,0.042111,0.454415,0.749048,0.214401,0.93559,0.743796,0.275778,0.873303,0.501051,1,0.986315,0.000045,0.854385,0.938827,0.007601,0.905596,saab
0.000008,0.935141,0.10648,0.643297,0.999191,0.101042,0.000196,0.475822,0.114999,0.999001,0.664119,1,0.292585,0,0.823814,0.080143,0.685342,0.823507,saab
0.000637,0.004756,0.181069,0.841577,0.89753,0.890657,0.215688,0.295081,0.776815,0.998223,0.870712,1,0.432804,0,0.467609,0.248908,0.019856,0.466935,saab
0.2129,0.004326,0.08289,0.836756,0.001378,0.289816,0.29608,0.061509,0.126305,0.000217,0.269668,1,0.999999,0.893075,0.885249,0.596833,0.000007,0.353856,opel
0.000256,0.000012,0.302191,0.509593,0.950592,0.613223,0.984047,0.452284,0.344749,0.986478,0.193843,1,0.869224,0.000003,0.063243,0.9413,0.038087,0.777623,bus
0.996306,0.978727,0.133459,0.919101,0.000002,0.487009,0.000084,0.658022,0.868703,0.000148,0.322488,1,0.999999,0.982064,0.555086,0.075527,0,0.82032,bus
0.000034,0.000022,0.483957,0.183675,0.997311,0.125332,0.973958,0.80628,0.127375,0.999799,0.648299,1,0.105873,0,0.107463,0.871926,0.419373,0.63745,van
0.060948,0.001167,0.159542,0.500318,0.032474,0.217814,0.555269,0.287636,0.132012,0.74772,0.793613,1,0.990784,0.000277,0.676159,0.523182,0.000106,0.450127,saab
0.000065,0.253976,0.480125,0.148511,0.963802,0.194096,0.010263,0.737604,0.329407,0.484686,0.683881,1,0.997385,0.000086,0.890206,0.040917,0.070852,0.758768,van
0.353174,0.000311,0.044885,0.334675,0.000878,0.155199,0.851737,0.099684,0.040388,0.001787,0.640037,1,0.999993,0.535988,0.63906,0.535694,0.000005,0.654607,opel
0.000005,0.657523,0.653664,0.224295,0.999496,0.119294,0.001506,0.410778,0.468261,0.999358,0.495416,1,0.193107,0,0.593401,0.042033,0.808321,0.726577,van
0.117388,0.000056,0.175149,0.357047,0.006891,0.072446,0.95629,0.435644,0.207382,0.059599,0.557505,1,0.999809,0.020523,0.3814,0.837974,0.000026,0.552242,opel
0.000005,0.671288,0.900448,0.808026,0.999541,0.65573,0.001276,0.663802,0.854061,0.999759,0.346272,1,0.076465,0,0.669167,0.061781,0.827366,0.169971,opel
0.000023,0.859431,0.710824,0.05281,0.995949,0.342435,0.000589,0.527141,0.716961,0.996113,0.736041,1,0.594031,0,0.106297,0.027334,0.344256,0.669224,van
0.00001,0.296598,0.282468,0.896126,0.997342,0.257615,0.005376,0.124432,0.077051,0.93095,0.648347,1,0.96719,0.000004,0.635666,0.077871,0.452095,0.262555,bus
0.010114,0.002179,0.049404,0.923396,0.172761,0.216166,0.348885,0.087411,0.084265,0.34651,0.710431,1,0.99845,0.001096,0.56615,0.840885,0.000551,0.449625,bus
0.00013,0.465213,0.956298,0.172406,0.977106,0.131057,0.003243,0.638544,0.227685,0.995112,0.163191,1,0.610728,0,0.200243,0.074592,0.081888,0.085619,opel
0.000011,0.959981,0.507607,0.705066,0.996911,0.666694,0.00015,0.588382,0.698316,0.937267,0.550428,1,0.959124,0.000003,0.832462,0.035651,0.413995,0.546305,bus
0.428415,0.009546,0.273821,0.886567,0.000357,0.425634,0.213822,0.517249,0.376127,0.000165,0.505106,1,0.999999,0.925607,0.709962,0.162659,0.000002,0.176555,opel
0.000018,0.001326,0.247486,0.680526,0.994946,0.532017,0.493136,0.244543,0.330186,0.905298,0.740213,1,0.981741,0.000009,0.925612,0.585382,0.315803,0.605918,van
0.014416,0.001416,0.120314,0.924329,0.066719,0.413615,0.479041,0.053163,0.222295,0.025742,0.311755,1,0.999909,0.024548,0.262752,0.807216,0.000212,0.160676,bus
0.10082,0.334696,0.158471,0.439193,0.004417,0.060635,0.006413,0.777349,0.185139,0.000569,0.420699,1,0.999998,0.627415,0.800426,0.194688,0.000017,0.871982,opel
0.579645,0.001809,0.69737,0.876735,0.000112,0.630661,0.621353,0.781399,0.881354,0.00008,0.312474,1,1,0.964657,0.901455,0.061531,0.000001,0.107643,opel
0.038733,0.001461,0.147114,0.77275,0.086435,0.738725,0.446291,0.489997,0.660071,0.986314,0.88578,1,0.835242,0.000009,0.827066,0.667173,0.000252,0.574388,opel
0,0.983208,0.206293,0.822041,0.999977,0.668943,0.000064,0.373791,0.445504,0.999641,0.686656,1,0.1176,0,0.939811,0.020737,0.990375,0.846504,opel
0.000433,0.014263,0.894781,0.228325,0.901205,0.819238,0.115709,0.839697,0.761779,0.974062,0.678678,1,0.912538,0.000004,0.872644,0.263073,0.021343,0.321693,van
0.074884,0.001606,0.269554,0.295253,0.008376,0.092522,0.543618,0.204644,0.214691,0.009931,0.377511,1,0.999963,0.086243,0.713616,0.520066,0.000032,0.476333,opel
0.005346,0.040846,0.052932,0.73872,0.465084,0.396456,0.034179,0.239354,0.131918,0.979242,0.908389,1,0.891189,0.000008,0.704105,0.480644,0.00197,0.709103,saab
0.00001,0.862495,0.15597,0.754566,0.99812,0.505929,0.000449,0.070516,0.054622,0.972067,0.57389,1,0.912974,0.000001,0.561505,0.087518,0.507686,0.585147,saab
0.348141,0.019934,0.517019,0.748372,0.001483,0.079637,0.082788,0.13838,0.273058,0.004391,0.095508,1,0.999978,0.264753,0.061348,0.600912,0.000005,0.165312,bus
0.000011,0.995022,0.558288,0.242131,0.99662,0.230925,0.000022,0.354134,0.237248,0.776832,0.38179,1,0.989792,0.000012,0.392559,0.058306,0.363176,0.849662,bus
0.00002,0.064187,0.127257,0.729316,0.993301,0.120325,0.027309,0.061053,0.111196,0.717232,0.297932,1,0.993647,0.00003,0.743245,0.242473,0.232589,0.487378,bus
0.272357,0.087994,0.151827,0.917841,0.002394,0.2028,0.018587,0.127312,0.50514,0.006351,0.283843,1,0.99997,0.184273,0.238757,0.584815,0.000008,0.38068,bus
0.000013,0.003258,0.06859,0.10086,0.999126,0.053405,0.27296,0.401954,0.208672,0.99982,0.909552,1,0.094964,0,0.215542,0.548601,0.667422,0.928144,van
0.000171,0.511833,0.794693,0.717076,0.976518,0.837822,0.002191,0.838207,0.931352,0.998674,0.741702,1,0.325656,0,0.961483,0.090816,0.094222,0.62856,opel
0.000099,0.000698,0.235562,0.932974,0.981958,0.553234,0.584546,0.052701,0.190348,0.980011,0.849395,1,0.903355,0.000003,0.488765,0.689129,0.103528,0.148447,bus
0.997958,0.985628,0.246416,0.479283,0.000001,0.131134,0.000065,0.44322,0.511526,0.000021,0.067241,1,1,0.997931,0.13382,0.092591,0,0.761225,bus
0.000183,0.015547,0.510857,0.32384,0.963289,0.61431,0.092696,0.675052,0.6036,0.977472,0.807149,1,0.910565,0.000003,0.888049,0.437942,0.056059,0.8435,van
0.000001,0.16946,0.186155,0.277041,0.999937,0.160036,0.009763,0.283106,0.476006,0.999834,0.753814,1,0.074005,0,0.556354,0.110214,0.968352,0.915355,van
0.003265,0.000138,0.184185,0.962062,0.516821,0.552403,0.857952,0.080148,0.293406,0.926378,0.748227,1,0.969609,0.000032,0.588475,0.879498,0.002517,0.199962,bus
0.000001,0.952014,0.639315,0.531281,0.999928,0.285084,0.000174,0.326029,0.140411,0.999795,0.585964,1,0.069879,0,0.523126,0.021398,0.96837,0.496072,opel
0.4782,0.001896,0.187187,0.570422,0.000339,0.399537,0.526498,0.177819,0.213303,0.00019,0.517774,1,0.999999,0.924415,0.783066,0.385811,0.000002,0.431839,saab
0.014404,0.032575,0.33557,0.206407,0.309649,0.486571,0.043572,0.700892,0.337995,0.996819,0.620513,1,0.54731,0.000001,0.463789,0.52937,0.000869,0.435369,opel
0.270626,0.007433,0.5298,0.122755,0.002281,0.261788,0.209845,0.431169,0.330704,0.011744,0.077261,1,0.999949,0.098408,0.511606,0.644304,0.000008,0.474905,saab
0.000181,0.029438,0.54849,0.362581,0.87777,0.621217,0.075837,0.29954,0.586036,0.186286,0.72058,1,0.999356,0.000545,0.841426,0.10178,0.022077,0.642467,van
0.000008,0.137133,0.112633,0.790344,0.997706,0.164983,0.013783,0.089481,0.17432,0.900757,0.346714,1,0.97734,0.000006,0.794156,0.104992,0.487277,0.471155,bus
0.818337,0.012244,0.385551,0.754989,0.000181,0.893087,0.129217,0.521317,0.861905,0.015463,0.460003,1,0.999922,0.145589,0.914082,0.514256,0.000001,0.245426,opel
0.00017,0.154832,0.96035,0.303083,0.967708,0.346166,0.012641,0.415096,0.639424,0.989987,0.126187,1,0.755777,0.000001,0.421117,0.098444,0.056663,0.066023,saab
0.00004,0.081897,0.206447,0.759132,0.990785,0.326012,0.019235,0.345016,0.312335,0.959185,0.540429,1,0.948704,0.000004,0.597523,0.33832,0.180813,0.54231,bus
0.69179,0.000939,0.326478,0.886192,0.00061,0.978486,0.561367,0.47399,0.962604,0.249445,0.655346,1,0.998647,0.006705,0.954113,0.758039,0.000002,0.32694,opel
0.000009,0.983553,0.424635,0.6739,0.99742,0.500851,0.000063,0.226337,0.51845,0.893874,0.595223,1,0.975941,0.000005,0.470317,0.039301,0.454971,0.792636,bus
0,0.324457,0.099722,0.95662,0.999933,1,0.004909,0.045434,0.00001,0.000008,0.999995,0,1,0.81974,0.499891,0.700645,0.988595,0,bus
0.000461,0.000085,0.771737,0.241839,0.90215,0.171809,0.930741,0.553237,0.171434,0.980218,0.5587,1,0.898013,0.000004,0.338014,0.695525,0.021233,0.213877,van
0.00001,0.00232,0.872925,0.133335,0.998322,0.192584,0.407531,0.405156,0.381751,0.993129,0.159581,1,0.737763,0,0.135414,0.286561,0.562968,0.188724,van
0.000001,0.01166,0.91999,0.147176,0.999913,0.218954,0.124039,0.303845,0.398783,0.999777,0.231053,1,0.083487,0,0.078428,0.188105,0.959114,0.316597,van
0.129275,0.031052,0.051101,0.954841,0.012397,0.870372,0.038789,0.120532,0.923846,0.401028,0.886108,1,0.997807,0.001414,0.130516,0.66975,0.000035,0.767405,bus
0.733554,0.005472,0.718208,0.370749,0.000165,0.370733,0.308729,0.531946,0.181642,0.001248,0.270341,1,0.999993,0.65675,0.236149,0.238505,0.000001,0.367639,saab
0.494745,0.00011,0.090474,0.734613,0.001327,0.91152,0.916485,0.691011,0.922018,0.446998,0.966537,1,0.997406,0.002254,0.911706,0.666093,0.000006,0.766076,opel
0.000131,0.101299,0.125235,0.729451,0.978916,0.570829,0.016134,0.341303,0.421731,0.99713,0.945259,1,0.562268,0,0.890246,0.160251,0.101037,0.770059,opel
0.000012,0.878401,0.480278,0.730535,0.996417,0.426343,0.000462,0.526694,0.422188,0.92886,0.40181,1,0.964691,0.000004,0.834029,0.043416,0.379298,0.338894,bus
0.009501,0.002351,0.172606,0.903867,0.12607,0.233869,0.377989,0.197903,0.319915,0.204048,0.545213,1,0.999177,0.001942,0.090791,0.606632,0.000426,0.402504,bus
0.000041,0.001976,0.150792,0.603574,0.992355,0.307873,0.397078,0.238948,0.096462,0.984883,0.922773,1,0.886278,0.000002,0.758272,0.496209,0.234329,0.72619,van
0.000134,0.020258,0.461119,0.322337,0.924849,0.68261,0.098022,0.253562,0.475115,0.395879,0.607658,1,0.998302,0.000174,0.824495,0.175341,0.034128,0.631866,van
0.000097,0.804712,0.963078,0.843893,0.987703,0.57149,0.000655,0.780674,0.724875,0.999329,0.473084,1,0.176631,0,0.708108,0.053329,0.14763,0.059263,opel
0.000001,0.423798,0.976399,0.101198,0.999946,0.305985,0.00383,0.453421,0.208893,0.999978,0.042981,1,0.007166,0,0.054797,0.020725,0.974092,0.073054,opel
0.000263,0.13315,0.922782,0.080695,0.917794,0.373968,0.017342,0.856893,0.448177,0.916888,0.558126,1,0.97083,0.00001,0.594347,0.100739,0.026267,0.609031,van
0.000499,0.004393,0.869424,0.149632,0.783412,0.483797,0.321604,0.684198,0.505586,0.469631,0.356377,1,0.997428,0.000188,0.610741,0.237036,0.010065,0.212869,van
0.395526,0.010727,0.193154,0.677941,0.002407,0.221229,0.120732,0.099681,0.072015,0.154988,0.685233,1,0.999307,0.009488,0.449461,0.612687,0.000007,0.266125,opel
0.913787,0.001085,0.868593,0.450792,0.000034,0.94244,0.679958,0.660507,0.822783,0.001329,0.412258,1,0.999992,0.716062,0.439125,0.18599,0,0.141619,saab
0.000015,0.941683,0.60365,0.500634,0.995865,0.577826,0.000232,0.600414,0.528277,0.952338,0.323776,1,0.943415,0.000002,0.544075,0.033244,0.347525,0.444206,bus
0.001376,0.000564,0.247115,0.786745,0.525894,0.22289,0.689279,0.585913,0.425443,0.193146,0.239712,1,0.999361,0.001267,0.496869,0.839024,0.002834,0.655556,bus
0.000013,0.838478,0.879969,0.256907,0.998884,0.528371,0.000565,0.683826,0.608589,0.999807,0.118748,1,0.06094,0,0.068281,0.053161,0.608899,0.339672,saab
0.000078,0.210854,0.755289,0.231516,0.949684,0.395615,0.012653,0.790124,0.384857,0.340496,0.343724,1,0.998444,0.000166,0.695731,0.047637,0.051199,0.397002,van
0.000195,0.000057,0.599458,0.238732,0.972293,0.060822,0.943207,0.702622,0.073549,0.995741,0.696314,1,0.689916,0.000001,0.336851,0.871286,0.067549,0.373097,van
0.000013,0.012653,0.979739,0.099092,0.999207,0.743873,0.127126,0.916,0.921875,0.999984,0.058933,1,0.005613,0,0.096626,0.1068,0.725198,0.12512,saab
0.000011,0.022902,0.191126,0.597627,0.996798,0.192859,0.070191,0.269232,0.119027,0.862742,0.457664,1,0.986277,0.000011,0.859892,0.345307,0.41628,0.67896,van
0.000131,0.084643,0.953214,0.154618,0.941227,0.281125,0.031333,0.848682,0.219982,0.616033,0.127657,1,0.994875,0.00006,0.473791,0.07162,0.036949,0.073885,van
0.000028,0.153286,0.153112,0.67114,0.993644,0.239334,0.010834,0.16548,0.236226,0.961287,0.790749,1,0.946136,0.000003,0.482846,0.166586,0.242675,0.633933,bus
0.000017,0.11225,0.098501,0.166345,0.993762,0.979361,0.02363,0.915204,0.086978,0.94337,0.933148,0.999856,0.968026,0.000004,0.840995,0.077738,0.327742,0.03269,bus
0.000548,0.000317,0.644596,0.290099,0.7874,0.354762,0.833384,0.508585,0.500812,0.745103,0.75179,1,0.992579,0.000065,0.498034,0.267101,0.010452,0.329402,van
0.212608,0.006132,0.282102,0.801629,0.004622,0.375185,0.201153,0.128729,0.318268,0.071715,0.376801,1,0.99968,0.01565,0.318626,0.638413,0.000014,0.193482,bus
0.467393,0.025362,0.82598,0.254167,0.002243,0.390125,0.063159,0.557905,0.296703,0.266416,0.326117,1,0.998459,0.004072,0.453287,0.589683,0.000007,0.203783,saab
0.00089,0.000601,0.078158,0.823359,0.922213,0.901625,0.583575,0.714536,0.943238,0.999769,0.923053,1,0.105487,0,0.896618,0.86376,0.025562,0.86809,saab
0.519391,0.000615,0.516589,0.536265,0.003158,0.975127,0.632008,0.87563,0.979035,0.966875,0.783786,1,0.913179,0.00005,0.88245,0.841222,0.00001,0.738106,saab
0.000012,0.436105,0.212968,0.03896,0.998171,0.053977,0.003477,0.273562,0.253912,0.996643,0.839396,1,0.601352,0,0.093526,0.068645,0.522601,0.914102,van
0.477621,0.139159,0.802554,0.28547,0.000567,0.559272,0.020248,0.967919,0.932475,0.004944,0.336111,1,0.999975,0.198829,0.44869,0.108874,0.000002,0.733249,opel
0.000002,0.000044,0.068631,0.978114,0.9876,1,0.976781,0.015674,0.000395,0.000004,0.999992,0,1,0.968815,0.879048,0.296869,0.463798,0,van
0.000017,0.233873,0.255459,0.406363,0.988811,0.085191,0.010566,0.627618,0.096858,0.219823,0.517037,1,0.999254,0.000234,0.854542,0.064624,0.190258,0.760464,van
0.000004,0.000868,0.34935,0.286915,0.999296,0.198788,0.611476,0.610223,0.07892,0.989511,0.372955,1,0.847211,0.000001,0.552143,0.56102,0.760725,0.384056,van
0.00001,0.278619,0.894151,0.273293,0.999155,0.687265,0.006432,0.48669,0.866852,0.999834,0.218426,1,0.051584,0,0.321963,0.042268,0.714672,0.306648,saab
0.000083,0.002123,0.343886,0.596811,0.979342,0.238278,0.401286,0.218051,0.131881,0.962109,0.851673,1,0.948311,0.000004,0.660722,0.346084,0.0986,0.603095,van
0.002786,0.000024,0.097938,0.554614,0.747292,0.391332,0.970379,0.917261,0.491938,0.999671,0.920922,1,0.149075,0,0.669428,0.918172,0.007183,0.821228,saab
0.000005,0.987767,0.514453,0.643653,0.998772,0.325707,0.000051,0.523314,0.221125,0.932726,0.471356,1,0.961771,0.000002,0.592681,0.039291,0.631395,0.468645,bus
0.903197,0.000474,0.108048,0.49746,0.000085,0.948567,0.767498,0.891127,0.971863,0.07759,0.951837,1,0.999674,0.035786,0.85015,0.499457,0,0.968286,opel
0.000007,0.987186,0.344288,0.643346,0.998196,0.288397,0.000049,0.491386,0.255471,0.902661,0.589235,1,0.975779,0.000004,0.814382,0.060713,0.524702,0.675125,bus
0.004713,0.000138,0.558932,0.450449,0.38554,0.451203,0.882586,0.767005,0.764178,0.938842,0.145852,1,0.961437,0.000025,0.374339,0.883901,0.001556,0.38864,opel
0.667992,0.000787,0.0575,0.644407,0.000145,0.480491,0.75124,0.549971,0.496527,0.000819,0.848353,1,0.999996,0.759171,0.866708,0.196054,0.000001,0.724958,opel
0.000485,0.003888,0.964821,0.066777,0.753069,0.098846,0.389295,0.728182,0.108835,0.412536,0.258208,1,0.997856,0.000234,0.086479,0.093526,0.008084,0.062427,van
0.000267,0.000743,0.282004,0.748965,0.954906,0.697374,0.605166,0.278526,0.540678,0.995689,0.772492,1,0.658285,0.000001,0.635654,0.538361,0.045776,0.539872,bus
