@relation 'vehicle_autoencoded-weka.filters.unsupervised.attribute.MLPAutoencoder-N6-L0.01-O1.0E-6-P1-E1-weights-fileC:\\Program Files\\Weka-3-8-S1-seed1'

@attribute hidden_unit_0output numeric
@attribute hidden_unit_1output numeric
@attribute hidden_unit_2output numeric
@attribute hidden_unit_3output numeric
@attribute hidden_unit_4output numeric
@attribute hidden_unit_5output numeric
@attribute Class {opel,saab,bus,van}

@data
0.993121,0.238928,0.984496,0.001413,0.937825,0.99457,opel
0.065821,0.169658,0.999871,0.977397,0.845618,0.056172,bus
0.759161,0.027807,0.999988,0.506293,0.95698,0.998061,bus
0.001538,0.859361,0.999973,0.460501,0.367998,0.01041,van
0.999996,0.170889,0,0.472233,0.061929,0.939066,saab
0.000002,0.970063,1,0.003936,0.326109,0.767504,opel
0.618215,0.009259,0.999996,0.997089,0.767699,0.803058,bus
0.000008,0.703557,1,0.001298,0.985296,0.459625,saab
0.999981,0.238529,0.000134,0.879802,0.683532,0.228353,saab
0.99952,0.465874,0.969487,0.67726,0.975758,0.928548,bus
0.997109,0.033769,0.998653,0.600867,0.925286,0.990477,bus
0.784409,0.097452,0.978952,0.619068,0.882349,0.014116,opel
0.999985,0.621651,0,0.284222,0.194679,0.594357,opel
0.719311,0.122443,0.999979,0.235859,0.859995,0.995637,opel
0.999694,0.005017,0.053311,0.95721,0.997094,0.005481,opel
0.03595,0.240769,0.999787,0.772895,0.514418,0.98911,van
0.125488,0.147958,0.999816,0.808579,0.781779,0.002973,saab
1,0.986354,0,0.561488,0.000246,0.005334,bus
0.762871,0.112765,0.999789,0.048715,0.970861,0.725413,saab
0.003743,0.979237,0.999651,0.017196,0.116512,0.094835,bus
0.999998,0.497343,0,0.962137,0.952126,0.00229,saab
0.014085,0.984668,0.998613,0.100149,0.04325,0.857876,bus
0.002779,0.970373,0.998279,0.024992,0.013927,0.137136,bus
0.00193,0.987319,0.999017,0.029127,0.198294,0.208698,bus
0.057545,0.504283,0.3444,0.506482,0.547866,0.378726,van
0.850756,0.003124,0.999998,0.246927,0.987288,0.978236,saab
0.999997,0.009315,0.000001,0.371104,0.173379,0.00021,opel
0.999964,0.314522,0,0.539277,0.123421,0.013168,opel
0.002917,0.000704,1,0.961722,0.902664,0.342102,van
0.039977,0.150746,0.997561,0.860797,0.030706,0.695096,van
0.861503,0.07723,0.985404,0.857322,0.167573,0.771751,opel
0.000343,0.995429,0.999929,0.039756,0.004865,0.139728,bus
0.005868,0.964699,0.997696,0.657505,0.154866,0.137173,bus
0.999876,0.327518,0.000002,0.599182,0.000373,0.014462,opel
0.998981,0.000985,0.99864,0.461413,0.984725,0.995938,opel
0.003426,0.407255,1,0.69642,0.439007,0.95607,van
0.2927,0.320016,0.999874,0.5427,0.81675,0.965124,bus
0.999996,0.624507,0.001546,0.003913,0.006829,0.249749,bus
0.003471,0.47917,1,0.42056,0.143142,0.760621,opel
0.627868,0.819331,0.998505,0.020102,0.412028,0.978269,opel
0.024986,0.950935,0.999808,0.426053,0.094982,0.021361,saab
0.999995,0.637214,0,0.982783,0.008487,0.110655,opel
0.006381,0.837953,0.999938,0.793395,0.018794,0.41292,bus
0.000196,0.00195,1,0.778466,0.99742,0.009836,van
0.999984,0.331674,0,0.946257,0.002061,0.144864,opel
0.030986,0.324319,0.921385,0.070023,0.181777,0.330692,van
0.99984,0.313656,0.074457,0.991712,0.167014,0.114341,bus
0.008667,0.982381,0.999414,0.039666,0.021166,0.559377,bus
0.000802,0.668456,0.999998,0.035917,0.245913,0.253537,saab
0.197683,0.006407,0.99996,0.891175,0.742214,0.850626,van
0.999991,0.396833,0,0.986068,0.382509,0.002236,saab
0.009924,0.017433,1,0.847788,0.990003,0.815943,van
0.999995,0.101061,0,0.52405,0.914367,0.044408,saab
0.005808,0.989887,0.99997,0.149921,0.115891,0.169183,saab
0.000001,0.997456,1,0.009582,0.318091,0.171179,van
0,0.995718,1,0.001195,0.985257,0.108271,saab
0.00058,0.995036,0.999884,0.03556,0.006121,0.025578,bus
0.999976,0.065062,0.000013,0.08224,0.020542,0.703434,saab
0.011045,0.122353,0.999927,0.898908,0.955626,0.74071,van
0.014301,0.367335,0.680452,0.104284,0.008975,0.283522,van
0.986382,0.632742,0.999958,0.988508,0.795658,0.991294,bus
0.00103,0.985206,0.999406,0.04306,0.006754,0.203135,bus
0.999996,0.070666,0,0.187866,0.025027,0.031691,opel
0.011922,0.934475,0.99683,0.281384,0.063073,0.081413,bus
0.860151,0.004759,0.999998,0.294284,0.989343,0.991564,opel
0.913633,0.008564,0.997178,0.583495,0.908257,0.079332,opel
0.000366,0.997186,0.999914,0.124676,0.097665,0.017123,bus
0.999996,0.316236,0,0.883712,0.055613,0.821179,saab
0.005085,0.47929,0.991284,0.132031,0.002384,0.098007,van
0.001394,0.608906,0.999987,0.007315,0.168822,0.131652,van
0.959358,0.147516,0.999987,0.832338,0.988838,0.998967,bus
0.974807,0.043694,0.999676,0.043142,0.564442,0.992265,saab
0.999995,0.399694,0,0.716221,0.048366,0.174888,opel
0.000013,0.474287,1,0.012236,0.819304,0.92207,saab
0.000145,0.842738,0.999998,0.033765,0.726225,0.013392,van
0.999999,0.569327,0,0.989779,0.023053,0.029802,opel
0.008587,0.42293,0.967321,0.077317,0.177269,0.376514,van
0.44617,0.010657,0.999977,0.98145,0.97119,0.262895,bus
0.039369,0.578879,0.548046,0.808032,0.115408,0.729616,van
0.999998,0.011455,0,0.027338,0.984235,0.00628,saab
0.693885,0.010393,0.999999,0.169036,0.970508,0.774488,saab
0.680702,0.001265,0.99995,0.404114,0.990644,0.058922,opel
0.999876,0.523945,0.000292,0.879835,0.206727,0.095094,saab
0.999988,0.470918,0,0.977287,0.005245,0.024207,opel
0.000027,0.983657,1,0.006163,0.184888,0.31329,saab
0.988768,0.214915,0.983438,0.11046,0.628312,0.995819,saab
0.000459,0.005874,1,0.614145,0.924015,0.073752,van
0.007983,0.000508,1,0.293704,0.983956,0.981267,van
0.999931,0.000433,0.012555,0.967254,0.928883,0.039974,saab
0.002361,0.933223,0.999632,0.016875,0.028935,0.260087,bus
0.000908,0.994775,0.999954,0.031441,0.014826,0.020838,bus
0.993382,0.001111,0.894619,0.968135,0.976181,0.067502,saab
0.002282,0.000456,1,0.944886,0.970868,0.68806,van
0.000005,0.930292,1,0.025697,0.036294,0.574619,van
0.003312,0.997845,0.999756,0.831418,0.046399,0.109258,bus
0.998548,0.039852,0.784316,0.991497,0.046144,0.801364,saab
0.544371,0.000276,0.999169,0.273829,0.76315,0.988437,van
0.546464,0.000687,0.999735,0.965202,0.845416,0.74808,van
1,0.974994,0,0.001279,0.00014,0.013098,bus
0.291986,0.332532,0.999918,0.997881,0.795726,0.694753,bus
0.009762,0.765482,0.999891,0.713405,0.084547,0.014547,bus
0.000174,0.840625,0.999999,0.145739,0.034146,0.148786,opel
0.999999,0.030137,0,0.202299,0.926329,0.378116,saab
0.853331,0.049374,0.999996,0.979144,0.94719,0.994523,bus
0.999609,0.05193,0.800355,0.931535,0.052929,0.85329,opel
0.018576,0.947308,0.99971,0.362295,0.30947,0.561271,bus
0.002681,0.981471,0.998073,0.033676,0.10184,0.008703,bus
1,0.008163,0,0.524647,0.993251,0.074621,saab
0.008944,0.4188,0.947856,0.016965,0.112923,0.043027,van
0.982005,0.022611,0.851332,0.982599,0.962482,0.010901,saab
0.018001,0.480254,0.999987,0.52612,0.552859,0.843617,bus
0.012767,0.210583,0.997944,0.588084,0.126549,0.103724,van
0.99986,0.902533,0.000304,0.927916,0.261358,0.499252,opel
0.000065,0.996841,0.999999,0.014647,0.992017,0.02604,saab
0.004343,0.026961,1,0.126695,0.543821,0.673854,van
0.000004,0.999996,0,0.999976,0.999992,0.999988,van
0.298298,0.821671,0.999843,0.394692,0.605493,0.575481,bus
0.009198,0.005226,1,0.023014,0.952278,0.980558,van
1,0.980924,0,0.010261,0.002155,0.000171,bus
0.484223,0.026643,0.999999,0.977277,0.366065,0.964647,bus
0.999948,0.660854,0.003248,0.977005,0.045901,0.186605,bus
0.000072,0.769249,1,0.059869,0.974652,0.004103,saab
0.998452,0.01057,0.771613,0.037648,0.99684,0.977224,saab
0.997587,0.042761,0.998835,0.34314,0.83105,0.914621,bus
0.999992,0.146212,0,0.149842,0.165791,0.062225,saab
0.509602,0.075185,0.999685,0.911705,0.951631,0.007482,opel
0.966741,0.091684,0.999986,0.947148,0.937318,0.9987,bus
0.057434,0.000298,1,0.625837,0.992719,0.968734,van
0.00214,0.966833,0.999394,0.225646,0.009333,0.139146,bus
0.087926,0.336088,0.999915,0.925615,0.186404,0.129371,bus
0.999997,0.02815,0.000009,0.059272,0.559813,0.808642,saab
0.99999,0.021332,0.000028,0.74392,0.032989,0.045408,opel
0.99997,0.002703,0.000777,0.975979,0.794657,0.004455,opel
0.999999,0.001521,0.000026,0.096243,0.972977,0.822202,opel
0.997026,0.084232,0.006812,0.517363,0.286732,0.373157,saab
0.121497,0.145363,0.833702,0.033599,0.062051,0.691649,van
0.027865,0.583388,0.999969,0.205487,0.703434,0.848116,bus
0.999989,0.058887,0.000008,0.8006,0.850986,0.11292,opel
0.002708,0.97494,0.999834,0.008826,0.012991,0.433694,bus
0.000132,0.731254,0.999999,0.036711,0.166183,0.008993,van
0.00064,0.078401,0.999998,0.370359,0.344937,0.527311,van
0.999947,0.000679,0.027521,0.240886,0.988488,0.984449,saab
0.000003,0.981697,1,0.044602,0.299007,0.034042,van
0.999997,0.975964,0.00001,0.313467,0.012793,0.011854,bus
0.999999,0.459272,0,0.859824,0.013597,0.811092,saab
1,0.992671,0,0.002966,0.005031,0.000356,bus
0.000419,0.996444,0.999797,0.113398,0.041745,0.0268,bus
0.9996,0.168981,0.000627,0.992659,0.326207,0.02412,saab
0.996066,0.007414,0.999004,0.039571,0.904204,0.993852,saab
0.000533,0.990072,0.999908,0.073727,0.004314,0.035038,bus
0.999938,0.000184,0.014239,0.950607,0.99868,0.013857,opel
0.107171,0.048301,0.999874,0.067419,0.541772,0.029143,opel
0.585876,0.002169,0.999375,0.838583,0.838364,0.98383,van
0.826525,0.114087,0.999962,0.183799,0.805282,0.884376,saab
0.435151,0.000592,0.999881,0.995082,0.998492,0.004599,van
0.99983,0.011359,0.001474,0.881553,0.440997,0.011434,opel
0.999999,0.123674,0,0.408478,0.375201,0.106902,opel
0.000874,0.99528,0.999932,0.02349,0.011556,0.142491,bus
1,0.735097,0,0.089084,0.002208,0.001975,bus
0.999998,0.091962,0,0.654654,0.055566,0.107872,saab
0.008416,0.390276,0.99198,0.069805,0.598083,0.009585,van
0.999978,0.738681,0.000229,0.034056,0.256096,0.087202,bus
0.648087,0.001203,0.968319,0.67809,0.999345,0.048117,van
0.096633,0.593327,0.999969,0.685346,0.375304,0.811808,bus
0.104646,0.31116,0.999991,0.607139,0.673146,0.83268,bus
0.003958,0.654236,0.999989,0.027893,0.42403,0.845188,opel
0.000055,0.998761,1,0.070592,0.129903,0.453989,saab
0.999996,0.103981,0.000001,0.73229,0.163404,0.00197,opel
0.999997,0.602213,0,0.533002,0.399167,0.061906,opel
1,0.979513,0,0.039202,0.002074,0.00624,bus
1,0.005001,0,0.616751,0.998878,0.007668,saab
0.917758,0.000654,0.999959,0.915076,0.932118,0.303756,opel
0.403964,0.000928,0.999531,0.980389,0.958824,0.218139,van
0.139618,0.000189,1,0.961877,0.997939,0.032429,opel
0.999932,0.031763,0.008499,0.067868,0.582526,0.993054,opel
0.000649,0.999212,0.999996,0.202158,0.589211,0.007754,saab
0.069939,0.050444,0.986173,0.731361,0.894217,0.017586,van
0.010234,0.958984,0.999594,0.842248,0.02466,0.055075,bus
0.997658,0.021449,0.127949,0.989013,0.489847,0.032629,saab
0.992729,0.383009,0.661051,0.523899,0.348119,0.892664,opel
0.457605,0.107007,0.999374,0.994326,0.949194,0.075324,bus
0.999998,0.014052,0.000001,0.023831,0.951764,0.090468,saab
0.356811,0.204843,0.999363,0.899912,0.058134,0.514304,opel
0.999936,0.002302,0.092189,0.986557,0.191941,0.683972,opel
0.999995,0.012968,0,0.021574,0.468606,0.055904,saab
0.999983,0.004255,0.000225,0.012198,0.941865,0.917614,saab
0.975011,0.047256,0.962638,0.891386,0.071349,0.191656,saab
0.040474,0.235201,0.953704,0.618647,0.742391,0.009566,van
0.045413,0.821516,0.994852,0.09781,0.901215,0.008624,opel
0.99998,0.04216,0.000002,0.976281,0.297858,0.003839,saab
0.055774,0.368201,0.950007,0.756117,0.019593,0.433221,van
0.000031,0.995704,0.999998,0.004009,0.975883,0.411678,saab
0.005442,0.962708,0.999921,0.762885,0.059161,0.101569,bus
0.51166,0.306466,0.924125,0.154414,0.370953,0.047542,opel
0.997951,0.443319,0.999323,0.872271,0.162216,0.926258,bus
0.98143,0.105418,0.995291,0.987501,0.840586,0.494601,bus
0.767298,0.013537,0.959543,0.820653,0.222034,0.86184,van
0.99787,0.050921,0.891186,0.971638,0.916491,0.864658,bus
0.000002,0.994229,1,0.00621,0.840833,0.115991,van
1,0.965558,0.000002,0.012801,0.00141,0.176767,bus
0.999996,0.054188,0,0.126603,0.903336,0.017698,saab
0.000457,0.338023,1,0.052484,0.3235,0.887611,saab
0.000005,0.969732,1,0.031908,0.055065,0.540564,saab
0.999995,0.138922,0,0.552503,0.024241,0.530655,opel
0.00005,0.983868,1,0.057207,0.016969,0.56596,opel
1,0.999881,0,0.182005,0.001785,0.01615,bus
0.007294,0.975745,0.997753,0.093732,0.017341,0.500574,bus
0.999999,0.37696,0.000001,0.606619,0.255419,0.554335,opel
0.017253,0.034319,0.999923,0.10787,0.631106,0.262892,opel
0.112748,0.657353,0.397906,0.943908,0.026284,0.092683,van
0.99958,0.127872,0.357617,0.574681,0.646206,0.684178,saab
0.055475,0.156301,0.988926,0.817209,0.036776,0.10656,van
0.000023,1,0,1,1,1,van
0.999998,0.185709,0,0.355167,0.038182,0.162182,opel
0.000496,0.986706,0.999839,0.001845,0.032948,0.093893,bus
0.000142,0.071288,0.992843,0.975932,0.993725,0.997741,van
0.449264,0.00458,0.985833,0.758364,0.968391,0.68525,van
0.172837,0.802636,0.9976,0.952993,0.29132,0.139848,bus
0.991813,0.466799,0.383679,0.957497,0.007134,0.281601,saab
0.576554,0.692967,0.999947,0.719224,0.108913,0.879539,opel
1,0.99767,0,0.034747,0.000298,0.000018,bus
0.221822,0.66892,0.999986,0.920459,0.132402,0.707881,bus
0.991241,0.064695,0.999887,0.773201,0.961539,0.99077,bus
0.002767,0.048962,0.999998,0.987764,0.817168,0.405772,van
0.999996,0.003952,0,0.70183,0.998179,0.007047,saab
0.217186,0.142018,0.999992,0.051086,0.94604,0.938294,opel
0.999935,0.220235,0.000009,0.092632,0.096616,0.001953,opel
0.286175,0.000328,0.999996,0.98839,0.997707,0.087361,van
0.999961,0.012055,0.000151,0.341277,0.865626,0.706154,opel
0.53126,0.090042,0.999963,0.614495,0.889536,0.990631,bus
0.000047,0.938181,1,0.003667,0.383186,0.964968,opel
0.021872,0.186208,1,0.091315,0.056992,0.533478,saab
0.042998,0.461456,0.999832,0.898382,0.337339,0.419575,bus
0.946216,0.082501,0.998239,0.019925,0.771588,0.996331,saab
0.889889,0.052086,0.9932,0.988631,0.307554,0.632802,saab
0.000001,0.995734,1,0.006455,0.085355,0.672413,opel
0.001247,0.99042,0.999429,0.027025,0.124471,0.159318,bus
0.158783,0.009344,1,0.01026,0.992799,0.996766,opel
0.012259,0.428232,0.889318,0.018791,0.613937,0.086244,van
0.99999,0.004563,0.000002,0.050268,0.05749,0.399812,opel
0.095699,0.032375,0.999979,0.843989,0.884049,0.224221,bus
0.932578,0.028686,0.999998,0.865941,0.966762,0.998961,bus
0.030089,0.986548,0.996734,0.645909,0.581078,0.624744,bus
0.150048,0.000468,1,0.161183,0.98609,0.959915,saab
0.000044,0.986034,0.999999,0.06141,0.061685,0.011619,van
0.99995,0.408365,0.00027,0.747859,0.087621,0.315056,opel
0.268188,0.001209,1,0.955391,0.839618,0.982074,saab
0.001304,0.974375,0.99972,0.094219,0.039236,0.005725,bus
0.998512,0.082539,0.73942,0.207935,0.992967,0.848467,opel
0.02254,0.003141,1,0.003268,0.983087,0.994731,opel
0.999998,0.183756,0,0.149589,0.507613,0.092643,opel
0.962559,0.022812,0.997322,0.011293,0.987397,0.980769,opel
