@relation 'pendigits_autoencoded-weka.filters.unsupervised.attribute.MLPAutoencoder-N9-L0.01-O1.0E-6-P1-E1-weights-fileC:\\Program Files\\Weka-3-8-S1-seed1'

@attribute hidden_unit_0output numeric
@attribute hidden_unit_1output numeric
@attribute hidden_unit_2output numeric
@attribute hidden_unit_3output numeric
@attribute hidden_unit_4output numeric
@attribute hidden_unit_5output numeric
@attribute hidden_unit_6output numeric
@attribute hidden_unit_7output numeric
@attribute hidden_unit_8output numeric
@attribute class {0,1,2,3,4,5,6,7,8,9}

@data
0.000509,0.976095,0.006964,0.995007,0.407492,0.00868,0.019614,0.968936,0.993668,1
0.998116,0.59864,0.944824,0.00008,0.149472,0.997417,0.137785,0.783345,0.981076,5
0.005653,0.95342,0.698987,0.004348,0.518605,0.901759,0.988514,0.922754,0.004329,8
0.99528,0.142113,0.997344,0.546095,0.87943,0.089359,0.794953,0.851108,0.006164,6
0.753752,0.039654,0.019741,0.862975,0.054864,0.031065,0.008397,0.992485,0.079938,4
0.995364,0.394248,0.974743,0.000142,0.078956,0.002486,0.670653,0.940628,0.006104,0
0.247048,0.00847,0.001112,0.991876,0.859105,0.782621,0.081697,0.723062,0.234786,4
0.008603,0.9805,0.973543,0.183489,0.791218,0.986696,0.989717,0.939425,0.010874,8
0.571707,0.565206,0.685639,0.999672,0.987536,0.997888,0.705981,0.048738,0.010121,1
0.022041,0.755383,0.608814,0.165063,0.798104,0.016716,0.998652,0.478738,0.98283,8
0.998868,0.266213,0.9547,0.000067,0.073844,0.995987,0.093954,0.12834,0.965224,5
0.094314,0.071592,0.894221,0.780733,0.018131,0.929383,0.991937,0.957326,0.88227,7
0.99947,0.252365,0.039154,0.00002,0.981281,0.015507,0.003003,0.993558,0.208126,0
0.341502,0.999923,0.001184,0.000344,0.995759,0.009835,0.000019,0.998941,0.998954,9
0.02318,0.059923,0.867849,0.998528,0.882865,0.00954,0.962864,0.347579,0.77799,3
0.99969,0.663602,0.875733,0.000061,0.070335,0.9967,0.15063,0.723987,0.943008,5
0.747004,0.161193,0.987879,0.937779,0.225209,0.011221,0.126878,0.309928,0.001013,4
0.799295,0.380042,0.001112,0.992965,0.008932,0.004635,0.075424,0.033984,0.959195,9
0.078451,0.298874,0.915187,0.999222,0.027137,0.990411,0.990914,0.625632,0.976686,2
0.036207,0.035771,0.945524,0.838312,0.555133,0.989485,0.998043,0.918808,0.983655,7
0.999328,0.723439,0.699671,0.000044,0.080863,0.993325,0.311577,0.791573,0.959055,5
0.998481,0.138654,0.991131,0.604733,0.80173,0.026018,0.827639,0.86642,0.002831,6
0.012484,0.071558,0.323143,0.999622,0.600192,0.010851,0.976294,0.911452,0.950234,3
0.00223,0.011435,0.022367,0.99896,0.747823,0.215042,0.84651,0.698445,0.97873,3
0.899434,0.488288,0.999236,0.749244,0.416345,0.021609,0.996311,0.004519,0.006812,6
0.006641,0.027652,0.731195,0.994858,0.979816,0.079898,0.994028,0.399895,0.705896,3
0.072778,0.878149,0.890867,0.996214,0.099306,0.987809,0.996761,0.849289,0.911884,2
0.999733,0.575784,0.713631,0.000049,0.130531,0.996785,0.075861,0.977102,0.966362,5
0.134308,0.008702,0.002658,0.990817,0.944719,0.63446,0.155225,0.193626,0.674709,4
0.018874,0.021894,0.816408,0.99937,0.789526,0.00658,0.967394,0.650237,0.861806,3
0.002859,0.090482,0.036367,0.998439,0.991701,0.955012,0.751399,0.106264,0.986013,1
0.998386,0.063939,0.864623,0.000178,0.682989,0.018453,0.067898,0.827471,0.00542,0
0.002835,0.111878,0.024737,0.997898,0.842357,0.363781,0.611087,0.818557,0.996358,1
0.8877,0.032109,0.04656,0.518565,0.040695,0.048197,0.001109,0.990849,0.0325,4
0.999081,0.453334,0.889114,0.000081,0.017166,0.995598,0.059095,0.395495,0.68993,5
0.007031,0.036113,0.490575,0.997453,0.93786,0.03607,0.958548,0.515064,0.967002,3
0.208425,0.781157,0.932546,0.996293,0.044121,0.989149,0.990127,0.880114,0.947634,2
0.992676,0.316577,0.420549,0.000037,0.891313,0.006953,0.084278,0.995868,0.067001,0
0.983763,0.200141,0.996538,0.92602,0.896313,0.089865,0.96642,0.133467,0.001176,6
0.00057,0.902553,0.993296,0.617593,0.992616,0.998319,0.970296,0.790654,0.022465,8
0.004241,0.193464,0.895993,0.999906,0.83775,0.01352,0.833171,0.01931,0.987015,5
0.998694,0.416717,0.000655,0.000101,0.999129,0.219863,0.000127,0.998089,0.951225,0
0.126754,0.136834,0.930633,0.999272,0.58503,0.006365,0.911691,0.630334,0.931592,3
0.023661,0.016929,0.780045,0.979341,0.672341,0.995561,0.995332,0.544542,0.992793,7
0.08375,0.894233,0.98099,0.428693,0.531834,0.997403,0.995253,0.151748,0.013929,8
0.008324,0.047424,0.677975,0.999891,0.860923,0.297772,0.826949,0.01095,0.987999,5
0.977711,0.200251,0.991136,0.541325,0.917636,0.231291,0.983981,0.024056,0.01459,6
0.15473,0.858912,0.866852,0.015145,0.234996,0.993047,0.991028,0.626263,0.003422,8
0.999237,0.422269,0.987078,0.000209,0.645261,0.003209,0.028393,0.073109,0.999047,8
0.026934,0.026013,0.147077,0.999481,0.717119,0.024014,0.964947,0.109949,0.057151,9
0.999491,0.341096,0.050416,0.000031,0.97003,0.010908,0.002079,0.991457,0.10781,0
0.950445,0.118953,0.873024,0.781331,0.152048,0.010741,0.158944,0.971457,0.006719,4
0.00335,0.339478,0.003127,0.996236,0.226555,0.013582,0.01961,0.940827,0.959533,1
0.012257,0.659642,0.987038,0.998549,0.983484,0.009076,0.133721,0.007165,0.036571,9
0.393614,0.121796,0.974957,0.5578,0.039716,0.986313,0.988883,0.931751,0.863888,7
0.99915,0.27086,0.790239,0.000026,0.231239,0.003591,0.111689,0.95444,0.011346,0
0.98793,0.209194,0.997645,0.956194,0.795456,0.045904,0.960707,0.379687,0.002828,6
0.004852,0.078832,0.781622,0.999052,0.94569,0.008738,0.96627,0.464166,0.915614,3
0.001623,0.058253,0.26941,0.998605,0.907797,0.007387,0.975911,0.862546,0.964542,3
0.756598,0.944051,0.997539,0.990384,0.07169,0.908744,0.995221,0.730034,0.71956,2
0.865264,0.202275,0.913446,0.989454,0.083607,0.012518,0.13134,0.765443,0.006437,4
0.014044,0.889527,0.977251,0.985565,0.331068,0.985925,0.996279,0.653268,0.825588,1
0.998565,0.360532,0.995125,0.982658,0.423001,0.015937,0.965382,0.919402,0.013864,6
0.999666,0.705861,0.88079,0.000076,0.030668,0.991643,0.028123,0.826161,0.898395,5
0.990776,0.356864,0.099684,0.000139,0.225821,0.999311,0.934383,0.977874,0.985849,5
0.045879,0.091823,0.893923,0.932454,0.006668,0.00407,0.997054,0.487592,0.941844,7
0.998679,0.037774,0.294241,0.000142,0.919966,0.035285,0.015602,0.976249,0.008728,0
0.993362,0.963549,0.556109,0.000033,0.952799,0.003723,0.034344,0.990918,0.052388,0
0.005544,0.029164,0.018796,0.997835,0.953024,0.275791,0.056424,0.057425,0.009843,9
0.999952,0.854059,0.962373,0.000129,0.071308,0.979389,0.02848,0.896276,0.801935,5
0.995783,0.329499,0.996573,0.366413,0.380105,0.007108,0.968095,0.704236,0.009876,6
0.975859,0.118413,0.450022,0.784079,0.071581,0.015082,0.023548,0.993534,0.011019,4
0.231843,0.006973,0.830685,0.266263,0.635284,0.019131,0.991902,0.834907,0.90466,7
0.001988,0.911184,0.128306,0.998412,0.035977,0.01444,0.095436,0.950174,0.937173,1
0.999775,0.550302,0.301092,0.00001,0.62551,0.002727,0.009142,0.992268,0.147774,0
0.000842,0.717432,0.006777,0.997281,0.506034,0.083931,0.16762,0.950371,0.990304,1
0.70943,0.985686,0.00849,0.99024,0.004265,0.054987,0.017466,0.146136,0.996203,9
0.994532,0.789259,0.998563,0.972636,0.356761,0.257331,0.993739,0.005683,0.025349,6
0.004674,0.956386,0.051095,0.998184,0.273205,0.989091,0.993337,0.98213,0.916952,2
0.998719,0.02787,0.087571,0.000022,0.937226,0.027942,0.009871,0.988439,0.33948,0
0.017316,0.045328,0.869492,0.998977,0.929602,0.005923,0.903302,0.665238,0.678198,3
0.997779,0.016893,0.414693,0.000133,0.609996,0.010738,0.133706,0.993108,0.089111,0
0.999852,0.885616,0.986919,0.000119,0.187473,0.007131,0.170368,0.011669,0.988805,8
0.998965,0.424569,0.001508,0.000029,0.99824,0.081533,0.000116,0.996382,0.982122,0
0.013087,0.021634,0.92949,0.999237,0.900409,0.021163,0.985954,0.062353,0.913742,3
0.99453,0.951478,0.579524,0.000082,0.88628,0.002496,0.017189,0.995859,0.096234,0
0.999487,0.013095,0.172673,0.000163,0.799567,0.023256,0.003135,0.987481,0.044716,0
0.999533,0.572348,0.89929,0.000089,0.050124,0.996831,0.035343,0.468216,0.732806,5
0.175486,0.342993,0.993435,0.992723,0.032414,0.003649,0.04699,0.958086,0.077878,4
0.961112,0.043206,0.996098,0.929025,0.965325,0.195575,0.79543,0.630018,0.001443,6
0.999413,0.338367,0.021217,0.000018,0.974644,0.023749,0.003751,0.997787,0.574095,0
0.995137,0.337378,0.994516,0.570924,0.660685,0.017089,0.966178,0.159814,0.002242,6
0.998967,0.395394,0.84753,0.000138,0.033243,0.001425,0.22022,0.48827,0.979352,8
0.017244,0.050931,0.279077,0.999664,0.793143,0.004826,0.107792,0.016721,0.945139,9
0.920846,0.025473,0.369948,0.922756,0.791593,0.044526,0.101798,0.967144,0.005819,4
0.99981,0.377723,0.821663,0.0001,0.024822,0.993409,0.251632,0.95534,0.883168,5
0.292368,0.964859,0.996803,0.990595,0.502204,0.582936,0.996965,0.001258,0.230325,6
0.244858,0.96165,0.989749,0.987194,0.25591,0.993602,0.998443,0.513119,0.928611,2
0.126514,0.08168,0.293466,0.999676,0.909864,0.011597,0.230739,0.118906,0.856444,9
0.996601,0.487326,0.426727,0.000159,0.145537,0.293744,0.961034,0.008084,0.41185,8
0.980669,0.388911,0.072756,0.000167,0.077479,0.997924,0.931575,0.898377,0.892326,5
0.998542,0.011555,0.343667,0.000216,0.940331,0.058093,0.023538,0.955966,0.0145,0
0.997784,0.308273,0.005728,0.000024,0.996006,0.039604,0.000567,0.992295,0.900488,0
0.998815,0.339975,0.391296,0.00003,0.872404,0.005897,0.030556,0.955344,0.016161,0
0.874313,0.187909,0.776803,0.959558,0.008745,0.003032,0.103434,0.992191,0.010832,4
0.011256,0.024162,0.000827,0.998608,0.305283,0.802007,0.140546,0.89152,0.647494,7
0.014644,0.015402,0.781368,0.995557,0.969643,0.040097,0.962896,0.217167,0.598337,3
0.003678,0.007475,0.003338,0.997781,0.915844,0.272971,0.09648,0.027305,0.05198,9
0.181054,0.910138,0.977802,0.996668,0.12356,0.991276,0.993847,0.700933,0.894002,2
0.99955,0.560421,0.815989,0.000085,0.022135,0.992374,0.096486,0.915984,0.801561,5
0.567574,0.299482,0.004986,0.998506,0.722761,0.004304,0.032239,0.076085,0.980735,9
0.995817,0.576841,0.996255,0.001964,0.019856,0.003068,0.890843,0.444503,0.001605,0
0.900615,0.445088,0.994629,0.983419,0.784106,0.833469,0.998402,0.005873,0.024303,6
0.577336,0.987182,0.999006,0.039818,0.185222,0.003627,0.983025,0.036477,0.003067,0
0.891201,0.619273,0.998696,0.993181,0.135966,0.004171,0.99513,0.007352,0.008552,6
0.987012,0.348123,0.994662,0.909905,0.820883,0.033563,0.990742,0.02619,0.008184,6
0.005521,0.972966,0.001465,0.984692,0.880161,0.007869,0.00064,0.984281,0.985522,1
0.548258,0.045926,0.655391,0.955062,0.39912,0.016015,0.033903,0.622691,0.001929,4
0.994314,0.297664,0.333531,0.004346,0.620731,0.009996,0.000469,0.669603,0.006305,0
0.999445,0.055134,0.007463,0.000072,0.992584,0.287131,0.000491,0.993541,0.457855,0
0.993188,0.450445,0.99757,0.698593,0.609087,0.010363,0.969214,0.059946,0.005244,6
0.204522,0.892194,0.977717,0.998381,0.043894,0.986899,0.995828,0.277855,0.918208,2
0.002751,0.073925,0.093091,0.998872,0.975381,0.299701,0.251479,0.02673,0.011068,9
0.99947,0.263837,0.716478,0.000051,0.140769,0.998864,0.107114,0.821749,0.829457,5
0.001148,0.066263,0.222213,0.997429,0.901248,0.014817,0.99429,0.890398,0.976121,3
0.002537,0.972054,0.001393,0.991248,0.899567,0.006685,0.00482,0.984047,0.989008,1
0.822365,0.140308,0.619968,0.963305,0.021787,0.003487,0.059558,0.989722,0.008288,4
0.817001,0.990508,0.995907,0.993555,0.020397,0.74337,0.994198,0.984101,0.481534,2
0.972168,0.552736,0.998662,0.958933,0.014311,0.017985,0.445129,0.616207,0.016162,4
0.002137,0.95312,0.001159,0.993831,0.998741,0.401688,0.056667,0.683387,0.998755,1
0.000587,0.776119,0.008142,0.997721,0.147369,0.026788,0.062344,0.941927,0.9863,1
0.000755,0.887514,0.320287,0.989839,0.8941,0.972021,0.994304,0.997115,0.992678,1
0.995618,0.174096,0.992602,0.220733,0.74292,0.020074,0.955296,0.610975,0.002602,6
0.019946,0.091792,0.00021,0.997167,0.978322,0.977954,0.629771,0.201391,0.890605,1
0.259948,0.781051,0.564481,0.999257,0.084969,0.049966,0.015707,0.027015,0.998936,9
0.997649,0.540042,0.85011,0.000055,0.430188,0.070474,0.381271,0.338984,0.998854,8
0.933099,0.744993,0.995352,0.995557,0.010431,0.016312,0.564853,0.139303,0.006755,4
0.195191,0.046477,0.985624,0.419561,0.092813,0.996525,0.981341,0.74589,0.972043,7
0.005259,0.057019,0.781996,0.999291,0.932969,0.011361,0.984279,0.277215,0.880549,3
0.002814,0.003956,0.261872,0.995765,0.3592,0.018449,0.849448,0.574247,0.970806,1
0.059043,0.912309,0.801719,0.999383,0.925789,0.117301,0.022642,0.065001,0.999773,9
0.429449,0.164197,0.885379,0.784981,0.270529,0.004846,0.99879,0.87194,0.899467,7
0.299585,0.059334,0.013935,0.937568,0.003602,0.003655,0.007258,0.98379,0.109327,4
0.002968,0.116905,0.268545,0.998325,0.912437,0.00931,0.979818,0.872167,0.845669,3
0.995484,0.307306,0.989972,0.000495,0.050324,0.004083,0.882308,0.838944,0.003025,0
0.018758,0.015584,0.980227,0.933194,0.92374,0.999166,0.996035,0.239756,0.977027,7
0.013521,0.204016,0.710625,0.999765,0.767716,0.636147,0.658552,0.001733,0.995011,5
0.998692,0.502874,0.441603,0.000085,0.004414,0.031297,0.96629,0.171449,0.426492,8
0.002682,0.037541,0.712731,0.99641,0.967591,0.018321,0.986166,0.141906,0.907126,3
0.965597,0.067973,0.997845,0.957553,0.954504,0.24936,0.953823,0.231098,0.003247,6
0.99979,0.967023,0.90776,0.000072,0.210274,0.992316,0.085606,0.822079,0.970164,5
0.002588,0.959457,0.857291,0.999373,0.715979,0.994992,0.983301,0.540083,0.964982,1
0.999837,0.448476,0.830369,0.000106,0.021495,0.994919,0.18618,0.90516,0.891293,5
0.002445,0.283267,0.002044,0.997807,0.966097,0.459841,0.14782,0.841949,0.998245,1
0.001817,0.896268,0.606586,0.999152,0.010286,0.004117,0.303264,0.830476,0.922136,1
0.001509,0.8837,0.013598,0.99842,0.00695,0.002708,0.048345,0.971161,0.91001,1
0.01062,0.019298,0.005299,0.999013,0.797288,0.017304,0.451795,0.038336,0.269685,9
0.941817,0.125667,0.939774,0.912642,0.05038,0.008769,0.061549,0.951642,0.007801,4
0.999258,0.309951,0.757115,0.000061,0.049449,0.998115,0.655923,0.847086,0.951322,5
0.001196,0.125533,0.002913,0.998037,0.183369,0.097877,0.072722,0.956131,0.884665,7
0.02874,0.085134,0.777049,0.185402,0.009843,0.000822,0.993913,0.892564,0.859039,7
0.048989,0.078851,0.980025,0.362773,0.394238,0.998206,0.987928,0.592238,0.958365,7
0.99931,0.379923,0.904708,0.000088,0.144629,0.002681,0.191287,0.955971,0.015321,0
0.001014,0.106836,0.025748,0.998758,0.928276,0.049421,0.916353,0.685711,0.986759,3
0.994745,0.779167,0.998386,0.942054,0.172676,0.005464,0.986346,0.015115,0.006018,6
0.022513,0.560542,0.002501,0.998772,0.982544,0.115085,0.050776,0.578606,0.035885,9
0.996134,0.624123,0.997173,0.979829,0.803219,0.525537,0.995884,0.007257,0.028563,6
0.163949,0.39208,0.586063,0.99978,0.411997,0.004327,0.025511,0.153529,0.980762,9
0.99871,0.680275,0.005297,0.000025,0.993337,0.018649,0.000289,0.997071,0.780187,0
0.007075,0.317093,0.186089,0.995173,0.14465,0.024228,0.006307,0.234401,0.002182,9
0.783418,0.195207,0.993045,0.588352,0.01634,0.978063,0.971175,0.907987,0.79231,7
0.000232,0.477188,0.041606,0.997253,0.134709,0.002981,0.145266,0.829279,0.988249,1
0.999279,0.49272,0.967082,0.000238,0.009946,0.002283,0.439284,0.946115,0.010018,0
0.018288,0.037781,0.712333,0.999302,0.972737,0.150328,0.921171,0.027287,0.015307,5
0.998848,0.473062,0.989154,0.000899,0.063265,0.003116,0.682971,0.827231,0.005553,0
0.046826,0.050848,0.744342,0.999705,0.946309,0.254764,0.779471,0.016497,0.007984,5
0.00035,0.903268,0.044306,0.99835,0.99315,0.961235,0.747536,0.969823,0.994959,1
0.006064,0.111043,0.024979,0.999178,0.804675,0.013349,0.443102,0.172,0.005525,9
0.918744,0.285919,0.983638,0.989552,0.231057,0.020527,0.128306,0.37326,0.003307,4
0.409176,0.016235,0.014339,0.943937,0.782355,0.160678,0.001877,0.715411,0.014668,4
0.481458,0.011976,0.001222,0.962239,0.371652,0.350296,0.010813,0.938293,0.369091,4
0.999835,0.911807,0.977429,0.000062,0.169916,0.984235,0.006581,0.767021,0.983927,5
0.010594,0.104517,0.927392,0.997846,0.306155,0.996383,0.993935,0.101066,0.94876,2
0.89676,0.449586,0.992473,0.989595,0.70508,0.880242,0.997413,0.00229,0.063621,6
0.936194,0.107097,0.096087,0.000376,0.011446,0.033766,0.988592,0.709312,0.058486,8
0.004783,0.959904,0.199029,0.999273,0.070526,0.65771,0.925592,0.989276,0.920737,2
0.002406,0.318553,0.004312,0.998109,0.24501,0.079218,0.089456,0.944858,0.969083,1
0.001962,0.961762,0.002539,0.993654,0.523719,0.003801,0.006402,0.985088,0.972631,1
0.011117,0.023548,0.943644,0.998886,0.95332,0.010776,0.942796,0.158015,0.806969,3
0.998106,0.388431,0.80856,0.000111,0.779499,0.248632,0.381768,0.00451,0.972862,8
0.266548,0.008213,0.003878,0.975602,0.961941,0.38378,0.025282,0.413571,0.102861,4
0.031037,0.133116,0.913901,0.789817,0.171052,0.985984,0.9975,0.942028,0.984306,7
0.106795,0.016209,0.595973,0.996695,0.997095,0.988951,0.885939,0.005218,0.474325,1
0.999288,0.607752,0.932851,0.000084,0.088212,0.994661,0.010988,0.189521,0.894318,5
0.005179,0.011349,0.089024,0.999131,0.336237,0.681801,0.655794,0.566407,0.991021,7
0.998232,0.913895,0.922893,0.000061,0.225979,0.995049,0.077255,0.858028,0.984371,5
0.996145,0.704171,0.906672,0.000324,0.004706,0.083664,0.858907,0.020899,0.027903,8
0.999803,0.943793,0.963344,0.000061,0.113829,0.980948,0.033052,0.643176,0.66067,5
0.948149,0.439162,0.960537,0.96919,0.030294,0.009228,0.043784,0.712271,0.005825,4
0.976962,0.06919,0.9955,0.975044,0.954239,0.153256,0.967647,0.316837,0.005294,6
0.010101,0.16681,0.611471,0.999127,0.058621,0.974199,0.97338,0.899917,0.975911,2
0.002096,0.058133,0.610922,0.998617,0.964056,0.021666,0.981097,0.206675,0.913999,3
0.956221,0.743303,0.999111,0.982492,0.024758,0.01719,0.670078,0.091395,0.011631,4
0.17737,0.032679,0.011057,0.911407,0.023459,0.070577,0.006024,0.951679,0.005179,4
0.011639,0.926724,0.951015,0.029734,0.827952,0.997966,0.990414,0.349488,0.016459,8
0.939129,0.208611,0.996633,0.474807,0.790949,0.021194,0.986374,0.018941,0.014704,6
0.631461,0.977311,0.99439,0.983699,0.115357,0.943605,0.992956,0.776452,0.800429,2
0.999246,0.686509,0.966202,0.000134,0.050734,0.996282,0.522314,0.730717,0.559859,5
0.99986,0.705662,0.936237,0.000055,0.055232,0.9862,0.016397,0.539783,0.932431,5
0.990319,0.294393,0.995965,0.874578,0.899169,0.044793,0.984364,0.041382,0.00509,6
0.466022,0.142488,0.970095,0.283105,0.016503,0.946366,0.974633,0.942479,0.771271,7
0.46532,0.677112,0.96157,0.656668,0.024512,0.981064,0.982371,0.977368,0.755119,7
0.00286,0.918465,0.001416,0.994835,0.913335,0.062941,0.036293,0.980733,0.989256,1
0.016243,0.015337,0.635281,0.970519,0.401533,0.960337,0.993871,0.843785,0.983184,7
0.11702,0.950627,0.355622,0.998216,0.981671,0.009549,0.940824,0.946954,0.958951,1
0.004187,0.006934,0.578638,0.997851,0.970342,0.163252,0.981347,0.24326,0.632015,3
0.996977,0.979339,0.948698,0.000099,0.020861,0.038906,0.179251,0.61282,0.986553,8
0.035476,0.864471,0.01613,0.998732,0.915253,0.00782,0.007721,0.244472,0.008012,9
0.999669,0.399454,0.087072,0.000012,0.977712,0.009245,0.007691,0.992519,0.082777,0
0.003782,0.067278,0.774091,0.996932,0.982578,0.038768,0.973204,0.108662,0.885641,3
0.999289,0.55066,0.892508,0.000043,0.06285,0.001361,0.093542,0.942198,0.016383,0
0.251737,0.209179,0.971009,0.657524,0.02098,0.938191,0.989306,0.907459,0.914948,7
0.0067,0.929289,0.992971,0.549859,0.732136,0.992456,0.993257,0.069181,0.01304,8
0.565717,0.979838,0.960463,0.9857,0.055845,0.979992,0.988021,0.970965,0.924879,2
0.028541,0.097265,0.39476,0.999788,0.871263,0.011968,0.204258,0.003903,0.95073,9
0.974061,0.048608,0.99,0.410298,0.714989,0.00745,0.032591,0.16181,0.001967,0
0.167195,0.999881,0.000408,0.001629,0.998596,0.056809,0.000011,0.998267,0.99963,9
0.020607,0.997876,0.992788,0.99923,0.197715,0.015242,0.019971,0.006641,0.970537,9
0.008283,0.949742,0.000281,0.993038,0.91693,0.029895,0.019131,0.997814,0.948238,1
0.883543,0.119782,0.868188,0.931342,0.684012,0.041043,0.013375,0.535552,0.002655,4
0.945776,0.242501,0.998771,0.553519,0.863228,0.203848,0.989356,0.005771,0.014401,6
0.102393,0.150247,0.819918,0.999169,0.512301,0.00497,0.929569,0.721486,0.950914,3
0.003563,0.716969,0.415529,0.999147,0.036318,0.761321,0.992653,0.986797,0.88625,2
0.988721,0.380019,0.99451,0.971783,0.950828,0.844576,0.995829,0.008675,0.06269,6
0.997519,0.009343,0.357654,0.000466,0.844076,0.125783,0.007849,0.993383,0.022937,0
0.25768,0.11469,0.003505,0.984831,0.267629,0.992948,0.782431,0.028544,0.289461,8
0.998005,0.08015,0.812381,0.000263,0.737225,0.018913,0.038655,0.610723,0.004867,0
0.945502,0.363174,0.085109,0.00059,0.003129,0.879753,0.995047,0.297421,0.019321,8
0.02221,0.297751,0.016382,0.998948,0.973987,0.100739,0.01329,0.346133,0.011526,9
0.007695,0.068732,0.751,0.996805,0.977174,0.021436,0.945557,0.53115,0.771927,3
0.999125,0.838935,0.979763,0.000098,0.85796,0.001682,0.015257,0.219008,0.999276,8
0.618031,0.524896,0.97375,0.979308,0.900437,0.970343,0.997185,0.004994,0.066339,6
0.946422,0.023668,0.895957,0.210634,0.982595,0.05234,0.935199,0.405917,0.019824,6
0.012226,0.758173,0.767285,0.994655,0.108701,0.987284,0.996024,0.668739,0.969396,2
0.999461,0.139303,0.253766,0.000013,0.912982,0.005149,0.018165,0.982984,0.041007,0
0.021313,0.999719,0.982957,0.999289,0.140977,0.035192,0.038267,0.004467,0.977544,9
0.000759,0.041285,0.013133,0.99877,0.078696,0.107586,0.183934,0.771244,0.977737,7
0.996721,0.374178,0.310193,0.00012,0.949543,0.016187,0.007556,0.991776,0.026689,0
0.999748,0.474176,0.806281,0.000394,0.636633,0.00921,0.083886,0.066364,0.952441,8
0.378938,0.533428,0.241506,0.001852,0.092824,0.994888,0.990332,0.96292,0.004529,8
0.968656,0.363122,0.983114,0.982058,0.005153,0.004721,0.250878,0.986997,0.02125,4
0.990401,0.657636,0.996717,0.939376,0.042047,0.010972,0.128185,0.237504,0.008313,4
0.983344,0.112047,0.993268,0.968166,0.796162,0.048354,0.973309,0.733016,0.001975,6
0.952441,0.612251,0.99858,0.96123,0.157787,0.06496,0.99438,0.016816,0.00299,6
0.903519,0.243176,0.978873,0.99436,0.01302,0.007285,0.167763,0.945101,0.016576,4
0.999658,0.009532,0.048791,0.00004,0.959808,0.075015,0.002433,0.993738,0.320431,0
0.00339,0.737863,0.114436,0.999219,0.998071,0.97256,0.956777,0.796365,0.996642,1
0.012422,0.689353,0.697661,0.997888,0.084264,0.98819,0.997112,0.72728,0.857877,2
0.015557,0.298074,0.694527,0.955391,0.114983,0.818896,0.997655,0.99564,0.818175,7
0.005094,0.064877,0.022153,0.996193,0.768615,0.020953,0.989136,0.815431,0.845649,3
0.981094,0.08466,0.115639,0.174958,0.030496,0.051422,0.00114,0.980394,0.006042,4
0.003116,0.026467,0.0589,0.999201,0.948349,0.516629,0.952904,0.014684,0.115297,9
0.957896,0.154622,0.989066,0.947448,0.959948,0.345566,0.992868,0.030516,0.020899,6
0.262869,0.128055,0.933076,0.999506,0.9455,0.511365,0.909058,0.019026,0.007747,5
0.175548,0.971352,0.900362,0.995824,0.033112,0.98099,0.988951,0.649702,0.852295,2
