@relation 'pendigits_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.55-A5-M-1'

@attribute 0.424input6-0.419input14+0.375input8-0.346input16+0.302input4... numeric
@attribute -0.475input10-0.445input9-0.387input11-0.316input12+0.301input15... numeric
@attribute '-0.451input1+0.4  input7-0.342input11-0.34input2+0.306input5...' numeric
@attribute class {0,1,2,3,4,5,6,7,8,9}

@data
2.292697,-0.973971,0.064079,3
2.56335,-1.39539,0.886735,3
-0.584951,1.549743,-3.364364,6
2.142396,-0.38031,-0.756588,3
1.805308,2.194772,1.092614,2
-3.594061,1.597866,2.863541,5
1.024352,-2.043241,0.374754,4
2.021352,-0.86311,-0.840352,3
2.767788,-0.785277,1.002258,1
-3.924954,-0.810698,-0.906148,0
2.444372,-1.337593,1.665085,1
-1.916095,-2.379111,0.554402,4
-3.513177,1.874416,1.573417,5
2.219724,-0.8937,-0.077597,3
1.482077,2.21321,1.18596,2
-3.734189,-1.389235,0.639886,0
-0.970454,0.676828,-3.040919,6
1.423976,1.737329,0.255379,8
2.826682,-0.774162,-0.953958,5
-3.613979,-3.459016,3.118139,0
1.519504,-0.556111,-0.723424,3
2.145778,1.686108,1.296742,7
0.360901,2.616611,-0.425428,8
2.841379,-0.444137,-0.549369,5
-0.931709,1.040785,-2.437783,6
-0.735441,2.162345,0.110947,8
-3.120356,-0.231742,0.443791,8
1.755083,-1.197419,-1.706888,9
-4.448653,-2.451093,0.969105,0
-1.590884,-0.990958,-1.091716,4
1.469373,-2.871419,1.59249,1
1.237634,-1.324122,-2.587522,9
0.239979,2.364791,1.136896,7
-4.439093,-0.722151,-0.391016,0
-0.969418,0.646714,-2.781854,6
2.337154,-0.945228,-0.671837,3
2.553584,-1.308803,0.156163,3
0.649991,2.638024,-0.066877,2
-0.795493,-0.927988,-1.66064,4
1.861227,2.2675,0.706647,1
-1.225328,0.57115,-2.115658,6
-3.724527,1.615595,2.132842,5
-2.051848,2.031714,3.384384,5
1.065731,0.639913,-0.324103,7
-4.026398,-1.674396,-0.076768,0
-3.872146,-1.44835,0.556712,0
1.314361,-2.445005,-1.158249,9
-4.096463,1.621161,1.681625,5
-1.842073,0.685796,-2.182554,6
-1.901193,-1.580133,-0.360734,4
0.17432,0.058353,-0.035942,7
1.674416,-1.587148,1.26449,1
-4.832991,-1.628745,0.792115,0
2.209517,-2.041002,2.060837,1
0.21757,-1.257902,1.55377,9
-0.582424,1.992227,-2.868174,6
2.489027,0.956839,2.209451,2
-4.05834,-1.922243,1.133945,0
1.783816,-1.142206,-1.012833,3
-3.680112,-1.197781,0.358533,0
-3.564018,0.677344,-0.186047,8
-3.864437,-3.360738,3.094797,0
2.319962,-0.293353,-1.30611,3
-3.831577,-1.579756,0.738258,0
-4.248301,-2.049953,0.389191,0
-3.614325,1.777823,1.658452,5
-0.156671,-0.875679,-0.963968,4
-0.943864,0.144798,-2.458875,6
-4.243915,-2.319562,1.902683,0
-1.652219,0.622266,-2.844863,6
-3.373053,-0.146206,0.530878,8
1.886857,-2.167233,-0.941214,9
-1.123107,-1.722814,-0.964274,4
-3.595347,1.942225,2.201131,5
1.148061,2.139254,-2.053314,6
1.462197,2.966294,0.674734,2
1.504974,-1.919493,-0.874777,9
-2.657012,1.179603,-0.353011,8
-2.090866,1.85215,2.666205,5
-3.80612,-1.548183,-0.171876,0
-3.812707,-2.972248,2.33885,0
-4.282399,-1.515502,-0.09764,0
-1.249234,-1.212415,-0.774694,4
1.656151,-1.924386,1.41128,7
1.785319,-0.761983,-1.114812,3
1.617891,-2.585709,-0.814132,9
1.566376,2.469598,0.732771,2
-3.614347,1.725229,2.110587,5
0.788984,-2.810339,0.084328,9
-3.252839,0.900243,-2.10092,0
0.391508,2.094179,-2.489222,6
-1.361269,1.266592,-2.5369,0
-0.009094,1.127736,-3.595824,6
-0.775105,0.881784,-3.031169,6
0.957807,-3.792546,2.409902,1
-0.842713,-1.764913,-1.693856,4
-3.55998,-2.307735,-0.632969,0
-4.045745,-2.643096,1.919829,0
-1.42549,0.756299,-3.007535,6
1.717667,2.611413,0.376287,2
1.747836,-1.866437,-1.505998,9
-3.471459,1.762936,2.203316,5
2.701819,-0.923329,0.410333,3
1.420188,-3.52533,2.33658,1
-1.171209,-1.565047,-0.791724,4
0.390015,2.407138,0.266888,2
-1.255763,0.619276,-1.898411,4
2.344461,-2.622079,2.459834,1
2.0694,-2.250852,1.943575,1
2.754532,0.816163,2.70832,1
-1.987302,0.468446,-2.333326,6
2.124084,-1.529084,1.371918,1
1.223579,-1.008031,0.521583,9
-2.807025,0.537966,1.519938,8
-0.644428,0.470485,-2.439597,4
0.53431,2.547106,1.363913,7
2.437252,-0.744668,-0.930721,3
2.055339,-1.223985,0.191222,1
1.910749,-1.099139,0.899534,9
0.450432,0.502506,-0.30895,7
-0.758597,-2.584295,0.506837,4
2.294241,-1.221555,-0.104972,3
-3.416531,0.624492,-1.495739,0
1.994951,2.319579,0.803952,7
2.66747,-0.039434,-0.320092,5
-3.233558,1.115713,0.006538,8
2.386523,-0.728459,-0.804779,3
-0.616134,0.721585,-2.709253,6
-3.538985,1.852234,2.345844,5
2.891857,1.606597,1.238977,1
-3.617398,1.991682,2.135601,5
2.438255,-2.204897,2.280678,1
1.815286,-1.027446,0.489602,1
1.540018,-2.30817,1.423556,1
1.745839,-2.482228,-0.956029,9
-1.506177,-0.974457,-1.244923,4
-3.070875,2.368761,2.356341,5
1.870476,-2.396241,1.573331,7
0.205839,0.072508,0.113324,7
0.900941,2.479995,1.330023,7
-4.226251,-0.448796,-0.553882,0
2.774054,-1.594096,0.837661,3
-1.118114,1.129909,-3.391042,6
1.196264,-2.941875,-0.226791,9
-0.419932,1.905687,-2.776331,6
1.298287,-1.889132,-0.361507,9
-4.122599,-3.151253,2.335485,0
0.42042,-2.320771,-1.281461,9
-0.267886,2.49907,0.7862,7
2.239909,-2.250276,1.239978,1
-4.09833,0.216187,-0.804503,0
1.73266,-0.806271,-2.261434,5
-3.635117,0.388873,-1.445813,0
1.54342,-0.786346,-2.432521,5
3.083232,-0.707448,2.568592,1
1.443311,-2.37787,-1.59864,9
-0.886663,-0.601394,-2.265207,4
-0.647754,-2.879939,-0.295708,4
-0.197845,-2.558686,1.079435,4
-3.850973,1.504044,2.233514,5
2.471464,2.04334,0.456194,2
0.548189,2.100381,-2.354118,6
-2.312856,0.422872,0.059597,8
2.195661,0.186492,1.744906,2
1.882042,-2.235982,1.743963,1
1.365991,-3.316194,2.069071,1
2.046434,-0.778696,-1.351628,3
-2.753134,0.576505,0.132008,8
0.209343,-2.620039,-0.090707,4
1.408022,2.154342,1.714285,7
1.754527,0.186232,-0.957135,1
-3.534599,1.537727,1.61248,5
2.400354,-0.705114,1.144419,7
-3.109088,1.82769,2.638368,5
-3.159365,1.363104,-1.092196,8
-3.956704,1.668836,1.449545,5
-1.370507,-0.799401,-1.652673,4
-0.541143,0.548035,-2.622296,6
2.355764,1.15259,1.44074,2
2.576238,-0.853957,-0.65325,3
-0.87305,0.850084,-2.550558,4
-0.767459,-2.410487,0.071251,4
0.184452,2.258212,0.30912,8
-0.903032,0.852587,-2.813508,6
0.712187,2.52026,0.352512,2
-3.258326,2.506357,1.406673,5
-3.930543,1.569779,1.820521,5
-0.96775,0.800235,-3.040365,6
-0.235985,2.061305,1.043233,7
0.091096,2.279163,1.344663,7
1.775095,-2.809601,2.386515,1
1.914523,1.154439,1.280183,7
1.598271,-1.103016,0.376545,1
2.299108,-0.630486,-0.816572,3
-3.179449,0.87813,1.398203,8
0.638616,-3.213563,-1.120299,9
-4.611739,-2.120013,0.834946,0
2.316391,-0.685951,-0.831059,3
-4.469049,-0.573849,-0.481665,0
0.418521,2.150602,1.064097,7
0.9018,2.36112,-0.725807,8
0.818671,2.330323,1.392343,2
2.029017,-1.749118,-1.191612,9
-2.091178,-1.058692,-2.569354,0
-1.473454,-3.98457,4.908255,9
1.416918,-0.404241,-0.658601,9
1.271349,-3.389067,2.535202,1
-1.272901,-1.520324,-1.704315,4
-0.733502,1.506541,-2.864306,6
1.583139,-0.709449,-0.466239,3
2.392792,0.841857,1.395542,2
-0.088288,1.855046,-2.329387,6
-3.698159,-1.56954,0.417835,0
0.963588,-0.02983,0.408728,8
-3.832432,-0.991634,-1.063724,0
-2.11523,1.762055,0.317269,8
0.975556,-2.926802,-0.842026,9
1.950026,-0.9843,-0.671691,3
-3.274058,-0.575336,0.845694,8
0.841798,1.960153,-1.760499,6
-1.167092,-0.333799,-1.702016,6
2.219215,1.947508,1.322598,2
-4.548225,-1.792431,0.277663,0
1.540603,-0.104468,-0.36676,9
2.274306,-1.812927,1.362628,7
-3.90537,-1.874171,0.462158,0
-3.349266,-0.410054,-0.064104,8
-1.357779,1.782783,1.060281,8
-1.271262,-0.290311,-1.108567,4
-1.662972,0.046729,-2.249298,4
-0.859883,0.431696,-2.544899,6
-0.515509,1.631208,-3.184116,6
-0.809277,-0.528617,-1.411925,4
-4.288576,-2.201218,1.292075,0
3.104457,-0.176775,1.795599,1
2.264678,1.878418,0.991166,2
1.478861,1.251145,1.422714,7
2.156575,-1.273948,0.251058,3
-2.712764,-2.004233,0.082698,4
2.398755,-0.926067,-1.209465,9
-0.178455,1.028906,-2.49423,6
1.17254,0.020104,-2.503187,5
1.405543,2.167084,0.858749,2
-0.89102,1.487807,-2.98761,6
1.647904,1.585715,1.643464,7
-0.370602,1.104832,-3.08506,6
0.687336,-0.777712,-2.708482,5
2.702534,-0.88909,0.227989,3
1.918829,2.287076,0.996028,2
0.806782,-0.368775,-2.968816,5
-0.494771,1.896266,-2.81825,6
-0.620553,-2.097798,-1.155002,4
2.285761,-0.999871,-0.588064,3
0.77663,1.015684,0.693029,8
1.352243,1.478468,0.948621,2
-3.070212,2.118775,2.270342,5
2.595358,-0.930907,0.254887,3
3.035265,-0.173344,-0.8281,5
2.077129,1.4894,1.831788,7
-0.934558,-0.644825,-1.784865,4
2.13029,-0.968335,0.035186,3
1.431894,-0.87022,-2.311823,5
1.340724,-3.184252,2.520935,1
2.415826,-1.130237,1.917802,2
1.54581,-0.220609,-2.328232,5
0.042399,1.390751,-0.529997,8
2.084093,-1.400831,0.473964,8
-1.596354,-0.645013,-1.756479,4
0.68085,0.956511,0.764301,8
2.411225,-0.481281,-1.702198,5
0.403699,-2.314206,-1.010554,9
2.49957,-0.876576,-0.355834,3
-3.239937,-2.719153,2.084833,0
2.090184,0.958725,1.512209,2
0.303101,2.315127,1.791223,7
1.650128,0.56578,1.400791,1
2.45912,1.409105,1.747174,1
1.24633,-2.655175,1.719348,1
-0.997317,-0.518466,-1.517682,4
0.59279,1.878789,1.159978,7
2.164896,0.100975,1.313017,7
-3.340049,-0.678426,0.063953,8
2.271499,-2.371956,2.469763,1
1.512086,-2.226776,-1.016708,9
-4.233933,-1.813603,0.292796,0
-0.287724,2.021716,-3.174644,6
0.03017,0.843381,-1.716201,6
-0.538307,2.081569,1.434502,8
0.184403,2.340454,-0.78353,2
1.715286,-1.065937,-0.532868,3
-0.74058,2.137046,0.634043,8
1.485999,1.330896,0.801959,2
-2.103947,2.525087,2.247662,5
1.927505,-0.371361,-0.718074,3
-0.601702,0.797121,-2.976604,6
2.080168,-1.2338,-0.031787,3
2.204082,1.315686,1.438078,2
1.626499,1.364176,0.663483,2
-0.709278,1.054149,-2.932467,6
0.421611,2.487127,-0.12753,2
-3.814303,0.185859,-0.927686,0
-0.24881,2.283364,0.087435,8
1.516499,-2.061286,-0.956756,9
0.54422,2.709063,0.977832,7
-3.034052,1.686236,3.078509,5
-1.447817,-2.210597,-1.150402,4
2.034423,-1.23555,-0.954456,3
2.325107,-1.053391,1.604588,1
1.394293,-2.396854,1.55784,1
-0.044741,1.357439,-2.572808,6
1.159046,-2.610686,-1.77228,9
-3.473494,-3.680834,3.05043,0
2.553009,1.62863,1.435586,2
-4.321986,-2.860069,2.870964,0
1.562008,2.062699,1.135876,2
-0.971743,3.144138,-0.204301,8
-3.916505,-2.250245,0.877524,0
1.308293,2.53411,1.002303,2
-0.417472,1.511162,-3.159506,6
-1.349352,0.896994,-2.995943,6
0.839491,-3.539851,1.945196,1
0.306414,2.520338,1.530888,7
0.656143,-1.276723,-2.142944,9
1.351799,2.462748,0.150489,2
1.267536,2.667573,0.962171,2
-1.826655,-0.590092,-1.070672,4
-3.109309,2.000637,2.195761,5
2.521978,-0.894157,-0.248738,3
-0.534667,-2.47269,0.815017,4
1.515442,1.84524,0.762932,2
1.305083,2.769501,0.311239,2
-1.497225,2.639344,-0.404439,8
-3.480753,1.880714,2.557653,5
-4.361914,-2.432258,1.260909,0
-2.273989,1.031953,-0.185551,8
1.913024,-1.206824,-0.491546,3
-3.960894,-2.087402,1.452415,0
0.75006,2.527763,1.302277,7
2.089382,-0.482752,-0.856361,3
-1.695674,0.58047,-2.116549,6
1.700605,2.336216,2.245749,7
1.309351,2.962937,-0.268281,2
1.513086,-3.132112,2.593658,1
-0.525747,-1.853562,-1.832581,4
-3.925256,-1.687426,0.795141,0
1.702856,-1.948515,0.913009,7
1.353219,1.262993,-0.140413,7
-1.25321,0.451456,-2.309625,6
-2.440573,0.646621,-1.722417,0
1.54918,-1.048158,-0.411473,3
-0.307466,1.724748,0.251139,8
-0.604115,1.477382,-2.926114,6
0.177196,2.084177,-2.401249,6
-4.636625,-1.299711,0.510274,0
-3.610229,-0.691081,-0.091201,8
1.436902,2.213506,0.937335,2
1.796929,-1.000501,-0.636262,3
2.174938,-1.034856,-0.652127,3
0.464473,-2.774265,-0.449693,9
-3.614275,1.353234,2.421066,5
2.308153,-2.262763,1.933499,1
-3.560149,0.920845,-2.543232,0
2.048591,-2.527797,-1.574843,9
-1.633558,0.755372,-2.779865,6
1.493715,0.034018,-0.605449,1
-1.127309,0.9543,-3.111433,6
2.084672,-0.961871,-0.969962,3
1.709523,1.571144,1.507706,7
-1.267817,2.425473,0.145983,8
2.640804,-0.420938,0.930609,1
1.786029,2.020738,1.250972,2
1.686801,0.036876,-2.663768,5
1.855703,-2.039249,-0.540187,9
0.686641,2.668599,0.419097,2
2.642304,-1.060846,0.765484,3
-1.360942,-1.725124,-0.113985,4
2.434693,-1.058878,1.183187,7
0.29242,2.44951,1.093371,7
-3.185375,-0.029259,-0.085929,8
-1.369111,-0.351409,-2.048782,4
1.932973,-0.939301,-0.438,3
1.698845,-0.683032,-0.476358,9
0.722877,2.315409,1.072193,7
-2.315021,2.107952,0.891515,8
0.940969,0.083954,-2.933999,5
-4.806421,-1.015208,0.680097,0
2.474137,-0.672981,-0.251792,3
-3.352058,-3.10416,2.675028,0
1.011966,2.629671,-0.219491,8
-1.227473,-1.327327,-1.165493,4
1.68755,1.626471,1.336929,7
-1.471739,-0.129477,-2.187386,6
-3.152433,2.306368,1.525906,5
1.184771,1.919705,0.889201,2
2.198172,-1.746688,1.385805,2
-1.726926,-2.302044,-0.160846,4
-2.223647,0.898531,-2.196905,0
2.3026,-0.832713,-0.455427,3
-4.129707,-1.814228,0.481268,0
0.405595,2.096398,1.30871,7
2.227338,-0.892224,-0.535798,3
2.083736,-1.177235,-0.405438,3
-0.900602,-3.081786,1.021466,4
2.724465,-0.425812,-1.249654,5
1.894995,0.584121,-2.146587,5
1.273516,-0.081911,0.019606,7
1.678117,1.256535,1.475019,7
-0.771014,-0.600433,-0.837585,4
2.918779,0.147773,-1.06254,5
-4.516621,-1.041818,-0.437796,0
1.696015,-2.474633,-0.717562,9
2.351579,-1.986845,1.77139,1
1.597435,-0.169425,-2.174183,5
1.691572,2.471149,0.856218,2
-0.362854,1.864163,-2.952356,6
2.224252,-0.657517,-0.300967,3
2.496182,-1.11594,2.249976,1
1.457073,2.918097,-0.143782,2
2.830757,-0.612625,0.079069,5
1.425349,-2.296063,-0.597755,9
2.279256,-1.852024,-0.745735,9
1.2168,1.044013,0.434313,8
0.179515,2.536725,0.1675,8
-1.41625,-2.068082,-0.03084,4
0.612418,0.889377,-0.117242,7
0.765557,2.169759,-2.406155,6
2.438082,-1.569868,-1.566735,9
-0.967095,-4.006855,3.519084,0
-1.008372,0.301301,-2.268625,6
-0.109802,-3.135117,-1.674023,9
-0.104398,-3.411583,-1.326585,9
1.143768,1.772026,2.416923,7
-1.497785,0.955847,-3.127482,6
-1.322697,1.623439,-2.511848,0
2.080949,2.43641,0.75402,2
-3.436234,-2.110142,0.627725,0
2.417797,1.921033,1.209492,2
2.642614,-0.078576,-1.195278,5
0.647829,2.108121,-2.237,6
1.94353,1.721142,1.494745,7
-0.811187,0.448237,-2.750956,6
-2.249347,2.096491,3.185764,5
-4.652863,-1.578754,0.350206,0
-4.013195,-0.558852,0.30862,0
-4.187996,-3.234003,2.772527,0
1.250055,-0.041367,-0.685707,9
-2.966466,2.174263,1.7757,5
1.470646,2.866847,0.897686,7
-1.651255,-2.239631,-1.288995,4
2.243527,-1.436362,-0.148131,3
1.445795,1.71714,0.857597,2
2.357105,1.073364,1.964435,1
2.349796,-1.594093,2.049997,1
-2.624801,1.849765,3.508551,5
2.235138,0.981781,2.092407,2
2.397208,-1.019013,0.581042,3
-4.254774,0.24899,-0.490961,8
1.933691,-0.138443,-2.270517,5
1.847554,-2.214444,1.298277,8
1.397913,1.483436,1.062725,7
-4.248156,-1.043222,-0.494164,0
1.467174,2.19395,1.832458,7
-2.573231,1.567997,2.876446,5
-2.199792,2.535956,2.287777,5
-3.839116,-0.846385,-0.264881,8
2.303488,-1.168959,1.616885,1
-0.429673,-3.138435,1.068086,4
-0.957138,-0.254824,-2.202833,4
0.152329,1.277229,-0.687637,8
2.517899,0.61505,1.977194,2
1.275166,0.042885,-2.67169,5
0.653874,1.387445,1.968937,7
3.447042,-0.687826,0.679171,1
-0.808937,-2.26274,-0.508804,4
1.237884,2.409453,1.140757,2
-3.040074,1.223641,1.197646,8
2.745804,-1.69004,2.329982,1
1.055353,0.409883,-1.26256,1
-2.296693,2.458488,2.434384,5
1.075881,2.466433,0.761791,1
0.114855,2.200946,1.108931,7
3.384416,0.608681,1.946107,1
-2.814645,0.754391,-1.80729,0
1.434463,2.466077,0.863547,2
0.527094,2.356269,0.700099,8
1.077221,2.04714,0.626372,1
-2.86502,2.34072,3.058969,5
2.042063,2.676251,1.330287,7
-0.825054,-2.352022,0.294791,4
-3.548014,1.923057,2.43843,5
-1.941667,0.222821,-2.352451,6
1.705885,2.128225,0.81176,2
2.38983,-0.462396,-1.074228,3
2.003736,1.996473,1.938411,7
-2.123713,2.046323,-1.417903,8
0.364091,1.176306,0.869785,8
-3.490236,0.19152,-1.21798,0
-0.922485,-0.70277,-0.265704,4
-2.918137,1.88738,2.903442,5
0.779989,1.943469,1.99122,7
1.444959,1.771397,1.224034,7
-0.329726,0.738743,-2.337055,6
-4.046446,-0.661091,-0.52875,0
-0.953746,-0.462162,-0.920221,4
-3.652883,0.129429,-1.868076,0
-3.178431,0.314661,0.537762,8
1.812649,-1.926579,0.940944,7
1.82636,0.857877,1.44041,7
-0.425387,0.44023,-1.025686,4
2.798438,-0.385452,2.615771,1
2.282848,1.507073,1.279542,2
-3.267881,1.490754,2.126694,5
2.172964,-0.901735,0.528126,1
1.893126,2.076739,0.897911,2
1.864466,2.053417,1.441476,2
3.064381,-1.30027,-0.808927,9
-0.671869,-2.115089,-1.041972,4
-1.772513,2.25297,0.352376,8
1.869719,-1.191525,-0.504092,3
1.527838,-2.069721,-1.02356,9
2.418962,1.97228,1.036751,2
-3.160041,1.209588,0.916679,8
-4.002861,-1.988733,0.976823,0
2.555825,-0.911635,-0.105197,3
1.853666,-0.838026,-0.617847,3
0.156407,2.073848,-2.320803,6
-0.359313,-1.527902,-1.646009,4
-1.092956,-1.113501,-1.523581,4
-0.916748,0.202406,-2.691336,6
-3.182727,-0.418552,1.096116,8
-0.306767,1.005587,-2.581409,6
1.208186,2.643034,-0.323617,2
-0.166052,2.218787,0.676443,8
-3.052695,2.557556,1.445287,5
0.82121,1.878012,0.568815,2
0.78207,2.183897,0.635258,2
-2.607945,2.503385,2.257362,5
-0.621263,1.115239,-3.322719,6
1.930952,-0.481491,-1.287042,3
-3.458896,-2.440042,1.437445,8
-2.884556,-0.264125,0.427627,8
-1.567643,2.119663,1.300809,8
1.813856,-1.806406,-1.131829,9
0.377854,2.072734,-0.121793,2
-3.929047,-2.749853,1.605353,0
-2.936774,2.051905,-0.867571,8
2.335309,-1.236247,-1.114198,3
1.291072,-1.821591,-1.632135,9
-1.163168,1.376134,0.488148,8
-0.627003,-1.340898,-1.360884,4
-2.538435,1.367369,3.047451,5
2.207155,-2.329544,2.083065,1
-3.642214,0.187339,-0.762661,0
-0.091413,-0.735837,-1.666057,4
-4.172825,-1.988833,0.04027,0
1.085992,-0.346148,-2.492333,5
1.832085,-0.90162,-0.829148,3
-1.200131,1.500365,-2.619914,6
0.226156,-2.419057,-1.235043,9
-1.035427,-1.965909,-1.574555,4
1.961728,0.940371,1.243998,2
-1.115726,2.470308,0.124212,8
-3.504315,0.290186,-0.998004,0
-3.418596,1.806533,2.585773,5
-0.431703,-3.01412,-0.830855,4
-0.151172,1.28672,-2.906278,6
2.652593,0.229463,1.108665,8
1.699765,-2.723569,1.514643,1
-1.394775,-2.731377,1.06326,4
1.501689,2.529474,0.74369,1
1.743463,-2.6619,2.040505,1
3.073285,0.528211,0.241888,1
1.341374,-2.198507,0.035707,9
-2.491398,1.846177,0.236613,8
-3.284753,1.685563,2.691196,5
2.040216,-1.15222,-0.267063,3
1.229563,2.53312,0.848338,2
1.540775,-0.749804,-0.463721,3
1.763343,2.303985,0.540406,2
-0.321602,2.660777,0.669856,7
-4.356874,-1.736319,0.223238,8
-1.475685,-2.157888,-0.26452,4
1.89128,-1.771711,-1.03242,9
2.967102,0.012871,1.024549,8
-3.008491,-3.287205,3.439271,0
1.69039,-1.106886,-0.705734,3
-3.750475,1.822583,1.504125,5
-0.288254,1.603342,0.360273,8
2.045352,-2.011734,1.861995,1
2.042092,-0.578758,0.497292,7
-2.450629,-4.350786,3.792175,0
2.07854,-0.59834,-0.066503,3
-3.522885,1.402195,2.997453,5
2.031138,-1.001392,-0.673616,3
1.207977,1.212742,1.084644,7
1.833106,-0.014328,-2.139697,5
-0.298798,0.852449,-3.145082,6
1.100987,-1.776543,-2.84265,9
-2.72917,-2.878461,2.696165,0
2.275867,-0.382408,-1.794028,5
2.266505,-0.744324,-0.834522,3
1.741972,-1.415577,-1.394623,9
2.092712,-0.944521,-0.844955,3
2.722014,0.085205,-1.00402,5
1.747913,1.224228,1.309128,7
2.676696,-0.660726,-0.238807,3
2.149931,1.990037,1.450504,2
1.294505,-1.93057,-1.798346,9
1.491397,-3.229976,2.365437,1
0.415093,-1.98611,-1.138177,4
0.092255,1.748443,-2.327464,6
0.917118,1.53982,1.091895,7
0.908597,-3.526831,2.201531,1
2.055792,-0.744032,-1.761456,3
1.254845,-0.762252,0.55758,7
-0.046997,-2.654273,-0.069849,4
0.626822,1.861541,-2.754921,6
-0.791137,1.174606,-3.111413,6
-0.625895,-2.74272,0.611507,4
-1.076747,0.427009,-2.638222,6
1.54166,1.580244,0.598053,2
2.223408,1.915429,1.582845,2
1.88336,-2.220601,1.402197,7
0.83355,0.956723,-1.266653,1
1.676302,-0.410207,-2.336521,5
2.310338,-0.734119,-0.915637,3
2.330125,-1.400526,-0.136102,3
-2.441264,0.080763,-2.055535,6
2.187428,-1.952954,2.231907,1
2.058163,0.191778,-1.065332,1
0.91667,-2.464225,-0.230065,9
2.514031,1.398922,1.943429,2
2.415611,2.118228,0.355086,1
-4.003311,-2.520484,1.92809,0
1.562197,-1.78909,-1.178386,9
-2.437116,-3.604947,4.165006,0
-2.959326,0.619627,0.025559,8
-1.008175,0.54427,-2.82183,6
-0.629146,1.894147,-0.182444,8
2.199338,-0.933732,0.325901,3
0.672476,2.191117,0.275275,2
-3.275386,1.832346,3.004107,5
3.061874,-0.572064,1.770701,1
0.314897,2.803487,0.323213,2
1.841505,2.453198,0.651049,1
0.127335,-1.128778,-1.92854,9
0.983587,-1.142901,0.036784,9
-4.070129,-2.522228,2.516177,0
2.137018,0.020233,-1.349611,3
-2.92885,-0.762622,0.610276,8
-1.260595,-3.698707,5.540323,9
2.821192,-0.987584,-1.323612,5
1.790535,-2.355383,1.300766,7
-3.478429,1.120385,-1.685664,0
2.124498,2.1006,0.705981,2
1.515131,-2.832422,2.181261,1
-0.670826,1.350846,-3.03485,6
0.960769,0.579105,0.172441,8
1.491347,-0.923746,-0.599103,3
-1.680975,2.97242,0.477802,8
1.491992,-0.860255,-0.328029,3
-2.869144,-3.855597,3.61899,0
-1.162646,3.024448,0.03068,8
2.084088,-0.889362,-0.526685,3
-4.164074,-2.80056,2.251663,0
1.918643,1.648036,1.236949,7
1.871482,-0.834799,-2.090151,5
-3.661803,1.693104,2.027722,5
1.962142,1.404353,1.422626,2
2.435488,1.355987,1.8741,2
0.335112,3.124722,0.693702,7
-3.418168,0.441831,1.296295,8
0.561239,-1.047013,-2.119609,9
2.604049,0.035949,-0.464263,3
-3.826019,-2.67284,0.680308,0
2.141895,-1.244197,-0.128535,3
1.51082,-2.880213,2.7999,1
-2.903334,2.269359,1.179932,5
1.971021,2.121035,0.937814,2
0.98883,0.115621,0.558427,8
-1.111124,0.978381,-3.202656,6
-0.946805,1.777511,-2.665422,6
-1.138252,0.250912,-1.281622,4
-0.619272,1.329374,-2.905507,6
1.87143,2.174133,1.022069,2
-4.196055,-1.403312,-0.028027,0
2.613276,-0.850744,0.064745,3
0.843599,0.02076,0.060324,8
3.092252,-0.893848,2.355152,1
1.262572,1.642519,1.768649,7
-1.110292,1.164033,-2.859573,6
1.449953,2.691358,0.134799,2
0.309256,0.826344,-0.39241,4
-4.474596,1.11148,1.91091,5
2.115601,1.721094,1.264065,2
-1.444369,1.455712,1.482996,8
