@relation 'pendigits_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.75-A5-M-1'

@attribute 0.424input6-0.419input14+0.375input8-0.346input16+0.302input4... numeric
@attribute -0.475input10-0.445input9-0.387input11-0.316input12+0.301input15... numeric
@attribute '-0.451input1+0.4  input7-0.342input11-0.34input2+0.306input5...' numeric
@attribute 0.562input13+0.487input15-0.358input3-0.298input5-0.252input1... numeric
@attribute 0.452input2-0.417input3+0.392input9+0.361input7+0.305input4... numeric
@attribute class {0,1,2,3,4,5,6,7,8,9}

@data
1.298287,-1.889132,-0.361507,0.87562,-1.687934,9
-4.122599,-3.151253,2.335485,-1.042679,-0.448285,0
0.42042,-2.320771,-1.281461,1.339806,0.469151,9
-0.267886,2.49907,0.7862,0.64223,0.541576,7
2.239909,-2.250276,1.239978,0.960165,-0.70221,1
-4.09833,0.216187,-0.804503,1.285393,0.371171,0
1.73266,-0.806271,-2.261434,-1.312873,0.567439,5
-3.635117,0.388873,-1.445813,0.702424,0.201086,0
1.54342,-0.786346,-2.432521,-0.899581,0.48193,5
3.083232,-0.707448,2.568592,-0.885874,-0.439748,1
1.443311,-2.37787,-1.59864,-0.105525,0.974773,9
-0.886663,-0.601394,-2.265207,1.233871,0.153454,4
-0.647754,-2.879939,-0.295708,-0.059897,1.310495,4
-0.197845,-2.558686,1.079435,0.153346,1.587766,4
-3.850973,1.504044,2.233514,0.060225,-1.850364,5
2.471464,2.04334,0.456194,-0.858447,0.096896,2
0.548189,2.100381,-2.354118,-1.021127,-0.601552,6
-2.312856,0.422872,0.059597,-0.228386,1.330956,8
2.195661,0.186492,1.744906,1.745311,0.127555,2
1.882042,-2.235982,1.743963,0.80194,0.190279,1
1.365991,-3.316194,2.069071,1.465696,-0.921113,1
2.046434,-0.778696,-1.351628,-1.184923,-0.288428,3
-2.753134,0.576505,0.132008,-2.213532,-2.176055,8
0.209343,-2.620039,-0.090707,-1.226198,1.238523,4
1.408022,2.154342,1.714285,-0.522236,0.686976,7
1.754527,0.186232,-0.957135,-2.876391,0.053643,1
-3.534599,1.537727,1.61248,-0.404191,-1.277405,5
2.400354,-0.705114,1.144419,-0.440168,0.492034,7
-3.109088,1.82769,2.638368,-0.33074,-1.314817,5
-3.159365,1.363104,-1.092196,0.33531,-0.599152,8
-3.956704,1.668836,1.449545,0.199096,-1.261604,5
-1.370507,-0.799401,-1.652673,2.064752,0.162077,4
-0.541143,0.548035,-2.622296,-0.78382,0.668986,6
2.355764,1.15259,1.44074,0.540371,0.655398,2
2.576238,-0.853957,-0.65325,-1.412804,-0.221702,3
-0.87305,0.850084,-2.550558,1.688484,-0.795058,4
-0.767459,-2.410487,0.071251,1.528352,1.988839,4
0.184452,2.258212,0.30912,-1.171816,0.354892,8
-0.903032,0.852587,-2.813508,-1.011146,-0.412243,6
0.712187,2.52026,0.352512,1.024189,-0.791818,2
-3.258326,2.506357,1.406673,-0.119316,-0.202563,5
-3.930543,1.569779,1.820521,-0.02098,-1.21291,5
-0.96775,0.800235,-3.040365,-0.788387,-0.162567,6
-0.235985,2.061305,1.043233,0.461155,0.824275,7
0.091096,2.279163,1.344663,0.954687,0.596953,7
1.775095,-2.809601,2.386515,0.391806,-0.652663,1
1.914523,1.154439,1.280183,-1.015173,1.002506,7
1.598271,-1.103016,0.376545,-0.058205,-1.002068,1
2.299108,-0.630486,-0.816572,-1.808739,0.749088,3
-3.179449,0.87813,1.398203,0.745031,-2.343532,8
0.638616,-3.213563,-1.120299,0.681166,-0.324362,9
-4.611739,-2.120013,0.834946,-1.02803,0.26809,0
2.316391,-0.685951,-0.831059,-1.694677,-0.442226,3
-4.469049,-0.573849,-0.481665,0.757392,0.030136,0
0.418521,2.150602,1.064097,0.415882,0.508727,7
0.9018,2.36112,-0.725807,-0.779726,-0.143676,8
0.818671,2.330323,1.392343,1.436528,-0.348622,2
2.029017,-1.749118,-1.191612,-0.80037,-1.562462,9
-2.091178,-1.058692,-2.569354,-0.061212,0.092269,0
-1.473454,-3.98457,4.908255,-0.095148,-3.1877,9
1.416918,-0.404241,-0.658601,1.662441,-3.944627,9
1.271349,-3.389067,2.535202,0.853204,-0.067002,1
-1.272901,-1.520324,-1.704315,0.505059,0.491858,4
-0.733502,1.506541,-2.864306,-1.313485,-0.580128,6
1.583139,-0.709449,-0.466239,0.273068,-0.36749,3
2.392792,0.841857,1.395542,1.357934,0.819267,2
-0.088288,1.855046,-2.329387,-1.458855,-0.524818,6
-3.698159,-1.56954,0.417835,-0.711012,1.642575,0
0.963588,-0.02983,0.408728,-0.783202,0.849884,8
-3.832432,-0.991634,-1.063724,-0.735084,0.448404,0
-2.11523,1.762055,0.317269,-0.078652,1.39778,8
0.975556,-2.926802,-0.842026,-0.15004,0.477358,9
1.950026,-0.9843,-0.671691,-1.177888,0.006109,3
-3.274058,-0.575336,0.845694,-1.035248,-3.485814,8
0.841798,1.960153,-1.760499,-1.430293,-0.357226,6
-1.167092,-0.333799,-1.702016,-1.844131,0.810481,6
2.219215,1.947508,1.322598,0.219648,-0.070993,2
-4.548225,-1.792431,0.277663,-0.920583,0.542558,0
1.540603,-0.104468,-0.36676,1.877892,-4.28855,9
2.274306,-1.812927,1.362628,0.552015,0.429448,7
-3.90537,-1.874171,0.462158,-0.519738,0.472323,0
-3.349266,-0.410054,-0.064104,-1.057805,-2.045444,8
-1.357779,1.782783,1.060281,-0.259466,2.206992,8
-1.271262,-0.290311,-1.108567,2.841604,0.73423,4
-1.662972,0.046729,-2.249298,1.754387,-0.633508,4
-0.859883,0.431696,-2.544899,0.019501,1.073652,6
-0.515509,1.631208,-3.184116,0.384314,-0.301693,6
-0.809277,-0.528617,-1.411925,2.470787,0.640818,4
-4.288576,-2.201218,1.292075,-1.45145,1.081834,0
3.104457,-0.176775,1.795599,-1.710818,-0.59736,1
2.264678,1.878418,0.991166,0.414518,0.433489,2
1.478861,1.251145,1.422714,0.454541,1.400563,7
2.156575,-1.273948,0.251058,-0.713123,0.888219,3
-2.712764,-2.004233,0.082698,1.648564,1.385325,4
2.398755,-0.926067,-1.209465,-1.70833,0.723795,9
-0.178455,1.028906,-2.49423,-1.444269,0.025345,6
1.17254,0.020104,-2.503187,-0.808155,0.288066,5
1.405543,2.167084,0.858749,1.254251,-0.490036,2
-0.89102,1.487807,-2.98761,-0.455327,-0.839223,6
1.647904,1.585715,1.643464,-1.53,1.560634,7
-0.370602,1.104832,-3.08506,-0.498716,-0.643743,6
0.687336,-0.777712,-2.708482,-0.073021,0.407611,5
2.702534,-0.88909,0.227989,-0.707999,-0.238638,3
1.918829,2.287076,0.996028,0.860425,-0.267691,2
0.806782,-0.368775,-2.968816,-0.77881,0.194637,5
-0.494771,1.896266,-2.81825,-0.237121,-0.456671,6
-0.620553,-2.097798,-1.155002,0.147251,1.128828,4
2.285761,-0.999871,-0.588064,-1.292597,-0.064301,3
0.77663,1.015684,0.693029,-1.53614,-1.447247,8
1.352243,1.478468,0.948621,1.428717,0.374405,2
-3.070212,2.118775,2.270342,-0.56898,-0.6744,5
2.595358,-0.930907,0.254887,-0.87311,0.208046,3
3.035265,-0.173344,-0.8281,-1.165579,-1.709764,5
2.077129,1.4894,1.831788,-0.937881,1.02802,7
-0.934558,-0.644825,-1.784865,1.831789,0.463354,4
2.13029,-0.968335,0.035186,-0.681673,0.009668,3
1.431894,-0.87022,-2.311823,-0.792447,0.685648,5
1.340724,-3.184252,2.520935,1.91273,-1.581386,1
2.415826,-1.130237,1.917802,0.499067,0.988944,2
1.54581,-0.220609,-2.328232,-0.919555,0.049613,5
0.042399,1.390751,-0.529997,0.192376,0.574093,8
2.084093,-1.400831,0.473964,0.372335,-3.49267,8
-1.596354,-0.645013,-1.756479,2.194801,-0.247023,4
0.68085,0.956511,0.764301,-1.283696,0.119808,8
2.411225,-0.481281,-1.702198,-1.243252,-0.751712,5
0.403699,-2.314206,-1.010554,1.685573,-0.969966,9
2.49957,-0.876576,-0.355834,-1.245095,0.134389,3
-3.239937,-2.719153,2.084833,-0.886783,0.992687,0
2.090184,0.958725,1.512209,1.136964,0.590583,2
0.303101,2.315127,1.791223,0.094498,0.52623,7
1.650128,0.56578,1.400791,0.411929,0.410006,1
2.45912,1.409105,1.747174,0.352192,0.525824,1
1.24633,-2.655175,1.719348,0.91118,0.299313,1
-0.997317,-0.518466,-1.517682,2.169106,0.449344,4
0.59279,1.878789,1.159978,0.286652,0.72884,7
2.164896,0.100975,1.313017,-0.867855,1.482249,7
-3.340049,-0.678426,0.063953,-1.047629,-1.24028,8
2.271499,-2.371956,2.469763,-0.107529,-0.575818,1
1.512086,-2.226776,-1.016708,0.257663,0.851125,9
-4.233933,-1.813603,0.292796,-1.088532,1.164741,0
-0.287724,2.021716,-3.174644,-0.474795,-0.702698,6
0.03017,0.843381,-1.716201,-0.113122,-0.447874,6
-0.538307,2.081569,1.434502,-0.848155,-0.95897,8
0.184403,2.340454,-0.78353,1.070684,-0.268796,2
1.715286,-1.065937,-0.532868,-0.29179,0.163521,3
-0.74058,2.137046,0.634043,-0.510714,2.28952,8
1.485999,1.330896,0.801959,1.771611,0.024741,2
-2.103947,2.525087,2.247662,-0.939558,0.492025,5
1.927505,-0.371361,-0.718074,-0.646846,-0.528445,3
-0.601702,0.797121,-2.976604,-0.512718,0.468603,6
2.080168,-1.2338,-0.031787,-0.025809,0.654536,3
2.204082,1.315686,1.438078,1.454934,0.617687,2
1.626499,1.364176,0.663483,1.227433,1.06078,2
-0.709278,1.054149,-2.932467,-0.694939,-0.459086,6
0.421611,2.487127,-0.12753,2.218196,0.102848,2
-3.814303,0.185859,-0.927686,0.845997,-0.260085,0
-0.24881,2.283364,0.087435,-0.32378,1.123868,8
1.516499,-2.061286,-0.956756,-0.340336,-0.677437,9
0.54422,2.709063,0.977832,-0.528019,0.689904,7
-3.034052,1.686236,3.078509,-0.247194,-0.737155,5
-1.447817,-2.210597,-1.150402,0.208616,0.446951,4
2.034423,-1.23555,-0.954456,-0.752719,-0.064558,3
2.325107,-1.053391,1.604588,0.417362,-0.267741,1
1.394293,-2.396854,1.55784,2.129529,0.229659,1
-0.044741,1.357439,-2.572808,-1.546314,-0.463903,6
1.159046,-2.610686,-1.77228,-0.711046,0.803342,9
-3.473494,-3.680834,3.05043,-1.059268,-0.808332,0
2.553009,1.62863,1.435586,-1.040667,0.840834,2
-4.321986,-2.860069,2.870964,-1.382214,-0.845099,0
1.562008,2.062699,1.135876,0.166572,-0.890953,2
-0.971743,3.144138,-0.204301,0.157347,-0.431162,8
-3.916505,-2.250245,0.877524,-0.996709,1.158995,0
1.308293,2.53411,1.002303,1.108648,-0.30313,2
-0.417472,1.511162,-3.159506,-0.140474,-0.426297,6
-1.349352,0.896994,-2.995943,0.875561,-0.124183,6
0.839491,-3.539851,1.945196,1.836688,-0.228605,1
0.306414,2.520338,1.530888,0.057567,0.091815,7
0.656143,-1.276723,-2.142944,1.820726,-1.853543,9
1.351799,2.462748,0.150489,0.82608,-0.749992,2
1.267536,2.667573,0.962171,0.66776,-0.003465,2
-1.826655,-0.590092,-1.070672,1.873593,0.921745,4
-3.109309,2.000637,2.195761,-0.241864,0.124872,5
2.521978,-0.894157,-0.248738,-0.801738,0.049334,3
-0.534667,-2.47269,0.815017,1.049211,1.307008,4
1.515442,1.84524,0.762932,1.67919,0.491803,2
1.305083,2.769501,0.311239,0.486216,-0.578851,2
-1.497225,2.639344,-0.404439,-0.415493,1.309927,8
-3.480753,1.880714,2.557653,-0.290067,-0.683307,5
-4.361914,-2.432258,1.260909,-0.827083,0.884496,0
-2.273989,1.031953,-0.185551,1.12216,1.505973,8
1.913024,-1.206824,-0.491546,-0.548246,-0.313124,3
-3.960894,-2.087402,1.452415,-1.295616,0.839502,0
0.75006,2.527763,1.302277,-0.631999,0.681237,7
2.089382,-0.482752,-0.856361,-1.693898,0.817074,3
-1.695674,0.58047,-2.116549,1.234263,0.386636,6
1.700605,2.336216,2.245749,-1.269802,0.531819,7
1.309351,2.962937,-0.268281,0.352059,-0.754044,2
1.513086,-3.132112,2.593658,1.287701,-1.38414,1
-0.525747,-1.853562,-1.832581,-0.414364,0.646817,4
-3.925256,-1.687426,0.795141,-0.599778,0.82466,0
1.702856,-1.948515,0.913009,0.715512,1.948414,7
1.353219,1.262993,-0.140413,0.031449,-0.127664,7
-1.25321,0.451456,-2.309625,0.148,0.541471,6
-2.440573,0.646621,-1.722417,0.556556,-0.274212,0
1.54918,-1.048158,-0.411473,1.295443,0.482536,3
-0.307466,1.724748,0.251139,-0.703825,0.325136,8
-0.604115,1.477382,-2.926114,-0.672941,-0.36386,6
0.177196,2.084177,-2.401249,-0.478,-0.70805,6
-4.636625,-1.299711,0.510274,0.007442,0.155759,0
-3.610229,-0.691081,-0.091201,-1.647828,-3.038286,8
1.436902,2.213506,0.937335,0.0394,-0.849316,2
1.796929,-1.000501,-0.636262,-0.298838,-0.109419,3
2.174938,-1.034856,-0.652127,-0.387195,-0.296058,3
0.464473,-2.774265,-0.449693,1.06925,1.899351,9
-3.614275,1.353234,2.421066,0.141594,-0.287945,5
2.308153,-2.262763,1.933499,-0.586114,0.129495,1
-3.560149,0.920845,-2.543232,0.399874,-0.386419,0
2.048591,-2.527797,-1.574843,0.237754,-0.984605,9
-1.633558,0.755372,-2.779865,0.410179,-0.061799,6
1.493715,0.034018,-0.605449,-1.009845,0.113057,1
-1.127309,0.9543,-3.111433,0.706676,-0.218824,6
2.084672,-0.961871,-0.969962,-1.108362,-0.142289,3
1.709523,1.571144,1.507706,-0.397896,1.168105,7
-1.267817,2.425473,0.145983,0.254781,-0.733613,8
2.640804,-0.420938,0.930609,0.88465,-0.113913,1
1.786029,2.020738,1.250972,1.136879,0.106029,2
1.686801,0.036876,-2.663768,1.020733,-2.117645,5
1.855703,-2.039249,-0.540187,-0.048768,-2.622253,9
0.686641,2.668599,0.419097,0.883882,-0.556059,2
2.642304,-1.060846,0.765484,-0.51794,-0.162108,3
-1.360942,-1.725124,-0.113985,1.378417,1.66491,4
2.434693,-1.058878,1.183187,0.07307,0.7216,7
0.29242,2.44951,1.093371,0.570194,0.440003,7
-3.185375,-0.029259,-0.085929,-0.632617,-0.899186,8
-1.369111,-0.351409,-2.048782,1.684157,0.105009,4
1.932973,-0.939301,-0.438,-0.418198,0.333997,3
1.698845,-0.683032,-0.476358,-0.744105,-3.344236,9
0.722877,2.315409,1.072193,0.298854,0.772696,7
-2.315021,2.107952,0.891515,-0.507408,-0.535984,8
0.940969,0.083954,-2.933999,-0.144777,-0.047649,5
-4.806421,-1.015208,0.680097,0.483394,0.091066,0
2.474137,-0.672981,-0.251792,-1.43547,0.511374,3
-3.352058,-3.10416,2.675028,-1.300546,0.501462,0
1.011966,2.629671,-0.219491,-0.097561,-0.561361,8
-1.227473,-1.327327,-1.165493,1.965844,1.010942,4
1.68755,1.626471,1.336929,-0.908846,1.011155,7
-1.471739,-0.129477,-2.187386,-1.94907,0.619757,6
-3.152433,2.306368,1.525906,0.174739,0.712701,5
1.184771,1.919705,0.889201,2.163012,0.64165,2
2.198172,-1.746688,1.385805,0.663033,0.903307,2
-1.726926,-2.302044,-0.160846,0.559917,1.009861,4
-2.223647,0.898531,-2.196905,0.377346,-0.444746,0
2.3026,-0.832713,-0.455427,-1.212842,0.6966,3
-4.129707,-1.814228,0.481268,-1.116825,0.731545,0
0.405595,2.096398,1.30871,0.712874,0.870358,7
2.227338,-0.892224,-0.535798,-1.343667,0.329443,3
2.083736,-1.177235,-0.405438,-0.83857,0.511715,3
-0.900602,-3.081786,1.021466,2.143453,1.12691,4
2.724465,-0.425812,-1.249654,-1.412509,-0.996848,5
1.894995,0.584121,-2.146587,0.372904,-2.048068,5
1.273516,-0.081911,0.019606,0.331676,0.99677,7
1.678117,1.256535,1.475019,-1.091609,1.302652,7
-0.771014,-0.600433,-0.837585,2.699337,0.783939,4
2.918779,0.147773,-1.06254,-1.975087,-0.585223,5
-4.516621,-1.041818,-0.437796,-0.520168,0.519858,0
1.696015,-2.474633,-0.717562,-0.758457,1.343527,9
2.351579,-1.986845,1.77139,0.492604,-0.081853,1
1.597435,-0.169425,-2.174183,0.463824,-1.83901,5
