@relation 'pendigits_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.35-A5-M-1'

@attribute 0.424input6-0.419input14+0.375input8-0.346input16+0.302input4... numeric
@attribute -0.475input10-0.445input9-0.387input11-0.316input12+0.301input15... numeric
@attribute class {0,1,2,3,4,5,6,7,8,9}

@data
-3.478429,1.120385,0
2.124498,2.1006,2
1.515131,-2.832422,1
-0.670826,1.350846,6
0.960769,0.579105,8
1.491347,-0.923746,3
-1.680975,2.97242,8
1.491992,-0.860255,3
-2.869144,-3.855597,0
-1.162646,3.024448,8
2.084088,-0.889362,3
-4.164074,-2.80056,0
1.918643,1.648036,7
1.871482,-0.834799,5
-3.661803,1.693104,5
1.962142,1.404353,2
2.435488,1.355987,2
0.335112,3.124722,7
-3.418168,0.441831,8
0.561239,-1.047013,9
2.604049,0.035949,3
-3.826019,-2.67284,0
2.141895,-1.244197,3
1.51082,-2.880213,1
-2.903334,2.269359,5
1.971021,2.121035,2
0.98883,0.115621,8
-1.111124,0.978381,6
-0.946805,1.777511,6
-1.138252,0.250912,4
-0.619272,1.329374,6
1.87143,2.174133,2
-4.196055,-1.403312,0
2.613276,-0.850744,3
0.843599,0.02076,8
3.092252,-0.893848,1
1.262572,1.642519,7
-1.110292,1.164033,6
1.449953,2.691358,2
0.309256,0.826344,4
-4.474596,1.11148,5
2.115601,1.721094,2
-1.444369,1.455712,8
1.480147,-3.161452,1
-2.878815,1.940603,5
2.347631,-0.616184,5
-3.266378,2.208111,5
1.799258,1.170561,7
3.002105,1.642843,1
1.478022,2.653472,1
2.676957,-0.606823,3
0.809211,-1.531971,9
1.027661,2.225123,2
1.752785,-0.935358,3
2.502932,2.179384,7
-0.552441,2.269628,8
-4.459982,-0.880249,0
-3.817741,0.368327,8
2.469838,-1.084961,1
2.248463,-0.86668,5
-2.973946,2.30839,5
2.347954,2.044163,2
-0.133923,1.35127,6
1.746529,2.057973,2
-3.093762,1.107616,8
1.987283,-0.332986,3
-0.039112,1.134228,6
1.946139,1.867829,2
-3.072637,0.430044,8
0.801088,-2.5667,9
-1.511399,-1.23724,4
2.241575,-2.392933,1
1.157702,2.005229,7
1.695939,1.971405,2
-4.381564,-2.710094,0
-3.917163,0.011202,0
-0.545389,1.895541,6
-0.661327,2.109107,8
0.781857,-1.560963,9
1.649975,-3.169246,1
1.604997,-0.368707,5
-3.822378,1.624096,5
0.091532,1.606857,8
0.660689,2.261158,2
-3.110437,-1.716858,8
2.901956,-1.304237,1
2.262645,-1.733613,8
2.459365,-0.627592,1
-3.144869,-0.054237,0
-0.872379,0.437044,6
-0.471171,-0.028856,4
1.737831,-1.002986,3
1.166273,-0.109227,5
0.268452,1.732782,7
-1.549248,0.501761,6
1.276491,2.33509,7
2.414708,-1.876629,1
2.441283,-2.026625,1
2.610847,-0.403294,3
0.633756,0.341078,7
2.243348,-0.715293,3
1.937464,-1.103237,3
1.885363,2.000129,2
1.450867,-1.495027,9
-0.630245,0.762521,6
-2.417232,2.032677,5
2.537369,-1.92204,8
-3.275825,1.026603,8
-4.334667,-1.302327,0
0.710172,-0.235496,5
1.289588,-3.554854,1
-2.876142,2.580905,5
-3.520217,0.639613,8
2.522023,1.68138,2
-0.729997,0.691017,6
1.287642,2.442216,1
0.957163,2.67228,2
-1.303717,2.158092,0
1.660942,2.236967,2
2.607876,-1.030502,3
2.069523,-1.124309,3
0.457268,1.565796,1
2.259913,-2.211852,1
2.465555,1.880343,2
-1.570594,-1.849633,4
-0.91412,-2.094931,4
-4.376165,-0.666385,0
0.881242,2.195706,2
1.640412,-2.813159,1
-3.271719,-0.784316,8
-0.286423,0.754275,6
-3.56488,1.847114,5
0.53871,0.615909,8
2.187134,-1.216618,3
-1.363013,-0.425874,4
2.792153,-0.910281,5
2.470932,0.587344,1
-3.336471,1.97715,5
0.741503,2.467001,7
1.168784,-2.577689,9
2.512715,-1.301407,3
-0.53864,-0.230941,6
2.261327,2.010078,1
-2.800931,2.285474,5
0.158453,1.777936,6
-0.364766,1.619002,6
-4.301749,-2.053524,0
-3.451351,1.824752,5
-1.63688,0.495712,6
1.742122,1.935827,2
-0.989617,-0.000726,4
-1.181891,-1.863626,4
-1.417044,-1.329222,4
1.622738,0.236636,1
-2.510537,1.225395,8
2.015717,1.438128,7
0.708281,1.914038,7
-1.097749,-1.475849,4
-4.219577,-1.430186,0
1.029294,1.099393,1
2.093718,-2.075261,1
-4.104064,-0.751836,0
2.450745,-1.317246,3
1.783152,1.776722,2
1.081556,2.437346,2
1.699503,-1.564284,9
2.252957,2.115458,2
1.730447,2.316989,2
-4.221677,-2.686796,0
1.448586,-0.717337,3
1.769652,1.001053,7
1.290115,2.59172,2
-0.311393,2.572061,8
1.680001,-2.504523,9
-1.323899,-1.726824,4
-1.500554,0.624257,6
2.353377,-2.141206,9
2.786279,1.806557,1
1.682344,-2.874743,1
1.017393,-1.606439,9
-1.555591,2.075254,8
-3.669863,1.698165,5
1.40351,-3.211876,1
-1.634762,-2.011526,4
-3.008321,0.803381,0
2.294131,1.921715,2
2.18476,-2.327745,1
1.466587,-1.963344,9
2.215526,-1.724269,3
2.415761,-0.757809,3
0.88999,2.15816,2
2.781763,-0.035916,3
-1.050742,-1.703727,4
0.859296,1.663137,7
1.237383,2.910001,2
0.225086,-3.183165,9
2.278207,-0.584692,3
-1.163862,-2.337936,4
-4.342174,-1.923505,0
-3.836775,-2.88372,0
1.078086,1.822932,7
1.938214,-0.821155,3
2.753681,0.739776,2
0.725063,2.386768,2
0.939927,0.032125,8
2.866752,-0.517945,5
-1.091146,2.232472,8
2.39912,-2.256987,1
-2.529582,-1.998565,4
-3.646916,0.065111,0
-1.351602,-0.726751,6
-2.204223,-2.211926,4
1.631909,2.257037,2
2.017947,1.295083,2
0.778068,2.196808,7
-1.366536,-0.792653,4
-3.671419,1.679315,5
2.100224,-0.738788,3
1.628316,1.676519,7
1.371099,1.258832,7
1.316836,2.539972,2
-1.471124,2.697752,8
1.794761,-2.612635,1
1.8177,2.188235,2
1.196326,1.887127,2
-0.271467,-2.92609,9
1.414887,1.734564,2
-1.842004,-1.273278,4
1.677253,2.576336,2
0.577557,2.160893,7
-3.382105,1.982655,5
1.826652,-2.654729,9
2.017455,-0.419683,3
0.8803,-1.990883,9
2.906118,1.158995,2
-4.168488,-0.283435,0
-4.034721,-0.196193,0
-3.653147,1.908175,5
-3.398596,-1.893487,8
-1.497427,-1.404561,4
1.509128,1.613961,2
-2.562951,2.368467,5
-1.221388,-2.373594,4
2.006146,-0.729679,3
-4.189297,-2.671389,0
0.151417,0.609426,8
-3.274116,1.485248,8
1.242411,-3.257222,1
1.520785,2.436358,2
1.043741,-3.251659,1
1.541816,2.309429,2
-4.202716,0.568802,8
-2.775622,2.097199,5
1.283117,2.700667,2
-3.431918,1.975348,5
1.807775,1.188654,7
1.133267,1.456319,7
-4.175717,-0.717634,0
2.050163,-0.572868,3
1.766503,-0.993022,9
2.332755,-1.428637,3
-0.124934,-2.0408,4
0.185771,-2.524563,9
1.359229,2.552633,7
-1.54265,-0.357831,4
-2.605362,1.685571,5
-0.202481,1.900722,6
1.908615,-2.396953,1
0.934161,2.635832,7
-0.973999,-2.18824,4
-3.199718,-3.137371,0
1.152092,-2.252662,9
-2.672686,1.502995,8
2.477826,-1.542116,3
-0.108022,1.994845,8
-3.506518,1.794174,5
-1.383561,-1.923417,4
1.441801,2.647433,7
2.654378,0.169122,5
-1.397816,-2.682219,4
-4.349549,-1.887305,0
1.228857,2.551826,2
-3.020315,0.484781,8
0.341483,2.178371,6
0.264025,-3.787336,1
1.846248,-1.040963,3
-1.191528,1.259663,6
1.036572,-2.360489,9
-1.192901,-0.359558,4
2.838208,-0.263478,5
-3.869406,-1.755642,8
-1.369552,2.504154,0
-3.061773,2.405691,5
-0.058095,1.834223,6
-4.225743,0.572661,8
0.755917,-3.600013,1
1.641308,1.885226,2
-0.074671,2.255183,6
-1.561169,0.218221,6
0.935564,1.588078,1
2.007744,-0.667909,3
-3.308981,2.05724,5
-1.256003,1.691516,8
2.539212,1.805506,2
1.705528,2.345336,7
1.989508,-1.074052,9
1.621808,2.226876,2
-0.043015,-2.414418,4
-1.750032,-0.672976,4
-1.402922,-0.517736,4
1.365464,-1.475392,9
2.374535,-0.978239,3
-1.764232,0.372887,6
0.431399,2.720022,7
-3.933403,-3.174336,0
2.056678,-1.915193,9
0.035027,-1.741662,4
2.3123,-0.776524,3
-3.310745,2.004604,5
-1.25918,-1.950572,4
1.322424,-0.784445,9
-1.087535,-1.297448,4
1.01459,1.04168,6
2.512925,-1.158758,1
1.096378,2.062996,2
2.25991,-0.550852,5
1.475567,-3.301694,1
-4.275594,-1.499226,0
1.338802,-2.193819,9
-4.221445,-2.486591,0
-4.249183,-2.413019,0
1.99304,-0.646818,3
-1.550433,-0.7783,4
-0.825882,-1.307841,4
-4.277406,-1.968536,0
2.434413,-0.716801,3
1.88225,-0.909789,3
2.213143,-1.98112,1
1.971298,-1.80674,9
-0.747991,1.716071,6
0.28792,2.549553,2
2.530913,-1.074665,9
1.635086,-2.375643,9
0.640451,2.669167,2
-2.000327,1.716244,5
1.291881,-0.441288,5
-4.536143,-1.174091,0
2.773522,-0.21558,3
-1.042679,-1.743783,4
-0.331533,1.503104,8
1.562522,1.960474,2
-3.594234,1.566887,5
-0.877907,1.689743,6
1.647448,1.965859,7
-1.813603,-2.794624,4
-0.100469,1.506675,8
-0.451501,0.923861,6
2.461087,-0.572998,3
-4.218345,1.300561,5
0.93251,2.288636,7
-3.068456,-3.169787,0
