@relation 'vehicle_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.75-A5-M-1'

@attribute '-0.317SCATTER RATIO-0.314SCALED VARIANCE_MINOR-0.314PR.AXIS RECTANGULARITY+0.314ELONGATEDNESS-0.309SCALED VARIANCE_MAJOR...' numeric
@attribute '-0.541KURTOSIS ABOUT_MINOR-0.539HOLLOWS RATIO+0.489SKEWNESS ABOUT_MAJOR+0.208SCALED RADIUS OF GYRATION-0.189RADIUS RATIO...' numeric
@attribute '-0.643PR.AXIS ASPECT RATIO-0.592MAX.LENGTH ASPECT RATIO-0.285SKEWNESS ABOUT_MAJOR-0.275RADIUS RATIO+0.119COMPACTNESS...' numeric
@attribute Class {opel,saab,bus,van}

@data
-1.387616,-2.228158,0.654035,saab
3.231995,1.147164,1.028316,van
-3.715742,0.948031,1.408808,opel
-2.900562,0.623798,-13.424127,van
0.845274,1.722859,-0.019322,van
2.679204,-1.100378,-0.650893,van
4.045182,0.588979,0.700165,saab
1.497577,-0.631917,-0.562561,van
1.639348,-3.522318,0.324355,saab
2.712583,3.215229,0.057791,bus
-3.773753,-1.610689,0.802878,opel
2.509723,3.191664,0.16946,bus
-0.165989,-2.254086,0.374152,opel
-4.777747,-0.387053,-0.095023,opel
-0.247015,-0.145592,-0.177266,van
1.721595,-1.469861,-0.431402,bus
1.019999,-3.159096,0.523944,saab
2.718014,-2.274752,-0.787892,van
-2.590773,-1.753798,-0.278921,saab
-1.205968,-1.329601,-0.928353,bus
2.123084,-4.000127,0.217201,opel
-3.679794,-1.046153,0.199777,saab
1.998355,-0.396185,-0.434661,van
-6.48011,2.95961,0.512821,bus
2.520888,-2.37319,0.919537,opel
3.035426,0.5537,0.373266,van
2.134317,-0.509957,0.530322,saab
1.226183,-0.792306,0.966145,opel
4.461139,3.056256,-0.36771,opel
-3.786482,-1.936443,0.106463,opel
0.442055,-2.917542,-0.055723,saab
3.193655,-0.525632,0.423919,saab
-3.915158,0.903976,0.533749,opel
-3.922604,0.494746,0.803954,opel
1.968372,-3.87831,0.552536,saab
-3.966097,-0.498998,0.886002,saab
2.257268,2.532755,-0.488351,bus
3.415564,0.878003,0.643995,van
-3.713387,-0.533149,0.461138,opel
-5.27432,3.734797,2.501862,bus
0.884744,-1.589226,-0.341059,van
-3.096956,1.064101,1.000469,bus
0.12066,0.668655,-0.275865,van
1.143493,-0.943507,-1.154782,bus
0.276161,-1.002372,0.306254,opel
1.594609,-0.576492,-0.274661,bus
1.754693,-2.40304,-0.597879,bus
2.485473,1.426621,0.287384,van
-4.504831,-0.181074,-0.562415,saab
5.29785,1.807993,0.180213,opel
1.668199,-2.350344,-0.508836,bus
5.347239,0.522473,0.61316,saab
-3.113947,-0.672626,-0.180759,saab
-0.443056,-1.611893,-0.447051,bus
0.255905,-2.306623,-0.301906,bus
0.282693,-0.367669,0.578233,opel
-4.000172,0.455212,-0.334897,opel
1.718359,-1.578925,-0.343967,opel
-1.823573,-2.125334,0.400656,opel
1.815626,-0.714976,-1.069877,van
1.433139,0.001224,0.737116,saab
-5.474425,2.665705,0.839516,bus
1.322582,-1.078196,0.463232,saab
2.117942,2.30332,0.370293,bus
-5.219399,-0.043973,-0.353872,saab
1.703376,1.832651,-0.566887,bus
1.814827,2.632899,0.295015,bus
2.074739,2.259206,-0.118365,bus
0.243352,0.658262,-0.706502,van
1.923493,-2.84071,0.302616,saab
-4.482112,0.175417,1.8329,opel
-4.210334,0.849394,0.294375,opel
3.622153,-2.317774,0.352149,van
1.176,0.250988,-0.391718,van
0.223252,-0.653103,-0.191867,opel
2.632572,3.19666,0.170937,bus
1.609157,1.652033,-0.545353,bus
-3.848367,1.829283,0.767433,opel
0.13276,-3.503375,-0.007642,opel
3.240899,-0.424052,-0.559515,van
1.606898,-0.880706,-0.625785,bus
-2.872116,1.151684,1.628642,bus
3.471438,0.152705,0.19964,opel
1.150515,0.277157,-0.10089,opel
1.755701,1.732628,0.32974,saab
-4.968614,0.868682,-0.587271,opel
2.081231,1.232869,-0.320295,bus
4.447546,-1.91616,0.854417,van
-4.598364,0.970191,-0.2301,opel
0.839383,0.979583,0.103954,van
-1.975558,-0.508029,-0.190235,bus
1.879553,2.215105,-0.051802,bus
3.167418,1.1122,0.539572,saab
1.669896,-1.760044,-0.167901,van
-4.432398,0.298538,-0.058488,saab
3.412259,-2.14668,-0.227546,van
-4.407519,-0.504623,0.050727,saab
2.406521,1.971317,0.018058,saab
5.651339,2.552154,0.301468,van
6.141363,1.907551,0.38568,saab
2.440583,3.344193,0.476121,bus
-3.467125,0.148867,0.537915,saab
2.12596,-1.037392,-0.865668,van
0.560415,1.712381,0.125225,van
0.978034,-1.737654,-1.141957,bus
2.123406,2.831882,0.121637,bus
-4.47455,0.584951,0.942974,opel
1.433014,1.868928,-0.034044,bus
1.926459,-2.918524,0.034017,opel
0.442547,-1.360569,0.719624,opel
2.612468,2.911001,0.039654,bus
-4.66841,-0.026276,-0.823929,saab
1.274477,2.052622,0.525172,van
2.765743,1.457491,0.934314,van
1.509235,-2.675217,-1.094679,bus
0.860307,-1.399954,0.357355,saab
-4.619468,0.562575,-0.154537,opel
5.342922,0.110347,0.252039,saab
3.381904,1.530381,0.685501,van
-5.439906,0.725257,-0.518462,opel
1.179217,1.116347,-0.043052,van
1.546878,-2.07349,-0.150573,bus
0.36337,0.77795,-1.039673,van
-4.334441,-0.836052,1.262281,saab
2.146977,-2.038268,0.749448,saab
1.365229,-2.126411,1.016276,opel
-2.785836,0.215905,-0.081642,saab
-4.8987,1.107534,-0.250725,opel
4.647273,2.09186,0.554482,saab
0.144146,-1.106187,-0.306256,saab
3.934862,-1.208409,0.743483,van
3.984583,-2.99803,0.34552,van
-2.384782,-2.431197,0.590667,saab
2.120966,2.203208,0.346676,bus
2.558807,3.12422,0.596175,bus
-0.624278,-2.398579,0.321409,saab
3.983865,-2.819814,0.196728,van
4.9523,1.897993,0.357041,van
2.03063,2.356769,-0.736148,bus
-1.070577,-1.178401,-0.334144,saab
1.036655,-2.445568,0.102349,van
1.053562,-2.450041,-0.095337,van
-6.323474,3.364567,1.749036,bus
1.423078,-1.189668,-1.188287,bus
1.890645,1.354547,0.318713,bus
3.352726,1.738396,0.400133,opel
-5.021632,-0.988838,-0.037945,saab
1.705902,-2.62583,-0.963954,bus
-1.134671,-1.102799,0.118456,opel
1.874626,1.06997,-0.495168,bus
1.808391,2.697179,0.531422,bus
-5.472501,-1.708145,0.076081,saab
1.071526,1.693454,0.671814,van
-0.564867,-1.387401,0.128423,saab
2.351074,-0.141163,-0.42242,bus
1.421239,0.679447,0.136761,van
-2.674441,0.308907,-0.800864,opel
3.864743,1.800676,-0.038925,saab
3.267838,-0.678541,0.673045,van
-1.392568,1.030096,-9.108023,van
1.533726,0.218607,-0.177806,bus
3.293786,-1.759648,0.392626,van
-5.412738,3.199482,2.004324,bus
2.087742,-1.868184,-0.329399,bus
-2.625219,0.152172,-0.267379,bus
4.114051,0.916506,0.799682,saab
-0.518393,-2.409532,0.037089,saab
0.225768,-1.747921,0.352166,bus
-4.188594,0.392233,0.61145,saab
1.090895,-0.812193,0.484942,opel
1.350096,-2.609143,-1.070779,bus
3.208131,-3.377057,0.16659,van
1.938138,2.390122,0.005371,bus
1.592697,0.130428,-0.009977,bus
-3.672155,-0.952216,0.428849,saab
-3.653567,-0.210148,0.861375,opel
-3.005612,-1.53312,0.737477,opel
-3.634632,-2.375984,0.506846,opel
-1.792552,-0.255196,0.006127,saab
0.489541,0.770426,0.259188,van
2.226613,-0.013019,-0.302396,bus
-3.662057,-0.92156,-0.059932,opel
2.278016,2.480135,0.399187,bus
3.357884,1.84891,1.016834,van
3.088383,-0.054451,0.114149,van
-1.924742,-3.111283,-0.03311,saab
5.035506,2.20244,0.506878,van
-3.853333,1.862263,0.718255,bus
-4.694228,0.237256,-0.549603,saab
-7.28955,3.337329,1.754014,bus
2.440512,3.005418,0.030725,bus
-2.648788,-0.31003,-0.289797,saab
0.44388,-2.265483,0.44865,saab
2.447177,3.12992,0.413772,bus
-2.285142,-3.150267,0.601544,opel
1.626618,0.071258,1.240987,opel
1.037399,-2.345384,-0.465274,van
1.450095,-1.124057,0.326565,saab
1.185191,-2.742871,0.304283,van
-2.605627,-0.752743,0.715257,opel
-5.419456,0.032026,0.008278,opel
2.552532,3.002904,0.274289,bus
-5.228981,2.020007,1.549775,bus
-4.970828,0.160233,0.248295,saab
1.386216,1.180977,0.638134,van
-2.906892,0.787838,0.782906,bus
0.399751,-2.328229,0.234436,van
1.929929,-0.086464,-0.384728,bus
2.15127,-0.606718,-0.238099,bus
2.715643,0.611515,0.074356,opel
4.305577,2.400687,-0.232043,saab
-4.307484,0.334558,0.904411,opel
-4.919105,0.562913,-0.195941,opel
-5.216178,2.65853,1.133497,bus
-5.263462,-1.929662,0.378005,saab
1.030231,-2.598772,0.577209,opel
1.027301,-2.33001,-0.029721,van
2.729594,-3.218572,0.821258,opel
-2.062628,-1.434401,-0.04339,opel
3.109356,2.559766,0.024225,saab
0.876702,-0.270058,0.172296,van
1.677258,1.824992,-0.222356,bus
-1.527371,-1.023864,0.108757,saab
-0.625024,-0.426195,-0.283517,opel
0.975254,-1.232214,-0.512696,bus
-3.995433,-0.951373,0.957455,saab
1.023751,-0.049879,-0.093666,opel
-2.091421,-2.062849,0.07392,opel
-4.506962,-0.129536,1.030631,saab
-2.810364,-1.744705,0.565206,saab
-0.303395,-0.44536,0.433035,saab
0.774621,0.537301,0.146117,van
1.288812,1.084423,0.419981,opel
-4.041415,-0.256362,0.296928,saab
0.649668,0.913494,-0.333735,van
3.953845,1.774441,-0.367,saab
2.100484,1.63618,-0.253182,bus
0.285166,0.640821,0.563629,opel
0.176659,-0.905092,-0.069229,bus
0.098967,-1.515961,-0.463484,bus
0.145201,-1.030677,-0.208968,van
-0.666293,-1.977927,-0.679971,bus
5.156488,2.135618,0.230115,van
-4.421711,2.015633,1.188323,bus
-4.226615,-0.395579,0.723872,saab
4.0688,0.135388,0.340126,saab
5.028905,1.98811,0.248837,saab
-4.564181,0.236488,-0.088622,opel
4.095693,2.22773,0.108928,opel
-6.254435,3.377516,0.248896,bus
1.640128,2.200893,-0.228324,bus
-4.396153,-0.224499,-0.20771,opel
2.026783,-0.254999,0.595413,opel
-0.057591,1.283465,-0.551871,van
-1.264785,-1.01642,0.137341,saab
0.83945,0.654624,0.088613,van
-3.932177,2.47534,-15.415062,van
-5.103419,0.576934,0.172084,opel
2.575301,3.016814,0.69253,bus
2.168268,-1.601275,-2.737194,van
0.62701,-1.825181,-0.297854,van
0.994348,0.523562,-0.530746,bus
-1.102636,0.50677,-0.093237,saab
1.470856,-0.021294,-0.153322,opel
-6.515252,4.08385,2.101767,bus
1.814418,-0.02319,-0.322533,bus
0.839447,-2.395244,-0.481194,bus
2.703326,-1.094106,-0.659811,van
-4.232246,-1.848384,0.361675,saab
2.224104,-1.062125,0.156013,opel
-3.45303,1.107784,1.335415,opel
1.908778,-3.190748,0.22149,van
-2.901319,-1.470908,0.082928,opel
1.662727,-1.665435,-0.640562,bus
4.086904,1.339533,-0.191936,opel
2.782361,0.302563,0.933407,saab
1.675538,0.066441,-0.454356,bus
0.787695,-1.257919,0.02623,saab
0.226514,-1.139674,-0.497561,saab
5.66038,2.550743,0.098328,opel
2.208147,2.473863,-0.033143,bus
2.868612,-2.333219,0.212179,opel
0.986572,1.187003,0.290822,van
-3.948774,-0.398943,0.962708,opel
1.892356,-1.127834,0.105301,bus
1.776395,-2.933153,-0.802259,bus
1.453257,1.108378,-1.065316,bus
3.366972,-3.101774,0.808344,saab
3.691797,2.711527,0.628216,van
-2.909951,0.12299,0.013965,opel
3.271404,-3.171198,0.133758,saab
2.141933,2.702702,0.600122,bus
-0.631414,-1.768,-0.080697,opel
3.364086,-2.118506,0.576334,opel
-4.589843,0.100265,0.372094,opel
0.711786,-1.839365,0.272174,opel
-3.886904,-1.201343,0.980631,saab
3.044093,-1.559975,-0.248296,van
-4.328716,-0.188894,0.219816,saab
-2.724123,0.249225,-0.884573,bus
2.320241,0.423578,0.74252,saab
2.121479,2.311012,0.402922,bus
-3.571548,0.540823,1.296202,saab
3.696064,-2.059673,0.20687,van
2.921111,1.48268,1.069315,van
2.656932,2.180664,0.465527,opel
-1.26546,-0.472435,-0.01145,opel
-2.653939,-2.452257,0.500559,saab
-2.927032,-0.534508,0.212572,saab
0.805566,1.589644,0.067764,van
4.569613,-1.328331,0.649784,van
-2.272799,-1.21708,-0.019097,opel
-5.665206,2.375003,-0.196535,bus
1.075288,1.642601,0.103713,van
-2.81208,-1.105671,0.48248,saab
-4.432548,1.138885,-1.281501,opel
-3.280147,0.755928,0.181052,bus
1.680176,-1.380686,-0.706334,van
0.401301,-0.693082,-1.208449,bus
1.464558,-2.482206,0.48079,opel
1.101954,-2.880088,0.0789,opel
1.475593,-1.312683,0.123076,bus
-3.474918,-1.148307,-0.174886,saab
2.322314,2.572379,-0.467291,bus
2.585834,1.906479,0.891407,van
1.767531,-0.441259,-0.792714,van
-5.099622,0.921982,-0.515634,opel
-0.477117,-2.948307,0.180068,saab
2.895223,-2.847633,0.561342,van
-3.654349,-1.228081,0.607707,opel
-0.449157,-0.574634,-0.099263,opel
2.851477,2.908765,0.975781,opel
-1.826863,-1.02535,-0.525423,bus
1.949536,1.776489,-0.745257,bus
2.32038,1.894759,-0.748985,bus
-3.986792,1.178062,0.897954,opel
-4.487658,-0.199505,0.382136,saab
3.09355,-3.250431,0.298547,van
2.202838,0.210264,-0.303684,van
-5.262752,-0.817156,-0.261948,opel
-3.634478,2.450925,1.539226,bus
-5.071381,0.564944,0.502295,opel
2.462179,1.463469,0.295854,opel
-4.278595,0.612791,-0.660226,saab
-4.449325,0.796519,0.521095,opel
0.645513,0.79699,-0.468443,van
-1.455068,-1.085377,-0.465763,bus
2.701255,3.33389,0.270912,bus
-4.237962,1.273644,-0.299185,saab
-4.086751,0.42844,-0.392607,opel
-0.281727,-0.752305,0.270936,opel
2.878799,-0.427485,0.007107,van
0.588219,1.395397,-0.327876,van
1.416752,2.156287,-0.898059,bus
-5.177252,0.590317,-0.706052,opel
0.150497,-0.753046,0.042384,saab
2.3551,0.642535,0.907307,opel
-3.656839,-0.882039,0.988039,opel
-4.905098,-0.184572,1.100677,saab
0.173695,-2.38842,0.472901,saab
2.373841,2.919524,0.12569,bus
-4.101443,0.973789,1.044154,opel
-5.381028,3.754614,2.415558,bus
0.53702,-0.778209,-0.480909,bus
-4.656988,-0.629955,-0.321541,opel
1.254669,0.494449,0.305674,van
5.188213,2.397234,0.32109,van
-4.045241,0.716769,1.288746,opel
-4.750536,0.898817,-0.10264,opel
-4.280116,1.102533,0.759926,opel
3.979204,0.877723,0.190109,opel
2.544181,0.946436,0.660036,saab
-2.197506,-0.230682,-0.680348,opel
-4.97929,-0.25877,0.545537,saab
-4.000106,-1.350663,0.606777,saab
2.169101,-1.60427,0.203363,opel
-0.086045,-0.63071,-0.193229,van
-4.350749,0.914945,0.874682,opel
2.405416,3.0742,0.314599,bus
1.739653,-0.979377,0.555446,opel
-4.565002,0.057848,0.896272,opel
1.371475,-3.134106,0.238499,saab
3.136213,-0.196742,0.160142,van
4.457614,2.760666,-0.188166,opel
1.113059,-3.696914,0.530314,opel
-5.273552,-1.075778,-0.122128,saab
2.310482,1.418991,0.517507,saab
2.70431,-3.065218,-0.186873,van
0.196431,-0.508198,0.443789,saab
2.958572,0.671249,0.210621,van
2.806443,-2.345287,0.046152,saab
-0.629635,0.606503,-9.28207,van
-4.253553,-0.92931,0.416831,opel
0.61547,-0.137986,0.666316,saab
-1.659036,-0.583304,-0.235148,saab
-3.267161,-1.265544,1.065058,opel
-0.589824,-2.213372,-0.509419,bus
2.55681,3.143129,0.410063,bus
-0.942136,-0.615746,0.504037,saab
-5.955291,3.302209,2.23013,bus
-3.377576,-1.882181,0.214643,saab
3.825934,0.912965,0.164841,van
3.742207,2.464711,0.936753,van
0.189452,-1.798602,-0.349437,van
-4.881249,0.225959,-0.398275,saab
3.550339,-2.896893,0.275629,van
-2.871964,-0.410028,-0.398645,opel
-5.523391,3.065753,1.188762,bus
0.45377,-1.313069,-1.084666,bus
4.118699,-2.793376,0.34091,van
0.713897,-2.576997,0.292906,saab
1.220882,-1.217387,-0.695649,saab
1.148177,0.796211,-2.989837,bus
1.011141,1.042793,0.103512,van
3.140159,2.31865,1.176171,van
1.887808,-1.377235,-0.016429,bus
1.370754,-1.364835,-1.175776,bus
-3.809133,0.540927,0.64808,saab
4.797861,1.470536,0.54209,van
3.167777,1.420337,0.394203,opel
0.239225,-0.600088,0.124471,saab
2.226581,3.326827,-0.175984,bus
-3.390661,-2.128328,0.93108,saab
-1.125655,-0.52638,-0.119546,opel
-6.112121,1.853893,-0.575236,bus
3.216892,0.587266,0.498958,saab
2.501435,3.412342,0.160474,bus
-4.650518,0.447864,-0.949877,saab
-4.30538,1.310825,0.978951,opel
0.585862,-0.063762,-0.948538,opel
-4.161611,-0.161577,0.370588,saab
1.868048,-0.692138,1.124634,opel
1.719265,-3.055756,-0.431945,bus
-1.412227,-2.558623,0.208877,saab
-4.428536,0.315428,-0.148343,saab
1.174623,0.345208,0.020841,saab
2.362766,3.217747,0.373081,bus
3.56932,-2.025138,-0.344169,van
-4.845494,-0.75432,0.40602,saab
1.085181,-0.89827,0.588318,saab
0.474596,-1.233223,-0.515069,van
0.790751,1.745599,0.174252,van
-4.222868,-0.004571,-0.384641,opel
-4.676619,-0.379714,-0.240048,saab
-4.768431,0.210882,0.093436,saab
-3.596249,0.407973,0.161341,opel
0.103686,-2.618604,0.680545,opel
4.048324,0.34108,-0.070246,opel
2.588501,3.062745,0.412501,bus
3.259013,-0.320694,-0.09996,van
-4.493918,0.129013,1.187825,saab
-4.237381,0.774137,0.083577,saab
-2.855944,0.269781,0.212456,bus
4.77023,-2.235863,0.444709,van
-4.605324,0.78029,1.365819,opel
3.408222,0.318354,0.312735,opel
2.564801,-0.289336,-0.02489,opel
-5.286334,0.522254,-0.365212,opel
2.318255,2.921677,0.140757,bus
4.376788,0.340497,0.387696,opel
2.067889,1.903896,-0.499916,bus
1.665195,-1.231401,0.95056,saab
4.026529,2.91048,0.447229,van
-1.195927,0.497171,-0.200727,opel
0.355753,0.020135,-0.023259,opel
3.392041,-0.872081,0.59705,van
-0.507056,-0.176879,0.930649,bus
3.080618,-2.26392,0.514779,saab
-0.556654,-2.076708,-0.566822,bus
2.263772,-3.107656,-0.493419,van
-4.762113,-0.197696,-0.611175,opel
1.156355,-2.502881,0.20022,saab
0.308155,-1.109797,0.175517,opel
-4.536182,-0.087635,-0.871047,saab
3.114477,-2.378755,0.029682,van
4.202553,-2.242977,0.398074,van
3.675798,-0.971776,0.637402,opel
2.764152,3.195766,0.76609,bus
-4.180844,0.479101,0.915643,opel
0.291379,1.634213,0.018906,van
6.3606,2.517544,0.044127,opel
1.283095,-2.027504,-0.839509,bus
5.907932,1.82738,0.648424,saab
3.281223,-3.98065,0.921847,opel
2.126991,-2.583663,0.499202,opel
5.033493,2.332721,0.33477,van
3.039917,0.564473,0.378881,van
-3.503604,1.930132,0.803875,opel
-5.262229,0.380074,-0.795393,saab
0.823435,1.184325,-0.195348,van
-0.602536,-1.665426,0.69739,saab
-4.953096,-1.038725,0.415355,saab
3.255442,-0.67107,0.779101,saab
-3.895265,0.171139,0.415204,saab
2.072928,-0.008473,-0.477923,bus
1.757451,0.122509,-0.849476,bus
-2.056847,-0.90745,-0.641973,bus
2.658119,-1.848815,0.489408,van
3.377373,0.461814,0.750512,saab
-3.127883,-0.588015,0.855265,opel
1.945516,2.547744,-0.259941,bus
-3.260337,-1.408178,-0.029468,opel
4.378136,2.573068,0.032209,opel
3.039548,1.470528,0.302691,van
1.864562,-3.01034,0.893343,saab
2.137301,2.97891,0.409593,bus
-1.28094,-1.024872,-1.046326,bus
-4.97679,-0.243746,-0.241344,opel
-2.73128,0.288171,-0.026923,opel
1.187735,0.800298,-1.48084,bus
-1.960619,-1.140643,-0.317358,saab
-0.37233,-1.425258,-0.343764,bus
0.432733,-0.844988,-0.017442,van
1.69916,0.519171,0.127156,opel
1.239481,-2.62062,-0.519133,bus
2.759708,0.950729,0.761506,saab
-4.005257,0.673916,0.627881,saab
2.091041,-0.357162,0.015288,saab
-3.921736,0.410018,-0.227484,saab
2.84023,1.557722,0.298883,saab
1.062293,-4.026063,0.120135,opel
-0.433133,-2.392496,-0.252371,opel
-1.205478,-3.303104,0.619481,saab
5.741583,2.79134,0.440082,van
1.743223,0.390494,-0.430472,bus
0.550683,0.984344,0.013275,van
2.422003,-3.314833,0.374518,van
-2.550854,-0.899487,-0.398869,saab
4.039607,-3.285566,0.114602,van
-2.285505,-1.85821,0.576674,saab
2.423103,1.994084,0.521,saab
0.07655,0.563141,0.064508,saab
2.000185,-2.637955,-0.31001,van
0.114331,0.776896,-0.428953,van
-1.238286,-2.228045,0.021866,opel
-4.475939,-0.961428,-0.008793,saab
-0.332619,-0.9459,-0.817035,van
2.262925,3.000391,0.203014,bus
-2.607958,-0.063232,0.183793,opel
-0.579179,-2.832285,0.130368,opel
-1.913264,0.578811,0.514512,bus
2.725575,-2.167564,0.140311,opel
1.641062,-0.938557,-0.640486,saab
-5.399495,0.442508,-0.768714,opel
1.659438,1.565437,-0.929601,bus
-2.583936,-0.339058,-0.338774,bus
2.102999,2.968172,0.352515,bus
1.210409,-0.601771,-1.139644,bus
0.378765,0.810569,-0.731646,van
-0.21843,-2.103538,-0.270242,bus
0.873796,1.595503,-0.164758,van
-6.553978,3.102112,1.653003,bus
0.740688,-2.354337,-0.254519,bus
2.677441,2.921121,0.546931,bus
3.312921,-1.330694,0.147215,opel
-7.415043,3.067749,0.41661,bus
5.087292,1.743098,0.319794,saab
-2.987464,-1.791599,0.563421,saab
0.428229,-3.250001,-0.079775,saab
1.341616,0.414543,-0.567546,bus
-3.377851,-1.641655,0.2797,saab
0.919438,1.625697,0.123574,van
