@relation 'vehicle_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M-1'

@attribute '-0.317SCATTER RATIO-0.314SCALED VARIANCE_MINOR-0.314PR.AXIS RECTANGULARITY+0.314ELONGATEDNESS-0.309SCALED VARIANCE_MAJOR...' numeric
@attribute '-0.541KURTOSIS ABOUT_MINOR-0.539HOLLOWS RATIO+0.489SKEWNESS ABOUT_MAJOR+0.208SCALED RADIUS OF GYRATION-0.189RADIUS RATIO...' numeric
@attribute '-0.643PR.AXIS ASPECT RATIO-0.592MAX.LENGTH ASPECT RATIO-0.285SKEWNESS ABOUT_MAJOR-0.275RADIUS RATIO+0.119COMPACTNESS...' numeric
@attribute '0.666KURTOSIS ABOUT_MAJOR-0.608SKEWNESS ABOUT_MINOR-0.199SCALED RADIUS OF GYRATION-0.185MAX.LENGTH RECTANGULARITY-0.184CIRCULARITY...' numeric
@attribute '-0.726SKEWNESS ABOUT_MINOR-0.604KURTOSIS ABOUT_MAJOR-0.216MAX.LENGTH ASPECT RATIO-0.144SKEWNESS ABOUT_MAJOR+0.102KURTOSIS ABOUT_MINOR...' numeric
@attribute '0.465MAX.LENGTH RECTANGULARITY+0.436MAX.LENGTH ASPECT RATIO+0.281CIRCULARITY-0.257RADIUS RATIO+0.247HOLLOWS RATIO...' numeric
@attribute '-0.489MAX.LENGTH ASPECT RATIO-0.464COMPACTNESS+0.39 PR.AXIS ASPECT RATIO+0.385SCALED RADIUS OF GYRATION+0.287KURTOSIS ABOUT_MAJOR...' numeric
@attribute Class {opel,saab,bus,van}

@data
0.217977,1.405048,0.375258,-0.789754,0.442688,1.595288,-0.587521,van
1.103409,-1.214077,-0.234078,0.361461,0.743673,-1.030031,-0.687968,saab
-5.233037,-1.012502,0.29713,-3.064443,-0.914278,-0.491686,-0.808607,saab
0.399671,1.464124,-0.215138,-0.38641,0.928216,1.215022,-0.491508,van
2.765568,0.007221,0.384999,-0.068679,0.948463,1.067351,-0.384337,van
2.578548,3.113261,0.42842,0.411966,-0.557722,-0.231714,0.080652,bus
0.488817,1.18671,-0.573122,-0.350134,-0.158594,1.305313,0.511509,van
0.137897,-2.308105,0.157813,0.189069,1.549806,0.91321,0.093739,saab
3.856565,2.099878,0.764985,0.441752,0.82283,-0.117636,-0.427459,saab
1.799576,-0.916237,-0.375539,1.566153,-0.495838,-0.712756,0.149487,saab
-4.52402,0.59105,-0.732276,-0.097925,1.748703,0.01129,0.965891,opel
1.110482,-3.050016,-0.121516,-0.723466,0.449537,-0.518721,0.177646,bus
-6.031585,3.302343,1.811665,1.930817,-0.54233,-0.742003,-0.069144,bus
3.105544,-3.21414,0.084176,-1.244135,0.351468,-0.158283,-0.905419,van
-1.205551,-1.057957,-0.005387,0.265265,0.813772,-0.418834,-0.532246,saab
0.838187,1.472776,0.304435,-0.353978,0.150071,1.621871,-0.286619,van
-4.167872,-0.639576,-0.36949,-0.2993,2.09456,0.190332,-0.538775,opel
4.02339,1.39715,1.006422,-0.375929,-0.328092,0.118339,-0.246668,van
-2.815017,-1.895783,0.104495,-0.676786,1.227316,0.024224,-0.342419,opel
4.197598,1.199638,0.251301,0.153824,-1.893741,-0.471897,0.964689,opel
3.033316,1.778702,0.908529,-0.265213,-1.230881,0.003857,-1.20789,van
2.176197,1.620192,-0.861772,-0.313403,0.883854,-0.473089,0.467554,bus
-1.141708,-0.556667,-0.695399,0.328399,1.855337,-0.983997,0.23463,bus
2.220858,1.104625,0.648634,-1.763643,-1.524862,-0.778924,-0.294105,opel
2.402707,2.713388,0.08626,0.605993,-0.756494,0.463467,0.525203,bus
-4.909764,0.808828,-0.575225,0.071685,0.308766,0.201263,0.615047,opel
1.59876,-0.707765,-1.008164,0.179246,0.966868,0.85519,0.79905,van
-2.28995,-0.352887,-1.040916,-0.313112,1.203819,-1.1729,0.912603,bus
-3.596902,1.949081,0.906397,-0.202666,1.093589,1.022035,-0.372422,opel
-5.493241,0.282838,-0.360273,0.13752,-0.860814,0.990899,1.492468,opel
-0.098782,-1.524073,0.065141,1.729159,-0.101631,-0.44143,-0.066492,opel
5.270306,2.760874,0.18878,1.249168,0.00717,0.396001,0.457767,opel
1.165106,-0.405484,-0.12052,0.176092,-1.646936,0.861766,0.186081,van
-3.027449,-0.3,0.113507,-0.717856,1.091371,0.306892,0.100049,opel
0.634822,-0.018372,-0.008139,1.240775,0.998038,-0.706608,-0.707218,saab
2.679995,2.364084,-0.459894,0.133333,0.881152,-0.667304,-0.035415,saab
-3.725047,0.555841,0.389952,-1.254265,0.380327,-1.563782,0.326558,bus
2.15451,3.557778,0.744276,-0.480063,0.004763,0.174857,-0.485207,bus
1.372386,1.055198,-0.425374,-0.64553,1.611948,-0.078649,0.781915,bus
-3.376356,1.058748,0.274332,0.213529,0.718524,-1.288262,0.526702,bus
3.836061,-1.273252,0.659376,-0.08861,1.302099,0.07294,-1.506733,van
2.645016,0.86512,0.605704,1.587255,-1.774484,0.538525,0.606643,opel
1.533733,-1.096394,-1.564345,0.194069,0.912493,-1.052607,0.644589,bus
-6.767026,3.667714,2.219229,0.17235,-0.246151,-1.061356,-0.687347,bus
1.569119,-0.344,0.173046,0.666513,-0.200129,0.944361,-0.079911,van
4.865465,0.512946,0.691108,0.236072,0.612291,0.311393,-0.410669,van
-0.050279,-1.832499,-1.140863,0.548559,0.938666,-1.216253,0.892671,bus
4.982659,2.29949,0.27205,-0.285234,-0.381048,-0.490568,-0.315658,opel
-4.954278,0.202625,-0.515643,-0.046408,1.032717,0.416903,0.267292,saab
0.832099,-0.6057,0.70243,0.406717,-0.728235,-0.68739,-0.94516,opel
-3.357072,-0.055363,0.7154,-0.962282,-0.050906,0.064464,0.019645,saab
-0.061514,0.790956,-0.476361,0.091428,0.054421,1.163917,0.393805,van
2.077675,1.306014,-0.381957,-0.323138,1.323339,0.015416,0.85539,bus
-3.998691,-0.011585,-0.004362,1.383957,-0.959126,-0.0589,0.761158,opel
1.827525,0.66353,0.369237,-1.23893,-1.736389,-0.597026,0.644256,saab
1.851773,0.599375,-0.221161,0.049546,0.545927,-0.158207,0.331647,bus
-3.013904,-1.320592,-0.287997,2.357854,-1.197498,-0.109995,1.18602,opel
2.400484,3.163859,0.269833,0.406806,-0.090163,-0.065347,0.079178,bus
-0.875201,3.683378,-13.969457,-0.08466,-0.971671,-0.26117,-1.394952,bus
0.933941,-2.16106,-0.342849,-1.363986,-0.030318,-0.096206,-0.203809,van
2.576332,-0.797311,-0.033098,-1.993473,-0.636423,-0.130461,0.19242,van
4.421821,-0.471179,0.216563,-1.782412,-0.852182,-0.498992,-0.040936,van
-1.714287,0.025648,0.013137,2.334922,0.135396,-1.456026,0.060844,bus
-4.648387,0.20313,0.302823,-0.832124,-0.27323,-0.223374,-0.3592,saab
-2.541557,-2.145843,-0.158119,2.581937,-0.22077,0.576733,-0.082697,opel
2.407384,0.369062,-0.103761,1.550698,0.40689,0.11703,-0.273816,opel
2.235853,2.380853,-0.07598,-0.004571,-0.36512,0.267443,0.631914,bus
-1.407414,-0.467279,-0.304769,-0.17514,0.876606,-1.132619,0.183871,bus
2.031286,-0.790526,-0.751295,0.25057,1.345327,0.283371,-0.331192,van
0.312947,0.510856,-0.521251,0.014187,0.141498,0.9561,0.384391,van
2.99069,1.411155,0.25373,0.06624,-2.309387,-0.84339,0.656441,opel
5.323988,0.883401,0.6245,-2.337072,-2.080549,-1.15207,-0.124424,opel
1.100903,0.655123,0.613093,-0.741888,-1.218743,0.889854,-0.574608,van
-0.124479,-0.26827,-0.282232,-1.112303,-0.906157,0.804892,0.243932,van
-2.620095,-0.023931,-0.145288,0.103844,0.875729,-1.295818,-0.488576,opel
-5.191941,-0.501797,-0.26689,0.245233,-1.829728,0.088603,0.286223,saab
2.354539,2.527508,0.264406,-0.116254,-0.921146,0.115616,0.206213,bus
-0.933212,-1.063018,-0.063468,-0.507438,0.878877,0.208785,0.782939,bus
4.031177,1.378806,1.060361,-0.797004,-1.970684,-1.015879,-0.255919,saab
0.493791,1.425671,-0.013699,-0.907704,-0.65918,1.107613,0.14468,van
1.691265,-2.552735,-0.19403,-1.413523,0.596771,-0.068284,-0.640273,van
4.400276,-1.120647,0.964188,-1.236903,-3.249235,-0.43422,0.280169,saab
1.78537,0.454265,-0.430032,-0.478551,1.306543,0.640771,0.492345,van
0.579204,0.88348,-0.072662,-2.048179,-1.375379,0.515695,0.208441,van
2.066743,0.992864,-0.26204,0.157991,0.902416,-0.210061,-0.136294,bus
1.870799,0.76403,-2.351024,0.400258,-1.027045,1.110421,-0.946289,bus
0.094967,-1.251425,-0.465837,-0.591019,-0.130049,0.598236,0.011752,van
-2.706484,-0.156881,-0.172199,-0.020652,0.347885,-1.233746,0.320482,bus
-2.460737,-0.057078,0.542007,-0.460328,-0.973204,-0.740004,-0.424731,saab
2.290748,-2.329546,0.150012,2.596266,-0.304634,0.115278,0.288322,saab
-1.387616,-2.228158,0.654035,2.438078,-1.893329,0.145737,0.158157,saab
3.231995,1.147164,1.028316,-0.514254,0.624896,0.073359,-1.745921,van
-3.715742,0.948031,1.408808,0.301359,-1.7292,0.88247,-0.21383,opel
-2.900562,0.623798,-13.424127,0.628939,-0.857102,0.442775,0.096127,van
0.845274,1.722859,-0.019322,-0.81441,1.15409,1.377289,0.035472,van
2.679204,-1.100378,-0.650893,-1.396596,0.688179,0.533946,0.042908,van
4.045182,0.588979,0.700165,-0.281468,-1.983769,-0.400243,0.391381,saab
1.497577,-0.631917,-0.562561,-0.179072,0.987916,0.140503,-0.102842,van
1.639348,-3.522318,0.324355,1.103783,0.322134,0.11934,-0.737188,saab
2.712583,3.215229,0.057791,-0.281389,-0.241662,0.009775,0.027234,bus
-3.773753,-1.610689,0.802878,2.956533,-0.666713,1.110837,-0.5537,opel
2.509723,3.191664,0.16946,0.160939,0.170824,0.346886,0.053225,bus
-0.165989,-2.254086,0.374152,-0.480175,-0.611004,-0.177567,0.592255,opel
-4.777747,-0.387053,-0.095023,1.108105,0.91578,0.961535,-0.127112,opel
-0.247015,-0.145592,-0.177266,-2.792328,-0.953478,0.145466,-0.522786,van
1.721595,-1.469861,-0.431402,0.714658,0.126118,-0.287369,0.341448,bus
1.019999,-3.159096,0.523944,-1.747422,-0.549395,0.021922,0.208631,saab
2.718014,-2.274752,-0.787892,1.737707,-0.508051,0.169672,0.372626,van
-2.590773,-1.753798,-0.278921,-0.340477,1.267816,0.268566,-0.240429,saab
-1.205968,-1.329601,-0.928353,1.362029,0.089498,-1.48488,0.826549,bus
2.123084,-4.000127,0.217201,1.651511,-0.738692,-0.403558,-0.029272,opel
-3.679794,-1.046153,0.199777,1.706694,0.284724,0.124531,-0.239204,saab
1.998355,-0.396185,-0.434661,-0.533956,-0.050151,-0.049599,-0.183741,van
-6.48011,2.95961,0.512821,0.318802,1.087011,-2.059207,-0.272184,bus
2.520888,-2.37319,0.919537,0.689765,-1.227301,-0.048685,0.001545,opel
3.035426,0.5537,0.373266,-0.783276,0.505576,0.426692,-0.552728,van
2.134317,-0.509957,0.530322,2.526005,-0.65733,0.384287,0.493638,saab
1.226183,-0.792306,0.966145,-2.385709,-0.438033,-0.066662,0.302979,opel
4.461139,3.056256,-0.36771,0.325762,1.166063,-0.786754,-0.26845,opel
-3.786482,-1.936443,0.106463,-2.43436,-0.417794,-0.35528,-0.553563,opel
0.442055,-2.917542,-0.055723,0.478595,-0.500354,-0.477482,-0.468273,saab
3.193655,-0.525632,0.423919,0.078719,0.775638,0.189593,0.294256,saab
-3.915158,0.903976,0.533749,1.552296,0.104946,1.212084,0.430778,opel
-3.922604,0.494746,0.803954,2.079682,-0.366792,1.245078,-0.131629,opel
1.968372,-3.87831,0.552536,0.928954,0.143068,0.018397,-0.675372,saab
-3.966097,-0.498998,0.886002,-2.194205,-0.898115,-0.411858,-1.527518,saab
2.257268,2.532755,-0.488351,-0.090431,1.548359,-0.047518,0.70434,bus
3.415564,0.878003,0.643995,0.878527,0.336982,0.432688,-1.396113,van
-3.713387,-0.533149,0.461138,-0.725467,0.739151,-0.073691,-1.263203,opel
-5.27432,3.734797,2.501862,0.773599,0.547833,-0.920659,-0.914207,bus
0.884744,-1.589226,-0.341059,-1.042798,-0.609069,0.516431,0.690123,van
-3.096956,1.064101,1.000469,1.380379,-1.056957,-0.79331,0.622684,bus
0.12066,0.668655,-0.275865,-0.570793,-0.526515,1.465811,0.42763,van
1.143493,-0.943507,-1.154782,0.885748,1.045712,-1.186779,0.562852,bus
0.276161,-1.002372,0.306254,3.042718,-1.327822,-0.478588,0.603953,opel
1.594609,-0.576492,-0.274661,-1.796713,0.257628,-0.097522,0.526877,bus
1.754693,-2.40304,-0.597879,1.56848,0.259639,-0.491974,0.11371,bus
2.485473,1.426621,0.287384,-1.356905,-0.101335,-0.136626,0.074851,van
-4.504831,-0.181074,-0.562415,1.505849,0.376673,0.741424,0.902471,saab
5.29785,1.807993,0.180213,1.197685,-0.360469,0.04623,0.031711,opel
1.668199,-2.350344,-0.508836,-1.030967,1.560285,-0.288548,0.066212,bus
5.347239,0.522473,0.61316,0.849573,-1.967531,-0.242693,0.561669,saab
-3.113947,-0.672626,-0.180759,-0.355126,-0.042588,-0.750494,-0.249275,saab
-0.443056,-1.611893,-0.447051,0.742229,-0.215911,-1.980772,0.26624,bus
0.255905,-2.306623,-0.301906,1.319542,0.242965,-0.727539,0.955608,bus
0.282693,-0.367669,0.578233,-1.30839,-0.676476,-0.208098,0.149711,opel
-4.000172,0.455212,-0.334897,0.95631,-0.292556,0.064322,0.695447,opel
1.718359,-1.578925,-0.343967,1.696974,0.282532,-0.611586,-0.078008,opel
-1.823573,-2.125334,0.400656,-2.144984,-1.418209,-0.372261,0.420183,opel
1.815626,-0.714976,-1.069877,0.833288,0.782317,0.468117,0.230206,van
1.433139,0.001224,0.737116,-2.067698,-0.266044,-0.255435,-0.227136,saab
-5.474425,2.665705,0.839516,-0.21312,1.55887,-1.186372,-0.570267,bus
1.322582,-1.078196,0.463232,0.80427,-1.036994,-0.675755,-0.182968,saab
2.117942,2.30332,0.370293,0.325962,-0.387495,-0.013368,0.163877,bus
-5.219399,-0.043973,-0.353872,-1.91873,-1.390425,-0.637726,0.441584,saab
1.703376,1.832651,-0.566887,1.160609,0.542315,0.124505,0.923503,bus
1.814827,2.632899,0.295015,0.472173,0.170094,0.763598,0.790539,bus
2.074739,2.259206,-0.118365,0.431982,-0.527564,0.18167,0.938632,bus
0.243352,0.658262,-0.706502,-0.212247,-0.457817,1.022507,0.393224,van
1.923493,-2.84071,0.302616,1.048016,-0.369988,-0.39521,-0.3231,saab
-4.482112,0.175417,1.8329,-1.677929,-0.67173,0.375409,-1.598702,opel
-4.210334,0.849394,0.294375,-0.634548,-0.409906,0.537477,0.107382,opel
3.622153,-2.317774,0.352149,-1.38623,0.670225,0.724252,-0.038054,van
1.176,0.250988,-0.391718,-0.119701,1.391005,1.226483,0.368828,van
0.223252,-0.653103,-0.191867,0.102235,1.057019,0.378121,0.418845,opel
2.632572,3.19666,0.170937,0.339182,0.741757,0.178787,-0.218043,bus
1.609157,1.652033,-0.545353,-0.628118,0.359345,0.110819,0.71067,bus
-3.848367,1.829283,0.767433,-0.431712,1.419686,1.096447,-0.65755,opel
0.13276,-3.503375,-0.007642,1.486734,-0.117617,-0.35838,-0.555558,opel
3.240899,-0.424052,-0.559515,0.443039,1.014357,-0.179317,-0.450675,van
1.606898,-0.880706,-0.625785,0.818162,0.21037,-0.319958,0.618875,bus
-2.872116,1.151684,1.628642,1.842786,0.3096,-0.860264,-0.381493,bus
3.471438,0.152705,0.19964,0.24115,1.217855,-0.467808,-1.122693,opel
1.150515,0.277157,-0.10089,2.050101,-0.066023,-0.631278,-0.07404,opel
1.755701,1.732628,0.32974,-0.877514,0.396317,-0.392827,0.494316,saab
-4.968614,0.868682,-0.587271,-0.651116,1.313429,0.218738,0.02988,opel
2.081231,1.232869,-0.320295,-0.311186,1.488721,0.370158,0.313939,bus
4.447546,-1.91616,0.854417,-2.298322,-1.111086,0.340496,0.312072,van
-4.598364,0.970191,-0.2301,-0.328551,1.526735,0.929466,-0.402812,opel
0.839383,0.979583,0.103954,0.350043,-0.34747,1.314215,-0.172558,van
-1.975558,-0.508029,-0.190235,-1.128831,1.33225,-0.911126,0.26122,bus
1.879553,2.215105,-0.051802,0.974807,0.448488,0.234873,0.839764,bus
3.167418,1.1122,0.539572,0.292442,-0.140587,0.289481,0.296054,saab
1.669896,-1.760044,-0.167901,-0.192453,0.667189,0.506176,-0.318758,van
-4.432398,0.298538,-0.058488,-2.093427,-0.00379,-0.431915,-0.365896,saab
3.412259,-2.14668,-0.227546,-0.508242,-0.059542,-0.520953,-1.07802,van
-4.407519,-0.504623,0.050727,-0.429856,-1.466128,0.079068,0.773227,saab
2.406521,1.971317,0.018058,0.028288,0.299259,-0.681854,0.469131,saab
5.651339,2.552154,0.301468,0.27213,-0.272303,-0.969875,-0.25389,van
6.141363,1.907551,0.38568,0.312445,-2.113925,-1.242107,0.224045,saab
2.440583,3.344193,0.476121,-0.111415,0.46033,0.20027,0.127341,bus
-3.467125,0.148867,0.537915,1.436614,0.346132,0.846016,-0.110321,saab
2.12596,-1.037392,-0.865668,-0.536075,-0.152692,0.262743,0.478028,van
0.560415,1.712381,0.125225,0.343249,0.449003,1.986779,0.000218,van
0.978034,-1.737654,-1.141957,0.450759,1.627334,-2.172271,-0.255927,bus
2.123406,2.831882,0.121637,0.460964,0.595459,0.575632,0.203108,bus
-4.47455,0.584951,0.942974,0.123254,-0.053971,0.849381,-0.012214,opel
1.433014,1.868928,-0.034044,-0.332497,0.225753,0.559366,1.281076,bus
1.926459,-2.918524,0.034017,1.264115,-0.301745,-0.477658,-0.1721,opel
0.442547,-1.360569,0.719624,-0.789476,-0.50267,0.191526,0.564839,opel
2.612468,2.911001,0.039654,-0.694809,-0.08067,-0.370596,0.066109,bus
-4.66841,-0.026276,-0.823929,0.678978,0.712391,0.479565,0.3907,saab
1.274477,2.052622,0.525172,-0.036231,0.955588,1.740914,-0.097438,van
2.765743,1.457491,0.934314,0.446905,-0.432777,0.358782,-0.712322,van
1.509235,-2.675217,-1.094679,1.434604,0.357786,-1.604205,0.032631,bus
0.860307,-1.399954,0.357355,2.155369,0.244016,-0.288887,-0.163892,saab
-4.619468,0.562575,-0.154537,0.108512,0.285644,0.371067,0.549833,opel
5.342922,0.110347,0.252039,1.17273,-0.419086,-0.018356,0.053143,saab
3.381904,1.530381,0.685501,-0.795296,-0.999676,-0.250677,-1.169203,van
-5.439906,0.725257,-0.518462,-1.144075,0.941137,0.168196,0.547763,opel
1.179217,1.116347,-0.043052,0.354323,-0.346036,1.483493,0.321718,van
1.546878,-2.07349,-0.150573,-1.390889,0.16237,-0.232124,0.776879,bus
0.36337,0.77795,-1.039673,-0.040963,0.618057,1.140961,-0.069342,van
-4.334441,-0.836052,1.262281,-0.295954,-2.631544,-0.061618,-0.817841,saab
2.146977,-2.038268,0.749448,0.469431,-0.40211,-0.679525,-0.782516,saab
1.365229,-2.126411,1.016276,-0.954295,-1.163668,0.265021,0.404239,opel
-2.785836,0.215905,-0.081642,-0.589268,0.414037,-0.544919,-0.507125,saab
-4.8987,1.107534,-0.250725,-1.059111,1.187433,0.734717,0.066055,opel
4.647273,2.09186,0.554482,0.728538,-0.17173,-0.489755,0.022906,saab
0.144146,-1.106187,-0.306256,2.148656,0.228186,-0.467828,-0.118918,saab
3.934862,-1.208409,0.743483,-1.310368,-0.216485,0.56156,0.131496,van
3.984583,-2.99803,0.34552,0.726564,-0.116261,0.427897,-0.424706,van
-2.384782,-2.431197,0.590667,-1.511601,-0.245593,0.352953,-0.495962,saab
2.120966,2.203208,0.346676,0.711473,0.039109,0.772596,0.704376,bus
2.558807,3.12422,0.596175,-0.1875,0.301812,-0.257128,-0.386611,bus
-0.624278,-2.398579,0.321409,-1.580348,-0.358934,0.188485,-0.107216,saab
3.983865,-2.819814,0.196728,-0.984351,0.426445,0.665184,0.231134,van
4.9523,1.897993,0.357041,0.652004,0.712783,0.197554,-0.539733,van
2.03063,2.356769,-0.736148,-0.783526,0.982476,-0.606684,1.162305,bus
-1.070577,-1.178401,-0.334144,-0.25581,2.098528,0.052063,0.634162,saab
1.036655,-2.445568,0.102349,1.265524,0.07821,1.71916,0.273374,van
1.053562,-2.450041,-0.095337,-0.652348,0.618887,0.888308,-0.038414,van
-6.323474,3.364567,1.749036,1.684656,0.188744,-0.355896,-0.900326,bus
1.423078,-1.189668,-1.188287,-1.199082,1.207225,-0.566316,1.250965,bus
1.890645,1.354547,0.318713,-1.330851,0.607881,0.207956,0.574834,bus
3.352726,1.738396,0.400133,-0.188876,0.709092,0.391352,-0.174298,opel
-5.021632,-0.988838,-0.037945,0.643946,-1.655074,0.429586,0.630633,saab
1.705902,-2.62583,-0.963954,0.443315,1.115329,-1.122943,-0.22185,bus
-1.134671,-1.102799,0.118456,0.318678,1.858972,-0.562254,-1.046154,opel
1.874626,1.06997,-0.495168,0.214702,0.21785,-0.202276,0.731832,bus
1.808391,2.697179,0.531422,-0.497683,-0.564771,0.170024,0.569932,bus
-5.472501,-1.708145,0.076081,-0.357151,-2.147373,0.007792,0.066368,saab
1.071526,1.693454,0.671814,0.02553,-0.724824,1.457676,-0.153127,van
-0.564867,-1.387401,0.128423,-2.153302,-0.418519,-0.074367,0.915107,saab
2.351074,-0.141163,-0.42242,0.328275,0.383856,0.046967,0.59391,bus
1.421239,0.679447,0.136761,-0.778503,0.456362,0.985749,-0.778616,van
-2.674441,0.308907,-0.800864,-0.058163,0.599674,-0.974192,0.037567,opel
3.864743,1.800676,-0.038925,-0.506821,-2.242542,-1.356619,0.166538,saab
3.267838,-0.678541,0.673045,0.332877,0.257935,0.222877,-1.157741,van
-1.392568,1.030096,-9.108023,-0.26837,-2.368468,1.43667,-0.901504,van
1.533726,0.218607,-0.177806,0.237112,0.123518,-0.805574,0.549412,bus
3.293786,-1.759648,0.392626,1.494337,-0.658014,0.600401,-0.440009,van
-5.412738,3.199482,2.004324,-0.197538,-0.337463,-1.157767,-0.805824,bus
2.087742,-1.868184,-0.329399,0.018827,1.914495,-0.441742,-0.543581,bus
-2.625219,0.152172,-0.267379,-0.547218,1.380947,-0.778217,1.058893,bus
4.114051,0.916506,0.799682,-1.41229,-1.60336,-0.497651,-0.160673,saab
-0.518393,-2.409532,0.037089,1.709493,-1.732921,-0.167604,0.627781,saab
0.225768,-1.747921,0.352166,0.945911,0.22954,-1.042518,-0.623509,bus
-4.188594,0.392233,0.61145,0.261325,-0.592102,0.381276,-0.043013,saab
1.090895,-0.812193,0.484942,-2.032365,-0.431194,-0.561587,-0.059351,opel
