@relation 'vehicle_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.55-A5-M-1'

@attribute '-0.317SCATTER RATIO-0.314SCALED VARIANCE_MINOR-0.314PR.AXIS RECTANGULARITY+0.314ELONGATEDNESS-0.309SCALED VARIANCE_MAJOR...' numeric
@attribute '-0.541KURTOSIS ABOUT_MINOR-0.539HOLLOWS RATIO+0.489SKEWNESS ABOUT_MAJOR+0.208SCALED RADIUS OF GYRATION-0.189RADIUS RATIO...' numeric
@attribute Class {opel,saab,bus,van}

@data
-3.725047,0.555841,bus
2.15451,3.557778,bus
1.372386,1.055198,bus
-3.376356,1.058748,bus
3.836061,-1.273252,van
2.645016,0.86512,opel
1.533733,-1.096394,bus
-6.767026,3.667714,bus
1.569119,-0.344,van
4.865465,0.512946,van
-0.050279,-1.832499,bus
4.982659,2.29949,opel
-4.954278,0.202625,saab
0.832099,-0.6057,opel
-3.357072,-0.055363,saab
-0.061514,0.790956,van
2.077675,1.306014,bus
-3.998691,-0.011585,opel
1.827525,0.66353,saab
1.851773,0.599375,bus
-3.013904,-1.320592,opel
2.400484,3.163859,bus
-0.875201,3.683378,bus
0.933941,-2.16106,van
2.576332,-0.797311,van
4.421821,-0.471179,van
-1.714287,0.025648,bus
-4.648387,0.20313,saab
-2.541557,-2.145843,opel
2.407384,0.369062,opel
2.235853,2.380853,bus
-1.407414,-0.467279,bus
2.031286,-0.790526,van
0.312947,0.510856,van
2.99069,1.411155,opel
5.323988,0.883401,opel
1.100903,0.655123,van
-0.124479,-0.26827,van
-2.620095,-0.023931,opel
-5.191941,-0.501797,saab
2.354539,2.527508,bus
-0.933212,-1.063018,bus
4.031177,1.378806,saab
0.493791,1.425671,van
1.691265,-2.552735,van
4.400276,-1.120647,saab
1.78537,0.454265,van
0.579204,0.88348,van
2.066743,0.992864,bus
1.870799,0.76403,bus
0.094967,-1.251425,van
-2.706484,-0.156881,bus
-2.460737,-0.057078,saab
2.290748,-2.329546,saab
-1.387616,-2.228158,saab
3.231995,1.147164,van
-3.715742,0.948031,opel
-2.900562,0.623798,van
0.845274,1.722859,van
2.679204,-1.100378,van
4.045182,0.588979,saab
1.497577,-0.631917,van
1.639348,-3.522318,saab
2.712583,3.215229,bus
-3.773753,-1.610689,opel
2.509723,3.191664,bus
-0.165989,-2.254086,opel
-4.777747,-0.387053,opel
-0.247015,-0.145592,van
1.721595,-1.469861,bus
1.019999,-3.159096,saab
2.718014,-2.274752,van
-2.590773,-1.753798,saab
-1.205968,-1.329601,bus
2.123084,-4.000127,opel
-3.679794,-1.046153,saab
1.998355,-0.396185,van
-6.48011,2.95961,bus
2.520888,-2.37319,opel
3.035426,0.5537,van
2.134317,-0.509957,saab
1.226183,-0.792306,opel
4.461139,3.056256,opel
-3.786482,-1.936443,opel
0.442055,-2.917542,saab
3.193655,-0.525632,saab
-3.915158,0.903976,opel
-3.922604,0.494746,opel
1.968372,-3.87831,saab
-3.966097,-0.498998,saab
2.257268,2.532755,bus
3.415564,0.878003,van
-3.713387,-0.533149,opel
-5.27432,3.734797,bus
0.884744,-1.589226,van
-3.096956,1.064101,bus
0.12066,0.668655,van
1.143493,-0.943507,bus
0.276161,-1.002372,opel
1.594609,-0.576492,bus
1.754693,-2.40304,bus
2.485473,1.426621,van
-4.504831,-0.181074,saab
5.29785,1.807993,opel
1.668199,-2.350344,bus
5.347239,0.522473,saab
-3.113947,-0.672626,saab
-0.443056,-1.611893,bus
0.255905,-2.306623,bus
0.282693,-0.367669,opel
-4.000172,0.455212,opel
1.718359,-1.578925,opel
-1.823573,-2.125334,opel
1.815626,-0.714976,van
1.433139,0.001224,saab
-5.474425,2.665705,bus
1.322582,-1.078196,saab
2.117942,2.30332,bus
-5.219399,-0.043973,saab
1.703376,1.832651,bus
1.814827,2.632899,bus
2.074739,2.259206,bus
0.243352,0.658262,van
1.923493,-2.84071,saab
-4.482112,0.175417,opel
-4.210334,0.849394,opel
3.622153,-2.317774,van
1.176,0.250988,van
0.223252,-0.653103,opel
2.632572,3.19666,bus
1.609157,1.652033,bus
-3.848367,1.829283,opel
0.13276,-3.503375,opel
3.240899,-0.424052,van
1.606898,-0.880706,bus
-2.872116,1.151684,bus
3.471438,0.152705,opel
1.150515,0.277157,opel
1.755701,1.732628,saab
-4.968614,0.868682,opel
2.081231,1.232869,bus
4.447546,-1.91616,van
-4.598364,0.970191,opel
0.839383,0.979583,van
-1.975558,-0.508029,bus
1.879553,2.215105,bus
3.167418,1.1122,saab
1.669896,-1.760044,van
-4.432398,0.298538,saab
3.412259,-2.14668,van
-4.407519,-0.504623,saab
2.406521,1.971317,saab
5.651339,2.552154,van
6.141363,1.907551,saab
2.440583,3.344193,bus
-3.467125,0.148867,saab
2.12596,-1.037392,van
0.560415,1.712381,van
0.978034,-1.737654,bus
2.123406,2.831882,bus
-4.47455,0.584951,opel
1.433014,1.868928,bus
1.926459,-2.918524,opel
0.442547,-1.360569,opel
2.612468,2.911001,bus
-4.66841,-0.026276,saab
1.274477,2.052622,van
2.765743,1.457491,van
1.509235,-2.675217,bus
0.860307,-1.399954,saab
-4.619468,0.562575,opel
5.342922,0.110347,saab
3.381904,1.530381,van
-5.439906,0.725257,opel
1.179217,1.116347,van
1.546878,-2.07349,bus
0.36337,0.77795,van
-4.334441,-0.836052,saab
2.146977,-2.038268,saab
1.365229,-2.126411,opel
-2.785836,0.215905,saab
-4.8987,1.107534,opel
4.647273,2.09186,saab
0.144146,-1.106187,saab
3.934862,-1.208409,van
3.984583,-2.99803,van
-2.384782,-2.431197,saab
2.120966,2.203208,bus
2.558807,3.12422,bus
-0.624278,-2.398579,saab
3.983865,-2.819814,van
4.9523,1.897993,van
2.03063,2.356769,bus
-1.070577,-1.178401,saab
1.036655,-2.445568,van
1.053562,-2.450041,van
-6.323474,3.364567,bus
1.423078,-1.189668,bus
1.890645,1.354547,bus
3.352726,1.738396,opel
-5.021632,-0.988838,saab
1.705902,-2.62583,bus
-1.134671,-1.102799,opel
1.874626,1.06997,bus
1.808391,2.697179,bus
-5.472501,-1.708145,saab
1.071526,1.693454,van
-0.564867,-1.387401,saab
2.351074,-0.141163,bus
1.421239,0.679447,van
-2.674441,0.308907,opel
3.864743,1.800676,saab
3.267838,-0.678541,van
-1.392568,1.030096,van
1.533726,0.218607,bus
3.293786,-1.759648,van
-5.412738,3.199482,bus
2.087742,-1.868184,bus
-2.625219,0.152172,bus
4.114051,0.916506,saab
-0.518393,-2.409532,saab
0.225768,-1.747921,bus
-4.188594,0.392233,saab
1.090895,-0.812193,opel
1.350096,-2.609143,bus
3.208131,-3.377057,van
1.938138,2.390122,bus
1.592697,0.130428,bus
-3.672155,-0.952216,saab
-3.653567,-0.210148,opel
-3.005612,-1.53312,opel
-3.634632,-2.375984,opel
-1.792552,-0.255196,saab
0.489541,0.770426,van
2.226613,-0.013019,bus
-3.662057,-0.92156,opel
2.278016,2.480135,bus
3.357884,1.84891,van
3.088383,-0.054451,van
-1.924742,-3.111283,saab
5.035506,2.20244,van
-3.853333,1.862263,bus
-4.694228,0.237256,saab
-7.28955,3.337329,bus
2.440512,3.005418,bus
-2.648788,-0.31003,saab
0.44388,-2.265483,saab
2.447177,3.12992,bus
-2.285142,-3.150267,opel
1.626618,0.071258,opel
1.037399,-2.345384,van
1.450095,-1.124057,saab
1.185191,-2.742871,van
-2.605627,-0.752743,opel
-5.419456,0.032026,opel
2.552532,3.002904,bus
-5.228981,2.020007,bus
-4.970828,0.160233,saab
1.386216,1.180977,van
-2.906892,0.787838,bus
0.399751,-2.328229,van
1.929929,-0.086464,bus
2.15127,-0.606718,bus
2.715643,0.611515,opel
4.305577,2.400687,saab
-4.307484,0.334558,opel
-4.919105,0.562913,opel
-5.216178,2.65853,bus
-5.263462,-1.929662,saab
1.030231,-2.598772,opel
1.027301,-2.33001,van
2.729594,-3.218572,opel
-2.062628,-1.434401,opel
3.109356,2.559766,saab
0.876702,-0.270058,van
1.677258,1.824992,bus
-1.527371,-1.023864,saab
-0.625024,-0.426195,opel
0.975254,-1.232214,bus
-3.995433,-0.951373,saab
1.023751,-0.049879,opel
-2.091421,-2.062849,opel
-4.506962,-0.129536,saab
-2.810364,-1.744705,saab
-0.303395,-0.44536,saab
0.774621,0.537301,van
1.288812,1.084423,opel
-4.041415,-0.256362,saab
0.649668,0.913494,van
3.953845,1.774441,saab
2.100484,1.63618,bus
0.285166,0.640821,opel
0.176659,-0.905092,bus
0.098967,-1.515961,bus
0.145201,-1.030677,van
-0.666293,-1.977927,bus
5.156488,2.135618,van
-4.421711,2.015633,bus
-4.226615,-0.395579,saab
4.0688,0.135388,saab
5.028905,1.98811,saab
-4.564181,0.236488,opel
4.095693,2.22773,opel
-6.254435,3.377516,bus
1.640128,2.200893,bus
-4.396153,-0.224499,opel
2.026783,-0.254999,opel
-0.057591,1.283465,van
-1.264785,-1.01642,saab
0.83945,0.654624,van
-3.932177,2.47534,van
-5.103419,0.576934,opel
2.575301,3.016814,bus
2.168268,-1.601275,van
0.62701,-1.825181,van
0.994348,0.523562,bus
-1.102636,0.50677,saab
1.470856,-0.021294,opel
-6.515252,4.08385,bus
1.814418,-0.02319,bus
0.839447,-2.395244,bus
2.703326,-1.094106,van
-4.232246,-1.848384,saab
2.224104,-1.062125,opel
-3.45303,1.107784,opel
1.908778,-3.190748,van
-2.901319,-1.470908,opel
1.662727,-1.665435,bus
4.086904,1.339533,opel
2.782361,0.302563,saab
1.675538,0.066441,bus
0.787695,-1.257919,saab
0.226514,-1.139674,saab
5.66038,2.550743,opel
2.208147,2.473863,bus
2.868612,-2.333219,opel
0.986572,1.187003,van
-3.948774,-0.398943,opel
1.892356,-1.127834,bus
1.776395,-2.933153,bus
1.453257,1.108378,bus
3.366972,-3.101774,saab
3.691797,2.711527,van
-2.909951,0.12299,opel
3.271404,-3.171198,saab
2.141933,2.702702,bus
-0.631414,-1.768,opel
3.364086,-2.118506,opel
-4.589843,0.100265,opel
0.711786,-1.839365,opel
-3.886904,-1.201343,saab
3.044093,-1.559975,van
-4.328716,-0.188894,saab
-2.724123,0.249225,bus
2.320241,0.423578,saab
2.121479,2.311012,bus
-3.571548,0.540823,saab
3.696064,-2.059673,van
2.921111,1.48268,van
2.656932,2.180664,opel
-1.26546,-0.472435,opel
-2.653939,-2.452257,saab
-2.927032,-0.534508,saab
0.805566,1.589644,van
4.569613,-1.328331,van
-2.272799,-1.21708,opel
-5.665206,2.375003,bus
1.075288,1.642601,van
-2.81208,-1.105671,saab
-4.432548,1.138885,opel
-3.280147,0.755928,bus
1.680176,-1.380686,van
0.401301,-0.693082,bus
1.464558,-2.482206,opel
1.101954,-2.880088,opel
1.475593,-1.312683,bus
-3.474918,-1.148307,saab
2.322314,2.572379,bus
2.585834,1.906479,van
1.767531,-0.441259,van
-5.099622,0.921982,opel
-0.477117,-2.948307,saab
2.895223,-2.847633,van
-3.654349,-1.228081,opel
-0.449157,-0.574634,opel
2.851477,2.908765,opel
-1.826863,-1.02535,bus
1.949536,1.776489,bus
2.32038,1.894759,bus
-3.986792,1.178062,opel
-4.487658,-0.199505,saab
3.09355,-3.250431,van
2.202838,0.210264,van
-5.262752,-0.817156,opel
-3.634478,2.450925,bus
-5.071381,0.564944,opel
2.462179,1.463469,opel
-4.278595,0.612791,saab
-4.449325,0.796519,opel
0.645513,0.79699,van
-1.455068,-1.085377,bus
2.701255,3.33389,bus
-4.237962,1.273644,saab
-4.086751,0.42844,opel
-0.281727,-0.752305,opel
2.878799,-0.427485,van
0.588219,1.395397,van
1.416752,2.156287,bus
-5.177252,0.590317,opel
0.150497,-0.753046,saab
2.3551,0.642535,opel
-3.656839,-0.882039,opel
-4.905098,-0.184572,saab
0.173695,-2.38842,saab
2.373841,2.919524,bus
-4.101443,0.973789,opel
-5.381028,3.754614,bus
0.53702,-0.778209,bus
-4.656988,-0.629955,opel
1.254669,0.494449,van
5.188213,2.397234,van
-4.045241,0.716769,opel
-4.750536,0.898817,opel
-4.280116,1.102533,opel
3.979204,0.877723,opel
2.544181,0.946436,saab
-2.197506,-0.230682,opel
-4.97929,-0.25877,saab
-4.000106,-1.350663,saab
2.169101,-1.60427,opel
-0.086045,-0.63071,van
-4.350749,0.914945,opel
2.405416,3.0742,bus
1.739653,-0.979377,opel
-4.565002,0.057848,opel
1.371475,-3.134106,saab
3.136213,-0.196742,van
4.457614,2.760666,opel
1.113059,-3.696914,opel
-5.273552,-1.075778,saab
2.310482,1.418991,saab
2.70431,-3.065218,van
0.196431,-0.508198,saab
2.958572,0.671249,van
2.806443,-2.345287,saab
-0.629635,0.606503,van
-4.253553,-0.92931,opel
0.61547,-0.137986,saab
-1.659036,-0.583304,saab
-3.267161,-1.265544,opel
-0.589824,-2.213372,bus
2.55681,3.143129,bus
-0.942136,-0.615746,saab
-5.955291,3.302209,bus
-3.377576,-1.882181,saab
3.825934,0.912965,van
3.742207,2.464711,van
0.189452,-1.798602,van
-4.881249,0.225959,saab
3.550339,-2.896893,van
-2.871964,-0.410028,opel
-5.523391,3.065753,bus
0.45377,-1.313069,bus
4.118699,-2.793376,van
0.713897,-2.576997,saab
1.220882,-1.217387,saab
1.148177,0.796211,bus
1.011141,1.042793,van
3.140159,2.31865,van
1.887808,-1.377235,bus
1.370754,-1.364835,bus
-3.809133,0.540927,saab
4.797861,1.470536,van
3.167777,1.420337,opel
0.239225,-0.600088,saab
2.226581,3.326827,bus
-3.390661,-2.128328,saab
-1.125655,-0.52638,opel
-6.112121,1.853893,bus
3.216892,0.587266,saab
2.501435,3.412342,bus
-4.650518,0.447864,saab
-4.30538,1.310825,opel
0.585862,-0.063762,opel
-4.161611,-0.161577,saab
1.868048,-0.692138,opel
1.719265,-3.055756,bus
-1.412227,-2.558623,saab
-4.428536,0.315428,saab
1.174623,0.345208,saab
2.362766,3.217747,bus
3.56932,-2.025138,van
-4.845494,-0.75432,saab
1.085181,-0.89827,saab
0.474596,-1.233223,van
0.790751,1.745599,van
-4.222868,-0.004571,opel
-4.676619,-0.379714,saab
-4.768431,0.210882,saab
-3.596249,0.407973,opel
0.103686,-2.618604,opel
4.048324,0.34108,opel
2.588501,3.062745,bus
3.259013,-0.320694,van
-4.493918,0.129013,saab
-4.237381,0.774137,saab
-2.855944,0.269781,bus
4.77023,-2.235863,van
-4.605324,0.78029,opel
3.408222,0.318354,opel
2.564801,-0.289336,opel
-5.286334,0.522254,opel
2.318255,2.921677,bus
4.376788,0.340497,opel
2.067889,1.903896,bus
1.665195,-1.231401,saab
4.026529,2.91048,van
-1.195927,0.497171,opel
0.355753,0.020135,opel
3.392041,-0.872081,van
-0.507056,-0.176879,bus
3.080618,-2.26392,saab
-0.556654,-2.076708,bus
2.263772,-3.107656,van
-4.762113,-0.197696,opel
1.156355,-2.502881,saab
0.308155,-1.109797,opel
-4.536182,-0.087635,saab
3.114477,-2.378755,van
4.202553,-2.242977,van
3.675798,-0.971776,opel
2.764152,3.195766,bus
-4.180844,0.479101,opel
0.291379,1.634213,van
6.3606,2.517544,opel
1.283095,-2.027504,bus
5.907932,1.82738,saab
3.281223,-3.98065,opel
2.126991,-2.583663,opel
5.033493,2.332721,van
3.039917,0.564473,van
-3.503604,1.930132,opel
-5.262229,0.380074,saab
0.823435,1.184325,van
-0.602536,-1.665426,saab
-4.953096,-1.038725,saab
3.255442,-0.67107,saab
-3.895265,0.171139,saab
2.072928,-0.008473,bus
1.757451,0.122509,bus
-2.056847,-0.90745,bus
2.658119,-1.848815,van
3.377373,0.461814,saab
-3.127883,-0.588015,opel
1.945516,2.547744,bus
-3.260337,-1.408178,opel
4.378136,2.573068,opel
3.039548,1.470528,van
1.864562,-3.01034,saab
2.137301,2.97891,bus
-1.28094,-1.024872,bus
-4.97679,-0.243746,opel
-2.73128,0.288171,opel
1.187735,0.800298,bus
-1.960619,-1.140643,saab
-0.37233,-1.425258,bus
0.432733,-0.844988,van
1.69916,0.519171,opel
1.239481,-2.62062,bus
2.759708,0.950729,saab
-4.005257,0.673916,saab
2.091041,-0.357162,saab
-3.921736,0.410018,saab
2.84023,1.557722,saab
1.062293,-4.026063,opel
-0.433133,-2.392496,opel
-1.205478,-3.303104,saab
5.741583,2.79134,van
1.743223,0.390494,bus
0.550683,0.984344,van
2.422003,-3.314833,van
-2.550854,-0.899487,saab
4.039607,-3.285566,van
-2.285505,-1.85821,saab
2.423103,1.994084,saab
0.07655,0.563141,saab
2.000185,-2.637955,van
0.114331,0.776896,van
-1.238286,-2.228045,opel
-4.475939,-0.961428,saab
-0.332619,-0.9459,van
2.262925,3.000391,bus
-2.607958,-0.063232,opel
-0.579179,-2.832285,opel
-1.913264,0.578811,bus
2.725575,-2.167564,opel
1.641062,-0.938557,saab
-5.399495,0.442508,opel
1.659438,1.565437,bus
-2.583936,-0.339058,bus
2.102999,2.968172,bus
1.210409,-0.601771,bus
0.378765,0.810569,van
-0.21843,-2.103538,bus
0.873796,1.595503,van
-6.553978,3.102112,bus
0.740688,-2.354337,bus
2.677441,2.921121,bus
3.312921,-1.330694,opel
-7.415043,3.067749,bus
5.087292,1.743098,saab
-2.987464,-1.791599,saab
0.428229,-3.250001,saab
1.341616,0.414543,bus
-3.377851,-1.641655,saab
0.919438,1.625697,van
-0.965732,-2.179174,saab
2.908503,2.008416,van
2.150541,0.043315,saab
1.704284,-2.012123,bus
2.198797,1.077419,bus
-0.152282,0.771765,opel
-4.0375,-0.031127,opel
-3.608517,-0.122547,saab
-0.823015,-0.991553,opel
1.606593,-3.342237,van
-3.381326,1.179957,opel
-4.630708,0.147328,saab
-0.46239,0.575689,van
4.281198,-2.466613,van
0.329708,1.502997,van
-0.689018,-1.727061,opel
-4.635904,1.761938,bus
-3.713985,0.64737,saab
-2.51251,-0.989856,saab
-4.760772,-0.803627,saab
0.681162,-2.197402,bus
-4.861722,-0.145502,opel
-0.10789,-2.169402,saab
-0.364676,-1.326422,bus
-4.43803,0.475982,opel
-4.166465,0.319235,saab
0.999018,-0.809146,opel
-4.993637,-0.609259,saab
0.287788,0.061925,van
-2.055787,-1.646819,opel
0.458035,-0.455085,van
3.368152,-0.521406,van
-2.989314,-1.749692,saab
0.556131,-2.572113,bus
4.20683,-0.257485,opel
-3.332454,-0.258637,opel
-4.941899,0.123975,opel
-4.791986,2.939823,bus
1.629138,-0.277621,van
-6.796607,3.462245,bus
4.085446,3.288467,van
2.353834,0.18071,opel
-3.557079,-0.366117,saab
-3.561382,1.757157,bus
-3.623891,1.147186,bus
0.672264,-1.331417,van
-4.215439,-0.296017,saab
2.119881,-1.589716,bus
2.538622,-0.639519,opel
-2.392721,-0.367876,saab
0.094584,-1.477044,van
1.949262,2.680586,bus
2.573279,-0.439289,van
2.456171,2.748789,bus
0.682294,-1.452841,van
-2.199799,0.261368,saab
0.124306,-1.185005,saab
5.370291,1.818234,van
0.89903,-2.804012,bus
2.262186,-2.628887,saab
2.733517,-1.334551,van
4.502182,-0.240314,van
-2.872235,0.64824,saab
1.79977,0.37054,saab
2.040801,2.77171,bus
0.234945,1.859418,van
-1.867434,-2.196963,opel
-3.512342,-2.497778,saab
2.375731,0.721093,van
-4.042392,0.12065,opel
-3.982927,0.557046,saab
2.228523,2.586538,bus
0.372666,-1.686278,saab
2.098127,-1.442426,bus
-2.072324,0.567877,opel
2.316208,-2.133879,saab
2.238687,2.655188,bus
-2.621821,-1.454756,opel
-2.565423,0.751094,opel
2.161561,1.340984,bus
3.056801,-0.891336,van
0.659973,-1.468316,bus
-2.015495,-0.255401,saab
-4.561891,2.872627,bus
-3.778456,-0.676242,saab
3.407868,1.723912,van
-2.852561,-0.600434,saab
2.7207,-2.862078,van
-1.402939,-0.131978,opel
-4.350967,0.293541,saab
4.9887,0.395195,van
2.520678,3.033137,bus
-4.868555,0.266863,saab
3.69753,-0.195784,van
-4.509778,0.198087,saab
1.190219,0.143582,saab
2.596275,3.407525,bus
2.284456,-0.719887,van
-2.951755,0.288859,opel
-1.658271,-0.738328,bus
1.81017,-0.262723,bus
4.233837,3.217182,van
4.160937,-1.798246,opel
-4.41147,-1.689813,saab
-4.219091,1.169032,opel
1.53059,-1.61452,bus
1.758903,-0.254717,van
4.05927,0.998221,opel
0.175619,-1.339478,opel
-1.308602,-1.520275,bus
-3.259358,-1.392147,opel
2.207206,2.21419,bus
1.165208,0.399222,saab
-3.618074,0.820949,saab
1.849859,1.307997,bus
4.132713,2.490476,saab
-4.118731,1.107171,opel
3.417038,0.358437,opel
0.815957,-2.207971,bus
0.834987,2.065528,van
2.313778,2.762814,bus
1.367086,2.913797,bus
-0.012771,0.786788,van
-4.811142,-0.623641,saab
-1.543378,-0.805852,opel
-1.067483,-0.688894,saab
3.63877,1.529655,saab
-4.93068,0.543042,opel
1.403705,-2.721181,van
-3.871095,-0.566938,opel
-4.588808,0.763471,opel
1.691167,0.834378,opel
-1.271455,-1.918404,opel
-4.578076,1.296185,opel
2.924068,0.500078,van
0.279728,1.569119,van
1.945995,-3.305991,bus
-0.218911,-2.127364,bus
-4.206319,-0.3519,saab
0.508186,0.782515,saab
4.601126,2.574785,saab
-7.040196,3.884829,bus
2.142262,0.37325,van
0.372833,-0.828115,saab
1.257519,-0.350521,van
1.928153,-1.686635,van
3.727494,-3.513411,opel
0.446508,-0.609047,saab
0.318434,0.167518,van
-4.797244,-0.003088,saab
3.292955,-1.006512,saab
4.759582,0.336693,van
