@relation 'pendigits_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M-1'

@attribute 0.424input6-0.419input14+0.375input8-0.346input16+0.302input4... numeric
@attribute -0.475input10-0.445input9-0.387input11-0.316input12+0.301input15... numeric
@attribute '-0.451input1+0.4  input7-0.342input11-0.34input2+0.306input5...' numeric
@attribute 0.562input13+0.487input15-0.358input3-0.298input5-0.252input1... numeric
@attribute 0.452input2-0.417input3+0.392input9+0.361input7+0.305input4... numeric
@attribute -0.524input1+0.439input5+0.395input11+0.364input13-0.217input15... numeric
@attribute -0.671input2-0.359input12+0.355input9-0.343input10-0.247input5... numeric
@attribute -0.477input1-0.476input7-0.454input13-0.359input16-0.218input8... numeric
@attribute -0.643input3-0.497input15-0.405input9-0.266input12-0.174input4... numeric
@attribute -0.478input6-0.445input16+0.359input7-0.324input4-0.294input14... numeric
@attribute class {0,1,2,3,4,5,6,7,8,9}

@data
-3.244403,0.306191,-0.716965,-0.878808,-2.484858,1.641262,-0.9151,-0.915135,-0.434579,0.20998,8
1.707447,-0.170265,-2.179639,-1.787769,0.756109,-1.318787,-0.297333,0.417789,-0.022864,-0.174347,5
1.015395,-1.569143,-2.510984,0.957346,-0.509835,-1.051086,0.738054,-0.380065,-0.24932,-0.508992,9
1.631105,0.812511,1.174938,0.457972,1.275754,1.289274,0.764254,-0.139406,-0.610823,0.15222,7
2.61222,-0.564513,0.010025,-1.428452,0.07952,0.84003,0.522371,0.185537,0.397204,-0.175713,3
1.862848,-0.932072,-1.243103,-1.057182,0.152072,0.769925,0.534833,0.355755,-0.331258,0.169701,3
1.627657,-1.813256,-1.749225,-0.887811,0.508137,-0.751341,0.951011,-0.994039,-0.271489,0.143194,9
1.076179,2.58411,0.537875,1.245116,-0.566704,-0.344928,0.441903,0.787654,0.213303,0.895201,2
2.402603,0.821787,1.928862,1.439,0.445212,-0.425548,-0.42788,-0.075401,0.630474,-0.138762,2
-2.839974,2.113824,3.116334,-0.849656,-0.669996,-0.513381,-0.537095,0.226957,0.181323,-0.524594,5
1.900784,-2.69754,2.294887,1.367881,-1.324808,0.102756,0.902822,-0.583227,-0.765436,0.336671,1
-2.987788,2.07454,2.416895,-0.593538,-0.854833,-0.450985,-1.013475,0.26829,-0.377703,-0.680948,5
-0.383462,1.240576,0.572704,-0.344719,0.995256,-1.191531,2.939528,-1.346264,-1.100028,-0.676709,8
-1.77249,0.437223,-1.913894,-0.188277,0.635177,-0.086952,0.383375,1.717463,0.089721,-0.005612,6
-1.149816,-2.348578,0.624165,1.440963,1.621509,0.041425,-0.847036,-0.047906,-0.324026,0.706705,4
-3.704818,0.142168,-0.962419,0.522842,0.524559,1.140671,1.238425,-0.241571,0.041956,-0.910602,0
0.619189,-2.181545,0.614567,-0.827127,1.713176,-1.082039,-1.472108,-0.406853,1.073352,-0.030177,4
0.377269,1.90777,0.428035,-0.108648,0.568967,-1.730978,2.569389,-0.035573,-0.76103,-1.096762,8
1.150582,0.533314,-1.250084,-0.882875,0.350115,-3.213424,-0.793832,0.694237,1.838013,-1.287846,1
0.952642,0.432982,0.559829,-1.268621,-0.958826,1.780797,1.7738,-0.866137,0.558425,-0.58599,8
-3.169928,2.057946,1.625141,-0.939592,-1.075689,-0.404416,-1.65471,-0.464827,-0.974842,-0.14743,5
0.743491,1.79046,1.204402,0.363359,1.160094,0.98052,-0.345484,-0.104962,-0.526625,-0.201855,7
-4.387849,-2.407136,1.220548,-1.137457,0.294468,-0.016705,0.75267,0.671825,0.273206,0.287987,0
-2.100125,-3.843219,4.546753,0.310133,-3.174137,-1.162439,2.595696,0.427601,-0.663697,0.385229,9
1.830146,-0.713578,-1.067179,-0.708268,-0.134553,1.222137,0.151724,0.416677,-0.202301,0.166484,3
-3.476396,2.054499,2.164417,-0.334777,-0.685701,-0.62166,-1.124203,-0.035767,0.218952,-0.523141,5
-1.075968,-0.702057,-2.482657,0.978157,0.402948,-0.428813,-0.115239,0.213947,-0.954805,-0.431971,4
0.165342,-2.146252,0.24121,1.108843,-0.971728,0.599424,-1.870287,-2.243994,1.506476,1.023666,9
2.086211,2.113487,0.97522,0.631371,0.176582,0.121509,-1.125894,0.127106,-0.169466,0.607123,2
1.539418,2.068539,1.41833,-1.22736,0.858393,0.837953,-0.155006,0.645999,-0.542268,-0.25551,7
-3.279348,1.891748,2.361718,-0.463006,-0.612712,-0.378014,-0.695569,-0.330979,0.241908,-0.178197,5
-2.040163,0.096102,-2.162013,0.055788,0.853225,0.068876,0.396786,1.46465,0.501298,0.504745,6
2.292697,-0.973971,0.064079,0.044402,0.446715,1.600638,0.020516,0.437773,0.864286,-0.286047,3
2.56335,-1.39539,0.886735,-0.892405,0.756206,0.885133,-0.813537,-0.331256,0.348014,-0.359957,3
-0.584951,1.549743,-3.364364,-0.450181,-0.744778,0.330603,0.589523,-0.488514,0.259855,-0.423548,6
2.142396,-0.38031,-0.756588,-1.747006,0.464315,0.925142,0.633954,0.291055,-0.391421,0.432782,3
1.805308,2.194772,1.092614,0.64832,0.04731,-0.355804,0.252318,0.135911,0.005941,0.876784,2
-3.594061,1.597866,2.863541,-0.227292,-0.204166,-0.511863,-1.012518,0.569366,0.468503,-0.639716,5
1.024352,-2.043241,0.374754,-1.558942,0.835559,-0.709953,-1.388528,-0.648063,0.395614,0.649907,4
2.021352,-0.86311,-0.840352,-0.468247,0.28021,1.642767,-0.111568,0.617969,0.012647,-0.025583,3
2.767788,-0.785277,1.002258,-2.112553,-0.271553,-0.798081,-0.715171,-0.184854,0.30535,-0.360608,1
-3.924954,-0.810698,-0.906148,-0.646714,0.695638,0.181369,0.330534,0.139542,-0.280048,-0.584591,0
2.444372,-1.337593,1.665085,-0.686585,-0.054835,0.522017,-0.520436,-0.029093,0.273658,-0.313972,1
-1.916095,-2.379111,0.554402,1.548548,1.562162,-0.287883,-1.111507,0.017565,-0.843924,0.382394,4
-3.513177,1.874416,1.573417,-0.018716,-0.432534,-0.838126,-1.497867,-0.647712,-0.251734,-0.889799,5
2.219724,-0.8937,-0.077597,-1.194462,-0.019466,1.2662,0.008441,0.31836,-0.067784,0.012981,3
1.482077,2.21321,1.18596,0.933076,0.035942,-0.202514,-0.369294,0.40121,0.096123,0.568748,2
-3.734189,-1.389235,0.639886,-0.59369,0.627967,0.636927,1.439305,0.516494,0.201869,-0.780312,0
-0.970454,0.676828,-3.040919,-0.507516,0.423881,-0.516522,0.405019,0.838473,0.561715,-0.063035,6
1.423976,1.737329,0.255379,-1.310218,0.379676,-2.298438,2.220644,0.680969,-1.59281,-1.651358,8
2.826682,-0.774162,-0.953958,-0.574784,-1.620431,0.980889,-0.670527,0.059871,-0.149108,-0.546224,5
-3.613979,-3.459016,3.118139,-1.767397,-0.193519,-0.901967,0.258131,1.193908,0.583354,0.683986,0
1.519504,-0.556111,-0.723424,0.211925,-0.477219,1.491216,-0.31544,0.871226,0.383075,-0.219666,3
2.145778,1.686108,1.296742,-1.56951,0.627931,0.462828,-1.07747,0.332035,0.294724,-0.910182,7
0.360901,2.616611,-0.425428,-0.61431,0.297406,-1.869786,1.187556,-0.71209,-0.686155,-0.27437,8
2.841379,-0.444137,-0.549369,-1.143294,-1.046757,0.402991,-1.44894,-0.109534,0.053572,-0.461672,5
-0.931709,1.040785,-2.437783,-1.365564,-0.151155,-0.292491,0.283363,0.146914,0.418507,0.202978,6
-0.735441,2.162345,0.110947,-0.328858,1.093651,-1.617447,1.608657,-1.221434,-0.587882,-0.393659,8
-3.120356,-0.231742,0.443791,-1.136747,-3.121913,2.006179,-0.809758,0.359109,-0.771248,0.198152,8
1.755083,-1.197419,-1.706888,-0.592145,0.971947,0.242954,-0.181263,-0.780687,0.706331,0.120909,9
-4.448653,-2.451093,0.969105,-0.838081,0.230357,-0.170395,0.777913,0.582221,0.182156,0.31817,0
-1.590884,-0.990958,-1.091716,1.244481,1.136224,0.202455,0.07436,0.690442,-0.57867,0.644859,4
1.469373,-2.871419,1.59249,0.986948,-0.037742,0.35127,-0.368419,-0.706593,-0.227461,-0.018464,1
1.237634,-1.324122,-2.587522,-0.499822,-1.594323,-0.968137,0.478928,0.196868,-1.226771,-0.752138,9
0.239979,2.364791,1.136896,0.130188,0.852043,0.507487,-0.4925,0.328508,-0.433179,-0.36685,7
-4.439093,-0.722151,-0.391016,0.089125,0.493389,0.765997,0.861218,-0.200906,0.003582,-0.425614,0
-0.969418,0.646714,-2.781854,-0.031339,0.437679,-0.104404,0.338255,1.188788,0.563152,0.036724,6
2.337154,-0.945228,-0.671837,-0.895252,-0.25893,1.29967,0.41403,0.47641,-0.263691,0.049353,3
2.553584,-1.308803,0.156163,-0.746177,0.272683,1.638931,0.548112,0.278854,0.262802,-0.329732,3
0.649991,2.638024,-0.066877,1.097781,-0.616635,-0.099057,0.319205,0.792111,-0.275838,1.252773,2
-0.795493,-0.927988,-1.66064,1.608064,0.625487,-0.170343,-0.46997,0.419388,-0.102286,-0.079367,4
1.861227,2.2675,0.706647,0.059946,-0.271794,-0.520589,0.804318,0.10324,-1.005722,0.707913,1
-1.225328,0.57115,-2.115658,0.969949,0.566797,0.508115,0.208962,1.734186,1.394731,0.487299,6
-3.724527,1.615595,2.132842,0.276241,-0.694236,-0.67732,-1.282978,0.026106,0.081281,-0.827531,5
-2.051848,2.031714,3.384384,-1.217002,0.701194,-0.181229,-0.303678,-0.362316,0.936297,-0.12854,5
1.065731,0.639913,-0.324103,0.616947,-0.014393,2.727419,0.031146,-1.071391,-0.328401,0.293364,7
-4.026398,-1.674396,-0.076768,-0.941148,1.209787,-0.132869,0.321904,0.509882,0.033431,-0.39746,0
-3.872146,-1.44835,0.556712,-0.193271,-0.564553,-0.108812,2.292248,0.481129,0.178401,-0.542654,0
1.314361,-2.445005,-1.158249,-0.953845,0.931615,-1.648729,-0.602209,-0.984818,-0.237971,-0.63138,9
-4.096463,1.621161,1.681625,0.477357,-0.880995,-0.764907,-1.023327,0.701731,0.49049,-0.738675,5
-1.842073,0.685796,-2.182554,0.367517,0.27369,0.823837,0.611056,0.853332,1.018713,-0.472557,6
-1.901193,-1.580133,-0.360734,1.741627,1.392268,-0.004617,-0.326869,0.699362,-0.367986,0.848189,4
0.17432,0.058353,-0.035942,-1.351731,0.730656,2.366416,0.236613,0.10521,-0.266088,-0.104834,7
1.674416,-1.587148,1.26449,2.10894,-0.680184,0.346791,0.284948,-0.499461,-0.609613,-0.230484,1
-4.832991,-1.628745,0.792115,-0.024784,-0.065178,0.648517,0.924011,0.332186,0.086594,0.302241,0
2.209517,-2.041002,2.060837,0.59281,-0.378242,0.179347,0.232104,-0.492225,-0.019817,-0.211632,1
0.21757,-1.257902,1.55377,2.134062,-2.247321,-0.166592,-1.336377,-1.662691,0.845263,1.077054,9
-0.582424,1.992227,-2.868174,-0.029228,-1.03925,-0.422969,-0.062282,0.023619,0.659377,1.058288,6
2.489027,0.956839,2.209451,0.673842,0.610485,-0.910561,0.952943,-0.302779,0.72307,0.675059,2
-4.05834,-1.922243,1.133945,-1.391793,0.740216,0.620281,0.134953,0.483375,-0.038882,-0.054483,0
1.783816,-1.142206,-1.012833,-0.553858,0.117136,1.170431,0.244076,0.842977,-0.318617,0.007676,3
-3.680112,-1.197781,0.358533,-0.650176,1.339952,1.206568,0.281059,0.476681,0.144287,-0.347594,0
-3.564018,0.677344,-0.186047,-0.590457,-3.255386,1.382853,-0.477487,-0.596203,-0.110321,0.580122,8
-3.864437,-3.360738,3.094797,-1.757258,-0.65029,-0.378929,0.236584,1.013989,0.204333,0.799411,0
2.319962,-0.293353,-1.30611,-1.297197,-0.391507,1.396303,-0.259564,0.184611,-0.574368,0.426464,3
-3.831577,-1.579756,0.738258,0.252879,-0.527601,0.127595,2.011225,0.674945,-0.081977,-0.213217,0
-4.248301,-2.049953,0.389191,-0.670488,1.194789,0.276925,-0.373486,0.64215,-0.252412,0.091646,0
-3.614325,1.777823,1.658452,-0.150276,-0.606099,-1.097139,-1.431309,-0.261345,-0.07841,-0.903757,5
-0.156671,-0.875679,-0.963968,2.34197,0.03242,0.598402,-0.193911,1.01017,-1.275966,-0.937126,4
-0.943864,0.144798,-2.458875,-0.638537,1.060439,-0.616276,0.129514,1.652567,0.154539,-0.676471,6
-4.243915,-2.319562,1.902683,-1.03159,0.228388,0.180529,0.814704,0.754354,0.206544,0.708742,0
-1.652219,0.622266,-2.844863,-0.158965,0.140301,0.062066,0.531337,0.422108,0.918242,-0.149876,6
-3.373053,-0.146206,0.530878,0.079511,-1.55379,2.319033,-0.408281,-0.648683,0.250631,-0.128737,8
1.886857,-2.167233,-0.941214,-0.5266,-1.178742,0.602316,-1.249772,-0.436165,-0.343949,-0.067101,9
-1.123107,-1.722814,-0.964274,0.212486,1.676995,-0.380275,-0.270415,0.945024,0.253453,0.149784,4
-3.595347,1.942225,2.201131,0.104933,0.16935,-0.175954,-1.166086,0.190989,0.464597,-0.398833,5
1.148061,2.139254,-2.053314,-0.366799,-1.867968,-0.720287,0.512839,-0.796675,0.051744,0.37025,6
1.462197,2.966294,0.674734,0.193559,-0.769373,-0.557277,0.513447,0.378112,-0.345282,1.275469,2
1.504974,-1.919493,-0.874777,-0.429887,-0.668609,0.305809,-1.003741,0.340665,0.891919,-0.593599,9
-2.657012,1.179603,-0.353011,-1.458252,-0.840411,0.417879,0.046287,-2.298845,0.459414,0.796973,8
-2.090866,1.85215,2.666205,-0.918061,0.774394,-0.34755,-0.23795,-1.174619,0.871409,-0.33685,5
-3.80612,-1.548183,-0.171876,-1.32901,1.310684,0.014718,-0.015459,0.558842,-0.092095,-0.292807,0
-3.812707,-2.972248,2.33885,-1.701179,-0.359716,-0.131518,0.482865,0.698347,0.094041,0.413651,0
-4.282399,-1.515502,-0.09764,-0.665235,0.316933,0.139644,1.080789,0.079115,0.123142,-0.24222,0
-1.249234,-1.212415,-0.774694,2.538923,1.268763,0.597762,-0.155935,0.443292,-0.395939,0.425395,4
1.656151,-1.924386,1.41128,0.153778,1.643336,-0.706709,-1.441001,-0.783053,1.132286,-0.95002,7
1.785319,-0.761983,-1.114812,-1.563944,0.298679,0.846399,0.117564,0.280659,-0.57769,0.324526,3
1.617891,-2.585709,-0.814132,-1.332296,1.033479,-1.166923,-1.043558,-1.535499,-0.254026,-0.147621,9
1.566376,2.469598,0.732771,0.677434,-0.360108,-0.576838,0.033875,0.45106,-0.158302,0.791481,2
-3.614347,1.725229,2.110587,0.275177,-0.090135,-0.52027,-1.091366,-0.070972,0.199622,-0.651016,5
0.788984,-2.810339,0.084328,-0.099778,-1.316504,0.266384,-1.298923,-0.652986,1.033163,1.131928,9
-3.252839,0.900243,-2.10092,0.906977,0.103047,0.849847,1.010597,-0.66955,-0.226963,-0.293447,0
0.391508,2.094179,-2.489222,-1.014008,-0.290892,-0.805364,-0.074668,-0.073981,1.103024,-0.149844,6
-1.361269,1.266592,-2.5369,0.546071,-1.376134,0.111483,2.243997,-1.068713,-0.32544,-1.012835,0
-0.009094,1.127736,-3.595824,0.568035,-0.800907,0.549163,0.283867,-0.379803,0.666659,-0.006244,6
-0.775105,0.881784,-3.031169,-0.675385,-0.299357,0.011,0.427992,0.246595,0.686589,0.636059,6
0.957807,-3.792546,2.409902,1.061548,-1.318427,-0.609873,0.621099,-0.006979,-0.144532,-0.031724,1
-0.842713,-1.764913,-1.693856,0.665585,1.05254,-0.568802,-0.392289,0.048136,-0.729314,-0.184231,4
-3.55998,-2.307735,-0.632969,0.237423,-0.067547,-0.881649,-0.073097,-0.198452,-1.359343,0.885426,0
-4.045745,-2.643096,1.919829,-1.626949,0.676621,-0.685829,-0.261276,0.926592,0.136265,0.449998,0
-1.42549,0.756299,-3.007535,-0.132556,-0.396834,0.221513,0.513962,0.322567,0.499719,0.271273,6
1.717667,2.611413,0.376287,0.754926,-0.631541,-0.411423,-0.343997,-0.046235,-0.161511,1.066188,2
1.747836,-1.866437,-1.505998,-1.142905,0.537834,-1.629006,-0.136054,-0.867709,-0.40879,-0.507254,9
-3.471459,1.762936,2.203316,-0.745446,0.104683,-0.903746,-1.26789,-0.010117,-0.035304,-0.413682,5
2.701819,-0.923329,0.410333,-0.933765,0.414825,1.760522,0.751675,0.132125,0.583589,-0.529278,3
1.420188,-3.52533,2.33658,0.84771,-1.192486,-0.315856,0.943667,-0.11882,0.036063,0.137393,1
-1.171209,-1.565047,-0.791724,2.240539,1.337435,0.371143,-0.182581,0.409866,-0.418669,0.426596,4
0.390015,2.407138,0.266888,2.318619,-0.266051,-0.069784,0.803366,1.134922,0.918277,0.123808,2
-1.255763,0.619276,-1.898411,2.048179,-0.197355,0.263425,-0.261069,0.640498,-0.917924,0.573594,4
2.344461,-2.622079,2.459834,-1.36865,-1.686999,-1.09646,0.694886,0.006662,0.544024,0.258838,1
2.0694,-2.250852,1.943575,1.268145,-0.531749,0.319305,0.13067,-0.815607,-0.545912,0.004426,1
2.754532,0.816163,2.70832,-0.321665,0.333009,-0.075357,1.647035,0.782475,-0.365866,0.461691,1
-1.987302,0.468446,-2.333326,-0.285348,0.662527,0.301108,0.686209,0.791056,0.764717,-0.248904,6
2.124084,-1.529084,1.371918,-1.84237,0.741487,-1.537883,-0.90088,-1.080465,1.699612,-0.018537,1
1.223579,-1.008031,0.521583,1.07225,-2.704666,0.312575,-2.068518,-0.271225,0.429606,-0.885708,9
-2.807025,0.537966,1.519938,-1.258465,-2.093714,1.737065,-0.288005,-0.270422,-0.013644,0.143245,8
-0.644428,0.470485,-2.439597,2.159616,-0.438576,-0.21012,-0.381303,-0.079182,-0.304536,0.450974,4
0.53431,2.547106,1.363913,-0.631821,0.473209,0.495534,-0.926352,0.284121,-1.11032,-0.448026,7
2.437252,-0.744668,-0.930721,-1.024074,-0.164583,1.2846,0.31395,0.25761,-0.147327,0.109212,3
2.055339,-1.223985,0.191222,-0.624117,0.550736,1.873362,-0.734324,-0.420998,-1.123462,0.438854,1
1.910749,-1.099139,0.899534,-0.064051,-3.23853,-0.029965,-1.177422,0.870143,0.326001,-1.273528,9
0.450432,0.502506,-0.30895,-0.212119,0.174707,2.428392,0.76263,0.083979,0.942014,-0.032917,7
-0.758597,-2.584295,0.506837,2.269416,1.353445,0.589943,-0.885804,-0.899778,-0.723916,0.674543,4
2.294241,-1.221555,-0.104972,-0.585818,0.423194,1.236556,0.825535,0.230498,0.463734,-0.277287,3
-3.416531,0.624492,-1.495739,0.508531,0.621411,1.102615,1.093789,-0.347519,-0.034741,-0.630004,0
1.994951,2.319579,0.803952,-2.320337,0.402995,-0.079,-0.730125,0.61357,-1.056535,-0.35569,7
2.66747,-0.039434,-0.320092,-1.062604,-1.866825,-0.108032,-1.724656,-0.546443,0.023391,-0.555333,5
-3.233558,1.115713,0.006538,0.023214,-0.312613,1.496644,0.021206,-2.206889,1.200965,0.048922,8
2.386523,-0.728459,-0.804779,-1.666487,-0.236566,1.263745,0.470147,-0.085382,-0.729853,0.469945,3
-0.616134,0.721585,-2.709253,-0.846925,0.625251,-0.485886,0.088608,1.347199,0.282215,-0.352411,6
-3.538985,1.852234,2.345844,-0.099784,-1.495482,-0.889029,-0.446265,0.374957,0.247331,-0.021248,5
2.891857,1.606597,1.238977,-0.034964,-0.78315,-1.218341,0.533062,0.254715,-0.455588,0.340612,1
-3.617398,1.991682,2.135601,0.119842,-0.065476,-0.348204,-1.330145,0.052118,0.534874,-0.600321,5
2.438255,-2.204897,2.280678,-0.894251,-0.398574,-0.147535,-0.486697,-0.052421,0.689004,-0.413441,1
1.815286,-1.027446,0.489602,2.339481,-0.971332,0.906627,0.25675,-0.632017,-0.984196,-0.086345,1
1.540018,-2.30817,1.423556,2.649886,-0.327978,0.631023,0.168748,-1.130206,-0.278967,-0.216899,1
1.745839,-2.482228,-0.956029,-0.910578,0.504183,-0.037444,-0.68748,-1.481528,0.183148,0.641023,9
-1.506177,-0.974457,-1.244923,1.76967,0.890167,0.190576,-0.411004,0.697797,-0.569716,0.040446,4
-3.070875,2.368761,2.356341,-0.673166,0.081197,-0.156581,-1.013153,-0.268627,0.286489,-0.266243,5
1.870476,-2.396241,1.573331,0.826029,0.80136,0.122697,-0.599896,-0.757787,0.165271,-0.833028,7
0.205839,0.072508,0.113324,0.477959,0.415323,3.052304,0.930547,-1.244676,-0.889336,0.139757,7
0.900941,2.479995,1.330023,-1.266179,0.347071,0.059375,-0.342224,0.127787,-1.625967,0.00966,7
-4.226251,-0.448796,-0.553882,0.435877,0.318671,0.91789,0.837286,-0.008483,0.138811,-0.34087,0
2.774054,-1.594096,0.837661,-0.995806,0.02511,0.915028,0.222203,-0.311959,0.261962,0.0838,3
-1.118114,1.129909,-3.391042,0.592446,-0.90731,0.268185,0.418122,-0.147641,0.516408,0.993585,6
1.196264,-2.941875,-0.226791,-0.260907,0.489704,-1.861544,0.356066,-0.40307,1.129992,-0.418554,9
-0.419932,1.905687,-2.776331,-0.718704,-0.744593,-0.666302,-0.142146,0.407959,1.180441,0.848453,6
1.298287,-1.889132,-0.361507,0.87562,-1.687934,0.547888,-1.461117,0.417207,0.666842,-1.077233,9
-4.122599,-3.151253,2.335485,-1.042679,-0.448285,-0.362919,0.837044,0.780193,0.306172,0.377001,0
0.42042,-2.320771,-1.281461,1.339806,0.469151,-1.385769,-0.221462,-1.184738,-1.350382,-0.53825,9
-0.267886,2.49907,0.7862,0.64223,0.541576,0.438325,-0.732273,0.518843,-0.653235,0.004696,7
2.239909,-2.250276,1.239978,0.960165,-0.70221,1.169372,0.219623,-0.952313,-1.248088,0.12845,1
-4.09833,0.216187,-0.804503,1.285393,0.371171,1.194915,0.724124,-0.355814,-0.070335,-0.030403,0
1.73266,-0.806271,-2.261434,-1.312873,0.567439,-0.701608,0.050486,-0.233223,-0.296512,0.139718,5
-3.635117,0.388873,-1.445813,0.702424,0.201086,0.929848,0.913597,-0.082292,-0.077648,-0.021881,0
1.54342,-0.786346,-2.432521,-0.899581,0.48193,-1.146666,-0.440822,-0.187915,0.056038,-0.277627,5
3.083232,-0.707448,2.568592,-0.885874,-0.439748,-1.083778,1.102583,0.721896,-0.225184,0.058714,1
1.443311,-2.37787,-1.59864,-0.105525,0.974773,-0.780191,0.271975,-1.142106,0.185107,0.015589,9
-0.886663,-0.601394,-2.265207,1.233871,0.153454,-0.573148,-0.422518,0.604565,-0.345934,-0.083556,4
-0.647754,-2.879939,-0.295708,-0.059897,1.310495,-1.291347,-1.177967,-0.187055,-0.2068,-0.363625,4
-0.197845,-2.558686,1.079435,0.153346,1.587766,-0.533615,-1.560671,-0.389997,0.458296,0.372361,4
-3.850973,1.504044,2.233514,0.060225,-1.850364,-0.700419,-1.106772,0.76217,-0.442371,-0.426949,5
2.471464,2.04334,0.456194,-0.858447,0.096896,-0.295425,-0.821612,-0.29754,-1.389131,1.198006,2
0.548189,2.100381,-2.354118,-1.021127,-0.601552,-0.838768,-0.435733,-0.284922,0.945081,0.160152,6
-2.312856,0.422872,0.059597,-0.228386,1.330956,1.414807,0.71505,-2.278879,0.611854,0.245429,8
2.195661,0.186492,1.744906,1.745311,0.127555,-0.214796,0.703975,0.009511,0.454997,0.040726,2
1.882042,-2.235982,1.743963,0.80194,0.190279,0.212116,-0.411748,-0.605635,0.049739,-0.166827,1
1.365991,-3.316194,2.069071,1.465696,-0.921113,-0.073554,0.803717,-0.408212,-0.159644,0.035027,1
2.046434,-0.778696,-1.351628,-1.184923,-0.288428,1.212616,-0.018072,0.558838,-0.840764,0.255705,3
-2.753134,0.576505,0.132008,-2.213532,-2.176055,0.531335,-0.582016,-1.103602,-0.245695,0.54589,8
0.209343,-2.620039,-0.090707,-1.226198,1.238523,-1.11773,-1.128947,-0.351144,0.149785,0.426009,4
1.408022,2.154342,1.714285,-0.522236,0.686976,0.817678,0.014548,0.216187,-0.649052,0.003808,7
1.754527,0.186232,-0.957135,-2.876391,0.053643,-1.478749,-1.074991,0.102969,-0.310433,0.499958,1
-3.534599,1.537727,1.61248,-0.404191,-1.277405,-1.070049,-1.558374,-0.313932,-0.790284,-0.460354,5
2.400354,-0.705114,1.144419,-0.440168,0.492034,0.646976,-1.640046,-0.218834,0.086694,-0.670096,7
-3.109088,1.82769,2.638368,-0.33074,-1.314817,-0.686377,-0.519717,0.340563,-0.2088,-0.630007,5
-3.159365,1.363104,-1.092196,0.33531,-0.599152,0.353892,-0.042571,-2.257756,0.448323,-0.569433,8
-3.956704,1.668836,1.449545,0.199096,-1.261604,-1.131297,-0.551982,0.14507,-0.045455,-0.512968,5
-1.370507,-0.799401,-1.652673,2.064752,0.162077,-0.288849,-0.429297,0.315701,-0.715702,0.461064,4
-0.541143,0.548035,-2.622296,-0.78382,0.668986,-0.273964,0.097792,1.388039,0.61671,-0.062842,6
2.355764,1.15259,1.44074,0.540371,0.655398,0.237116,-0.819087,0.106511,-0.365267,0.30567,2
2.576238,-0.853957,-0.65325,-1.412804,-0.221702,1.098737,0.450265,-0.009594,-0.535046,0.398329,3
-0.87305,0.850084,-2.550558,1.688484,-0.795058,-0.033588,-0.104648,0.149491,-1.105024,1.064232,4
-0.767459,-2.410487,0.071251,1.528352,1.988839,-0.70907,-0.841553,-1.023517,-0.735192,0.007361,4
0.184452,2.258212,0.30912,-1.171816,0.354892,-1.991019,1.973609,-0.915624,-1.266443,-0.695862,8
-0.903032,0.852587,-2.813508,-1.011146,-0.412243,0.41472,0.54619,-0.101759,0.042511,-0.00463,6
0.712187,2.52026,0.352512,1.024189,-0.791818,-0.373423,0.560071,0.690923,-0.197639,1.112766,2
