@relation 'vehicle_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.15-A5-M-1-weka.filters.unsupervised.instance.Resample-S1-Z60.0-no-replacement-weka.filters.AllFilter-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.PrincipalComponents -R 0.15 -A 5 -M -1-Fweka.filters.unsupervised.instance.Resample -S 1 -Z 60.0 -no-replacement-Fweka.filters.AllFilter'

@attribute '-0.317SCATTER RATIO-0.314SCALED VARIANCE_MINOR-0.314PR.AXIS RECTANGULARITY+0.314ELONGATEDNESS-0.309SCALED VARIANCE_MAJOR...' numeric
@attribute Class {opel,saab,bus,van}

@data
1.639348,saab
1.071526,van
-5.233037,saab
-4.232246,saab
3.415564,van
-5.665206,bus
2.501435,bus
4.305577,saab
3.69753,van
-5.286334,opel
-4.97679,opel
-2.541557,opel
0.994348,bus
-1.867434,opel
-1.28094,bus
-4.941899,opel
-5.474425,bus
2.765743,van
0.355753,opel
1.100903,van
2.485473,van
-0.449157,opel
2.422003,van
-2.607958,opel
3.953845,saab
0.790751,van
2.564801,opel
1.030231,opel
-5.177252,opel
1.928153,van
2.257268,bus
3.312921,opel
-2.852561,saab
1.743223,bus
2.087742,bus
-3.932177,van
0.239225,saab
1.416752,bus
0.474596,van
1.704284,bus
-3.922604,opel
1.767531,van
3.293786,van
-1.960619,saab
-3.45303,opel
2.632572,bus
1.148177,bus
-4.30538,opel
5.342922,saab
1.403705,van
-1.913264,bus
-3.027449,opel
3.836061,van
5.028905,saab
-1.823573,opel
3.742207,van
-0.162728,van
2.520678,bus
0.681162,bus
0.672264,van
2.141057,van
2.575301,bus
-4.475939,saab
4.9523,van
6.141363,saab
-5.191941,saab
3.856565,saab
1.641062,saab
5.326414,van
1.075288,van
-3.995433,saab
4.828561,saab
3.109356,saab
3.105544,van
-1.205551,saab
5.104795,van
-4.536182,saab
0.308155,opel
-2.015495,saab
1.185191,van
4.095693,opel
2.895223,van
-4.506962,saab
1.74166,van
-7.040196,bus
3.208131,van
-0.165989,opel
1.053562,van
1.176,van
-4.210334,opel
-4.605324,opel
1.691265,van
0.44388,saab
3.825934,van
3.727494,opel
1.945516,bus
-2.055787,opel
0.226514,saab
3.377373,saab
2.150541,saab
1.949536,bus
2.585834,van
4.45658,van
0.815957,bus
-1.070577,saab
-0.625024,opel
0.884744,van
1.776395,bus
-5.021632,saab
-3.672155,saab
2.102999,bus
2.220858,opel
3.63877,saab
2.074739,bus
3.035426,van
2.373841,bus
-4.861722,opel
-4.561891,bus
-4.206319,saab
-4.118731,opel
4.233837,van
-1.407414,bus
3.364086,opel
3.056801,van
0.428229,saab
-0.564867,saab
0.839447,bus
-0.21843,bus
2.134317,saab
-0.477117,saab
1.629138,van
-5.399495,opel
-0.247015,van
0.89903,bus
0.53702,bus
0.776696,bus
2.207206,bus
0.508186,saab
-4.8987,opel
-0.050279,bus
1.968372,saab
2.658119,van
1.949262,bus
2.262186,saab
3.136213,van
0.489541,van
-0.124479,van
1.606593,van
-0.942136,saab
-5.27432,bus
0.446508,saab
-6.553978,bus
0.285166,opel
1.497577,van
3.381904,van
1.626618,opel
0.279728,van
-1.264785,saab
2.544181,saab
0.579204,van
2.15127,bus
2.423103,saab
-3.113947,saab
1.827525,saab
-5.228981,bus
4.502182,van
-4.760772,saab
5.347239,saab
1.533726,bus
2.729594,opel
1.938138,bus
1.757451,bus
4.376788,opel
0.860307,saab
1.036655,van
0.399671,van
0.933941,van
1.239481,bus
-3.608517,saab
-4.504831,saab
0.834987,van
-2.909951,opel
-5.412738,bus
5.651339,van
1.464558,opel
2.226613,bus
-4.482112,opel
2.238687,bus
-2.056847,bus
1.593224,van
-0.602536,saab
-2.197506,opel
-3.267161,opel
-4.180844,opel
0.891656,van
2.656932,opel
-4.578076,opel
1.923493,saab
-2.621821,opel
2.679204,van
-0.330087,van
5.66038,opel
2.072928,bus
-5.472501,saab
0.318434,van
0.845274,van
-0.281727,opel
-4.791986,bus
-7.415043,bus
0.659973,bus
0.805566,van
0.556131,bus
0.458035,van
3.167777,opel
-0.579179,opel
2.208147,bus
1.085181,saab
3.983865,van
4.160937,opel
2.701255,bus
1.718359,opel
-3.618074,saab
4.457614,opel
1.606898,bus
2.278016,bus
-0.624278,saab
0.13276,opel
-2.199799,saab
2.15451,bus
3.471438,opel
3.259013,van
-2.815017,opel
-3.127883,opel
-5.099622,opel
2.440512,bus
2.284456,van
2.320241,saab
-4.650518,saab
1.274477,van
-4.656988,opel
1.870799,bus
2.733517,van
-3.886904,saab
1.755701,saab
-3.377851,saab
0.094967,van
-1.238286,opel
2.100484,bus
0.144146,saab
-0.629635,van
2.228523,bus
2.456171,bus
-4.635904,bus
-3.679794,saab
1.998355,van
-4.648387,saab
-1.102636,saab
0.276161,opel
5.033493,van
-4.509778,saab
-4.215439,saab
4.02339,van
2.141933,bus
-1.308602,bus
2.908503,van
-5.071381,opel
2.70431,van
1.027301,van
1.370754,bus
0.645513,van
2.7207,van
-0.823015,opel
-1.067483,saab
1.158719,bus
-3.715742,opel
-2.872116,bus
-0.086045,van
-2.590773,saab
2.263772,van
1.680176,van
1.546878,bus
1.288812,opel
2.031286,van
-4.428536,saab
1.662727,bus
-2.987464,saab
2.759708,saab
0.975254,bus
1.849859,bus
2.354539,bus
2.098127,bus
2.405416,bus
-4.777747,opel
0.442055,saab
-4.768431,saab
1.371475,saab
-3.656839,opel
4.797861,van
0.217977,van
0.07655,saab
-4.905098,saab
1.659438,bus
-4.307484,opel
1.892356,bus
1.156355,saab
3.407868,van
0.234945,van
4.026529,van
4.20683,opel
6.3606,opel
-4.43803,opel
3.691797,van
2.077675,bus
0.442547,opel
1.890645,bus
1.721595,bus
1.019999,saab
-2.653939,saab
1.59876,van
1.668199,bus
-4.237962,saab
-2.989314,saab
1.808391,bus
4.045182,saab
-0.098782,opel
-4.968614,opel
-5.263462,saab
3.210859,saab
-4.598364,opel
5.188213,van
1.174623,saab
0.223252,opel
1.446727,van
2.120966,bus
0.823435,van
5.156488,van
3.417038,opel
-2.550854,saab
-3.809133,saab
-4.042392,opel
4.383207,saab
-3.773753,opel
4.085446,van
2.091041,saab
-2.285505,saab
0.098967,bus
2.764152,bus
3.167418,saab
-3.725047,bus
-1.975558,bus
1.372386,bus
-5.103419,opel
0.124306,saab
-1.402939,opel
0.36337,van
4.647273,saab
0.329708,van
-6.323474,bus
2.142262,van
-3.377576,saab
-4.954278,saab
4.197598,opel
1.143493,bus
1.475593,bus
-4.280116,opel
4.569613,van
-0.012771,van
-4.432398,saab
-3.571548,saab
-2.871964,opel
-2.927032,saab
-6.254435,bus
-2.724123,bus
-0.507056,bus
-0.364676,bus
