@relation vehicle-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement-V

@attribute COMPACTNESS numeric
@attribute CIRCULARITY numeric
@attribute 'DISTANCE CIRCULARITY' numeric
@attribute 'RADIUS RATIO' numeric
@attribute 'PR.AXIS ASPECT RATIO' numeric
@attribute 'MAX.LENGTH ASPECT RATIO' numeric
@attribute 'SCATTER RATIO' numeric
@attribute ELONGATEDNESS numeric
@attribute 'PR.AXIS RECTANGULARITY' numeric
@attribute 'MAX.LENGTH RECTANGULARITY' numeric
@attribute 'SCALED VARIANCE_MAJOR' numeric
@attribute 'SCALED VARIANCE_MINOR' numeric
@attribute 'SCALED RADIUS OF GYRATION' numeric
@attribute 'SKEWNESS ABOUT_MAJOR' numeric
@attribute 'SKEWNESS ABOUT_MINOR' numeric
@attribute 'KURTOSIS ABOUT_MAJOR' numeric
@attribute 'KURTOSIS ABOUT_MINOR' numeric
@attribute 'HOLLOWS RATIO' numeric
@attribute Class {opel,saab,bus,van}

@data
83,42,71,152,64,7,149,45,19,142,172,331,158,74,2,2,184,190,bus
98,51,84,207,72,7,184,35,21,161,199,520,198,72,9,11,196,199,bus
93,49,79,180,65,7,173,37,21,158,189,463,194,70,5,10,197,202,bus
89,42,70,148,62,7,147,45,19,143,176,323,153,76,2,6,186,189,bus
85,41,66,155,65,22,149,45,19,139,173,330,155,75,6,16,184,191,bus
100,48,95,209,68,7,199,32,23,150,216,605,200,73,7,11,192,194,bus
85,45,65,128,56,8,151,45,19,145,170,332,186,81,1,10,179,184,bus
87,42,60,116,51,6,150,46,19,141,169,324,171,85,2,14,178,182,bus
99,47,91,226,74,5,202,32,23,148,234,629,186,79,4,11,192,191,bus
91,46,75,185,75,7,154,42,19,147,178,362,192,72,8,8,192,199,bus
86,45,71,170,70,6,146,45,19,146,172,321,189,71,10,8,187,191,bus
81,46,71,141,61,7,153,44,19,148,177,347,190,80,1,14,182,187,bus
95,43,76,142,57,10,151,44,19,149,173,339,159,71,2,23,187,200,van
91,37,76,138,55,8,132,51,18,135,157,256,124,69,0,12,191,192,van
93,41,82,159,63,9,144,46,19,143,160,309,127,63,6,10,199,207,van
89,40,60,131,56,6,118,56,17,137,143,209,153,65,10,8,193,199,van
86,34,62,140,61,7,122,54,17,127,141,223,112,64,2,14,200,208,van
89,40,58,137,58,7,122,54,17,140,146,225,150,63,7,4,199,206,van
93,48,84,150,63,11,156,44,20,165,171,354,188,73,8,15,185,195,van
88,42,64,151,62,8,130,51,18,142,150,253,161,63,3,2,203,210,van
94,43,82,136,54,10,155,43,19,149,176,359,161,74,1,6,186,197,van
89,46,74,135,59,9,157,44,20,158,170,356,177,79,12,3,184,191,van
90,48,78,134,56,11,160,43,20,167,169,366,185,76,1,14,182,192,van
83,40,53,114,53,6,132,53,18,140,142,247,157,86,8,7,176,183,van
94,49,87,159,64,10,157,43,20,158,179,363,203,75,4,0,183,194,van
86,37,69,150,63,8,138,48,18,134,163,284,124,71,1,6,189,195,van
94,49,87,137,54,11,158,43,20,162,178,366,186,75,5,5,183,194,van
87,45,66,139,58,8,140,47,18,148,168,294,175,73,3,12,188,196,van
94,37,72,146,60,9,133,50,18,135,161,262,128,69,2,7,192,195,van
89,47,81,147,64,11,156,44,20,163,170,352,188,76,6,13,184,193,van
85,35,47,110,55,3,117,57,17,122,136,203,139,89,5,9,180,184,van
95,46,76,162,66,11,162,42,20,155,175,381,172,74,8,4,184,193,van
91,42,80,162,66,8,148,44,19,145,171,331,147,70,3,5,189,199,van
93,46,85,169,66,9,151,44,19,147,169,339,179,67,0,4,195,204,van
100,46,85,164,64,11,163,42,20,163,176,387,170,71,18,0,189,196,van
83,40,59,116,53,7,132,52,18,137,145,250,157,84,12,6,177,183,van
94,36,68,127,54,7,127,52,18,132,155,242,116,66,1,2,195,196,van
91,39,82,164,68,10,143,46,19,137,164,308,158,68,13,9,191,201,van
85,35,64,129,57,6,116,57,17,125,138,200,123,65,1,23,196,203,van
90,42,63,144,59,7,131,50,18,142,154,259,162,65,15,3,197,204,van
95,42,85,174,66,9,153,44,19,144,168,347,150,65,11,5,196,204,van
86,38,58,119,56,4,118,57,17,129,140,208,152,78,9,2,184,186,van
91,39,77,153,59,8,139,48,18,139,159,289,123,62,8,17,201,209,van
90,47,85,149,60,10,155,43,19,155,179,355,186,75,1,5,185,196,van
98,39,68,121,49,7,134,51,18,142,164,261,134,75,4,1,186,186,van
98,38,70,125,52,8,130,53,18,139,157,243,132,74,0,13,186,185,van
90,43,72,157,64,8,136,49,18,145,158,279,167,64,4,6,201,209,van
92,43,70,124,52,6,139,49,18,144,164,282,172,79,4,16,183,185,van
86,35,44,110,54,2,119,57,17,121,139,208,137,90,6,1,180,183,van
82,43,70,250,105,55,139,48,18,145,231,289,172,99,4,9,190,199,van
90,46,73,137,58,11,161,43,20,158,170,373,186,76,0,9,182,193,van
90,43,81,231,97,46,150,45,19,149,200,332,164,91,5,9,186,196,van
