@relation vehicle-weka.filters.supervised.instance.Resample-B0.0-S1-Z70.0-no-replacement-V

@attribute COMPACTNESS numeric
@attribute CIRCULARITY numeric
@attribute 'DISTANCE CIRCULARITY' numeric
@attribute 'RADIUS RATIO' numeric
@attribute 'PR.AXIS ASPECT RATIO' numeric
@attribute 'MAX.LENGTH ASPECT RATIO' numeric
@attribute 'SCATTER RATIO' numeric
@attribute ELONGATEDNESS numeric
@attribute 'PR.AXIS RECTANGULARITY' numeric
@attribute 'MAX.LENGTH RECTANGULARITY' numeric
@attribute 'SCALED VARIANCE_MAJOR' numeric
@attribute 'SCALED VARIANCE_MINOR' numeric
@attribute 'SCALED RADIUS OF GYRATION' numeric
@attribute 'SKEWNESS ABOUT_MAJOR' numeric
@attribute 'SKEWNESS ABOUT_MINOR' numeric
@attribute 'KURTOSIS ABOUT_MAJOR' numeric
@attribute 'KURTOSIS ABOUT_MINOR' numeric
@attribute 'HOLLOWS RATIO' numeric
@attribute Class {opel,saab,bus,van}

@data
98,55,104,213,67,9,206,32,23,167,223,629,220,72,5,19,187,196,saab
105,51,105,197,60,11,191,35,22,162,207,545,194,64,18,4,196,205,saab
99,48,104,196,63,10,201,33,23,152,221,604,199,73,8,4,188,197,saab
83,37,54,118,55,4,129,52,18,127,146,245,140,81,4,13,180,184,saab
91,39,88,189,63,9,175,38,21,132,197,457,156,69,0,23,191,198,saab
103,49,100,194,60,10,185,35,22,160,202,518,178,62,13,8,198,208,saab
95,53,95,202,65,10,193,34,22,160,220,559,237,71,3,2,188,196,saab
82,36,51,114,53,4,135,50,18,126,150,268,144,86,15,4,181,182,saab
86,40,63,135,56,5,133,50,18,135,152,262,166,70,9,2,187,191,saab
116,53,110,231,67,12,217,31,24,165,231,692,222,67,16,28,192,206,saab
94,40,85,186,62,9,169,39,20,139,184,430,133,61,2,9,200,210,saab
87,42,76,159,65,5,155,42,19,138,184,362,157,76,6,12,189,193,bus
107,57,106,172,50,6,255,26,28,169,280,957,264,85,5,9,181,183,bus
97,43,73,173,65,6,153,42,19,143,176,361,172,66,13,1,200,204,bus
88,46,74,171,68,6,152,43,19,148,180,349,192,71,5,11,189,195,bus
94,49,79,203,71,5,174,37,21,154,196,465,206,71,6,2,197,199,bus
99,41,77,197,69,6,177,36,21,139,202,485,151,72,4,10,198,199,bus
96,44,68,190,70,7,155,41,19,145,179,372,166,67,5,7,202,206,bus
84,43,70,123,54,8,151,45,19,146,173,332,176,81,1,12,181,184,bus
86,43,61,119,53,8,150,46,19,144,169,326,172,85,8,8,179,182,bus
102,45,85,193,64,6,192,33,22,146,217,570,163,76,6,7,195,193,bus
82,44,72,118,52,7,152,44,19,147,174,340,177,82,2,2,180,185,bus
81,45,68,169,73,6,151,44,19,146,173,336,186,75,7,0,183,189,bus
98,51,84,207,72,7,184,35,21,161,199,520,198,72,9,11,196,199,bus
96,36,74,183,70,6,149,43,19,127,178,341,127,69,0,17,201,205,bus
101,56,104,185,53,6,257,26,28,168,275,956,230,83,5,26,180,184,bus
83,42,66,156,67,7,150,45,19,144,174,333,159,78,4,2,182,188,bus
93,45,86,201,69,7,184,35,22,145,203,523,183,72,0,4,194,197,bus
113,57,109,194,56,6,260,26,28,175,288,982,261,85,11,21,182,183,bus
98,49,84,219,74,7,190,34,22,154,208,558,209,74,4,7,195,195,bus
107,55,103,167,49,7,252,27,28,172,269,904,239,83,5,30,179,186,bus
86,46,73,125,57,6,151,45,19,147,170,334,188,82,9,11,180,184,bus
90,38,75,164,64,7,151,43,19,131,168,345,139,66,0,0,195,204,bus
99,51,92,203,65,5,209,31,24,159,232,671,214,78,5,11,191,189,bus
89,40,76,188,76,7,150,44,19,136,174,342,148,72,3,8,193,197,bus
105,51,93,160,51,7,217,30,24,165,240,703,208,81,9,25,188,188,bus
86,45,71,155,66,7,146,45,19,144,167,322,176,72,5,6,189,196,bus
102,54,98,201,61,6,225,29,25,165,246,766,231,79,9,14,188,187,bus
100,51,89,199,65,6,201,32,23,159,219,622,205,74,6,7,193,193,bus
98,38,72,192,69,5,166,38,20,131,189,427,138,70,1,3,200,202,bus
82,45,66,252,126,52,148,45,19,144,237,326,185,119,1,1,181,185,bus
96,41,77,177,64,5,177,36,21,134,205,485,148,74,0,4,196,198,bus
80,44,68,135,59,8,150,45,19,145,170,329,173,80,7,12,180,185,bus
99,48,79,199,68,6,185,35,22,153,202,524,171,74,5,8,195,195,bus
91,45,76,171,69,7,150,44,19,144,170,340,179,69,12,1,195,201,bus
89,40,72,155,63,7,146,45,19,135,175,321,145,72,4,10,192,196,bus
89,42,70,148,62,7,147,45,19,143,176,323,153,76,2,6,186,189,bus
98,35,70,182,68,5,155,41,19,124,184,371,117,71,3,22,202,205,bus
100,48,95,209,68,7,199,32,23,150,216,605,200,73,7,11,192,194,bus
101,53,91,194,65,6,204,32,23,161,231,636,214,78,5,14,192,192,bus
88,40,73,173,68,7,150,44,19,137,174,341,151,69,2,20,196,200,bus
108,57,106,177,51,5,256,26,28,170,285,966,261,87,11,2,182,181,bus
83,46,68,139,59,6,150,44,19,146,172,336,183,74,5,3,185,191,bus
110,56,103,223,64,5,250,26,27,169,280,928,239,85,4,6,184,183,bus
109,55,96,191,57,6,241,28,26,170,267,857,242,85,8,9,184,184,bus
88,43,70,177,74,19,152,44,19,143,180,342,168,76,1,9,186,189,bus
81,45,68,154,69,22,151,45,19,147,186,335,186,88,1,10,180,185,bus
82,43,73,158,68,7,151,44,19,145,181,337,173,80,2,17,183,188,bus
89,44,72,160,66,7,144,46,19,147,166,312,169,69,11,1,191,198,bus
87,43,65,127,56,8,149,46,19,143,169,322,171,85,6,3,180,182,bus
96,43,82,161,55,5,186,34,22,141,215,534,162,75,0,6,195,196,bus
97,45,72,187,71,5,161,40,20,144,178,399,186,70,7,7,196,203,bus
80,45,71,128,56,7,151,45,19,147,171,337,176,79,3,16,181,187,bus
99,38,74,184,66,6,164,39,20,131,193,414,137,71,2,22,200,202,bus
86,43,66,130,56,7,152,44,19,142,177,340,173,81,6,14,181,185,bus
86,45,71,170,70,6,146,45,19,146,172,321,189,71,10,8,187,191,bus
101,54,106,188,57,7,236,28,26,164,256,833,253,81,6,14,185,185,bus
82,44,72,136,61,7,147,46,19,143,173,317,183,81,6,17,181,185,bus
94,39,75,184,72,8,155,42,19,133,175,365,145,70,4,5,192,200,bus
85,42,70,130,56,7,150,45,19,145,177,328,172,82,10,14,181,185,bus
90,41,71,169,68,7,150,44,19,138,175,336,157,71,3,18,192,197,bus
85,44,66,125,58,6,148,45,19,145,170,323,185,84,8,1,180,183,bus
83,44,68,144,61,8,147,45,19,143,170,325,180,74,1,1,185,191,bus
100,50,81,197,67,6,186,34,22,158,206,531,198,74,6,1,197,198,bus
98,46,77,199,71,7,166,39,20,150,184,422,180,69,13,9,200,203,bus
94,43,68,170,67,6,142,46,18,142,164,310,177,65,10,8,198,203,bus
111,58,105,183,51,6,265,26,29,174,285,1018,255,85,4,8,181,183,bus
85,45,82,133,56,11,159,43,20,156,170,362,173,76,10,21,183,193,van
96,46,88,160,64,9,151,44,19,148,173,339,182,70,15,11,192,199,van
98,39,68,136,56,8,131,52,18,144,159,251,134,72,4,10,186,187,van
91,37,76,138,55,8,132,51,18,135,157,256,124,69,0,12,191,192,van
94,50,84,138,57,10,156,44,20,170,171,351,187,77,5,6,182,191,van
90,41,62,147,60,6,128,52,18,141,149,246,157,61,13,4,201,208,van
90,47,85,149,60,10,155,43,19,155,179,355,186,75,1,5,185,196,van
89,36,51,109,52,6,118,57,17,129,137,206,125,80,2,14,181,185,van
84,37,53,121,59,5,123,55,17,125,141,221,133,82,7,1,179,183,van
85,45,80,154,64,9,147,45,19,148,169,324,174,71,1,4,188,199,van
89,43,85,160,64,11,155,43,19,151,173,356,174,72,5,9,185,196,van
85,36,51,115,56,5,119,57,17,124,139,207,127,81,13,5,181,184,van
91,41,66,131,56,9,126,53,18,144,159,237,155,72,3,10,191,194,van
93,41,75,124,51,7,140,49,18,141,164,284,149,77,5,15,184,185,van
94,49,87,137,54,11,158,43,20,162,178,366,186,75,5,5,183,194,van
90,44,72,157,64,8,137,48,18,144,159,283,171,65,9,4,196,203,van
95,46,92,159,63,11,160,42,20,157,176,372,171,70,7,21,189,200,van
89,47,81,147,64,11,156,44,20,163,170,352,188,76,6,13,184,193,van
94,47,85,333,138,49,155,43,19,155,320,354,187,135,12,9,188,196,van
86,39,58,125,55,5,117,57,17,134,140,204,148,69,7,6,190,194,van
83,37,49,112,55,5,122,55,17,128,144,219,146,85,8,16,180,184,van
96,40,70,120,50,8,137,50,18,141,162,269,139,80,10,13,183,183,van
86,44,78,164,68,9,142,46,18,147,168,305,171,70,1,11,190,201,van
95,49,82,139,56,11,159,43,20,162,173,365,185,75,7,10,182,191,van
93,43,88,170,66,9,150,45,19,147,164,334,143,65,2,17,196,206,van
94,35,66,147,62,9,131,50,18,127,159,258,115,66,8,7,196,201,van
89,35,70,138,58,7,126,53,17,128,147,237,112,64,4,19,199,207,van
94,46,91,175,70,12,157,43,20,155,172,358,192,69,15,21,190,200,van
96,39,58,117,51,6,133,52,18,139,154,255,150,86,6,0,181,182,van
93,40,62,117,49,7,131,52,18,145,160,249,156,78,8,6,184,184,van
92,38,60,130,62,5,114,58,17,132,135,194,137,72,14,5,190,194,van
96,44,85,166,66,10,155,43,19,150,167,355,159,67,3,10,192,202,van
95,46,76,162,66,11,162,42,20,155,175,381,172,74,8,4,184,193,van
87,37,52,116,54,6,115,58,17,126,135,196,144,74,11,22,186,190,van
95,47,88,162,64,11,159,43,20,157,176,371,185,71,12,13,189,198,van
86,40,66,139,59,7,122,54,17,139,145,225,143,63,7,11,202,208,van
86,35,44,110,54,2,119,57,17,121,139,208,137,90,6,1,180,183,van
94,45,85,160,63,10,158,43,20,157,174,367,162,68,1,6,189,199,van
90,46,80,143,62,11,159,43,20,156,169,366,186,74,17,7,185,193,van
85,45,73,167,69,8,143,46,18,148,173,307,176,71,2,0,190,199,van
98,39,68,121,49,7,134,51,18,142,164,261,134,75,4,1,186,186,van
89,46,77,125,52,10,156,44,20,160,171,351,177,78,7,17,183,191,van
89,44,76,125,54,10,156,44,20,151,163,352,176,76,12,12,184,193,van
96,45,80,162,63,9,146,46,19,148,161,316,161,64,5,10,199,207,van
91,42,80,162,66,8,148,44,19,145,171,331,147,70,3,5,189,199,van
100,46,85,164,64,11,163,42,20,163,176,387,170,71,18,0,189,196,van
93,36,64,165,69,8,136,49,18,136,161,279,127,67,2,29,193,204,van
89,40,79,154,64,9,144,46,19,139,168,311,149,71,8,7,188,197,van
96,46,88,174,68,10,155,43,19,148,173,354,182,69,14,15,194,202,van
97,35,66,151,64,8,128,52,18,129,148,246,112,66,6,2,195,200,van
94,45,81,166,67,9,145,46,19,147,164,313,179,66,11,14,194,202,van
88,34,58,140,59,6,127,52,18,130,148,243,113,63,4,10,199,206,van
89,44,70,137,58,6,136,49,18,146,168,273,166,78,10,3,186,187,van
94,37,72,146,60,9,133,50,18,135,161,262,128,69,2,7,192,195,van
92,41,66,125,52,7,139,50,18,143,160,275,161,81,7,19,182,184,van
85,35,47,110,55,3,117,57,17,122,136,203,139,89,5,9,180,184,van
90,48,78,143,60,11,161,43,20,159,172,374,186,75,2,2,184,193,van
89,36,68,141,59,8,139,47,18,130,166,291,127,73,7,1,189,196,van
93,45,83,142,56,10,157,43,20,155,180,364,188,75,1,21,184,197,van
88,43,84,136,55,11,154,44,19,150,174,350,164,73,6,2,185,196,van
